"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2024-10-29T17:34:13Z"
"Version","20241029173413"
"OfferCode","AWSAppSync"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Location","Location Type","usageType","operation","CacheMemorySize","EventAPIOperation","GraphQLOperation","Protocol","RealTimeOperation","Region Code","serviceName"
"4W4ZEPRV8BB6CYA7","JRTCKXETXF","4W4ZEPRV8BB6CYA7.JRTCKXETXF.6YS6EN2CT7","OnDemand","AppSync Dedicated Cache 203.26Gb - US East (N. Virginia)","2024-09-01","0","Inf","Hrs","4.7580000000","USD","API Calls","AWSAppSync","US East (N. Virginia)","AWS Region","USE1-AppSyncCacheUsage:203.26GB","RunInstances","203.26",,"Invocation","HTTPS",,"us-east-1","AWS AppSync"
"73YBXMJS92PHR2Y6","JRTCKXETXF","73YBXMJS92PHR2Y6.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.08 per million Event API connection minutes in US East (N. Virginia)","2024-09-01","0","Inf","Minute","0.0000000800","USD","RealTime","AWSAppSync","US East (N. Virginia)","AWS Region","USE1-EventAPI-ConnectionDuration","",,"Connection duration",,,,"us-east-1","AWS AppSync"
"CEM6653GX3MWYEUN","JRTCKXETXF","CEM6653GX3MWYEUN.JRTCKXETXF.6YS6EN2CT7","OnDemand","$1 per million Event API operations in US East (N. Virginia)","2024-09-01","0","Inf","Operation","0.0000010000","USD","RealTime","AWSAppSync","US East (N. Virginia)","AWS Region","USE1-EventAPI-Operation","",,"Operation",,,,"us-east-1","AWS AppSync"
"DTWDRFYGTZWX43GP","JRTCKXETXF","DTWDRFYGTZWX43GP.JRTCKXETXF.6YS6EN2CT7","OnDemand","AppSync Dedicated Cache 317.77Gb - US East (N. Virginia)","2024-09-01","0","Inf","Hrs","6.7750000000","USD","API Calls","AWSAppSync","US East (N. Virginia)","AWS Region","USE1-AppSyncCacheUsage:317.77GB","RunInstances","317.77",,"Invocation",,,"us-east-1","AWS AppSync"
"JUPW5NR5HR7AB7CY","JRTCKXETXF","JUPW5NR5HR7AB7CY.JRTCKXETXF.6YS6EN2CT7","OnDemand","$2 per million real-time updates in US East (N. Virginia)","2024-09-01","0","Inf","Messages","0.0000020000","USD","RealTime","AWSAppSync","US East (N. Virginia)","AWS Region","USE1-GraphQLNotification","",,,,"MQTT_WSS","Notification","us-east-1","AWS AppSync"
"MNWY4NZ3VKNEN9HB","JRTCKXETXF","MNWY4NZ3VKNEN9HB.JRTCKXETXF.6YS6EN2CT7","OnDemand","AppSync Dedicated Cache 25.05Gb - US East (N. Virginia)","2024-09-01","0","Inf","Hrs","0.5950000000","USD","API Calls","AWSAppSync","US East (N. Virginia)","AWS Region","USE1-AppSyncCacheUsage:25.05GB","RunInstances","25.05",,"Invocation","HTTPS",,"us-east-1","AWS AppSync"
"P5UNPE5Z26VEXEU4","JRTCKXETXF","P5UNPE5Z26VEXEU4.JRTCKXETXF.6YS6EN2CT7","OnDemand","AppSync Dedicated Cache 1.55Gb - US East (N. Virginia)","2024-09-01","0","Inf","Hrs","0.0440000000","USD","API Calls","AWSAppSync","US East (N. Virginia)","AWS Region","USE1-AppSyncCacheUsage:1.55GB","RunInstances","1.55",,"Invocation","HTTPS",,"us-east-1","AWS AppSync"
"PCHS8TJVT6S49KKA","JRTCKXETXF","PCHS8TJVT6S49KKA.JRTCKXETXF.6YS6EN2CT7","OnDemand","AppSync Dedicated Cache 50.47Gb - US East (N. Virginia)","2024-09-01","0","Inf","Hrs","1.1890000000","USD","API Calls","AWSAppSync","US East (N. Virginia)","AWS Region","USE1-AppSyncCacheUsage:50.47GB","RunInstances","50.47",,"Invocation","HTTPS",,"us-east-1","AWS AppSync"
"RQGUAEUAMTAUPEY6","JRTCKXETXF","RQGUAEUAMTAUPEY6.JRTCKXETXF.6YS6EN2CT7","OnDemand","AppSync Dedicated Cache 3.22Gb - US East (N. Virginia)","2024-09-01","0","Inf","Hrs","0.0890000000","USD","API Calls","AWSAppSync","US East (N. Virginia)","AWS Region","USE1-AppSyncCacheUsage:3.22GB","RunInstances","3.22",,"Invocation","HTTPS",,"us-east-1","AWS AppSync"
"SJQRZS9326KSN2CC","JRTCKXETXF","SJQRZS9326KSN2CC.JRTCKXETXF.6YS6EN2CT7","OnDemand","$4 per million query and data modification operations in US East (N. Virginia)","2024-09-01","0","Inf","Requests","0.0000040000","USD","API Calls","AWSAppSync","US East (N. Virginia)","AWS Region","USE1-GraphQLInvocation","",,,"Invocation","HTTPS",,"us-east-1","AWS AppSync"
