"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2025-01-09T22:17:59Z"
"Version","20250109221759"
"OfferCode","AWSB2Bi"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Location","Location Type","usageType","operation","Input Format","Output Format","Region Code","serviceName","Type"
"2287N3FGNPDRNCRQ","JRTCKXETXF","2287N3FGNPDRNCRQ.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.01 per X12-322:JSON Transformation in US East (N. Virginia)","2025-01-01","0","Inf","Transformations","0.0100000000","USD","AWS B2B Data Interchange","AWSB2Bi","US East (N. Virginia)","AWS Region","USE1-LargeInboundTranslations","X12-322:JSON","X12-322 (Large)","Default JSON","us-east-1","AWS B2B Data Interchange",
"22QC7C3UW5TUUX6H","JRTCKXETXF","22QC7C3UW5TUUX6H.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.01 per X12-112:JSON Transformation in US East (N. Virginia)","2025-01-01","0","Inf","Transformations","0.0100000000","USD","AWS B2B Data Interchange","AWSB2Bi","US East (N. Virginia)","AWS Region","USE1-LargeInboundTranslations","X12-112:JSON","X12-112 (Large)","Default JSON","us-east-1","AWS B2B Data Interchange",
"23G63YC6X7TT5V7T","JRTCKXETXF","23G63YC6X7TT5V7T.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.01 per X12-925:JSON Transformation in US East (N. Virginia)","2025-01-01","0","Inf","Transformations","0.0100000000","USD","AWS B2B Data Interchange","AWSB2Bi","US East (N. Virginia)","AWS Region","USE1-InboundTranslations","X12-925:JSON","X12-925","Default JSON","us-east-1","AWS B2B Data Interchange",
"23UN7XQBXM6CJQCQ","JRTCKXETXF","23UN7XQBXM6CJQCQ.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.01 per X12-856:XML Transformation in US East (N. Virginia)","2025-01-01","0","Inf","Transformations","0.0100000000","USD","AWS B2B Data Interchange","AWSB2Bi","US East (N. Virginia)","AWS Region","USE1-InboundTranslations","X12-856:XML","X12-856","Default XML","us-east-1","AWS B2B Data Interchange",
"248CD8BK25H3QN2U","JRTCKXETXF","248CD8BK25H3QN2U.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.01 per JSON:X12-120 Transformation in US East (N. Virginia)","2025-01-01","0","Inf","Transformations","0.0100000000","USD","AWS B2B Data Interchange","AWSB2Bi","US East (N. Virginia)","AWS Region","USE1-LargeOutboundTranslations","JSON:X12-120","Default JSON (Large)","X12-120","us-east-1","AWS B2B Data Interchange",
"24F7NQNNQHMU4MNA","JRTCKXETXF","24F7NQNNQHMU4MNA.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.01 per XML:X12-309 Transformation in US East (N. Virginia)","2025-01-01","0","Inf","Transformations","0.0100000000","USD","AWS B2B Data Interchange","AWSB2Bi","US East (N. Virginia)","AWS Region","USE1-OutboundTranslations","XML:X12-309","Default XML","X12-309","us-east-1","AWS B2B Data Interchange",
"24T46S8KKEDSUQED","JRTCKXETXF","24T46S8KKEDSUQED.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.01 per X12-874:XML Transformation in US East (N. Virginia)","2025-01-01","0","Inf","Transformations","0.0100000000","USD","AWS B2B Data Interchange","AWSB2Bi","US East (N. Virginia)","AWS Region","USE1-LargeInboundTranslations","X12-874:XML","X12-874 (Large)","Default XML","us-east-1","AWS B2B Data Interchange",
"24WS75A4Y8EC2JVA","JRTCKXETXF","24WS75A4Y8EC2JVA.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.01 per XML:X12-827 Transformation in US East (N. Virginia)","2025-01-01","0","Inf","Transformations","0.0100000000","USD","AWS B2B Data Interchange","AWSB2Bi","US East (N. Virginia)","AWS Region","USE1-OutboundTranslations","XML:X12-827","Default XML","X12-827","us-east-1","AWS B2B Data Interchange",
"25Y8Y55GM3AX645M","JRTCKXETXF","25Y8Y55GM3AX645M.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.01 per XML:X12-831 Transformation in US East (N. Virginia)","2025-01-01","0","Inf","Transformations","0.0100000000","USD","AWS B2B Data Interchange","AWSB2Bi","US East (N. Virginia)","AWS Region","USE1-LargeOutboundTranslations","XML:X12-831","Default XML (Large)","X12-831","us-east-1","AWS B2B Data Interchange",
"262EZMQQZHNSFGYR","JRTCKXETXF","262EZMQQZHNSFGYR.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.01 per JSON:X12-106 Transformation in US East (N. Virginia)","2025-01-01","0","Inf","Transformations","0.0100000000","USD","AWS B2B Data Interchange","AWSB2Bi","US East (N. Virginia)","AWS Region","USE1-OutboundTranslations","JSON:X12-106","Default JSON","X12-106","us-east-1","AWS B2B Data Interchange",
"268CA26RJC6Q63UC","JRTCKXETXF","268CA26RJC6Q63UC.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.01 per X12-452:XML Transformation in US East (N. Virginia)","2025-01-01","0","Inf","Transformations","0.0100000000","USD","AWS B2B Data Interchange","AWSB2Bi","US East (N. Virginia)","AWS Region","USE1-InboundTranslations","X12-452:XML","X12-452","Default XML","us-east-1","AWS B2B Data Interchange",
"26PM4F6ZM9G6K9H5","JRTCKXETXF","26PM4F6ZM9G6K9H5.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.01 per JSON:X12-431 Transformation in US East (N. Virginia)","2025-01-01","0","Inf","Transformations","0.0100000000","USD","AWS B2B Data Interchange","AWSB2Bi","US East (N. Virginia)","AWS Region","USE1-LargeOutboundTranslations","JSON:X12-431","Default JSON (Large)","X12-431","us-east-1","AWS B2B Data Interchange",
"26ZJDXWYXQDKWVZE","JRTCKXETXF","26ZJDXWYXQDKWVZE.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.01 per JSON:X12-195 Transformation in US East (N. Virginia)","2025-01-01","0","Inf","Transformations","0.0100000000","USD","AWS B2B Data Interchange","AWSB2Bi","US East (N. Virginia)","AWS Region","USE1-LargeOutboundTranslations","JSON:X12-195","Default JSON (Large)","X12-195","us-east-1","AWS B2B Data Interchange",
"275BVBRZDGETFRXQ","JRTCKXETXF","275BVBRZDGETFRXQ.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.01 per XML:X12-186 Transformation in US East (N. Virginia)","2025-01-01","0","Inf","Transformations","0.0100000000","USD","AWS B2B Data Interchange","AWSB2Bi","US East (N. Virginia)","AWS Region","USE1-LargeOutboundTranslations","XML:X12-186","Default XML (Large)","X12-186","us-east-1","AWS B2B Data Interchange",
"27A4M5Y6US4JT4CG","JRTCKXETXF","27A4M5Y6US4JT4CG.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.01 per JSON:X12-837_X299 Transformation in US East (N. Virginia)","2025-01-01","0","Inf","Transformations","0.0100000000","USD","AWS B2B Data Interchange","AWSB2Bi","US East (N. Virginia)","AWS Region","USE1-OutboundTranslations","JSON:X12-837_X299","Default JSON","X12-837_X299","us-east-1","AWS B2B Data Interchange",
"2843QHSVYQHB5W7Z","JRTCKXETXF","2843QHSVYQHB5W7Z.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.01 per XML:X12-135 Transformation in US East (N. Virginia)","2025-01-01","0","Inf","Transformations","0.0100000000","USD","AWS B2B Data Interchange","AWSB2Bi","US East (N. Virginia)","AWS Region","USE1-LargeOutboundTranslations","XML:X12-135","Default XML (Large)","X12-135","us-east-1","AWS B2B Data Interchange",
"28862TMSAVS8TPAH","JRTCKXETXF","28862TMSAVS8TPAH.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.01 per XML:X12-362 Transformation in US East (N. Virginia)","2025-01-01","0","Inf","Transformations","0.0100000000","USD","AWS B2B Data Interchange","AWSB2Bi","US East (N. Virginia)","AWS Region","USE1-LargeOutboundTranslations","XML:X12-362","Default XML (Large)","X12-362","us-east-1","AWS B2B Data Interchange",
"28DGPEFHCCT4P5RY","JRTCKXETXF","28DGPEFHCCT4P5RY.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.01 per JSON:X12-561 Transformation in US East (N. Virginia)","2025-01-01","0","Inf","Transformations","0.0100000000","USD","AWS B2B Data Interchange","AWSB2Bi","US East (N. Virginia)","AWS Region","USE1-OutboundTranslations","JSON:X12-561","Default JSON","X12-561","us-east-1","AWS B2B Data Interchange",
"29R5YWFKTNRBJ455","JRTCKXETXF","29R5YWFKTNRBJ455.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.01 per XML:X12-286 Transformation in US East (N. Virginia)","2025-01-01","0","Inf","Transformations","0.0100000000","USD","AWS B2B Data Interchange","AWSB2Bi","US East (N. Virginia)","AWS Region","USE1-LargeOutboundTranslations","XML:X12-286","Default XML (Large)","X12-286","us-east-1","AWS B2B Data Interchange",
"29V7THTZNZYUY4ZJ","JRTCKXETXF","29V7THTZNZYUY4ZJ.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.01 per X12-492:XML Transformation in US East (N. Virginia)","2025-01-01","0","Inf","Transformations","0.0100000000","USD","AWS B2B Data Interchange","AWSB2Bi","US East (N. Virginia)","AWS Region","USE1-InboundTranslations","X12-492:XML","X12-492","Default XML","us-east-1","AWS B2B Data Interchange",
"2AKNFKVJZN57ZT8U","JRTCKXETXF","2AKNFKVJZN57ZT8U.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.01 per XML:X12-149 Transformation in US East (N. Virginia)","2025-01-01","0","Inf","Transformations","0.0100000000","USD","AWS B2B Data Interchange","AWSB2Bi","US East (N. Virginia)","AWS Region","USE1-LargeOutboundTranslations","XML:X12-149","Default XML (Large)","X12-149","us-east-1","AWS B2B Data Interchange",
"2B39JDGVWQCC5FXE","JRTCKXETXF","2B39JDGVWQCC5FXE.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.01 per X12-940:XML Transformation in US East (N. Virginia)","2025-01-01","0","Inf","Transformations","0.0100000000","USD","AWS B2B Data Interchange","AWSB2Bi","US East (N. Virginia)","AWS Region","USE1-InboundTranslations","X12-940:XML","X12-940","Default XML","us-east-1","AWS B2B Data Interchange",
"2BHNS2GY7MRQ9J9A","JRTCKXETXF","2BHNS2GY7MRQ9J9A.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.01 per X12-350:XML Transformation in US East (N. Virginia)","2025-01-01","0","Inf","Transformations","0.0100000000","USD","AWS B2B Data Interchange","AWSB2Bi","US East (N. Virginia)","AWS Region","USE1-LargeInboundTranslations","X12-350:XML","X12-350 (Large)","Default XML","us-east-1","AWS B2B Data Interchange",
"2BMBGGD22CWZGV5Q","JRTCKXETXF","2BMBGGD22CWZGV5Q.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.01 per JSON:X12-157 Transformation in US East (N. Virginia)","2025-01-01","0","Inf","Transformations","0.0100000000","USD","AWS B2B Data Interchange","AWSB2Bi","US East (N. Virginia)","AWS Region","USE1-LargeOutboundTranslations","JSON:X12-157","Default JSON (Large)","X12-157","us-east-1","AWS B2B Data Interchange",
"2BNCETYU7SV7VP4H","JRTCKXETXF","2BNCETYU7SV7VP4H.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.01 per XML:X12-265 Transformation in US East (N. Virginia)","2025-01-01","0","Inf","Transformations","0.0100000000","USD","AWS B2B Data Interchange","AWSB2Bi","US East (N. Virginia)","AWS Region","USE1-LargeOutboundTranslations","XML:X12-265","Default XML (Large)","X12-265","us-east-1","AWS B2B Data Interchange",
"2CQ7PBV8K65ZXBVB","JRTCKXETXF","2CQ7PBV8K65ZXBVB.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.01 per JSON:X12-468 Transformation in US East (N. Virginia)","2025-01-01","0","Inf","Transformations","0.0100000000","USD","AWS B2B Data Interchange","AWSB2Bi","US East (N. Virginia)","AWS Region","USE1-OutboundTranslations","JSON:X12-468","Default JSON","X12-468","us-east-1","AWS B2B Data Interchange",
"2CXGCQKG5V28THVK","JRTCKXETXF","2CXGCQKG5V28THVK.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.01 per X12-324:JSON Transformation in US East (N. Virginia)","2025-01-01","0","Inf","Transformations","0.0100000000","USD","AWS B2B Data Interchange","AWSB2Bi","US East (N. Virginia)","AWS Region","USE1-LargeInboundTranslations","X12-324:JSON","X12-324 (Large)","Default JSON","us-east-1","AWS B2B Data Interchange",
"2DC4JBSP8QSS84D2","JRTCKXETXF","2DC4JBSP8QSS84D2.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.01 per JSON:X12-130 Transformation in US East (N. Virginia)","2025-01-01","0","Inf","Transformations","0.0100000000","USD","AWS B2B Data Interchange","AWSB2Bi","US East (N. Virginia)","AWS Region","USE1-OutboundTranslations","JSON:X12-130","Default JSON","X12-130","us-east-1","AWS B2B Data Interchange",
"2DTZ3DSZPZBZ8C56","JRTCKXETXF","2DTZ3DSZPZBZ8C56.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.01 per X12-138:JSON Transformation in US East (N. Virginia)","2025-01-01","0","Inf","Transformations","0.0100000000","USD","AWS B2B Data Interchange","AWSB2Bi","US East (N. Virginia)","AWS Region","USE1-LargeInboundTranslations","X12-138:JSON","X12-138 (Large)","Default JSON","us-east-1","AWS B2B Data Interchange",
"2E9XRJT789DXVVWC","JRTCKXETXF","2E9XRJT789DXVVWC.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.01 per X12-926:JSON Transformation in US East (N. Virginia)","2025-01-01","0","Inf","Transformations","0.0100000000","USD","AWS B2B Data Interchange","AWSB2Bi","US East (N. Virginia)","AWS Region","USE1-InboundTranslations","X12-926:JSON","X12-926","Default JSON","us-east-1","AWS B2B Data Interchange",
"2EXDESBECJFNAJA3","JRTCKXETXF","2EXDESBECJFNAJA3.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.01 per X12-511:XML Transformation in US East (N. Virginia)","2025-01-01","0","Inf","Transformations","0.0100000000","USD","AWS B2B Data Interchange","AWSB2Bi","US East (N. Virginia)","AWS Region","USE1-InboundTranslations","X12-511:XML","X12-511","Default XML","us-east-1","AWS B2B Data Interchange",
"2EZE8EFKVR77MFZ5","JRTCKXETXF","2EZE8EFKVR77MFZ5.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.01 per X12-358:JSON Transformation in US East (N. Virginia)","2025-01-01","0","Inf","Transformations","0.0100000000","USD","AWS B2B Data Interchange","AWSB2Bi","US East (N. Virginia)","AWS Region","USE1-InboundTranslations","X12-358:JSON","X12-358","Default JSON","us-east-1","AWS B2B Data Interchange",
"2G98YQ8SPWAR4H9D","JRTCKXETXF","2G98YQ8SPWAR4H9D.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.01 per JSON:X12-869 Transformation in US East (N. Virginia)","2025-01-01","0","Inf","Transformations","0.0100000000","USD","AWS B2B Data Interchange","AWSB2Bi","US East (N. Virginia)","AWS Region","USE1-OutboundTranslations","JSON:X12-869","Default JSON","X12-869","us-east-1","AWS B2B Data Interchange",
"2GMYN4Z7JWT5TNF5","JRTCKXETXF","2GMYN4Z7JWT5TNF5.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.01 per X12-945:JSON Transformation in US East (N. Virginia)","2025-01-01","0","Inf","Transformations","0.0100000000","USD","AWS B2B Data Interchange","AWSB2Bi","US East (N. Virginia)","AWS Region","USE1-InboundTranslations","X12-945:JSON","X12-945","Default JSON","us-east-1","AWS B2B Data Interchange",
"2HU797ZSMTNYC3KZ","JRTCKXETXF","2HU797ZSMTNYC3KZ.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.01 per XML:X12-823 Transformation in US East (N. Virginia)","2025-01-01","0","Inf","Transformations","0.0100000000","USD","AWS B2B Data Interchange","AWSB2Bi","US East (N. Virginia)","AWS Region","USE1-LargeOutboundTranslations","XML:X12-823","Default XML (Large)","X12-823","us-east-1","AWS B2B Data Interchange",
"2HVQXX9FSK3NSR2R","JRTCKXETXF","2HVQXX9FSK3NSR2R.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.01 per JSON:X12-358 Transformation in US East (N. Virginia)","2025-01-01","0","Inf","Transformations","0.0100000000","USD","AWS B2B Data Interchange","AWSB2Bi","US East (N. Virginia)","AWS Region","USE1-OutboundTranslations","JSON:X12-358","Default JSON","X12-358","us-east-1","AWS B2B Data Interchange",
