"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2025-05-21T03:19:38Z"
"Version","20250521031938"
"OfferCode","AWSBackup"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Location","Location Type","To Location","To Location Type","usageType","operation","Backup Evaluations","Backup_Service","IndexType","Region Code","SearchType","serviceName","Storage Type","StorageType","To Region Code","VaultType"
"23VTW6GTNCCD68KT","JRTCKXETXF","23VTW6GTNCCD68KT.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD 0.02 per GB for data transfer from logically air-gapped vault for FSx to Europe (Zurich)","2025-05-01","0","Inf","GB","0.0200000000","USD","AWS Backup Storage","AWSBackup","US East (N. Virginia)","AWS Region","Europe (Zurich)","AWS Region","USE1-EUC2-CrossRegion-WarmBytes-FSx","DataTransfer",,"FSx",,"us-east-1",,"AWS Backup","AWSBackup-DataTransfer",,"eu-central-2","LAGVault"
"258ZS3CGQBNF2FKF","JRTCKXETXF","258ZS3CGQBNF2FKF.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD 0.02 per GB for data transfer from logically air-gapped vault for DocumentDB to US West (Oregon)","2025-05-01","0","Inf","GB","0.0200000000","USD","AWS Backup Storage","AWSBackup","US East (N. Virginia)","AWS Region","US West (Oregon)","AWS Region","USE1-USW2-CrossRegion-WarmBytes-DocumentDB","DataTransfer",,"DocumentDB",,"us-east-1",,"AWS Backup","AWSBackup-DataTransfer",,"us-west-2","LAGVault"
"25G5SQD99YKXDA2W","JRTCKXETXF","25G5SQD99YKXDA2W.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD 0.02 per GB for data transfer from logically air-gapped vault for DocumentDB to Europe (Zurich)","2025-05-01","0","Inf","GB","0.0200000000","USD","AWS Backup Storage","AWSBackup","US East (N. Virginia)","AWS Region","Europe (Zurich)","AWS Region","USE1-EUC2-CrossRegion-WarmBytes-DocumentDB","DataTransfer",,"DocumentDB",,"us-east-1",,"AWS Backup","AWSBackup-DataTransfer",,"eu-central-2","LAGVault"
"267XJ3TJQENWGN44","JRTCKXETXF","267XJ3TJQENWGN44.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD 0.085 per GB for data transfer from logically air-gapped vault for FSx to US East (N. Virginia)","2025-05-01","0","Inf","GB","0.0850000000","USD","AWS Backup Storage","AWSBackup","Middle East (UAE)","AWS Region","US East (N. Virginia)","AWS Region","MEC1-USE1-CrossRegion-WarmBytes-FSx","DataTransfer",,"FSx",,"me-central-1",,"AWS Backup","AWSBackup-DataTransfer",,"us-east-1","LAGVault"
"26P95PQMTPSVF9JM","JRTCKXETXF","26P95PQMTPSVF9JM.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD 0.04 per GB for cross-Region backup data transfer for DynamoDB to US East (N. Virginia)","2025-05-01","0","Inf","GB","0.0400000000","USD","AWS Backup Storage","AWSBackup","EU (Ireland)","AWS Region","US East (N. Virginia)","AWS Region","EU-USE1-CrossRegion-WarmBytes-DynamoDB","DataTransfer",,"DDB",,"eu-west-1",,"AWS Backup","AWSBackup-DataTransfer",,"us-east-1","BackupVault"
"277PRJVPQKZSMKB6","JRTCKXETXF","277PRJVPQKZSMKB6.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD 0.07 per 1 million items searched for BackupSearch-S3 in US East (N. Virginia)","2025-05-01","0","Inf","Count","0.0000000700","USD","AWS Backup Storage","AWSBackup","US East (N. Virginia)","AWS Region",,,"USE1-BackupSearch-ItemsSearched-S3","BackupSearch",,"S3","Standard","us-east-1","Metadata","AWS Backup","Warm",,,"BackupVault"
"27V76ZEFE25EV63B","JRTCKXETXF","27V76ZEFE25EV63B.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD 0.11 per GB for cross-Region backup data transfer for EFS to US East (N. Virginia)","2025-05-01","0","Inf","GB","0.1100000000","USD","AWS Backup Storage","AWSBackup","Asia Pacific (Singapore)","AWS Region","US East (N. Virginia)","AWS Region","APS1-USE1-CrossRegion-WarmBytes-EFS","DataTransfer",,"EFS",,"ap-southeast-1",,"AWS Backup","AWSBackup-DataTransfer",,"us-east-1","BackupVault"
"29UJ6MC9STVMG993","JRTCKXETXF","29UJ6MC9STVMG993.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD 0.04 per GB for cross-Region backup data transfer for VirtualMachine to US East (N. Virginia)","2025-05-01","0","Inf","GB","0.0400000000","USD","AWS Backup Storage","AWSBackup","EU (Stockholm)","AWS Region","US East (N. Virginia)","AWS Region","EUN1-USE1-CrossRegion-WarmBytes-VirtualMachine","DataTransfer",,"VMware",,"eu-north-1",,"AWS Backup","AWSBackup-DataTransfer",,"us-east-1","BackupVault"
"2A5THVDD3JDZXM68","JRTCKXETXF","2A5THVDD3JDZXM68.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.02 per GB for restore from warm backup storage for EFS","2025-05-01","0","Inf","GB","0.0200000000","USD","AWS Backup Restore Data Size EFS","AWSBackup","US East (N. Virginia)","AWS Region",,,"USE1-Restore-WarmBytes-EFS","RestoreRecoveryPoint",,,,"us-east-1",,"AWS Backup",,"Warm",,
"2AN3WKDPANJXKNJ6","JRTCKXETXF","2AN3WKDPANJXKNJ6.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD 0.085 per GB for data transfer from logically air-gapped vault for Aurora to US East (N. Virginia)","2025-05-01","0","Inf","GB","0.0850000000","USD","AWS Backup Storage","AWSBackup","Middle East (UAE)","AWS Region","US East (N. Virginia)","AWS Region","MEC1-USE1-CrossRegion-WarmBytes-Aurora","DataTransfer",,"Aurora",,"me-central-1",,"AWS Backup","AWSBackup-DataTransfer",,"us-east-1","LAGVault"
"2APWCNK7YDD6FVNK","JRTCKXETXF","2APWCNK7YDD6FVNK.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD 0.02 per GB for cross-Region backup data transfer for S3 to AWS GovCloud (US-East)","2025-05-01","0","Inf","GB","0.0200000000","USD","AWS Backup Storage","AWSBackup","US East (N. Virginia)","AWS Region","AWS GovCloud (US-East)","AWS Region","USE1-UGE1-CrossRegion-WarmBytes-S3","DataTransfer",,"S3",,"us-east-1",,"AWS Backup","AWSBackup-DataTransfer",,"us-gov-east-1","BackupVault"
"2BQ6N7RXVARWUEF5","JRTCKXETXF","2BQ6N7RXVARWUEF5.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD 0.08 per GB for cross-Region backup data transfer for DynamoDB to US East (N. Virginia)","2025-05-01","0","Inf","GB","0.0800000000","USD","AWS Backup Storage","AWSBackup","Asia Pacific (Malaysia)","AWS Region","US East (N. Virginia)","AWS Region","APS7-USE1-CrossRegion-WarmBytes-DynamoDB","DataTransfer",,"DDB",,"ap-southeast-5",,"AWS Backup","AWSBackup-DataTransfer",,"us-east-1","BackupVault"
