"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2025-04-15T23:22:47Z"
"Version","20250415232247"
"OfferCode","AWSConfig"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Location","Location Type","usageType","operation","Category","CI Type","PlatoPricingType","Region Code","serviceName","Type"
"4GVEDVBBU2JFD7QJ","JRTCKXETXF","4GVEDVBBU2JFD7QJ.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.003 per Custom Configuration Item recorded in US East (N.Virginia) region","2025-04-01","0","Inf","ConfigurationItemRecorded","0.0030000000","USD","Management Tools - AWS Config","AWSConfig","US East (N. Virginia)","AWS Region","USE1-CustomConfigItemRecorded","",,"Custom","CustomConfigItemRecorded","us-east-1","AWS Config",
"9QFXD53PPEYGFB7P","JRTCKXETXF","9QFXD53PPEYGFB7P.JRTCKXETXF.NADQ2ZJX8V","OnDemand","$0.001 for the first 100,000 evaluations in  US East (N.Virginia) region","2025-04-01","0","100000","ConfigRuleEvaluations","0.0010000000","USD","Management Tools - AWS Config Rules","AWSConfig","US East (N. Virginia)","AWS Region","USE1-ConfigRuleEvaluations","","ConfigRuleEvaluation",,"ConfigRuleEvaluations","us-east-1","AWS Config",
"9QFXD53PPEYGFB7P","JRTCKXETXF","9QFXD53PPEYGFB7P.JRTCKXETXF.25RFZHS7D6","OnDemand","$0.0008 for the next 400,000 evaluations in  US East (N.Virginia) region","2025-04-01","100000","500000","ConfigRuleEvaluations","0.0008000000","USD","Management Tools - AWS Config Rules","AWSConfig","US East (N. Virginia)","AWS Region","USE1-ConfigRuleEvaluations","","ConfigRuleEvaluation",,"ConfigRuleEvaluations","us-east-1","AWS Config",
"9QFXD53PPEYGFB7P","JRTCKXETXF","9QFXD53PPEYGFB7P.JRTCKXETXF.4Q8N5BDBT4","OnDemand","$0.0005 for 500,001 evaluations and more  US East (N.Virginia) region","2025-04-01","500000","Inf","ConfigRuleEvaluations","0.0005000000","USD","Management Tools - AWS Config Rules","AWSConfig","US East (N. Virginia)","AWS Region","USE1-ConfigRuleEvaluations","","ConfigRuleEvaluation",,"ConfigRuleEvaluations","us-east-1","AWS Config",
"CAB97RH6TZPC2PQJ","JRTCKXETXF","CAB97RH6TZPC2PQJ.JRTCKXETXF.NADQ2ZJX8V","OnDemand","$0.001 per ProactiveConfigRuleEvaluations for ProactiveConfigRuleEvaluations in US East (N. Virginia)","2025-04-01","0","100000","ProactiveConfigRuleEvaluations","0.0010000000","USD","Management Tools - AWS Config Rules","AWSConfig","US East (N. Virginia)","AWS Region","USE1-ProactiveConfigRuleEvaluations","","ProactiveConfigRuleEvaluation",,"ProactiveConfigRuleEvaluations","us-east-1","AWS Config",
"CAB97RH6TZPC2PQJ","JRTCKXETXF","CAB97RH6TZPC2PQJ.JRTCKXETXF.25RFZHS7D6","OnDemand","$0.0008 per ProactiveConfigRuleEvaluations for ProactiveConfigRuleEvaluations in US East (N. Virginia)","2025-04-01","100000","500000","ProactiveConfigRuleEvaluations","0.0008000000","USD","Management Tools - AWS Config Rules","AWSConfig","US East (N. Virginia)","AWS Region","USE1-ProactiveConfigRuleEvaluations","","ProactiveConfigRuleEvaluation",,"ProactiveConfigRuleEvaluations","us-east-1","AWS Config",
"CAB97RH6TZPC2PQJ","JRTCKXETXF","CAB97RH6TZPC2PQJ.JRTCKXETXF.4Q8N5BDBT4","OnDemand","$0.0005 per ProactiveConfigRuleEvaluations for ProactiveConfigRuleEvaluations in US East (N. Virginia)","2025-04-01","500000","Inf","ProactiveConfigRuleEvaluations","0.0005000000","USD","Management Tools - AWS Config Rules","AWSConfig","US East (N. Virginia)","AWS Region","USE1-ProactiveConfigRuleEvaluations","","ProactiveConfigRuleEvaluation",,"ProactiveConfigRuleEvaluations","us-east-1","AWS Config",
"EC97QC3APYWMF3XY","JRTCKXETXF","EC97QC3APYWMF3XY.JRTCKXETXF.NADQ2ZJX8V","OnDemand","$0.001 for the first 100,000 Conformance pack evaluations in  US East (N.Virginia) region","2025-04-01","0","100000","ConformancePackEvaluations","0.0010000000","USD","Management Tools - AWS Config Conformance Packs","AWSConfig","US East (N. Virginia)","AWS Region","USE1-ConformancePackEvaluations","",,,"ConformancePackEvaluations","us-east-1","AWS Config","ConformancePacks"
"EC97QC3APYWMF3XY","JRTCKXETXF","EC97QC3APYWMF3XY.JRTCKXETXF.25RFZHS7D6","OnDemand","$0.0008 for the next 400,000 Conformance pack evaluations in  US East (N.Virginia) region","2025-04-01","100000","500000","ConformancePackEvaluations","0.0008000000","USD","Management Tools - AWS Config Conformance Packs","AWSConfig","US East (N. Virginia)","AWS Region","USE1-ConformancePackEvaluations","",,,"ConformancePackEvaluations","us-east-1","AWS Config","ConformancePacks"
"EC97QC3APYWMF3XY","JRTCKXETXF","EC97QC3APYWMF3XY.JRTCKXETXF.4Q8N5BDBT4","OnDemand","$0.0005 for 500,001 Conformance pack evaluations and more  US East (N.Virginia) region","2025-04-01","500000","Inf","ConformancePackEvaluations","0.0005000000","USD","Management Tools - AWS Config Conformance Packs","AWSConfig","US East (N. Virginia)","AWS Region","USE1-ConformancePackEvaluations","",,,"ConformancePackEvaluations","us-east-1","AWS Config","ConformancePacks"
"FNDDQPQRK6JD6CWA","JRTCKXETXF","FNDDQPQRK6JD6CWA.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.0 per ProactiveConfigRuleEvalDetEnabled in US East (N. Virginia)","2025-04-01","0","Inf","ProactiveConfigRuleEvalDetEnabled","0.0000000000","USD","Management Tools - AWS Config Rules","AWSConfig","US East (N. Virginia)","AWS Region","USE1-ProactiveConfigRuleEvaluationsDetectiveEnabled","","ProactiveConfigRuleEvaluationsDetectiveEnabled",,"ProactiveConfigRuleEvaluationsDetectiveEnabled","us-east-1","AWS Config",
"J29KD2787RGQNXMX","JRTCKXETXF","J29KD2787RGQNXMX.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.003 per Configuration Item recorded in US East (N.Virginia) region","2025-04-01","0","Inf","ConfigurationItemRecorded","0.0030000000","USD","Management Tools - AWS Config","AWSConfig","US East (N. Virginia)","AWS Region","ConfigurationItemRecorded","",,"Core","ConfigurationItemRecorded","us-east-1","AWS Config",
