"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2025-02-17T19:49:44Z"
"Version","20250217194944"
"OfferCode","AWSElementalMediaConvert"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Description","Location","Location Type","usageType","operation","AddOn Feature","MinuteState","Region Code","serviceName","Tier","Transcoding Result","Video Codec","Video Frame Rate","Video Quality Setting","Video Resolution"
"24ZRW6B4NQYGZV4N","JRTCKXETXF","24ZRW6B4NQYGZV4N.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.04536/min - US East (N. Virginia) - SD, VP8, >30 fps and <=60 fps, Pro Tier","2025-02-01","0","Inf","minutes","0.0453600000","USD","Transcode minute","AWSElementalMediaConvert",,"US East (N. Virginia)","AWS Region","IAD-P-VP8-SD-MHQ-60","",,"Untransformed","us-east-1","AWS Elemental MediaConvert","Professional","Success","VP8",">30 fps and <=60 fps","Multi-pass HQ","SD"
"2RG92746EWWY787M","JRTCKXETXF","2RG92746EWWY787M.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.5145/min - US East (N. Virginia) - 4K, AVC-Intra, >30 fps and <=60 fps, Multi-pass, Pro Tier","2025-02-01","0","Inf","minutes","0.5145000000","USD","Transcode minute","AWSElementalMediaConvert",,"US East (N. Virginia)","AWS Region","IAD-P-AVCI-4K-M-60","",,"Untransformed","us-east-1","AWS Elemental MediaConvert","Professional","Success","AVC-Intra",">30 fps and <=60 fps","Multi-pass","4K"
"2W33Q2B4AGFA88EJ","JRTCKXETXF","2W33Q2B4AGFA88EJ.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.3/min - US East (N. Virginia) - FrameFormer HD","2025-02-01","0","Inf","minutes","0.3000000000","USD","Transcode minute","AWSElementalMediaConvert",,"US East (N. Virginia)","AWS Region","IAD-FRAMEFORMER-HD","","FrameFormer HD","Untransformed","us-east-1","AWS Elemental MediaConvert","Add-On","Success",,,,
"2Y4HQUKZGQXN2WBC","JRTCKXETXF","2Y4HQUKZGQXN2WBC.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.0225/min - US East (N. Virginia) - HD, AVC/H.264, >60 fps and <=120 fps, Single pass HQ, Basic Tier","2025-02-01","0","Inf","minutes","0.0225000000","USD","Transcode minute","AWSElementalMediaConvert",,"US East (N. Virginia)","AWS Region","IAD-B-AVC-HD-SHQ-120","",,"Untransformed","us-east-1","AWS Elemental MediaConvert","Basic","Success","AVC/H.264",">60 fps and <=120 fps","Single pass HQ","HD"
"39CPSY9FHFJT5NPE","JRTCKXETXF","39CPSY9FHFJT5NPE.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.294/min - US East (N. Virginia) - 4K, XAVC, <=30 fps, Multi-pass HQ, Pro Tier","2025-02-01","0","Inf","minutes","0.2940000000","USD","Transcode minute","AWSElementalMediaConvert",,"US East (N. Virginia)","AWS Region","IAD-P-XAVC-4K-MHQ-30","",,"Untransformed","us-east-1","AWS Elemental MediaConvert","Professional","Success","XAVC","<=30 fps","Multi-pass HQ","4K"
"3A3SAW6A8NTR77XF","JRTCKXETXF","3A3SAW6A8NTR77XF.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.1512/min - US East (N. Virginia) - 4K, VP8, >30 fps and <=60 fps, Pro Tier","2025-02-01","0","Inf","minutes","0.1512000000","USD","Transcode minute","AWSElementalMediaConvert",,"US East (N. Virginia)","AWS Region","IAD-P-VP8-4K-M-60","",,"Untransformed","us-east-1","AWS Elemental MediaConvert","Professional","Success","VP8",">30 fps and <=60 fps","Multi-pass","4K"
"3RA9URHCS37S62ZS","JRTCKXETXF","3RA9URHCS37S62ZS.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.027/min - US East (N. Virginia) - HD, VP8, <=30 fps, Basic Tier","2025-02-01","0","Inf","minutes","0.0270000000","USD","Transcode minute","AWSElementalMediaConvert",,"US East (N. Virginia)","AWS Region","IAD-B-VP8-HD-M-30","",,"Untransformed","us-east-1","AWS Elemental MediaConvert","Basic","Success","VP8","<=30 fps","Multi-pass","HD"
"3TCXC6WFNYM4Y433","JRTCKXETXF","3TCXC6WFNYM4Y433.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.036/min - US East (N. Virginia) - HD, AVC/H.264, >60 fps and <=120 fps, Single pass, Pro Tier","2025-02-01","0","Inf","minutes","0.0360000000","USD","Transcode minute","AWSElementalMediaConvert",,"US East (N. Virginia)","AWS Region","IAD-P-AVC-HD-S-120","",,"Untransformed","us-east-1","AWS Elemental MediaConvert","Professional","Success","AVC/H.264",">60 fps and <=120 fps","Single pass","HD"
"3UJNXYWWQUVCAR97","JRTCKXETXF","3UJNXYWWQUVCAR97.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.048/min - US East (N. Virginia) - 4K, MPEG2, <=30 fps, Single pass, Pro Tier","2025-02-01","0","Inf","minutes","0.0480000000","USD","Transcode minute","AWSElementalMediaConvert",,"US East (N. Virginia)","AWS Region","IAD-P-MP2-4K-S-30","",,"Untransformed","us-east-1","AWS Elemental MediaConvert","Professional","Success","MPEG2","<=30 fps","Single pass","4K"
"3YQAAASRSQK29E6T","JRTCKXETXF","3YQAAASRSQK29E6T.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.384/min - US East (N. Virginia) - 8K, HEVC/H.265, <=30 fps, Single pass, Pro Tier","2025-02-01","0","Inf","minutes","0.3840000000","USD","Transcode minute","AWSElementalMediaConvert",,"US East (N. Virginia)","AWS Region","IAD-P-HEVC-8K-S-30","",,"Untransformed","us-east-1","AWS Elemental MediaConvert","Professional","Success","HEVC/H.265","<=30 fps","Single pass","8K"
