"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2022-02-04T18:41:10Z"
"Version","20220204184110"
"OfferCode","AWSElementalMediaStore"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Description","Location","Location Type","Availability","usageType","operation","Durability","Ingest Type","Region Code","serviceName","StorageClass"
"3EKVU9JKV52E2J55","JRTCKXETXF","3EKVU9JKV52E2J55.JRTCKXETXF.6YS6EN2CT7","OnDemand","PUT Requests $0.0050 Per 1,000","2020-04-01","0","Inf","Requests","0.0000050000","USD","API Request","AWSElementalMediaStore","Put Request Stream Ephemeral","US East (N. Virginia)","AWS Region","99.9","USE1-APIRequest-PutSEphemeral","PutObjectStream","","","us-east-1","AWS Elemental MediaStore",""
"78BPSZ3VW4AA2XZT","JRTCKXETXF","78BPSZ3VW4AA2XZT.JRTCKXETXF.6YS6EN2CT7","OnDemand","Ingest Optimization $0.0200 Per GB","2020-04-01","0","Inf","GB","0.0200000000","USD","Fee","AWSElementalMediaStore","Ingest Optimization","US East (N. Virginia)","AWS Region","99.9","USE1-Ingest-Optimized-Bytes","PutObjectTemporal","","Standard","us-east-1","AWS Elemental MediaStore",""
"8W5CYPPRPBFHJQQQ","JRTCKXETXF","8W5CYPPRPBFHJQQQ.JRTCKXETXF.6YS6EN2CT7","OnDemand","PUT Requests $0.0050 Per 1,000","2020-04-01","0","Inf","Requests","0.0000050000","USD","API Request","AWSElementalMediaStore","Put Request Ephemeral","US East (N. Virginia)","AWS Region","99.9","USE1-APIRequest-PutTEphemeral","PutObjectTemporal","","","us-east-1","AWS Elemental MediaStore",""
"9W9R927MM7YRMWZH","JRTCKXETXF","9W9R927MM7YRMWZH.JRTCKXETXF.6YS6EN2CT7","OnDemand","Ingest Optimization $0.0200 Per GB","2020-04-01","0","Inf","GB","0.0200000000","USD","Fee","AWSElementalMediaStore","","US East (N. Virginia)","AWS Region","99.9","USE1-Ingest-Ephemeral-Bytes","PutObjectStream","","Streaming Ephemeral","us-east-1","AWS Elemental MediaStore",""
"BZU64M4PVNF7YMVV","JRTCKXETXF","BZU64M4PVNF7YMVV.JRTCKXETXF.6YS6EN2CT7","OnDemand","Infrequent Access Data Retrievals $0.01 Per GB","2020-04-01","0","Inf","GB","0.0100000000","USD","Fee","AWSElementalMediaStore","","US East (N. Virginia)","AWS Region","99.9","USE1-Egress-IA-Bytes","GetObject","","Egress IA","us-east-1","AWS Elemental MediaStore",""
"CPFMMRTRSFWEDBFD","JRTCKXETXF","CPFMMRTRSFWEDBFD.JRTCKXETXF.6YS6EN2CT7","OnDemand","PUT Requests $0.0050 Per 1,000","2020-04-01","0","Inf","Count","0.0000050000","USD","API Request","AWSElementalMediaStore","PUT Request","US East (N. Virginia)","AWS Region","99.9","USE1-APIRequest-PutTemporal","PutObjectTemporal","","","us-east-1","AWS Elemental MediaStore",""
"CYEK446VSQU725QJ","JRTCKXETXF","CYEK446VSQU725QJ.JRTCKXETXF.6YS6EN2CT7","OnDemand","Infrequent Access DELETE Requests $0.01 Per 1,000","2020-04-01","0","Inf","Requests","0.0000100000","USD","API Request","AWSElementalMediaStore","DELETE IA Request","US East (N. Virginia)","AWS Region","99.9","USE1-APIRequest-DeleteIA","DeleteObject","","","us-east-1","AWS Elemental MediaStore",""
"DSB2G4VH6F2VRUAE","JRTCKXETXF","DSB2G4VH6F2VRUAE.JRTCKXETXF.6YS6EN2CT7","OnDemand","Infrequent Access Lifecycle Transition Requests $0.01 Per 1,000","2020-04-01","0","Inf","Requests","0.0000100000","USD","API Request","AWSElementalMediaStore","Lifecycle Transition","US East (N. Virginia)","AWS Region","99.9","USE1-Storage-IATransition","","","","us-east-1","AWS Elemental MediaStore",""
"FGWYKK54QUCW8MZ4","JRTCKXETXF","FGWYKK54QUCW8MZ4.JRTCKXETXF.6YS6EN2CT7","OnDemand","Infrequent Access Storage $0.0125 Per GB-Month","2020-04-01","0","Inf","GB-months","0.0125000000","USD","Storage","AWSElementalMediaStore","Storage","US East (N. Virginia)","AWS Region","99.9","USE1-Storage-S3IA","","99.999999999","","us-east-1","AWS Elemental MediaStore","Infrequent Access"
"GVN4U65KVC2PMCUK","JRTCKXETXF","GVN4U65KVC2PMCUK.JRTCKXETXF.6YS6EN2CT7","OnDemand","PUT Requests $0.0050 Per 1,000","2020-04-01","0","Inf","Requests","0.0000050000","USD","API Request","AWSElementalMediaStore","PUT Request Stream","US East (N. Virginia)","AWS Region","99.9","USE1-APIRequest-PutStream","PutObjectStream","","","us-east-1","AWS Elemental MediaStore",""
"H6F7Y3CPP2EMZ955","JRTCKXETXF","H6F7Y3CPP2EMZ955.JRTCKXETXF.6YS6EN2CT7","OnDemand","DELETE Requests $0.0050 Per 1,000","2020-04-01","0","Inf","Count","0.0000050000","USD","API Request","AWSElementalMediaStore","DELETE Request","US East (N. Virginia)","AWS Region","99.9","USE1-APIRequest-DeleteObject","DeleteObject","","","us-east-1","AWS Elemental MediaStore",""
"H7ERHFD8H6Y6A5A2","JRTCKXETXF","H7ERHFD8H6Y6A5A2.JRTCKXETXF.6YS6EN2CT7","OnDemand","DESCRIBE Requests $0.0040 Per 10,000","2020-04-01","0","Inf","Count","0.0000004000","USD","API Request","AWSElementalMediaStore","DESCRIBE Request","US East (N. Virginia)","AWS Region","99.9","USE1-APIRequest-DescribeObject","DescribeObject","","","us-east-1","AWS Elemental MediaStore",""
"HUGWWZUKMZ9M573N","JRTCKXETXF","HUGWWZUKMZ9M573N.JRTCKXETXF.6YS6EN2CT7","OnDemand","Storage $0.0230 Per GB-Month","2020-04-01","0","Inf","GB-month","0.0230000000","USD","Storage","AWSElementalMediaStore","Storage","US East (N. Virginia)","AWS Region","99.9","USE1-Storage-S3","","99.999999999","","us-east-1","AWS Elemental MediaStore","Standard"
"JHQNW8YTEWYP9M7G","JRTCKXETXF","JHQNW8YTEWYP9M7G.JRTCKXETXF.6YS6EN2CT7","OnDemand","Infrequent Access GET Requests $0.01 Per 10,000","2020-04-01","0","Inf","Requests","0.0000010000","USD","API Request","AWSElementalMediaStore","GET IA Request","US East (N. Virginia)","AWS Region","99.9","USE1-APIRequest-GetIA","GetObject","","","us-east-1","AWS Elemental MediaStore",""
