"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2025-04-16T23:51:21Z"
"Version","20250416235121"
"OfferCode","AWSEndUserMessaging3pFees"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Location","Location Type","usageType","operation","Conversation Type","ISO","Message Fee","Message Type","Region Code","serviceName"
"22VJC2HGTC2VJSM7","JRTCKXETXF","22VJC2HGTC2VJSM7.JRTCKXETXF.6YS6EN2CT7","OnDemand","Total WhatsApp Conversation fees sent to Kiribati using Service template","2025-04-01","0","Inf","Messages","0.0000000000","USD","AWSMobile-AmazonPinpoint","AWSEndUserMessaging3pFees","US East (N. Virginia)","AWS Region","USE1-WhatsApp-KI-ConversationFee-Service","","Service","KI","ConversationFee","WhatsApp","us-east-1","AWS End User Messaging Third Party Fees"
"23DAA77NC8BH3FTU","JRTCKXETXF","23DAA77NC8BH3FTU.JRTCKXETXF.6YS6EN2CT7","OnDemand","Total WhatsApp Conversation fees sent to Cameroon using Utility template","2025-04-01","0","Inf","Messages","0.0040000000","USD","AWSMobile-AmazonPinpoint","AWSEndUserMessaging3pFees","US East (N. Virginia)","AWS Region","USE1-WhatsApp-CM-ConversationFee-Utility","","Utility","CM","ConversationFee","WhatsApp","us-east-1","AWS End User Messaging Third Party Fees"
"23U4WNGHMZZDAHX2","JRTCKXETXF","23U4WNGHMZZDAHX2.JRTCKXETXF.6YS6EN2CT7","OnDemand","Total WhatsApp Conversation fees sent to Brunei Darussalam using Service template","2025-04-01","0","Inf","Messages","0.0000000000","USD","AWSMobile-AmazonPinpoint","AWSEndUserMessaging3pFees","US East (N. Virginia)","AWS Region","USE1-WhatsApp-BN-ConversationFee-Service","","Service","BN","ConversationFee","WhatsApp","us-east-1","AWS End User Messaging Third Party Fees"
"23VKQC9MFQT7R7S7","JRTCKXETXF","23VKQC9MFQT7R7S7.JRTCKXETXF.6YS6EN2CT7","OnDemand","Total WhatsApp Conversation fees sent to Turks and Caicos Islands using Service template","2025-04-01","0","Inf","Messages","0.0000000000","USD","AWSMobile-AmazonPinpoint","AWSEndUserMessaging3pFees","US East (N. Virginia)","AWS Region","USE1-WhatsApp-TC-ConversationFee-Service","","Service","TC","ConversationFee","WhatsApp","us-east-1","AWS End User Messaging Third Party Fees"
"24CPRRVG9YTZSJ82","JRTCKXETXF","24CPRRVG9YTZSJ82.JRTCKXETXF.6YS6EN2CT7","OnDemand","Total WhatsApp Conversation fees sent to Saint Lucia using Authentication template","2025-04-01","0","Inf","Messages","0.0304000000","USD","AWSMobile-AmazonPinpoint","AWSEndUserMessaging3pFees","US East (N. Virginia)","AWS Region","USE1-WhatsApp-LC-ConversationFee-Authentication","","Authentication","LC","ConversationFee","WhatsApp","us-east-1","AWS End User Messaging Third Party Fees"
"26FK46NM3TV7EERR","JRTCKXETXF","26FK46NM3TV7EERR.JRTCKXETXF.6YS6EN2CT7","OnDemand","Total WhatsApp Conversation fees sent to Kuwait using Utility template","2025-04-01","0","Inf","Messages","0.0157000000","USD","AWSMobile-AmazonPinpoint","AWSEndUserMessaging3pFees","US East (N. Virginia)","AWS Region","USE1-WhatsApp-KW-ConversationFee-Utility","","Utility","KW","ConversationFee","WhatsApp","us-east-1","AWS End User Messaging Third Party Fees"
"26YG3T246J8T4JF3","JRTCKXETXF","26YG3T246J8T4JF3.JRTCKXETXF.6YS6EN2CT7","OnDemand","Total WhatsApp Conversation fees sent to Oman using Marketing template","2025-04-01","0","Inf","Messages","0.0341000000","USD","AWSMobile-AmazonPinpoint","AWSEndUserMessaging3pFees","US East (N. Virginia)","AWS Region","USE1-WhatsApp-OM-ConversationFee-Marketing","","Marketing","OM","ConversationFee","WhatsApp","us-east-1","AWS End User Messaging Third Party Fees"
"26ZK523WD7CBN8TX","JRTCKXETXF","26ZK523WD7CBN8TX.JRTCKXETXF.6YS6EN2CT7","OnDemand","Total WhatsApp Conversation fees sent to Ghana using Utility template","2025-04-01","0","Inf","Messages","0.0040000000","USD","AWSMobile-AmazonPinpoint","AWSEndUserMessaging3pFees","US East (N. Virginia)","AWS Region","USE1-WhatsApp-GH-ConversationFee-Utility","","Utility","GH","ConversationFee","WhatsApp","us-east-1","AWS End User Messaging Third Party Fees"
"2783KU2T3V58U997","JRTCKXETXF","2783KU2T3V58U997.JRTCKXETXF.6YS6EN2CT7","OnDemand","Total WhatsApp Conversation fees sent to Malta using Utility template","2025-04-01","0","Inf","Messages","0.0077000000","USD","AWSMobile-AmazonPinpoint","AWSEndUserMessaging3pFees","US East (N. Virginia)","AWS Region","USE1-WhatsApp-MT-ConversationFee-Utility","","Utility","MT","ConversationFee","WhatsApp","us-east-1","AWS End User Messaging Third Party Fees"
"27M4M8UYU2TBHK6E","JRTCKXETXF","27M4M8UYU2TBHK6E.JRTCKXETXF.6YS6EN2CT7","OnDemand","Total WhatsApp Conversation fees sent to Dominica using Authentication template","2025-04-01","0","Inf","Messages","0.0304000000","USD","AWSMobile-AmazonPinpoint","AWSEndUserMessaging3pFees","US East (N. Virginia)","AWS Region","USE1-WhatsApp-DM-ConversationFee-Authentication","","Authentication","DM","ConversationFee","WhatsApp","us-east-1","AWS End User Messaging Third Party Fees"
