"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2025-03-17T23:36:42Z"
"Version","20250317233642"
"OfferCode","AWSEvents"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","RelatedTo","Product Family","serviceCode","Location","Location Type","usageType","operation","Event Type","Invocation","Region Code","Request","serviceName","Time Window"
"6H9SRM43TQBBKZ7W","A429C66SYZ","6H9SRM43TQBBKZ7W.A429C66SYZ.4GGFUHBAHK","OnDemand","$0 for the first 5 million ingested events for schema discovery","2025-03-01","0","5000000","8K-Chunks","0.0000000000","USD",,"EventBridge","AWSEvents","Any","AWS Region","Global-Event-8K-Chunks","DiscoveryEvent","Discovery Event",,"",,"CloudWatch Events",
"7E7YZYCWJXMZJ6HZ","JRTCKXETXF","7E7YZYCWJXMZJ6HZ.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.20 per million invocations of API Destinations in US East (N. Virginia)","2025-03-01","0","Inf","64K-Chunks","0.0000002000","USD",,"CloudWatch Events","AWSEvents","US East (N. Virginia)","AWS Region","USE1-Invocation-64K-Chunks","InvokeApiDestination","APIDestination",,"us-east-1",,"CloudWatch Events",
"8B7RJEAZYT9BJB6W","JRTCKXETXF","8B7RJEAZYT9BJB6W.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.10 per GB for ArchivedEvents-Bytes:ArchiveEvents in US East (N. Virginia)","2025-03-01","0","Inf","GigaBytes","0.1000000000","USD",,"CloudWatch Events","AWSEvents","US East (N. Virginia)","AWS Region","USE1-ArchivedEvents-Bytes","ArchiveEvents","Archive Event",,"us-east-1",,"CloudWatch Events",
"B5Y3GSGUTSZQFJ2V","JRTCKXETXF","B5Y3GSGUTSZQFJ2V.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.05 per million cross-account invocations with partner events in US East (N. Virginia)","2025-03-01","0","Inf","64K-Chunks","0.0000000500","USD",,"EventBridge","AWSEvents","US East (N. Virginia)","AWS Region","USE1-Invocation-64K-Chunks","CrossAccountInvoke-PartnerEvent","Cross-Account Partner Event",,"us-east-1",,"CloudWatch Events",
"G9N6Q8SM6KXUN6CW","JRTCKXETXF","G9N6Q8SM6KXUN6CW.JRTCKXETXF.6YS6EN2CT7","OnDemand","$1.00 per million cross-account invocations with AWS management events in US East (N. Virginia)","2025-03-01","0","Inf","64K-Chunks","0.0000010000","USD",,"EventBridge","AWSEvents","US East (N. Virginia)","AWS Region","USE1-Invocation-64K-Chunks","CrossAccountInvoke-AWSEvent","Cross-Account AWS Event",,"us-east-1",,"CloudWatch Events",
"JZ3V56NNG67MV8ZS","JRTCKXETXF","JZ3V56NNG67MV8ZS.JRTCKXETXF.6YS6EN2CT7","OnDemand","$1.00 per million EventBridge partner events received in US East (N. Virginia)","2025-03-01","0","Inf","64K-Chunks","0.0000010000","USD",,"EventBridge","AWSEvents","US East (N. Virginia)","AWS Region","USE1-Event-64K-Chunks","ReceivedPartnerEvents","Partner Event",,"us-east-1",,"CloudWatch Events",
"KY5XTGQ8R4W34N4N","JRTCKXETXF","KY5XTGQ8R4W34N4N.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.023 per GB-Mo for TimedStorage-ByteHrs:StandardStorage in US East (N. Virginia)","2025-03-01","0","Inf","GB-Mo","0.0230000000","USD",,"CloudWatch Events","AWSEvents","US East (N. Virginia)","AWS Region","USE1-TimedStorage-ByteHrs","StandardStorage","Event Storage",,"us-east-1",,"CloudWatch Events",
"MKQMR5SSECH5XXWF","JRTCKXETXF","MKQMR5SSECH5XXWF.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.05 per million cross-account invocations with custom events in US East (N. Virginia)","2025-03-01","0","Inf","64K-Chunks","0.0000000500","USD",,"EventBridge","AWSEvents","US East (N. Virginia)","AWS Region","USE1-Invocation-64K-Chunks","CrossAccountInvoke-CustomEvent","Cross-Account Custom Event",,"us-east-1",,"CloudWatch Events",
"MVXFNWUM8TG65RY8","JRTCKXETXF","MVXFNWUM8TG65RY8.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.10 per million ingested events for schema discovery in US East (N. Virginia)","2025-03-01","0","Inf","8K-Chunks","0.0000001000","USD","6H9SRM43TQBBKZ7W","EventBridge","AWSEvents","US East (N. Virginia)","AWS Region","USE1-Event-8K-Chunks","DiscoveryEvent","Discovery Event",,"us-east-1",,"CloudWatch Events",
"RMWVTEAT29GJMR56","JRTCKXETXF","RMWVTEAT29GJMR56.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.40 per million Pipes requests in US East (N. Virginia)","2025-03-01","0","Inf","64K-Chunks","0.0000004000","USD",,"EventBridge","AWSEvents","US East (N. Virginia)","AWS Region","USE1-Request-64K-Chunks","PipeRequest",,,"us-east-1","Pipe Request","CloudWatch Events",
"UYXR5PNB8BYSVPGV","JRTCKXETXF","UYXR5PNB8BYSVPGV.JRTCKXETXF.W2M3TYBKHH","OnDemand","$0 for the first 14 million scheduled invocations","2025-03-01","0","14000000","Invocations","0.0000000000","USD",,"EventBridge","AWSEvents","US East (N. Virginia)","AWS Region","USE1-ScheduledInvocation","Invocation",,"Scheduled Invocation","us-east-1",,"CloudWatch Events","N/A"
"UYXR5PNB8BYSVPGV","JRTCKXETXF","UYXR5PNB8BYSVPGV.JRTCKXETXF.AGTZK4FFDN","OnDemand","$1.00 per million scheduled invocations in US East (N. Virginia)","2025-03-01","14000000","Inf","Invocations","0.0000010000","USD",,"EventBridge","AWSEvents","US East (N. Virginia)","AWS Region","USE1-ScheduledInvocation","Invocation",,"Scheduled Invocation","us-east-1",,"CloudWatch Events","N/A"
"ZA92ERYNKX457AJD","JRTCKXETXF","ZA92ERYNKX457AJD.JRTCKXETXF.6YS6EN2CT7","OnDemand","$1.00 per million EventBridge custom events received in US East (N. Virginia)","2025-03-01","0","Inf","64K-Chunks","0.0000010000","USD",,"EventBridge","AWSEvents","US East (N. Virginia)","AWS Region","USE1-Event-64K-Chunks","PutEvents","Custom Event",,"us-east-1",,"CloudWatch Events",
