"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2025-03-07T22:34:15Z"
"Version","20250307223415"
"OfferCode","AWSFMS"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Location","Location Type","usageType","operation","AWSResource","PlatoProtectionPolicyType","Region Code","serviceName"
"2PFKPEB2GEC756WD","JRTCKXETXF","2PFKPEB2GEC756WD.JRTCKXETXF.6YS6EN2CT7","OnDemand","$100.0 per Month for Policy-Security-Group:Usage-Audit in US East (N. Virginia)","2025-03-01","0","Inf","Month","100.0000000000","USD","Firewall Manager Policy","AWSFMS","US East (N. Virginia)","AWS Region","USE1-Policy-Security-Group","Usage-Audit","FMS-SG-UsageAudit","Policy-Security-Group","us-east-1","AWS Firewall Manager"
"4MNPJ64ADK3GSK5G","JRTCKXETXF","4MNPJ64ADK3GSK5G.JRTCKXETXF.6YS6EN2CT7","OnDemand","$100.0 per Month for Policy-Fortinet:Fortinet in US East (N. Virginia)","2025-03-01","0","Inf","Month","100.0000000000","USD","Firewall Manager Policy","AWSFMS","US East (N. Virginia)","AWS Region","USE1-Policy-Fortinet","Fortinet","FMS-Fortinet","Policy-Fortinet","us-east-1","AWS Firewall Manager"
"7TBPAGCECABT44CZ","JRTCKXETXF","7TBPAGCECABT44CZ.JRTCKXETXF.6YS6EN2CT7","OnDemand","$100 per Months for Policy-DNS-Firewall:DNS-Firewall in US East (N. Virginia)","2025-03-01","0","Inf","Months","100.0000000000","USD","Firewall Manager Policy","AWSFMS","US East (N. Virginia)","AWS Region","USE1-Policy-DNS-Firewall","DNS-Firewall","FMS-DNSFirewall","Policy-DNS-Firewall","us-east-1","AWS Firewall Manager"
"AJENM2ZYV73KQ23G","JRTCKXETXF","AJENM2ZYV73KQ23G.JRTCKXETXF.6YS6EN2CT7","OnDemand","$100.0 per Month for Policy-Network-ACL:Common in US East (N. Virginia)","2025-03-01","0","Inf","Month","100.0000000000","USD","Firewall Manager Policy","AWSFMS","US East (N. Virginia)","AWS Region","USE1-Policy-Network-Acl-Common","Network-Acl-Common","FMS-NACL-Common","Policy-NACL","us-east-1","AWS Firewall Manager"
"HXHJEDHXG8Z9QVW8","JRTCKXETXF","HXHJEDHXG8Z9QVW8.JRTCKXETXF.6YS6EN2CT7","OnDemand","$100.0 per Month for Policy-WAF:WAFv2 in US East (N. Virginia)","2025-03-01","0","Inf","Month","100.0000000000","USD","Firewall Manager Policy","AWSFMS","US East (N. Virginia)","AWS Region","USE1-Policy-WAF","WAFv2","FIrewallManagerPolicy","Policy-WAF","us-east-1","AWS Firewall Manager"
"J69HDZG8Y3SPAJC9","JRTCKXETXF","J69HDZG8Y3SPAJC9.JRTCKXETXF.6YS6EN2CT7","OnDemand","$100 per Month for Policy-Network-Firewall:Network-Firewall in US East (N. Virginia)","2025-03-01","0","Inf","Month","100.0000000000","USD","Firewall Manager Policy","AWSFMS","US East (N. Virginia)","AWS Region","USE1-Policy-Network-Firewall","Network-Firewall","FMS-Network-Firewall","Policy-Network-Firewall","us-east-1","AWS Firewall Manager"
"JCYUV2M8B8K3GXNY","JRTCKXETXF","JCYUV2M8B8K3GXNY.JRTCKXETXF.6YS6EN2CT7","OnDemand","Firewall Manager Policy in US East (N. Virginia)","2025-03-01","0","Inf","Month","100.0000000000","USD","Firewall Manager Policy","AWSFMS","US East (N. Virginia)","AWS Region","USE1-Policy","","ElasticLoadBalancing","Policy","us-east-1","AWS Firewall Manager"
"NA4XKS4BTAVRYFQW","JRTCKXETXF","NA4XKS4BTAVRYFQW.JRTCKXETXF.6YS6EN2CT7","OnDemand","$100.0 per Month for Policy-Import-Network-Firewall:Import-Network-Firewall in US East (N. Virginia)","2025-03-01","0","Inf","Month","100.0000000000","USD","Firewall Manager Policy","AWSFMS","US East (N. Virginia)","AWS Region","USE1-Policy-Import-Network-Firewall","Import-Network-Firewall","FMS-NFW-Import-Policy","Policy-Network-Firewall","us-east-1","AWS Firewall Manager"
"NAN9FR7JPMD8KZ2Q","JRTCKXETXF","NAN9FR7JPMD8KZ2Q.JRTCKXETXF.6YS6EN2CT7","OnDemand","$100.0 per Months for Policy-PaloAlto:PaloAlto in US East (N. Virginia)","2025-03-01","0","Inf","Months","100.0000000000","USD","Firewall Manager Policy","AWSFMS","US East (N. Virginia)","AWS Region","USE1-Policy-PaloAlto","PaloAlto","FMS-PaloAlto","Policy-PaloAlto","us-east-1","AWS Firewall Manager"
"S8DG464NHK7XGENE","JRTCKXETXF","S8DG464NHK7XGENE.JRTCKXETXF.6YS6EN2CT7","OnDemand","$100.0 per Month for Policy-Security-Group:Common in US East (N. Virginia)","2025-03-01","0","Inf","Month","100.0000000000","USD","Firewall Manager Policy","AWSFMS","US East (N. Virginia)","AWS Region","USE1-Policy-Security-Group","Common","FMS-SG-Common","Policy-Security-Group","us-east-1","AWS Firewall Manager"
