"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2025-03-07T23:47:20Z"
"Version","20250307234720"
"OfferCode","AWSGlue"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","RelatedTo","Product Family","serviceCode","Location","Location Type","Group","usageType","operation","Region Code","serviceName"
"4EUSN8K2EQ66HPHZ","JRTCKXETXF","4EUSN8K2EQ66HPHZ.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0 for AWS Glue DataBrew interactive sessions under free trial in US East (N. Virginia)","2025-03-01","0","Inf","Sessions","0.0000000000","USD",,"AWS Glue","AWSGlue","US East (N. Virginia)","AWS Region","Data Brew free interactive sessions","USE1-DBrew-FreeSessions","Session","us-east-1","AWS Glue"
"4N6K3A6GUPP28B3P","JRTCKXETXF","4N6K3A6GUPP28B3P.JRTCKXETXF.6YS6EN2CT7","OnDemand","$1 per session for AWS Glue DataBrew interactive sessions in US East (N. Virginia)","2025-03-01","0","Inf","Sessions","1.0000000000","USD",,"AWS Glue","AWSGlue","US East (N. Virginia)","AWS Region","Data Brew interactive sessions","USE1-DBrew-Sessions","Session","us-east-1","AWS Glue"
"7TBP5C45D3X75RCH","JRTCKXETXF","7TBP5C45D3X75RCH.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.44 per Data Processing Unit-Hour for AWS Glue crawler","2025-03-01","0","Inf","DPU-Hour","0.4400000000","USD",,"AWS Glue","AWSGlue","US East (N. Virginia)","AWS Region","Data catalog crawler run","USE1-Crawler-DPU-Hour","CrawlerRun","us-east-1","AWS Glue"
"92HECYVH6ADRNZD6","JRTCKXETXF","92HECYVH6ADRNZD6.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.44 per Data Processing Unit-Hour for optimizing Iceberg tables with compaction.","2025-03-01","0","Inf","DPU-Hour","0.4400000000","USD",,"AWS Glue","AWSGlue","US East (N. Virginia)","AWS Region","Data lake optimization job run","USE1-Optimization-DPU-Hour","OptimizationJobRun","us-east-1","AWS Glue"
"AHCYX2R7HSQ6HQ2H","JRTCKXETXF","AHCYX2R7HSQ6HQ2H.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.44 per Memory optimized Data Processing Unit-Hour for AWS Glue for Ray job","2025-03-01","0","Inf","M-DPU-Hour","0.4400000000","USD",,"AWS Glue","AWSGlue","US East (N. Virginia)","AWS Region","ETL Ray Job run","USE1-ETL-MemOptimized-DPU-Hour","Jobrun","us-east-1","AWS Glue"
"CW2STD52Z73SFDTA","JRTCKXETXF","CW2STD52Z73SFDTA.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.29 per Data Processing Unit-Hour for AWS Glue Flex ETL job","2025-03-01","0","Inf","DPU-Hour","0.2900000000","USD",,"AWS Glue","AWSGlue","US East (N. Virginia)","AWS Region","ETL Job run","USE1-ETL-Flex-DPU-Hour","FlexJobrun","us-east-1","AWS Glue"
"CXGYW3G8GS2SN9UG","JRTCKXETXF","CXGYW3G8GS2SN9UG.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.44 per Data Processing Unit-Hour for AWS Glue ETL job","2025-03-01","0","Inf","DPU-Hour","0.4400000000","USD",,"AWS Glue","AWSGlue","US East (N. Virginia)","AWS Region","ETL Job run","USE1-ETL-DPU-Hour","Jobrun","us-east-1","AWS Glue"
"GHMPJF3R3WNB27VE","JRTCKXETXF","GHMPJF3R3WNB27VE.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.44 per Memory optimized Data Processing Unit-Hour for AWS Glue for Ray interactive sessions and job notebooks","2025-03-01","0","Inf","M-DPU-Hour","0.4400000000","USD",,"AWS Glue","AWSGlue","US East (N. Virginia)","AWS Region","ETL Ray Interactive Session","USE1-GlueInteractiveSession-MemOptimized-DPU-Hour","GlueInteractiveSession","us-east-1","AWS Glue"
"H5SXAYMQH485TMM7","JRTCKXETXF","H5SXAYMQH485TMM7.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.44 per Data Processing Unit-Hour for AWS Glue development endpoints","2025-03-01","0","Inf","DPU-Hour","0.4400000000","USD",,"AWS Glue","AWSGlue","US East (N. Virginia)","AWS Region","ETL Development endpoint","USE1-DEVED-DPU-Hour","StartDevEndpoint","us-east-1","AWS Glue"
"KAS3XQMNVJMZG4A6","JRTCKXETXF","KAS3XQMNVJMZG4A6.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.44 per Data Processing Unit-Hour for AWS Glue interactive sessions and job notebooks","2025-03-01","0","Inf","DPU-Hour","0.4400000000","USD",,"AWS Glue","AWSGlue","US East (N. Virginia)","AWS Region","ETL Interactive Session","USE1-GlueInteractiveSession-DPU-Hour","GlueInteractiveSession","us-east-1","AWS Glue"
