"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2025-04-17T03:35:53Z"
"Version","20250417033553"
"OfferCode","AWSLambda"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","RelatedTo","Product Family","serviceCode","Location","Location Type","Group","Group Description","usageType","operation","Region Code","serviceName"
"3Z4YRQ6XJRDK27UP","JRTCKXETXF","3Z4YRQ6XJRDK27UP.JRTCKXETXF.6YS6EN2CT7","OnDemand","AWS Lambda - Total Compute (Provisioned) for ARM - US East (N. Virginia)","2025-04-01","0","Inf","Lambda-GB-Second","0.0000077778","USD",,"Serverless","AWSLambda","US East (N. Virginia)","AWS Region","AWS-Lambda-Duration-Provisioned-ARM","Invocation duration, during provisioned period, weighted by memory assigned to function, measured in GB-s for ARM","Lambda-Provisioned-GB-Second-ARM","","us-east-1","AWS Lambda"
"4VCGJ7EG8PJVZG7S","A429C66SYZ","4VCGJ7EG8PJVZG7S.A429C66SYZ.KJYPJPDD2A","OnDemand","AWS Lambda - Compute Free Tier - 400,000 GB-Seconds","2025-04-01","0","400000","seconds","0.0000000000","USD",,"Serverless","AWSLambda","Any","AWS Region","AWS-Lambda-Duration","Invocation duration weighted by memory assigned to function, measured in GB-s","Global-Lambda-GB-Second","","","AWS Lambda"
"72SBSFWPMDTH8S3J","JRTCKXETXF","72SBSFWPMDTH8S3J.JRTCKXETXF.6NBUNBXSC3","OnDemand","AWS Lambda - Total Compute for ARM - US East (Northern Virginia)-Tier-1","2025-04-01","0","7500000000","Lambda-GB-Second","0.0000133334","USD","4VCGJ7EG8PJVZG7S","Serverless","AWSLambda","US East (N. Virginia)","AWS Region","AWS-Lambda-Duration-ARM","Invocation duration weighted by memory assigned to function, measured in GB-s for ARM","Lambda-GB-Second-ARM","","us-east-1","AWS Lambda"
"72SBSFWPMDTH8S3J","JRTCKXETXF","72SBSFWPMDTH8S3J.JRTCKXETXF.6JGAYSJBNY","OnDemand","AWS Lambda - Total Compute for ARM - US East (Northern Virginia)-Tier-2","2025-04-01","7500000000","18750000000","Lambda-GB-Second","0.0000120001","USD","4VCGJ7EG8PJVZG7S","Serverless","AWSLambda","US East (N. Virginia)","AWS Region","AWS-Lambda-Duration-ARM","Invocation duration weighted by memory assigned to function, measured in GB-s for ARM","Lambda-GB-Second-ARM","","us-east-1","AWS Lambda"
"72SBSFWPMDTH8S3J","JRTCKXETXF","72SBSFWPMDTH8S3J.JRTCKXETXF.AVR3V96UTF","OnDemand","AWS Lambda - Total Compute for ARM - US East (Northern Virginia)-Tier-3","2025-04-01","18750000000","Inf","Lambda-GB-Second","0.0000106667","USD","4VCGJ7EG8PJVZG7S","Serverless","AWSLambda","US East (N. Virginia)","AWS Region","AWS-Lambda-Duration-ARM","Invocation duration weighted by memory assigned to function, measured in GB-s for ARM","Lambda-GB-Second-ARM","","us-east-1","AWS Lambda"
"BMKCD2ZCEYKTYYCB","JRTCKXETXF","BMKCD2ZCEYKTYYCB.JRTCKXETXF.6YS6EN2CT7","OnDemand","AWS Lambda - Provisioned Concurrency - US East (N. Virginia)","2025-04-01","0","Inf","Lambda-GB-Second","0.0000041667","USD",,"Serverless","AWSLambda","US East (N. Virginia)","AWS Region","AWS-Lambda-Provisioned-Concurrency","Concurrency weighted by memory assigned to function over the period for which it is provisioned, measured in GB-s","Lambda-Provisioned-Concurrency","","us-east-1","AWS Lambda"
"CH6HMM86MH4K8KCS","JRTCKXETXF","CH6HMM86MH4K8KCS.JRTCKXETXF.6YS6EN2CT7","OnDemand","AWS Lambda - Ephemeral Storage for ARM - US East (N. Virginia)","2025-04-01","0","Inf","GB-Seconds","0.0000000309","USD",,"Serverless","AWSLambda","US East (N. Virginia)","AWS Region","AWS-Lambda-Storage-Duration-ARM","Invocation duration weighted by ephemeral storage assigned to function, measured in GB-s for ARM","Lambda-Storage-GB-Second-ARM","","us-east-1","AWS Lambda"
"CVY5JH8RFRXMP92N","JRTCKXETXF","CVY5JH8RFRXMP92N.JRTCKXETXF.6YS6EN2CT7","OnDemand","AWS Lambda - Ephemeral Storage - US East (N. Virginia)","2025-04-01","0","Inf","GB-Seconds","0.0000000309","USD",,"Serverless","AWSLambda","US East (N. Virginia)","AWS Region","AWS-Lambda-Storage-Duration","Invocation duration weighted by ephemeral storage assigned to function, measured in GB-s","Lambda-Storage-GB-Second","","us-east-1","AWS Lambda"
"E9QEPQBP6HKCU5DW","JRTCKXETXF","E9QEPQBP6HKCU5DW.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.185 per Event-Poller-Unit-Hour for Lambda-Event-Poller-Unit-Hour in US East (N. Virginia)","2025-04-01","0","Inf","Event-Poller-Unit-Hours","0.1850000000","USD",,"Serverless","AWSLambda","US East (N. Virginia)","AWS Region","AWS-Lambda-Event-Poller-Unit-Duration","Duration weighted by Event Poller Units consumed by Provisioned mode for ESM, measured in Event-Poller-Unit-Hours","Lambda-Event-Poller-Unit-Hour","","us-east-1","AWS Lambda"
"GU2ZS9HVP6QTQ7KE","JRTCKXETXF","GU2ZS9HVP6QTQ7KE.JRTCKXETXF.6YS6EN2CT7","OnDemand","AWS Lambda - Total Requests - US East (Northern Virginia)","2025-04-01","0","Inf","Requests","0.0000002000","USD","ZQVCC2M69R4S79XS","Serverless","AWSLambda","US East (N. Virginia)","AWS Region","AWS-Lambda-Requests","Invocation call for a Lambda function","Request","","us-east-1","AWS Lambda"
"K7BX6567RJ67A2KE","JRTCKXETXF","K7BX6567RJ67A2KE.JRTCKXETXF.6YS6EN2CT7","OnDemand","AWS Lambda - Total Requests for ARM - US East (Northern Virginia)","2025-04-01","0","Inf","Requests","0.0000002000","USD","ZQVCC2M69R4S79XS","Serverless","AWSLambda","US East (N. Virginia)","AWS Region","AWS-Lambda-Requests-ARM","Invocation call for a Lambda function for ARM","Request-ARM","","us-east-1","AWS Lambda"
"MV7PTBS82AVCMXJJ","JRTCKXETXF","MV7PTBS82AVCMXJJ.JRTCKXETXF.6YS6EN2CT7","OnDemand","AWS Lambda - Provisioned Concurrency for ARM - US East (N. Virginia)","2025-04-01","0","Inf","Lambda-GB-Second","0.0000033334","USD",,"Serverless","AWSLambda","US East (N. Virginia)","AWS Region","AWS-Lambda-Provisioned-Concurrency-ARM","Concurrency weighted by memory assigned to function over the period for which it is provisioned, measured in GB-s for ARM","Lambda-Provisioned-Concurrency-ARM","","us-east-1","AWS Lambda"
"NCWFKF9SX4W4MNY5","JRTCKXETXF","NCWFKF9SX4W4MNY5.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.008 per GiB for Lambda-Streaming-Response-Processed-Bytes-ARM in US East (N. Virginia)","2025-04-01","0","Inf","Processed-Gigabytes","0.0080000000","USD","RZ8N2TAQDKPDSHPC","Serverless","AWSLambda","US East (N. Virginia)","AWS Region","AWS-Lambda-Processed-Bytes-ARM","Processed bytes for a streamed response from a Lambda function invocation for ARM","Lambda-Streaming-Response-Processed-Bytes-ARM","","us-east-1","AWS Lambda"
"NQA9ZMGJKNJQT78E","JRTCKXETXF","NQA9ZMGJKNJQT78E.JRTCKXETXF.6YS6EN2CT7","OnDemand","AWS Lambda Edge - Total Requests - US East (N. Virginia)","2025-04-01","0","Inf","Request","0.0000006000","USD",,"Serverless","AWSLambda","US East (N. Virginia)","AWS Region","AWS-Lambda-Edge-Requests","Invocation call for a Lambda function","Lambda-Edge-Request","","us-east-1","AWS Lambda"
"RJKWHBCSDT32Z53D","JRTCKXETXF","RJKWHBCSDT32Z53D.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.008 per GiB for of Lambda-Streaming-Response-Processed-Bytes usage in US East (N. Virginia)","2025-04-01","0","Inf","Processed-Gigabytes","0.0080000000","USD","RZ8N2TAQDKPDSHPC","Serverless","AWSLambda","US East (N. Virginia)","AWS Region","AWS-Lambda-Processed-Bytes","Processed bytes for a streamed response from a Lambda function invocation","Lambda-Streaming-Response-Processed-Bytes","","us-east-1","AWS Lambda"
"RZ8N2TAQDKPDSHPC","A429C66SYZ","RZ8N2TAQDKPDSHPC.A429C66SYZ.ETY2894C67","OnDemand","Global rate for Lambda-Streaming-Response-Processed-Bytes","2025-04-01","0","100","Processed-Gigabytes","0.0000000000","USD",,"Serverless","AWSLambda","Any","AWS Region","AWS-Lambda-Processed-Bytes","Processed bytes for a streamed response from a Lambda function invocation","Global-Lambda-Streaming-Response-Processed-Bytes","","","AWS Lambda"
"TG3M4CAGBA3NYQBH","JRTCKXETXF","TG3M4CAGBA3NYQBH.JRTCKXETXF.CUKFZ388N3","OnDemand","AWS Lambda - Total Compute - US East (Northern Virginia)-Tier-1","2025-04-01","0","6000000000","seconds","0.0000166667","USD","4VCGJ7EG8PJVZG7S","Serverless","AWSLambda","US East (N. Virginia)","AWS Region","AWS-Lambda-Duration","Invocation duration weighted by memory assigned to function, measured in GB-s","Lambda-GB-Second","","us-east-1","AWS Lambda"
"TG3M4CAGBA3NYQBH","JRTCKXETXF","TG3M4CAGBA3NYQBH.JRTCKXETXF.QZE2SB4KVB","OnDemand","AWS Lambda - Total Compute - US East (Northern Virginia)-Tier-2","2025-04-01","6000000000","15000000000","seconds","0.0000150000","USD","4VCGJ7EG8PJVZG7S","Serverless","AWSLambda","US East (N. Virginia)","AWS Region","AWS-Lambda-Duration","Invocation duration weighted by memory assigned to function, measured in GB-s","Lambda-GB-Second","","us-east-1","AWS Lambda"
"TG3M4CAGBA3NYQBH","JRTCKXETXF","TG3M4CAGBA3NYQBH.JRTCKXETXF.V7R92EXG27","OnDemand","AWS Lambda - Total Compute - US East (Northern Virginia)-Tier-3","2025-04-01","15000000000","Inf","seconds","0.0000133334","USD","4VCGJ7EG8PJVZG7S","Serverless","AWSLambda","US East (N. Virginia)","AWS Region","AWS-Lambda-Duration","Invocation duration weighted by memory assigned to function, measured in GB-s","Lambda-GB-Second","","us-east-1","AWS Lambda"
"UMUS4AT5S27NHYZQ","JRTCKXETXF","UMUS4AT5S27NHYZQ.JRTCKXETXF.6YS6EN2CT7","OnDemand","AWS Lambda Edge - Total Compute - US East (N. Virginia)","2025-04-01","0","Inf","Lambda-GB-Second","0.0000500100","USD",,"Serverless","AWSLambda","US East (N. Virginia)","AWS Region","AWS-Lambda-Edge-Duration","Invocation duration weighted by memory assigned to function, measured in GB-s","Lambda-Edge-GB-Second","","us-east-1","AWS Lambda"
"W3GTWG4PTZMXZ4F2","JRTCKXETXF","W3GTWG4PTZMXZ4F2.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD 0.0001397998 per GB for Lambda-SnapStart-Restored-GB usage in US East (N. Virginia)","2025-04-01","0","Inf","GB","0.0001397998","USD",,"Serverless","AWSLambda","US East (N. Virginia)","AWS Region","AWS-Lambda-SnapStart-Restore","Snapshot GB restored, measured in GB of memory and disk assigned to function","Lambda-SnapStart-Restored-GB","","us-east-1","AWS Lambda"
"WRKYMVM4XSRFFQ7B","JRTCKXETXF","WRKYMVM4XSRFFQ7B.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD 0.0000015046 per GB-Second for Lambda-SnapStart-Cached-GB-S usage in US East (N. Virginia)","2025-04-01","0","Inf","GB-Seconds","0.0000015046","USD",,"Serverless","AWSLambda","US East (N. Virginia)","AWS Region","AWS-Lambda-SnapStart-Cache","Duration a snapshot is cached for, weighted by memory and disk assigned to function, measured in GB-S","Lambda-SnapStart-Cached-GB-S","","us-east-1","AWS Lambda"
"ZQVCC2M69R4S79XS","A429C66SYZ","ZQVCC2M69R4S79XS.A429C66SYZ.SB2VSFF4TP","OnDemand","AWS Lambda - Requests Free Tier - 1,000,000 Requests","2025-04-01","0","1000000","Request","0.0000000000","USD",,"Serverless","AWSLambda","Any","AWS Region","AWS-Lambda-Requests","Invocation call for a Lambda function","Global-Request","","","AWS Lambda"
"ZZF88MXYPS4DGSEZ","JRTCKXETXF","ZZF88MXYPS4DGSEZ.JRTCKXETXF.6YS6EN2CT7","OnDemand","AWS Lambda - Total Compute (Provisioned) - US East (N. Virginia)","2025-04-01","0","Inf","Lambda-GB-Second","0.0000097222","USD",,"Serverless","AWSLambda","US East (N. Virginia)","AWS Region","AWS-Lambda-Duration-Provisioned","Invocation duration, during provisioned period, weighted by memory assigned to function, measured in GB-s","Lambda-Provisioned-GB-Second","","us-east-1","AWS Lambda"
