"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2025-02-04T16:14:13Z"
"Version","20250204161413"
"OfferCode","AWSM2"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Location","Location Type","Instance Type","usageType","operation","FreeTier","Product Name","Region Code","serviceName"
"242FVQFFF35TD47Q","JRTCKXETXF","242FVQFFF35TD47Q.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0/hour for BuildTools on m6i.16xlarge in US East (N. Virginia)","2025-02-01","0","Inf","hours","0.0000000000","USD","AWS Managed Services","AWSM2","US East (N. Virginia)","AWS Region","m6i.16xlarge","USE1-m6i.16xlargeBuildTools","","Paid","Build Tools","us-east-1","AWS Mainframe Modernization"
"28X8GEQB6MDYT7QQ","JRTCKXETXF","28X8GEQB6MDYT7QQ.JRTCKXETXF.6YS6EN2CT7","OnDemand","$1.24/hour for BluAgeRuntime-EC2Deployed on m6i.2xlarge in US East (N. Virginia)","2025-02-01","0","Inf","hours","1.2400000000","USD","AWS Managed Services","AWSM2","US East (N. Virginia)","AWS Region","m6i.2xlarge","USE1-m6i.2xlargeBluAgeRuntime-EC2Deployed","","Paid","Blu Age Runtime on EC2","us-east-1","AWS Mainframe Modernization"
"29VR3AJEEWXWSN9W","JRTCKXETXF","29VR3AJEEWXWSN9W.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0/hour for EnterpriseAnalyzer on  in US East (N. Virginia)","2025-02-01","0","Inf","hours","0.0000000000","USD","AWS Managed Services","AWSM2","US East (N. Virginia)","AWS Region","t3.small","USE1-t3.smallEnterpriseAnalyzer","","Paid","Enterprise Analyzer","us-east-1","AWS Mainframe Modernization"
"2Q3TUFEANXDB27CE","JRTCKXETXF","2Q3TUFEANXDB27CE.JRTCKXETXF.6YS6EN2CT7","OnDemand","$4.28/hour for EnterpriseDeveloper on  in US East (N. Virginia)","2025-02-01","0","Inf","hours","4.2800000000","USD","AWS Managed Services","AWSM2","US East (N. Virginia)","AWS Region","c6i.xlarge","USE1-c6i.xlargeEnterpriseDeveloper","","Paid","Enterprise Developer","us-east-1","AWS Mainframe Modernization"
"2TCQ3S8NFKKG5TK2","JRTCKXETXF","2TCQ3S8NFKKG5TK2.JRTCKXETXF.6YS6EN2CT7","OnDemand","$88.8/hour for Enterprise Server in US East (N. Virginia)","2025-02-01","0","Inf","hours","88.8000000000","USD","AWS Managed Services","AWSM2","US East (N. Virginia)","AWS Region","m7i.8xlarge","USE1-m7i.8xlargeEnterpriseServer","","Paid","Enterprise Server","us-east-1","AWS Mainframe Modernization"
"2UABTKYCKMM5Y3EU","JRTCKXETXF","2UABTKYCKMM5Y3EU.JRTCKXETXF.6YS6EN2CT7","OnDemand","$1.24/hour for BluAgeRuntime-Custom on c5.2xlarge in US East (N. Virginia)","2025-02-01","0","Inf","hours","1.2400000000","USD","AWS Managed Services","AWSM2","US East (N. Virginia)","AWS Region","c5.2xlarge","USE1-c5.2xlargeBluAgeRuntime-Custom","","Paid","Blu Age Runtime Custom","us-east-1","AWS Mainframe Modernization"
"2UGNCWVSC6RSB3U7","JRTCKXETXF","2UGNCWVSC6RSB3U7.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0/hour for BuildTools on t3.xlarge in US East (N. Virginia)","2025-02-01","0","Inf","hours","0.0000000000","USD","AWS Managed Services","AWSM2","US East (N. Virginia)","AWS Region","t3.xlarge","USE1-t3.xlargeBuildTools","","Paid","Build Tools","us-east-1","AWS Mainframe Modernization"
"2YZ58Q74HNFRW8KD","JRTCKXETXF","2YZ58Q74HNFRW8KD.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0/hour for BuildTools on m6i.4xlarge in US East (N. Virginia)","2025-02-01","0","Inf","hours","0.0000000000","USD","AWS Managed Services","AWSM2","US East (N. Virginia)","AWS Region","m6i.4xlarge","USE1-m6i.4xlargeBuildTools","","Paid","Build Tools","us-east-1","AWS Mainframe Modernization"
"33NSN4N55AN2WKG9","JRTCKXETXF","33NSN4N55AN2WKG9.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0/hour for BuildTools on c6i.large in US East (N. Virginia)","2025-02-01","0","Inf","hours","0.0000000000","USD","AWS Managed Services","AWSM2","US East (N. Virginia)","AWS Region","c6i.large","USE1-c6i.largeBuildTools","","Paid","Build Tools","us-east-1","AWS Mainframe Modernization"
"33Q2CCYNKF4U7KPT","JRTCKXETXF","33Q2CCYNKF4U7KPT.JRTCKXETXF.6YS6EN2CT7","OnDemand","$1.24/hour for BluAgeRuntime on r6i.2xlarge in US East (N. Virginia)","2025-02-01","0","Inf","hours","1.2400000000","USD","AWS Managed Services","AWSM2","US East (N. Virginia)","AWS Region","r6i.2xlarge","USE1-r6i.2xlargeBluAgeRuntime","","Paid","Blu Age Runtime","us-east-1","AWS Mainframe Modernization"
