"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2025-03-24T18:36:43Z"
"Version","20250324183643"
"OfferCode","AWSMediaConnect"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Location","Location Type","Transfer Type","From Location","From Location Type","To Location","To Location Type","usageType","operation","Flow Type","From Region Code","Region Code","Reserved Tier","serviceName","To Region Code"
"2EM57G9RXMYR7BXA","JRTCKXETXF","2EM57G9RXMYR7BXA.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.027 per GB - Africa (Cape Town) data transfer to US East (Northern Virginia)","2025-03-01","0","Inf","GB","0.0270000000","USD","Data Transfer","AWSMediaConnect","Africa (Cape Town)","AWS Region","InterRegion Outbound","Africa (Cape Town)","AWS Region","US East (N. Virginia)","AWS Region","AFS1-USE1-AWS-Out-Bytes","DataProcessed",,"af-south-1","af-south-1",,"AWS Elemental MediaConnect","us-east-1"
"2K92VBUEAF2H7777","JRTCKXETXF","2K92VBUEAF2H7777.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.025 per GB - Middle East (UAE) data transfer to US East (Northern Virginia)","2025-03-01","0","Inf","GB","0.0250000000","USD","Data Transfer","AWSMediaConnect","Middle East (UAE)","AWS Region","InterRegion Outbound","Middle East (UAE)","AWS Region","US East (N. Virginia)","AWS Region","MEC1-USE1-AWS-Out-Bytes","DataProcessed",,"me-central-1","me-central-1",,"AWS Elemental MediaConnect","us-east-1"
"2KY9CQ4QHAK3E6YW","JRTCKXETXF","2KY9CQ4QHAK3E6YW.JRTCKXETXF.ETY2894C67","OnDemand","$0.000 per GB - first 100 GB of data transferred out per month","2025-03-01","0","100","GB","0.0000000000","USD","Data Transfer","AWSMediaConnect","US East (N. Virginia)","AWS Region","AWS Outbound","US East (N. Virginia)","AWS Region","External","Other","DataTransfer-Out-Bytes","DataProcessed",,"us-east-1","us-east-1",,"AWS Elemental MediaConnect",""
"2KY9CQ4QHAK3E6YW","JRTCKXETXF","2KY9CQ4QHAK3E6YW.JRTCKXETXF.TGCPV7KR65","OnDemand","$0.090 per GB - first 10 TB / month data transfer out beyond the global free tier","2025-03-01","100","10240","GB","0.0900000000","USD","Data Transfer","AWSMediaConnect","US East (N. Virginia)","AWS Region","AWS Outbound","US East (N. Virginia)","AWS Region","External","Other","DataTransfer-Out-Bytes","DataProcessed",,"us-east-1","us-east-1",,"AWS Elemental MediaConnect",""
"2KY9CQ4QHAK3E6YW","JRTCKXETXF","2KY9CQ4QHAK3E6YW.JRTCKXETXF.VF6T3GAUKQ","OnDemand","$0.085 per GB - next 40 TB / month data transfer out","2025-03-01","10240","51200","GB","0.0850000000","USD","Data Transfer","AWSMediaConnect","US East (N. Virginia)","AWS Region","AWS Outbound","US East (N. Virginia)","AWS Region","External","Other","DataTransfer-Out-Bytes","DataProcessed",,"us-east-1","us-east-1",,"AWS Elemental MediaConnect",""
"2KY9CQ4QHAK3E6YW","JRTCKXETXF","2KY9CQ4QHAK3E6YW.JRTCKXETXF.N9EW5UVVPA","OnDemand","$0.070 per GB - next 100 TB / month data transfer out","2025-03-01","51200","153600","GB","0.0700000000","USD","Data Transfer","AWSMediaConnect","US East (N. Virginia)","AWS Region","AWS Outbound","US East (N. Virginia)","AWS Region","External","Other","DataTransfer-Out-Bytes","DataProcessed",,"us-east-1","us-east-1",,"AWS Elemental MediaConnect",""
"2KY9CQ4QHAK3E6YW","JRTCKXETXF","2KY9CQ4QHAK3E6YW.JRTCKXETXF.GPHXDESFBB","OnDemand","$0.050 per GB - greater than 150 TB / month data transfer out","2025-03-01","153600","Inf","GB","0.0500000000","USD","Data Transfer","AWSMediaConnect","US East (N. Virginia)","AWS Region","AWS Outbound","US East (N. Virginia)","AWS Region","External","Other","DataTransfer-Out-Bytes","DataProcessed",,"us-east-1","us-east-1",,"AWS Elemental MediaConnect",""
"2QXG5ASUFUA4JQZE","JRTCKXETXF","2QXG5ASUFUA4JQZE.JRTCKXETXF.6YS6EN2CT7","OnDemand","$1.50 per Hour for RunningFlow_LargeInstance in US East (N. Virginia)","2025-03-01","0","Inf","Hours","1.5000000000","USD","Compute Instance","AWSMediaConnect","US East (N. Virginia)","AWS Region",,,,,,"USE1-Usage-Hours","RunningFlow_LargeInstance","Flow-Large",,"us-east-1",,"AWS Elemental MediaConnect",
"3AYQ255TZCCS8Q8B","JRTCKXETXF","3AYQ255TZCCS8Q8B.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.086 per GB - Asia Pacific (Hyderabad) data transfer to US East (Northern Virginia)","2025-03-01","0","Inf","GB","0.0860000000","USD","Data Transfer","AWSMediaConnect","Asia Pacific (Hyderabad)","AWS Region","InterRegion Outbound","Asia Pacific (Hyderabad)","AWS Region","US East (N. Virginia)","AWS Region","APS5-USE1-AWS-Out-Bytes","DataProcessed",,"ap-south-2","ap-south-2",,"AWS Elemental MediaConnect","us-east-1"
"3NCECY6A3R3RMEJ6","JRTCKXETXF","3NCECY6A3R3RMEJ6.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.02 per GB - US East (Northern Virginia) data transfer to South America (Sao Paulo)","2025-03-01","0","Inf","GB","0.0200000000","USD","Data Transfer","AWSMediaConnect","US East (N. Virginia)","AWS Region","InterRegion Outbound","US East (N. Virginia)","AWS Region","South America (Sao Paulo)","AWS Region","USE1-SAE1-AWS-Out-Bytes","DataProcessed",,"us-east-1","us-east-1",,"AWS Elemental MediaConnect","sa-east-1"
