"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2023-04-20T13:07:13Z"
"Version","20230420130713"
"OfferCode","AWSMigrationHubRefactorSpaces"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","RelatedTo","Product Family","serviceCode","Location","Location Type","usageType","operation","Product Type","Region Code","serviceName"
"59QZDADCUE6MZXN7","JRTCKXETXF","59QZDADCUE6MZXN7.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.000002 per request for GetApplication API in US East (N. Virginia)","2023-04-01","0","Inf","API Request","0.0000020000","USD","NS9K874YG7K3W7SN","AWS Migration Hub","AWSMigrationHubRefactorSpaces","US East (N. Virginia)","AWS Region","USE1-API-Request","GetApplication","API Request - GetApplication","us-east-1","AWS Migration Hub Refactor Spaces"
"5FRVJ7CFQDHMSD8D","JRTCKXETXF","5FRVJ7CFQDHMSD8D.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.000002 per request for TagResource API in US East (N. Virginia)","2023-04-01","0","Inf","API Request","0.0000020000","USD","NS9K874YG7K3W7SN","AWS Migration Hub","AWSMigrationHubRefactorSpaces","US East (N. Virginia)","AWS Region","USE1-API-Request","TagResource","API Request - TagResource","us-east-1","AWS Migration Hub Refactor Spaces"
"5UYWPNFB779NKCUG","JRTCKXETXF","5UYWPNFB779NKCUG.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.000002 per request for ListApplications API in US East (N. Virginia)","2023-04-01","0","Inf","API Request","0.0000020000","USD","NS9K874YG7K3W7SN","AWS Migration Hub","AWSMigrationHubRefactorSpaces","US East (N. Virginia)","AWS Region","USE1-API-Request","ListApplications","API Request - ListApplications","us-east-1","AWS Migration Hub Refactor Spaces"
"5Y3CXTP7RB9UHU99","JRTCKXETXF","5Y3CXTP7RB9UHU99.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.000002 per request for ListServices API in US East (N. Virginia)","2023-04-01","0","Inf","API Request","0.0000020000","USD","NS9K874YG7K3W7SN","AWS Migration Hub","AWSMigrationHubRefactorSpaces","US East (N. Virginia)","AWS Region","USE1-API-Request","ListServices","API Request - ListServices","us-east-1","AWS Migration Hub Refactor Spaces"
"5Z2RFKSTA4MVQKQ9","JRTCKXETXF","5Z2RFKSTA4MVQKQ9.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.000002 per request for CreateService API in US East (N. Virginia)","2023-04-01","0","Inf","API Request","0.0000020000","USD","NS9K874YG7K3W7SN","AWS Migration Hub","AWSMigrationHubRefactorSpaces","US East (N. Virginia)","AWS Region","USE1-API-Request","CreateService","API Request - CreateService","us-east-1","AWS Migration Hub Refactor Spaces"
"68CQ8M7SZR78Q4RR","JRTCKXETXF","68CQ8M7SZR78Q4RR.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.000002 per request for CreateEnvironment API in US East (N. Virginia)","2023-04-01","0","Inf","API Request","0.0000020000","USD","NS9K874YG7K3W7SN","AWS Migration Hub","AWSMigrationHubRefactorSpaces","US East (N. Virginia)","AWS Region","USE1-API-Request","CreateEnvironment","API Request - CreateEnvironment","us-east-1","AWS Migration Hub Refactor Spaces"
"7ZPCMM8Z2KAJBYEG","JRTCKXETXF","7ZPCMM8Z2KAJBYEG.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.028 per environment hour in US East (N. Virginia)","2023-04-01","0","Inf","hour","0.0280000000","USD",,"AWS Migration Hub","AWSMigrationHubRefactorSpaces","US East (N. Virginia)","AWS Region","USE1-EnvironmentHours","RunEnvironment","Environment Hour","us-east-1","AWS Migration Hub Refactor Spaces"
"A48TGABTKUJPC3PU","JRTCKXETXF","A48TGABTKUJPC3PU.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.000002 per request for CreateRoute API in US East (N. Virginia)","2023-04-01","0","Inf","API Request","0.0000020000","USD","NS9K874YG7K3W7SN","AWS Migration Hub","AWSMigrationHubRefactorSpaces","US East (N. Virginia)","AWS Region","USE1-API-Request","CreateRoute","API Request - CreateRoute","us-east-1","AWS Migration Hub Refactor Spaces"
"AE3VXJ4SSDE88ZBE","JRTCKXETXF","AE3VXJ4SSDE88ZBE.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.000002 per request for DeleteService API in US East (N. Virginia)","2023-04-01","0","Inf","API Request","0.0000020000","USD","NS9K874YG7K3W7SN","AWS Migration Hub","AWSMigrationHubRefactorSpaces","US East (N. Virginia)","AWS Region","USE1-API-Request","DeleteService","API Request - DeleteService","us-east-1","AWS Migration Hub Refactor Spaces"
"C5WD6543TTSDFU7U","JRTCKXETXF","C5WD6543TTSDFU7U.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.000002 per request for GetEnvironment API in US East (N. Virginia)","2023-04-01","0","Inf","API Request","0.0000020000","USD","NS9K874YG7K3W7SN","AWS Migration Hub","AWSMigrationHubRefactorSpaces","US East (N. Virginia)","AWS Region","USE1-API-Request","GetEnvironment","API Request - GetEnvironment","us-east-1","AWS Migration Hub Refactor Spaces"
"DEVFWHQZ6E92Q3CU","JRTCKXETXF","DEVFWHQZ6E92Q3CU.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.000002 per request for DeleteApplication API in US East (N. Virginia)","2023-04-01","0","Inf","API Request","0.0000020000","USD","NS9K874YG7K3W7SN","AWS Migration Hub","AWSMigrationHubRefactorSpaces","US East (N. Virginia)","AWS Region","USE1-API-Request","DeleteApplication","API Request - DeleteApplication","us-east-1","AWS Migration Hub Refactor Spaces"
"DHZTS58FF7AN88RB","JRTCKXETXF","DHZTS58FF7AN88RB.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.000002 per request for ListEnvironments API in US East (N. Virginia)","2023-04-01","0","Inf","API Request","0.0000020000","USD","NS9K874YG7K3W7SN","AWS Migration Hub","AWSMigrationHubRefactorSpaces","US East (N. Virginia)","AWS Region","USE1-API-Request","ListEnvironments","API Request - ListEnvironments","us-east-1","AWS Migration Hub Refactor Spaces"
"DUM7AA8BCB6J8M68","JRTCKXETXF","DUM7AA8BCB6J8M68.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.000002 per request for CreateApplication API in US East (N. Virginia)","2023-04-01","0","Inf","API Request","0.0000020000","USD","NS9K874YG7K3W7SN","AWS Migration Hub","AWSMigrationHubRefactorSpaces","US East (N. Virginia)","AWS Region","USE1-API-Request","CreateApplication","API Request - CreateApplication","us-east-1","AWS Migration Hub Refactor Spaces"
"DVUS87CPS2F8P9N2","JRTCKXETXF","DVUS87CPS2F8P9N2.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.000002 per request for UntagResource API in US East (N. Virginia)","2023-04-01","0","Inf","API Request","0.0000020000","USD","NS9K874YG7K3W7SN","AWS Migration Hub","AWSMigrationHubRefactorSpaces","US East (N. Virginia)","AWS Region","USE1-API-Request","UntagResource","API Request - UntagResource","us-east-1","AWS Migration Hub Refactor Spaces"
"E8YMUMP84A77DY97","JRTCKXETXF","E8YMUMP84A77DY97.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.000002 per request for DeleteResourcePolicy API in US East (N. Virginia)","2023-04-01","0","Inf","API Request","0.0000020000","USD","NS9K874YG7K3W7SN","AWS Migration Hub","AWSMigrationHubRefactorSpaces","US East (N. Virginia)","AWS Region","USE1-API-Request","DeleteResourcePolicy","API Request - DeleteResourcePolicy","us-east-1","AWS Migration Hub Refactor Spaces"
"EY4F2EYYAP3GT44M","JRTCKXETXF","EY4F2EYYAP3GT44M.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.000002 per request for ListEnvironmentVpcs API in US East (N. Virginia)","2023-04-01","0","Inf","API Request","0.0000020000","USD","NS9K874YG7K3W7SN","AWS Migration Hub","AWSMigrationHubRefactorSpaces","US East (N. Virginia)","AWS Region","USE1-API-Request","ListEnvironmentVpcs","API Request - ListEnvironmentVpcs","us-east-1","AWS Migration Hub Refactor Spaces"
"HH9F99P7Y96EET83","JRTCKXETXF","HH9F99P7Y96EET83.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.000002 per request for DeleteRoute API in US East (N. Virginia)","2023-04-01","0","Inf","API Request","0.0000020000","USD","NS9K874YG7K3W7SN","AWS Migration Hub","AWSMigrationHubRefactorSpaces","US East (N. Virginia)","AWS Region","USE1-API-Request","DeleteRoute","API Request - DeleteRoute","us-east-1","AWS Migration Hub Refactor Spaces"
"JXD8HW9TV4F86259","JRTCKXETXF","JXD8HW9TV4F86259.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.000002 per request for ListTagsForResource API in US East (N. Virginia)","2023-04-01","0","Inf","API Request","0.0000020000","USD","NS9K874YG7K3W7SN","AWS Migration Hub","AWSMigrationHubRefactorSpaces","US East (N. Virginia)","AWS Region","USE1-API-Request","ListTagsForResource","API Request - ListTagsForResource","us-east-1","AWS Migration Hub Refactor Spaces"
"NS9K874YG7K3W7SN","A429C66SYZ","NS9K874YG7K3W7SN.A429C66SYZ.X52V2NUPYZ","OnDemand","$0.0 per request for API","2023-04-01","0","500000","API Request","0.0000000000","USD",,"AWS Migration Hub","AWSMigrationHubRefactorSpaces","Any","AWS Region","Global-API-Request","","API Request","","AWS Migration Hub Refactor Spaces"
"TWC25MQ9SFB8XGQN","JRTCKXETXF","TWC25MQ9SFB8XGQN.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.000002 per request for GetResourcePolicy API in US East (N. Virginia)","2023-04-01","0","Inf","API Request","0.0000020000","USD","NS9K874YG7K3W7SN","AWS Migration Hub","AWSMigrationHubRefactorSpaces","US East (N. Virginia)","AWS Region","USE1-API-Request","GetResourcePolicy","API Request - GetResourcePolicy","us-east-1","AWS Migration Hub Refactor Spaces"
"V4HZPY9U4NGYDEBJ","JRTCKXETXF","V4HZPY9U4NGYDEBJ.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.000002 per request for PutResourcePolicy API in US East (N. Virginia)","2023-04-01","0","Inf","API Request","0.0000020000","USD","NS9K874YG7K3W7SN","AWS Migration Hub","AWSMigrationHubRefactorSpaces","US East (N. Virginia)","AWS Region","USE1-API-Request","PutResourcePolicy","API Request - PutResourcePolicy","us-east-1","AWS Migration Hub Refactor Spaces"
"WB9KD6X6AMZ898PG","JRTCKXETXF","WB9KD6X6AMZ898PG.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.000002 per request for ListRoutes API in US East (N. Virginia)","2023-04-01","0","Inf","API Request","0.0000020000","USD","NS9K874YG7K3W7SN","AWS Migration Hub","AWSMigrationHubRefactorSpaces","US East (N. Virginia)","AWS Region","USE1-API-Request","ListRoutes","API Request - ListRoutes","us-east-1","AWS Migration Hub Refactor Spaces"
"WBXXN75ZK8SF2F9C","JRTCKXETXF","WBXXN75ZK8SF2F9C.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.000002 per request for DeleteEnvironment API in US East (N. Virginia)","2023-04-01","0","Inf","API Request","0.0000020000","USD","NS9K874YG7K3W7SN","AWS Migration Hub","AWSMigrationHubRefactorSpaces","US East (N. Virginia)","AWS Region","USE1-API-Request","DeleteEnvironment","API Request - DeleteEnvironment","us-east-1","AWS Migration Hub Refactor Spaces"
"XZS3XEZS5H76T9C5","JRTCKXETXF","XZS3XEZS5H76T9C5.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.000002 per request for GetRoute API in US East (N. Virginia)","2023-04-01","0","Inf","API Request","0.0000020000","USD","NS9K874YG7K3W7SN","AWS Migration Hub","AWSMigrationHubRefactorSpaces","US East (N. Virginia)","AWS Region","USE1-API-Request","GetRoute","API Request - GetRoute","us-east-1","AWS Migration Hub Refactor Spaces"
"Z5VZMW6GP6BJGQV8","JRTCKXETXF","Z5VZMW6GP6BJGQV8.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.000002 per request for GetService API in US East (N. Virginia)","2023-04-01","0","Inf","API Request","0.0000020000","USD","NS9K874YG7K3W7SN","AWS Migration Hub","AWSMigrationHubRefactorSpaces","US East (N. Virginia)","AWS Region","USE1-API-Request","GetService","API Request - GetService","us-east-1","AWS Migration Hub Refactor Spaces"
"ZG6FTT96BA22K5TN","JRTCKXETXF","ZG6FTT96BA22K5TN.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.000002 per request for UpdateRoute in US East (N. Virginia)","2023-04-01","0","Inf","API Request","0.0000020000","USD","NS9K874YG7K3W7SN","AWS Migration Hub","AWSMigrationHubRefactorSpaces","US East (N. Virginia)","AWS Region","USE1-API-Request","UpdateRoute","API Request - UpdateRoute","us-east-1","AWS Migration Hub Refactor Spaces"
