"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2025-04-15T21:10:55Z"
"Version","20250415211055"
"OfferCode","AWSTransfer"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Location","Location Type","usageType","operation","Connector Type","Data","Endpoint","Execution","Region Code","serviceName"
"29R88D5RCRPCM259","JRTCKXETXF","29R88D5RCRPCM259.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.10 per GB for PGP decryption in US East (N. Virginia)","2025-04-01","0","Inf","GB","0.1000000000","USD","AWS Transfer Family","AWSTransfer","US East (N. Virginia)","AWS Region","USE1-DecryptBytes-PGP","FTP:EFS",,"PGP-Decrypt-EFS","FTP-Upload",,"us-east-1","AWS Transfer Family"
"2V4C39UUVEEZA559","JRTCKXETXF","2V4C39UUVEEZA559.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.10 per GB for PGP decryption in US East (N. Virginia)","2025-04-01","0","Inf","GB","0.1000000000","USD","AWS Transfer Family","AWSTransfer","US East (N. Virginia)","AWS Region","USE1-DecryptBytes-PGP","FTP:S3",,"PGP-Decrypt-S3","FTP-Upload",,"us-east-1","AWS Transfer Family"
"3BH3Q9SUFESWND6J","JRTCKXETXF","3BH3Q9SUFESWND6J.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.10 per GB for PGP decryption in US East (N. Virginia)","2025-04-01","0","Inf","GB","0.1000000000","USD","AWS Transfer Family","AWSTransfer","US East (N. Virginia)","AWS Region","USE1-DecryptBytes-PGP","FTPS:EFS",,"PGP-Decrypt-EFS","FTPS-Upload",,"us-east-1","AWS Transfer Family"
"4D8PEFFNWYG7MPE7","JRTCKXETXF","4D8PEFFNWYG7MPE7.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.3 per Hour for SFTP in US East (N. Virginia)","2025-04-01","0","Inf","Hourly","0.3000000000","USD","AWS Transfer Family","AWSTransfer","US East (N. Virginia)","AWS Region","USE1-ProtocolHours","SFTP:S3",,"SFTP-NONE","SFTP-Protocol-Hours",,"us-east-1","AWS Transfer Family"
"4SZRWNCZEQ27B2T3","JRTCKXETXF","4SZRWNCZEQ27B2T3.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.04 per GigaByte uploaded over FTP to EFS in US East (N. Virginia)","2025-04-01","0","Inf","GigaBytes","0.0400000000","USD","AWS Transfer Family","AWSTransfer","US East (N. Virginia)","AWS Region","USE1-UploadBytes","FTP:EFS",,"FTP-Upload-EFS","FTP-None",,"us-east-1","AWS Transfer Family"
"5NUJ765985XAEXXR","JRTCKXETXF","5NUJ765985XAEXXR.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.01 per 50 MB chunk for sending large messages over AS2-HTTP from S3 in US East (N. Virginia)","2025-04-01","0","Inf","Message","0.0100000000","USD","AWS Transfer Family","AWSTransfer","US East (N. Virginia)","AWS Region","USE1-OutboundLargeMessages","AS2-HTTP:S3",,"AS2-Outbound-Large-Messages","AS2-None",,"us-east-1","AWS Transfer Family"
"68238CJXMMGQPGBM","JRTCKXETXF","68238CJXMMGQPGBM.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.3 per Hour for FTPS in US East (N. Virginia)","2025-04-01","0","Inf","Hourly","0.3000000000","USD","AWS Transfer Family","AWSTransfer","US East (N. Virginia)","AWS Region","USE1-ProtocolHours","FTPS:EFS",,"FTPS-None-EFS","FTPS-Hours-EFS",,"us-east-1","AWS Transfer Family"
"6VCTQ85UE78NDXTQ","JRTCKXETXF","6VCTQ85UE78NDXTQ.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.10 per GB for PGP decryption in US East (N. Virginia)","2025-04-01","0","Inf","GB","0.1000000000","USD","AWS Transfer Family","AWSTransfer","US East (N. Virginia)","AWS Region","USE1-DecryptBytes-PGP","SFTP:S3",,"PGP-Decrypt-S3","SFTP-Upload",,"us-east-1","AWS Transfer Family"
"72VVU66PAWN29AZE","JRTCKXETXF","72VVU66PAWN29AZE.JRTCKXETXF.6YS6EN2CT7","OnDemand","0.001 USD per connector call for file transfer in US East (N. Virginia)","2025-04-01","0","Inf","Executions","0.0010000000","USD","AWS Transfer Family","AWSTransfer","US East (N. Virginia)","AWS Region","USE1-SFTPConnectorCall-RetrieveFilePath","SFTP:S3","SFTP connector","None",,"ConnectorCall-RetrieveFile","us-east-1","AWS Transfer Family"
"78QUB8P5MKQFJFKF","JRTCKXETXF","78QUB8P5MKQFJFKF.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.04 per GB - SFTP Data Download fee","2025-04-01","0","Inf","GB","0.0400000000","USD","AWS Transfer for SFTP","AWSTransfer","US East (N. Virginia)","AWS Region","USE1-DOWNLOAD","",,"SFTP-DATA-DOWNLOADS","SFTP-NONE",,"us-east-1","AWS Transfer Family"
"8PEFT4QPFVVAT9H7","JRTCKXETXF","8PEFT4QPFVVAT9H7.JRTCKXETXF.6YS6EN2CT7","OnDemand","0.001 USD per connector call for file transfer in US East (N. Virginia)","2025-04-01","0","Inf","Executions","0.0010000000","USD","AWS Transfer Family","AWSTransfer","US East (N. Virginia)","AWS Region","USE1-SFTPConnectorCall-SendFilePath","SFTP:S3","SFTP connector","None",,"ConnectorCall-SendFile","us-east-1","AWS Transfer Family"
"ARVYFEYBTF2C2G9Q","JRTCKXETXF","ARVYFEYBTF2C2G9Q.JRTCKXETXF.6YS6EN2CT7","OnDemand","0.001 USD per connector call per 1000 items chunk for large directory listing in US East (N. Virginia)","2025-04-01","0","Inf","Executions","0.0010000000","USD","AWS Transfer Family","AWSTransfer","US East (N. Virginia)","AWS Region","USE1-SFTPConnectorCall-StartLargeDirectoryListing","SFTP:S3","SFTP connector","None",,"ConnectorCall-LargeDirectoryListing","us-east-1","AWS Transfer Family"
"DGX8N9Q2C3FCTVZ8","JRTCKXETXF","DGX8N9Q2C3FCTVZ8.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.50 per Hour per Web App Unit in US East (N. Virginia)","2025-04-01","0","Inf","Hourly","0.5000000000","USD","AWS Transfer Family","AWSTransfer","US East (N. Virginia)","AWS Region","USE1-WebAppHours","HTTPS:S3",,,"HTTPS-Hours-S3",,"us-east-1","AWS Transfer Family"
"HT8AK544K9ZJDUY8","JRTCKXETXF","HT8AK544K9ZJDUY8.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.04 per GigaByte downloaded over FTP from EFS in US East (N. Virginia)","2025-04-01","0","Inf","GigaBytes","0.0400000000","USD","AWS Transfer Family","AWSTransfer","US East (N. Virginia)","AWS Region","USE1-DownloadBytes","FTP:EFS",,"FTP-None","FTP-None",,"us-east-1","AWS Transfer Family"
"JK6CY35SZ6GS6PU9","JRTCKXETXF","JK6CY35SZ6GS6PU9.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.01/message for receiving messages over AS2-HTTP to S3 in US East (N. Virginia)","2025-04-01","0","Inf","Message","0.0100000000","USD","AWS Transfer Family","AWSTransfer","US East (N. Virginia)","AWS Region","USE1-InboundMessages","AS2-HTTP:S3",,"AS2-Inbound-Messages","AS2-None",,"us-east-1","AWS Transfer Family"
"K5MK7F2TSHBFJ4JS","JRTCKXETXF","K5MK7F2TSHBFJ4JS.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.04 per GigaByte uploaded over FTP to S3 in US East (N. Virginia)","2025-04-01","0","Inf","GigaBytes","0.0400000000","USD","AWS Transfer Family","AWSTransfer","US East (N. Virginia)","AWS Region","USE1-UploadBytes","FTP:S3",,"FTP-Upload-Bytes","FTP-None",,"us-east-1","AWS Transfer Family"
"K6WHNARR76FBXBGS","JRTCKXETXF","K6WHNARR76FBXBGS.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.10 per GB for PGP decryption in US East (N. Virginia)","2025-04-01","0","Inf","GB","0.1000000000","USD","AWS Transfer Family","AWSTransfer","US East (N. Virginia)","AWS Region","USE1-DecryptBytes-PGP","SFTP:EFS",,"PGP-Decrypt-EFS","SFTP-Upload",,"us-east-1","AWS Transfer Family"
"KE82XYFRVBRASUJ2","JRTCKXETXF","KE82XYFRVBRASUJ2.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.04 per GigaByte uploaded over FTPS to S3 in US East (N. Virginia)","2025-04-01","0","Inf","GigaBytes","0.0400000000","USD","AWS Transfer Family","AWSTransfer","US East (N. Virginia)","AWS Region","USE1-UploadBytes","FTPS:S3",,"FTPS-Upload-Bytes","FTPS-None",,"us-east-1","AWS Transfer Family"
"KZM7R8WJSHWXWTKH","JRTCKXETXF","KZM7R8WJSHWXWTKH.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.04 per GigaByte uploaded over SFTP to EFS in US East (N. Virginia)","2025-04-01","0","Inf","GigaBytes","0.0400000000","USD","AWS Transfer Family","AWSTransfer","US East (N. Virginia)","AWS Region","USE1-UploadBytes","SFTP:EFS",,"SFTP-Upload-EFS","SFTP-None-EFS",,"us-east-1","AWS Transfer Family"
"MX5F2QPQUN8YNWUY","JRTCKXETXF","MX5F2QPQUN8YNWUY.JRTCKXETXF.6YS6EN2CT7","OnDemand","0.40 USD per GB retrieved over SFTP to S3 in US East (N. Virginia)","2025-04-01","0","Inf","GB","0.4000000000","USD","AWS Transfer Family","AWSTransfer","US East (N. Virginia)","AWS Region","USE1-SFTPConnector-RetrieveBytes","SFTP:S3","SFTP connector","Retrieve-Bytes",,"Data-Transfer","us-east-1","AWS Transfer Family"
"N7PPT3EUCDZCNZZX","JRTCKXETXF","N7PPT3EUCDZCNZZX.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.04 per GB - SFTP Data Upload fee","2025-04-01","0","Inf","GB","0.0400000000","USD","AWS Transfer for SFTP","AWSTransfer","US East (N. Virginia)","AWS Region","USE1-UPLOAD","",,"SFTP-DATA","SFTP-NONE",,"us-east-1","AWS Transfer Family"
"NAYHZ39ZH222YRNA","JRTCKXETXF","NAYHZ39ZH222YRNA.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.04 per GigaByte downloaded over SFTP from S3 in US East (N. Virginia)","2025-04-01","0","Inf","GigaBytes","0.0400000000","USD","AWS Transfer Family","AWSTransfer","US East (N. Virginia)","AWS Region","USE1-DownloadBytes","SFTP:S3",,"SFTP-Download-Bytes","SFTP-NONE",,"us-east-1","AWS Transfer Family"
"PM56EXU73VCC54JW","JRTCKXETXF","PM56EXU73VCC54JW.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.3/hour for AS2:HTTP in US East (N. Virginia)","2025-04-01","0","Inf","Hourly","0.3000000000","USD","AWS Transfer Family","AWSTransfer","US East (N. Virginia)","AWS Region","USE1-ProtocolHours","AS2-HTTP:S3",,"AS2-None","AS2-Hours",,"us-east-1","AWS Transfer Family"
"PWWPTBCTUEY6N6C3","JRTCKXETXF","PWWPTBCTUEY6N6C3.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.04 per GigaByte downloaded over FTP from S3 in US East (N. Virginia)","2025-04-01","0","Inf","GigaBytes","0.0400000000","USD","AWS Transfer Family","AWSTransfer","US East (N. Virginia)","AWS Region","USE1-DownloadBytes","FTP:S3",,"FTP-Download-Bytes","FTP-None",,"us-east-1","AWS Transfer Family"
"QNQYTN8GUQU9N6NB","JRTCKXETXF","QNQYTN8GUQU9N6NB.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.04 per GigaByte downloaded over FTPS from S3 in US East (N. Virginia)","2025-04-01","0","Inf","GigaBytes","0.0400000000","USD","AWS Transfer Family","AWSTransfer","US East (N. Virginia)","AWS Region","USE1-DownloadBytes","FTPS:S3",,"FTPS-Download-Bytes","FTPS-None",,"us-east-1","AWS Transfer Family"
"QXQNP3D8VSMYYEXW","JRTCKXETXF","QXQNP3D8VSMYYEXW.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.10 per GB for PGP decryption in US East (N. Virginia)","2025-04-01","0","Inf","GB","0.1000000000","USD","AWS Transfer Family","AWSTransfer","US East (N. Virginia)","AWS Region","USE1-DecryptBytes-PGP","FTPS:S3",,"PGP-Decrypt-S3","FTPS-Upload",,"us-east-1","AWS Transfer Family"
"RFAJEVKAA8EJ7F79","JRTCKXETXF","RFAJEVKAA8EJ7F79.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.04 per GigaByte downloaded over FTPS to EFS in US East (N.Virginia)","2025-04-01","0","Inf","GigaBytes","0.0400000000","USD","AWS Transfer Family","AWSTransfer","US East (N. Virginia)","AWS Region","USE1-DownloadBytes","FTPS:EFS",,"FTPS-None","FTPS-None",,"us-east-1","AWS Transfer Family"
"RQQKXP6WU7YEJ3TR","JRTCKXETXF","RQQKXP6WU7YEJ3TR.JRTCKXETXF.6YS6EN2CT7","OnDemand","0.001 USD per connector call for directory listing in US East (N. Virginia)","2025-04-01","0","Inf","Executions","0.0010000000","USD","AWS Transfer Family","AWSTransfer","US East (N. Virginia)","AWS Region","USE1-SFTPConnectorCall-StartDirectoryListing","SFTP:S3","SFTP connector","None",,"ConnectorCall-DirectoryListing","us-east-1","AWS Transfer Family"
"RRB23YMC2S3VZUTK","JRTCKXETXF","RRB23YMC2S3VZUTK.JRTCKXETXF.6YS6EN2CT7","OnDemand","0.40 USD per GB sent over SFTP from S3 in US East (N. Virginia)","2025-04-01","0","Inf","GB","0.4000000000","USD","AWS Transfer Family","AWSTransfer","US East (N. Virginia)","AWS Region","USE1-SFTPConnector-SendBytes","SFTP:S3","SFTP connector","Send-Bytes",,"Data-Transfer","us-east-1","AWS Transfer Family"
