"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2025-06-06T13:51:05Z"
"Version","20250606135105"
"OfferCode","AWSWisdom"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Location","Location Type","usageType","operation","ConnectChannel","Electron","Mode","Region Code","serviceName","Transaction Type"
"24KZ5QEMGB3D5E6N","JRTCKXETXF","24KZ5QEMGB3D5E6N.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00 per Tasks for USE1-ai-QinConnectAgentAssistanceTask in US East (N. Virginia)","2025-06-01","0","Inf","Tasks","0.0000000000","USD","AmazonConnect","AWSWisdom","US East (N. Virginia)","AWS Region","USE1-ai-QinConnectAgentAssistanceTask","AgentAssistanceTask","Task","ai-","AgentAssistance","us-east-1","Q in Connect",
"6J88GSBJS65YEXJP","JRTCKXETXF","6J88GSBJS65YEXJP.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.0015 per Chats for USE1-QinConnectSelfServiceChat in US East (N. Virginia)","2025-06-01","0","Inf","Chats","0.0015000000","USD","AmazonConnect","AWSWisdom","US East (N. Virginia)","AWS Region","USE1-QinConnectSelfServiceChat","SelfServiceChat","Chat","None","SelfService","us-east-1","Q in Connect",
"7V43MNAHAR5C5AQE","JRTCKXETXF","7V43MNAHAR5C5AQE.JRTCKXETXF.6YS6EN2CT7","OnDemand","Q in Connect agent trial","2025-06-01","0","Inf","UsersPerMonth","0.0000000000","USD","AmazonConnect","AWSWisdom","US East (N. Virginia)","AWS Region","USE1-QinConnectAgentsTrial","AgentUsageTrial",,,,"us-east-1","Q in Connect",
"8UPXJ5FF9W65ED6T","JRTCKXETXF","8UPXJ5FF9W65ED6T.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.02 per Emails for USE1-QinConnectAgentAssistanceEmail in US East (N. Virginia)","2025-06-01","0","Inf","Emails","0.0200000000","USD","AmazonConnect","AWSWisdom","US East (N. Virginia)","AWS Region","USE1-QinConnectAgentAssistanceEmail","AgentAssistanceEmail","Email","None","AgentAssistance","us-east-1","Q in Connect",
"9JXSRTU686J53UVZ","JRTCKXETXF","9JXSRTU686J53UVZ.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.04 per Wisdom Contact in US East (N. Virginia)","2025-06-01","0","Inf","Contact","0.0400000000","USD","AmazonConnect","AWSWisdom","US East (N. Virginia)","AWS Region","USE1-WisdomContacts","CreateSession",,,,"us-east-1","Q in Connect","Contacts"
"BGDPG6X5GY2ST2VQ","JRTCKXETXF","BGDPG6X5GY2ST2VQ.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.0015 per Chats for USE1-QinConnectAgentAssistanceChat in US East (N. Virginia)","2025-06-01","0","Inf","Chats","0.0015000000","USD","AmazonConnect","AWSWisdom","US East (N. Virginia)","AWS Region","USE1-QinConnectAgentAssistanceChat","AgentAssistanceChat","Chat","None","AgentAssistance","us-east-1","Q in Connect",
"CU8H8837NS2PBG7E","JRTCKXETXF","CU8H8837NS2PBG7E.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.008 per Minutes for USE1-QinConnectAgentAssistanceVoice in US East (N. Virginia)","2025-06-01","0","Inf","Minutes","0.0080000000","USD","AmazonConnect","AWSWisdom","US East (N. Virginia)","AWS Region","USE1-QinConnectAgentAssistanceVoice","AgentAssistanceVoice","Voice","None","AgentAssistance","us-east-1","Q in Connect",
"KBPTTAVQF3QFVW2V","JRTCKXETXF","KBPTTAVQF3QFVW2V.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00 per Minutes for USE1-ai-QinConnectAgentAssistanceVoice in US East (N. Virginia)","2025-06-01","0","Inf","Minutes","0.0000000000","USD","AmazonConnect","AWSWisdom","US East (N. Virginia)","AWS Region","USE1-ai-QinConnectAgentAssistanceVoice","AgentAssistanceVoice","Voice","ai-","AgentAssistance","us-east-1","Q in Connect",
"N78FX2MUJ452EBGJ","JRTCKXETXF","N78FX2MUJ452EBGJ.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.02 per Tasks for USE1-QinConnectAgentAssistanceTask in US East (N. Virginia)","2025-06-01","0","Inf","Tasks","0.0200000000","USD","AmazonConnect","AWSWisdom","US East (N. Virginia)","AWS Region","USE1-QinConnectAgentAssistanceTask","AgentAssistanceTask","Task","None","AgentAssistance","us-east-1","Q in Connect",
"NRBVSKA9N6BFSC42","JRTCKXETXF","NRBVSKA9N6BFSC42.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.008 per Minutes for USE1-QinConnectSelfServiceVoice in US East (N. Virginia)","2025-06-01","0","Inf","Minutes","0.0080000000","USD","AmazonConnect","AWSWisdom","US East (N. Virginia)","AWS Region","USE1-QinConnectSelfServiceVoice","SelfServiceVoice","Voice","None","SelfService","us-east-1","Q in Connect",
"SG4P8GSXWKS96KYG","JRTCKXETXF","SG4P8GSXWKS96KYG.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00 per Emails for USE1-ai-QinConnectAgentAssistanceEmail in US East (N. Virginia)","2025-06-01","0","Inf","Emails","0.0000000000","USD","AmazonConnect","AWSWisdom","US East (N. Virginia)","AWS Region","USE1-ai-QinConnectAgentAssistanceEmail","AgentAssistanceEmail","Email","ai-","AgentAssistance","us-east-1","Q in Connect",
"T7R8Y42JJVUTHY98","JRTCKXETXF","T7R8Y42JJVUTHY98.JRTCKXETXF.6YS6EN2CT7","OnDemand","$40 per agent per month ","2025-06-01","0","Inf","UsersPerMonth","40.0000000000","USD","AmazonConnect","AWSWisdom","US East (N. Virginia)","AWS Region","USE1-QinConnectAgents","AgentUsage",,,,"us-east-1","Q in Connect",
"TVA55WF6HRUKP4AD","JRTCKXETXF","TVA55WF6HRUKP4AD.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00 per Minutes for USE1-ai-QinConnectSelfServiceVoice in US East (N. Virginia)","2025-06-01","0","Inf","Minutes","0.0000000000","USD","AmazonConnect","AWSWisdom","US East (N. Virginia)","AWS Region","USE1-ai-QinConnectSelfServiceVoice","SelfServiceVoice","Voice","ai-","SelfService","us-east-1","Q in Connect",
"W9U5CCKGDBV7H4SN","JRTCKXETXF","W9U5CCKGDBV7H4SN.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00 per Chats for USE1-ai-QinConnectSelfServiceChat in US East (N. Virginia)","2025-06-01","0","Inf","Chats","0.0000000000","USD","AmazonConnect","AWSWisdom","US East (N. Virginia)","AWS Region","USE1-ai-QinConnectSelfServiceChat","SelfServiceChat","Chat","ai-","SelfService","us-east-1","Q in Connect",
"X7QXB6AAHFNUWRWB","JRTCKXETXF","X7QXB6AAHFNUWRWB.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.02 per Emails for USE1-QinConnectSelfServiceEmail in US East (N. Virginia)","2025-06-01","0","Inf","Emails","0.0200000000","USD","AmazonConnect","AWSWisdom","US East (N. Virginia)","AWS Region","USE1-QinConnectSelfServiceEmail","SelfServiceEmail","Email","None","SelfService","us-east-1","Q in Connect",
