"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2025-05-06T19:30:35Z"
"Version","20250506193035"
"OfferCode","AmazonAppStream"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Location","Location Type","Instance Type","Instance Family","vCPU","Operating System","License Model","usageType","operation","Instance Function","Memory (GiB)","Multi Session","OS License Model","Region Code","serviceName","Video Memory (GiB)"
"2QQQA2K4MPVKNC6A","JRTCKXETXF","2QQQA2K4MPVKNC6A.JRTCKXETXF.6YS6EN2CT7","OnDemand","$1.00 per hour for running a stream.graphics-design.2xlarge ImageBuilder instance in AWS region US East (N. Virginia)","2025-04-01","0","Inf","hour","1.0000000000","USD","Streaming Instance","AmazonAppStream","US East (N. Virginia)","AWS Region","stream.graphics-design.2xlarge","Graphics Design","8","Windows",,"USE1-graphics-design.2xlarge-ib","Streaming:001","ImageBuilder","30.5",,"License Included","us-east-1","Amazon AppStream","4"
"2RMF3BM7JMF4Q9AY","JRTCKXETXF","2RMF3BM7JMF4Q9AY.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.2 per hour for stream.standard.large Multi-Session Fleet instance in AWS region US East (N. Virginia) ","2025-04-01","0","Inf","hour","0.2000000000","USD",,"AmazonAppStream","US East (N. Virginia)","AWS Region","stream.standard.large",,"2","Windows",,"USE1-stream.standard.large-fl","Streaming:002","MultiSessionFleet",,"true","License Included","us-east-1","Amazon AppStream","N/A"
"2S79CKAU3HMRTA34","JRTCKXETXF","2S79CKAU3HMRTA34.JRTCKXETXF.6YS6EN2CT7","OnDemand","$8.405 per hour for Rocky Linux ImageBuilder stream.graphics.g5.16xlarge in  US East (N. Virginia)","2025-04-01","0","Inf","hour","8.4050000000","USD","Streaming Instance","AmazonAppStream","US East (N. Virginia)","AWS Region","stream.graphics.g5.16xlarge","Graphics G5","64","Rocky Linux",,"USE1-stream.graphics.g5.16xlarge-rl-ib","Streaming:001","ImageBuilder","256","false","License Included","us-east-1","Amazon AppStream","24"
"2YAR35XQRTDT9MAR","JRTCKXETXF","2YAR35XQRTDT9MAR.JRTCKXETXF.6YS6EN2CT7","OnDemand","$2.749 per hour for a Linux stream.memory.8xlarge Fleet instance in AWS Region US East (N. Virginia)","2025-04-01","0","Inf","hour","2.7490000000","USD","Streaming Instance","AmazonAppStream","US East (N. Virginia)","AWS Region","stream.memory.8xlarge","Memory optimized","32","Amazon Linux",,"USE1-stream.memory.8xlarge-al-fl","Streaming:001","Fleet","244",,"None","us-east-1","Amazon AppStream","N/A"
"38XSUD44SDZGJM8B","JRTCKXETXF","38XSUD44SDZGJM8B.JRTCKXETXF.6YS6EN2CT7","OnDemand","$2.70 per hour for running a stream.memory.z1d.3xlarge ImageBuilder instance in AWS region US East (N. Virginia)","2025-04-01","0","Inf","hour","2.7000000000","USD","Streaming Instance","AmazonAppStream","US East (N. Virginia)","AWS Region","stream.memory.z1d.3xlarge","Memory optimized","12","Windows",,"USE1-stream.memory.z1d.3xlarge-ib","Streaming:001","ImageBuilder","96",,"License Included","us-east-1","Amazon AppStream","N/A"
"3HJ4FY73EHA7A2SJ","JRTCKXETXF","3HJ4FY73EHA7A2SJ.JRTCKXETXF.6YS6EN2CT7","OnDemand","$8.62 per hour for Multi-Session Fleet-stream.graphics.g4dn.12xlarge in US East (N. Virginia) ","2025-04-01","0","Inf","hour","8.6200000000","USD",,"AmazonAppStream","US East (N. Virginia)","AWS Region","stream.graphics.g4dn.12xlarge",,"48","Windows",,"USE1-stream.graphics.g4dn.12xlarge-fl","Streaming:002","MultiSessionFleet",,"true","License Included","us-east-1","Amazon AppStream","64"
"3JCBFAQWDV3H567A","JRTCKXETXF","3JCBFAQWDV3H567A.JRTCKXETXF.6YS6EN2CT7","OnDemand","$9.655 per hour for Red Hat Enterprise Linux ImageBuilder stream.graphics.g5.16xlarge in US East (N. Virginia)","2025-04-01","0","Inf","hour","9.6550000000","USD","Streaming Instance","AmazonAppStream","US East (N. Virginia)","AWS Region","stream.graphics.g5.16xlarge","Graphics G5","64","Red Hat Enterprise Linux",,"USE1-stream.graphics.g5.16xlarge-rh-ib","Streaming:001","ImageBuilder","256","false","License Included","us-east-1","Amazon AppStream","24"
"3KDUHBJSX6G54GH2","JRTCKXETXF","3KDUHBJSX6G54GH2.JRTCKXETXF.6YS6EN2CT7","OnDemand","$3.255 per hour for Red Hat Enterprise Linux ImageBuilder stream.graphics.g5.4xlarge in US East (N. Virginia)","2025-04-01","0","Inf","hour","3.2550000000","USD","Streaming Instance","AmazonAppStream","US East (N. Virginia)","AWS Region","stream.graphics.g5.4xlarge","Graphics G5","16","Red Hat Enterprise Linux",,"USE1-stream.graphics.g5.4xlarge-rh-ib","Streaming:001","ImageBuilder","64","false","License Included","us-east-1","Amazon AppStream","24"
"3U5TMXDXYPKWRZXE","JRTCKXETXF","3U5TMXDXYPKWRZXE.JRTCKXETXF.6YS6EN2CT7","OnDemand","$3.32 per hour for a Linux stream.graphics.g5.4xlarge Image Builder instance in EU (London)","2025-04-01","0","Inf","hour","5.1800000000","USD","Streaming Instance","AmazonAppStream","US East (N. Virginia)","AWS Region","stream.graphics.g5.8xlarge","Graphics G5","32","Amazon Linux",,"USE1-stream.graphics.g5.8xlarge-al-ib","Streaming:001","ImageBuilder","128",,"None","us-east-1","Amazon AppStream","24"
"3UC88YYSRACRJ2HV","JRTCKXETXF","3UC88YYSRACRJ2HV.JRTCKXETXF.6YS6EN2CT7","OnDemand","$2 per hour for stream.compute.4xlarge Multi-Session Fleet instance in AWS region US East (N. Virginia) ","2025-04-01","0","Inf","hour","2.0000000000","USD",,"AmazonAppStream","US East (N. Virginia)","AWS Region","stream.compute.4xlarge",,"16","Windows",,"USE1-stream.compute.4xlarge-fl","Streaming:002","MultiSessionFleet",,"true","License Included","us-east-1","Amazon AppStream","N/A"
