"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2025-05-21T15:09:03Z"
"Version","20250521150903"
"OfferCode","AmazonBedrock"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Location","Location Type","usageType","operation","Architecture","Architecture Name","Custom Model Unit Version","Feature","Feature Type","Inference Type","Model","Model Unit","Policy Type","Provider","Region Code","serviceName","Titan Model","Titan Model Unit"
"2G2HBKD9KHKZYYF4","JRTCKXETXF","2G2HBKD9KHKZYYF4.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.02 per image for TitanImageGeneratorG1-Custom-T2I-1024-Standard in US East (N. Virginia)","2025-05-01","0","Inf","image","0.0200000000","USD","Amazon Bedrock","AmazonBedrock","US East (N. Virginia)","AWS Region","USE1-TitanImageGeneratorG1-Custom-T2I-1024-Standard","",,,,"On-demand Inference",,"Custom T2I 1024 Standard",,,,,"us-east-1","Amazon Bedrock","Titan Image Generator G1",
"2RAQB5TFMNEME2NF","JRTCKXETXF","2RAQB5TFMNEME2NF.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00135 per 1K input tokens for R1 in US East (N. Virginia)","2025-05-01","0","Inf","1K tokens","0.0013500000","USD","Amazon Bedrock","AmazonBedrock","US East (N. Virginia)","AWS Region","USE1-DeepSeek-R1-input-tokens","",,,,"On-demand Inference",,"Input tokens","R1",,,"DeepSeek","us-east-1","Amazon Bedrock",,
"3FCUBZTU3FT23U4G","JRTCKXETXF","3FCUBZTU3FT23U4G.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.0785 per Custom Model Unit/Minute Inference for GPTBigCode architecture models in US East (N. Virginia)","2025-05-01","0","Inf","Custom Model Unit per Min","0.0785000000","USD","Amazon Bedrock","AmazonBedrock","US East (N. Virginia)","AWS Region","USE1-GPTBigCode-CustomModelImport-Inference-v1:0","","GPT_BigCode","GPTBigCode","v1.0","Custom Model Import","Inference",,,,,,"us-east-1","Amazon Bedrock",,
"3G679R3Y8YSQSJTA","JRTCKXETXF","3G679R3Y8YSQSJTA.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00800 per 1K tokens for Claude2.0-input-tokens inUS East (N. Virginia)","2025-05-01","0","Inf","1K tokens","0.0080000000","USD","Amazon Bedrock","AmazonBedrock","US East (N. Virginia)","AWS Region","USE1-Claude2.0-input-tokens","",,,,"On-demand Inference",,"Input tokens","Claude 2.0",,,"Anthropic","us-east-1","Amazon Bedrock",,
"3JNTRZ2W52XPU7HX","JRTCKXETXF","3JNTRZ2W52XPU7HX.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00012 per 1K input tokens for Llama 4 Maverick 17B in US East (N. Virginia) for Batch","2025-05-01","0","Inf","1K tokens","0.0001200000","USD","Amazon Bedrock","AmazonBedrock","US East (N. Virginia)","AWS Region","USE1-Llama4-Maverick-17B-input-tokens-batch","",,,,"Batch Inference",,"Input tokens","Llama 4 Maverick 17B",,,"Meta","us-east-1","Amazon Bedrock",,
"3NP8MFA6VDFKN236","JRTCKXETXF","3NP8MFA6VDFKN236.JRTCKXETXF.6YS6EN2CT7","OnDemand","$13 per hour for TitanImageGeneratorG1-ProvisionedThroughput-6months-ModelUnit in US East (N. Virginia)","2025-05-01","0","Inf","hour","13.0000000000","USD","Amazon Bedrock","AmazonBedrock","US East (N. Virginia)","AWS Region","USE1-TitanImageGeneratorG1-ProvisionedThroughput-6months-ModelUnits","",,,,"Provisioned Throughput Inference - 6 months",,,,,,,"us-east-1","Amazon Bedrock",,"Titan Image Generator G1"
"3NRMZNF7G8SFHU4N","JRTCKXETXF","3NRMZNF7G8SFHU4N.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00017 per 1K input tokens for Llama 4 Scout 17B in US East (N. Virginia)","2025-05-01","0","Inf","1K tokens","0.0001700000","USD","Amazon Bedrock","AmazonBedrock","US East (N. Virginia)","AWS Region","USE1-Llama4-Scout-17B-input-tokens","",,,,"On-demand Inference",,"Input tokens","Llama 4 Scout 17B",,,"Meta","us-east-1","Amazon Bedrock",,
"3Q5Y2YP2TPD7WDZU","JRTCKXETXF","3Q5Y2YP2TPD7WDZU.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.0034 per 1K tokens for USE1-NovaSonic-input-tokens in US East (N. Virginia)","2025-05-01","0","Inf","1K tokens","0.0034000000","USD","Amazon Bedrock","AmazonBedrock","US East (N. Virginia)","AWS Region","USE1-NovaSonic-input-tokens","",,,,"On-demand Inference",,"Input tokens","Nova Sonic",,,,"us-east-1","Amazon Bedrock",,
"3QANEPRCZ37G5WQU","JRTCKXETXF","3QANEPRCZ37G5WQU.JRTCKXETXF.6YS6EN2CT7","OnDemand","0.06 USD of Nova Canvas in us-east-1","2025-05-01","0","Inf","image","0.0600000000","USD","Amazon Bedrock","AmazonBedrock","US East (N. Virginia)","AWS Region","USE1-NovaCanvas-I2I-2048-Standard","",,,,"On-demand Inference",,"I2I 2048 Standard","Nova Canvas",,,,"us-east-1","Amazon Bedrock",,
"3SFRGB3RMCPNKT94","JRTCKXETXF","3SFRGB3RMCPNKT94.JRTCKXETXF.6YS6EN2CT7","OnDemand","$14.8 per hour for TitanTextG1-Express-ProvisionedThroughput-6months-ModelUnit in US East (N. Virginia)","2025-05-01","0","Inf","hour","14.8000000000","USD","Amazon Bedrock","AmazonBedrock","US East (N. Virginia)","AWS Region","USE1-TitanTextG1-Express-ProvisionedThroughput-6months-ModelUnits","",,,,"Provisioned Throughput Inference - 6 months",,,,,,,"us-east-1","Amazon Bedrock",,"Titan Text G1 Express"
"3ZF5XYEX95Z6MCFU","JRTCKXETXF","3ZF5XYEX95Z6MCFU.JRTCKXETXF.6YS6EN2CT7","OnDemand","$1.95 per Model/month for Nova Pro in us-east-1(N. Virginia)","2025-05-01","0","Inf","Model/month","1.9500000000","USD","Amazon Bedrock","AmazonBedrock","US East (N. Virginia)","AWS Region","USE1-NovaPro-Customization-Storage","",,,,"Model Customization","Storage",,"Nova Pro",,,,"us-east-1","Amazon Bedrock",,
"44TRDQ7J9BB94NMQ","JRTCKXETXF","44TRDQ7J9BB94NMQ.JRTCKXETXF.6YS6EN2CT7","OnDemand","$6.4 per hour for TitanEmbeddingsG1-Text-ProvisionedThroughput-1month-ModelUnit in US East (N. Virginia)","2025-05-01","0","Inf","hour","6.4000000000","USD","Amazon Bedrock","AmazonBedrock","US East (N. Virginia)","AWS Region","USE1-TitanEmbeddingsG1-Text-ProvisionedThroughput-1month-ModelUnits","",,,,"Provisioned Throughput Inference - 1 month",,,,,,,"us-east-1","Amazon Bedrock",,"Titan Embeddings G1 Text"
"46BCPSFY57NVQ3DW","JRTCKXETXF","46BCPSFY57NVQ3DW.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.002 per 1K input tokens for Pixtral Large 25.02 in US East (N. Virginia)","2025-05-01","0","Inf","1K tokens","0.0020000000","USD","Amazon Bedrock","AmazonBedrock","US East (N. Virginia)","AWS Region","USE1-PixtralLarge2502-input-tokens","",,,,"On-demand Inference",,"Input tokens","Pixtral Large 25.02",,,"Mistral","us-east-1","Amazon Bedrock",,
"49XK3TDNJEEGFWQP","JRTCKXETXF","49XK3TDNJEEGFWQP.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.0785 per Custom Model Unit/Minute Inference for Mistral architecture models in US East (N. Virginia)","2025-05-01","0","Inf","Custom Model Unit per Min","0.0785000000","USD","Amazon Bedrock","AmazonBedrock","US East (N. Virginia)","AWS Region","USE1-Mistral-CustomModelImport-Inference-v1:0","","Mistral","Mistral","v1.0","Custom Model Import","Inference",,,,,,"us-east-1","Amazon Bedrock",,
"4ASTT45AZWG9YMNY","JRTCKXETXF","4ASTT45AZWG9YMNY.JRTCKXETXF.6YS6EN2CT7","OnDemand","$32.25 per hour for TitanTextG1-Premier-ProvisionedThroughput-custom-NoCommit-ModelUnits in US East (N. Virginia)","2025-05-01","0","Inf","hour","32.2500000000","USD","Amazon Bedrock","AmazonBedrock","US East (N. Virginia)","AWS Region","USE1-TitanText-Premier-ProvisionedThroughput-Custom-NoCommit-ModelUnits","",,,,"Provisioned Throughput Inference - Custom - no commit",,,,,,,"us-east-1","Amazon Bedrock",,"titan text g1 premier"
