"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2023-01-17T19:10:41Z"
"Version","20230117191041"
"OfferCode","AmazonChimeBusinessCalling"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Location","Location Type","usageType","operation","FromCountry","messagetype","NumberType","Region Code","serviceName","ToCountry"
"28KYHXVHBPUUD2UB","JRTCKXETXF","28KYHXVHBPUUD2UB.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.0 per sms-message for JE-US-sms-message-Received in US East (N. Virginia)","2021-02-01","0","Inf","sms-message","0.0000000000","USD","AmazonChimeBusinessCalling","AmazonChimeBusinessCalling","US East (N. Virginia)","AWS Region","USE1-JE-US-sms-message-Received","","Jersey","Received",,"us-east-1","Amazon Chime Business Calling a service sold by AMCS LLC","United States of America"
"2J6ZC538K44H2Z6P","JRTCKXETXF","2J6ZC538K44H2Z6P.JRTCKXETXF.6YS6EN2CT7","OnDemand","Per minute charge for calls made from United States of America to Costa Rica","2021-02-01","0","Inf","minutes","0.1486500000","USD","AmazonChimeBusinessCalling","AmazonChimeBusinessCalling","US East (N. Virginia)","AWS Region","USE1-US-CR-outbound-minutes","","United States of America",,,"us-east-1","Amazon Chime Business Calling a service sold by AMCS LLC","Costa Rica"
"2JNTPNBSGBHMCRRC","JRTCKXETXF","2JNTPNBSGBHMCRRC.JRTCKXETXF.6YS6EN2CT7","OnDemand","SMS message received from Dominica to United States of America","2021-02-01","0","Inf","sms-message","0.0000000000","USD","AmazonChimeBusinessCalling","AmazonChimeBusinessCalling","US East (N. Virginia)","AWS Region","USE1-DM-US-sms-message-Received","","Dominica","Received",,"us-east-1","Amazon Chime Business Calling a service sold by AMCS LLC","United States of America"
"2K4SBVUKKEQXRAUQ","JRTCKXETXF","2K4SBVUKKEQXRAUQ.JRTCKXETXF.6YS6EN2CT7","OnDemand","Per minute charge for calls made from United States of America to South Africa","2021-02-01","0","Inf","minutes","0.0273250000","USD","AmazonChimeBusinessCalling","AmazonChimeBusinessCalling","US East (N. Virginia)","AWS Region","USE1-US-ZA-outbound-minutes","","United States of America",,,"us-east-1","Amazon Chime Business Calling a service sold by AMCS LLC","South Africa"
"2XBGDJSU5VGFDAKF","JRTCKXETXF","2XBGDJSU5VGFDAKF.JRTCKXETXF.6YS6EN2CT7","OnDemand","Per minute charge for calls made from United States of America to Bahrain","2021-02-01","0","Inf","minutes","0.2668500000","USD","AmazonChimeBusinessCalling","AmazonChimeBusinessCalling","US East (N. Virginia)","AWS Region","USE1-US-BH-outbound-minutes","","United States of America",,,"us-east-1","Amazon Chime Business Calling a service sold by AMCS LLC","Bahrain"
"2Y3K5RSRH56NS9Q9","JRTCKXETXF","2Y3K5RSRH56NS9Q9.JRTCKXETXF.6YS6EN2CT7","OnDemand","Per number charge for US numbers","2021-02-01","0","Inf","NumberMonths","1.0000000000","USD","AmazonChimeBusinessCalling","AmazonChimeBusinessCalling","US East (N. Virginia)","AWS Region","USE1-US-did-numberscharge","","United States of America",,"DDI","us-east-1","Amazon Chime Business Calling a service sold by AMCS LLC",
"2YC63PNT4J2UDPQX","JRTCKXETXF","2YC63PNT4J2UDPQX.JRTCKXETXF.6YS6EN2CT7","OnDemand","Per minute charge for calls made from United States of America to Fiji","2021-02-01","0","Inf","minutes","0.5358000000","USD","AmazonChimeBusinessCalling","AmazonChimeBusinessCalling","US East (N. Virginia)","AWS Region","USE1-US-FJ-outbound-minutes","","United States of America",,,"us-east-1","Amazon Chime Business Calling a service sold by AMCS LLC","Fiji"
"32Y25NDQZFJ5A88B","JRTCKXETXF","32Y25NDQZFJ5A88B.JRTCKXETXF.6YS6EN2CT7","OnDemand","SMS message received from Congo to United States of America","2021-02-01","0","Inf","sms-message","0.0000000000","USD","AmazonChimeBusinessCalling","AmazonChimeBusinessCalling","US East (N. Virginia)","AWS Region","USE1-CG-US-sms-message-Received","","Congo","Received",,"us-east-1","Amazon Chime Business Calling a service sold by AMCS LLC","United States of America"
"3343BWQBQVNS5GFV","JRTCKXETXF","3343BWQBQVNS5GFV.JRTCKXETXF.6YS6EN2CT7","OnDemand","Per minute charge for calls made from United States of America to Mauritius","2021-02-01","0","Inf","minutes","0.3036000000","USD","AmazonChimeBusinessCalling","AmazonChimeBusinessCalling","US East (N. Virginia)","AWS Region","USE1-US-MU-outbound-minutes","","United States of America",,,"us-east-1","Amazon Chime Business Calling a service sold by AMCS LLC","Mauritius"
"3AT9BQA9RFYG5EVP","JRTCKXETXF","3AT9BQA9RFYG5EVP.JRTCKXETXF.6YS6EN2CT7","OnDemand","Per minute charge for calls made from United States of America to Saudi Arabia","2021-02-01","0","Inf","minutes","0.2127000000","USD","AmazonChimeBusinessCalling","AmazonChimeBusinessCalling","US East (N. Virginia)","AWS Region","USE1-US-SA-outbound-minutes","","United States of America",,,"us-east-1","Amazon Chime Business Calling a service sold by AMCS LLC","Saudi Arabia"
