"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2021-11-19T23:44:39Z"
"Version","20211119234439"
"OfferCode","AmazonChimeCallMeAMCS"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Location","Location Type","usageType","operation","Country","PrimaryPlaceOfUse","Region Code","serviceName","ToCountry"
"N6F5Q46C9JAKJ5WP","JRTCKXETXF","N6F5Q46C9JAKJ5WP.JRTCKXETXF.6YS6EN2CT7","OnDemand","Call me minute usage to Austria","2021-06-01","0","Inf","callme-minutes","0.0380000000","USD","AmazonChimeCallMeProductFamily","AmazonChimeCallMeAMCS","US East (N. Virginia)","AWS Region","USE1-US-AT-callme-minutes","","United States of America","Customer Billing Address","us-east-1","Amazon Chime Call Me a service sold by AMCS LLC","Austria"
"H23UMPKGFUV8U5D5","JRTCKXETXF","H23UMPKGFUV8U5D5.JRTCKXETXF.6YS6EN2CT7","OnDemand","Call me minute usage to Peru","2021-06-01","0","Inf","callme-minutes","0.0645500000","USD","AmazonChimeCallMeProductFamily","AmazonChimeCallMeAMCS","US East (N. Virginia)","AWS Region","USE1-US-PE-callme-minutes","","United States of America","Customer Billing Address","us-east-1","Amazon Chime Call Me a service sold by AMCS LLC","Peru"
"QKAASF4VHVAZXVN8","JRTCKXETXF","QKAASF4VHVAZXVN8.JRTCKXETXF.6YS6EN2CT7","OnDemand","Call me minute usage to Mexico","2021-06-01","0","Inf","callme-minutes","0.0162500000","USD","AmazonChimeCallMeProductFamily","AmazonChimeCallMeAMCS","US East (N. Virginia)","AWS Region","USE1-US-MX-callme-minutes","","United States of America","Customer Billing Address","us-east-1","Amazon Chime Call Me a service sold by AMCS LLC","Mexico"
"5ZEN4D37NCPQGMW9","JRTCKXETXF","5ZEN4D37NCPQGMW9.JRTCKXETXF.6YS6EN2CT7","OnDemand","Call me minute usage to Sweden","2021-06-01","0","Inf","callme-minutes","0.0253600000","USD","AmazonChimeCallMeProductFamily","AmazonChimeCallMeAMCS","US East (N. Virginia)","AWS Region","USE1-US-SE-callme-minutes","","United States of America","Customer Billing Address","us-east-1","Amazon Chime Call Me a service sold by AMCS LLC","Sweden"
"JJYBNN8T8ABYKN7D","JRTCKXETXF","JJYBNN8T8ABYKN7D.JRTCKXETXF.6YS6EN2CT7","OnDemand","Call me minute usage to Israel","2021-06-01","0","Inf","callme-minutes","0.0386800000","USD","AmazonChimeCallMeProductFamily","AmazonChimeCallMeAMCS","US East (N. Virginia)","AWS Region","USE1-US-IL-callme-minutes","","United States of America","Customer Billing Address","us-east-1","Amazon Chime Call Me a service sold by AMCS LLC","Israel"
"4TDN2YAZWFRR2KRM","JRTCKXETXF","4TDN2YAZWFRR2KRM.JRTCKXETXF.6YS6EN2CT7","OnDemand","Call me minute usage to United Kingdom","2021-06-01","0","Inf","callme-minutes","0.0190000000","USD","AmazonChimeCallMeProductFamily","AmazonChimeCallMeAMCS","US East (N. Virginia)","AWS Region","USE1-US-GB-callme-minutes","","United States of America","Customer Billing Address","us-east-1","Amazon Chime Call Me a service sold by AMCS LLC","United Kingdom"
"3E28UYNK72Y46X2K","JRTCKXETXF","3E28UYNK72Y46X2K.JRTCKXETXF.6YS6EN2CT7","OnDemand","Call me minute usage to Australia","2021-06-01","0","Inf","callme-minutes","0.0476800000","USD","AmazonChimeCallMeProductFamily","AmazonChimeCallMeAMCS","US East (N. Virginia)","AWS Region","USE1-US-AU-callme-minutes","","United States of America","Customer Billing Address","us-east-1","Amazon Chime Call Me a service sold by AMCS LLC","Australia"
"AJAUU6XVB5NASW66","JRTCKXETXF","AJAUU6XVB5NASW66.JRTCKXETXF.6YS6EN2CT7","OnDemand","Call me minute usage to Ireland","2021-06-01","0","Inf","callme-minutes","0.0289100000","USD","AmazonChimeCallMeProductFamily","AmazonChimeCallMeAMCS","US East (N. Virginia)","AWS Region","USE1-US-IE-callme-minutes","","United States of America","Customer Billing Address","us-east-1","Amazon Chime Call Me a service sold by AMCS LLC","Ireland"
"5P3TCZ849JR7F84Z","JRTCKXETXF","5P3TCZ849JR7F84Z.JRTCKXETXF.6YS6EN2CT7","OnDemand","Call me minute usage to Brazil","2021-06-01","0","Inf","callme-minutes","0.0684100000","USD","AmazonChimeCallMeProductFamily","AmazonChimeCallMeAMCS","US East (N. Virginia)","AWS Region","USE1-US-BR-callme-minutes","","United States of America","Customer Billing Address","us-east-1","Amazon Chime Call Me a service sold by AMCS LLC","Brazil"
"CXFQKW89DD2YAXA5","JRTCKXETXF","CXFQKW89DD2YAXA5.JRTCKXETXF.6YS6EN2CT7","OnDemand","Call me minute usage to Germany","2021-06-01","0","Inf","callme-minutes","0.0389200000","USD","AmazonChimeCallMeProductFamily","AmazonChimeCallMeAMCS","US East (N. Virginia)","AWS Region","USE1-US-DE-callme-minutes","","United States of America","Customer Billing Address","us-east-1","Amazon Chime Call Me a service sold by AMCS LLC","Germany"
