"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2022-03-11T17:14:13Z"
"Version","20220311171413"
"OfferCode","AmazonChimeDialInAMCS"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Location","Location Type","usageType","operation","Calling Type","Country","PrimaryPlaceOfUse","Region Code","serviceName","Transaction Type"
"2CWXXHQSXE4PJTNC","JRTCKXETXF","2CWXXHQSXE4PJTNC.JRTCKXETXF.6YS6EN2CT7","OnDemand","Per minute of Toll rate for Jamaica","2022-03-01","0","Inf","Minute","0.0022160000","USD","AmazonChimeDialinProductFamily","AmazonChimeDialInAMCS","US East (N. Virginia)","AWS Region","USE1-JM-toll-inbound-mins","","Toll","Jamaica","Customer Billing Address","us-east-1","Amazon Chime Dial In a service sold by AMCS LLC","Telecom"
"2E9CNGEBYRSPXA8U","JRTCKXETXF","2E9CNGEBYRSPXA8U.JRTCKXETXF.6YS6EN2CT7","OnDemand","Per minute of Toll rate for Turks and Caicos Islands","2022-03-01","0","Inf","Minute","0.0022160000","USD","AmazonChimeDialinProductFamily","AmazonChimeDialInAMCS","US East (N. Virginia)","AWS Region","USE1-TC-toll-inbound-mins","","Toll","Turks and Caicos Islands","Customer Billing Address","us-east-1","Amazon Chime Dial In a service sold by AMCS LLC","Telecom"
"2GJGPAHB96KS43EU","JRTCKXETXF","2GJGPAHB96KS43EU.JRTCKXETXF.6YS6EN2CT7","OnDemand","Per minute of Toll rate for Lithuania","2022-03-01","0","Inf","Minute","0.0070360000","USD","AmazonChimeDialinProductFamily","AmazonChimeDialInAMCS","US East (N. Virginia)","AWS Region","USE1-LT-toll-inbound-mins","","Toll","Lithuania","Customer Billing Address","us-east-1","Amazon Chime Dial In a service sold by AMCS LLC","Telecom"
"2P42K84RXK2UYPCW","JRTCKXETXF","2P42K84RXK2UYPCW.JRTCKXETXF.6YS6EN2CT7","OnDemand","Per minute of Toll rate for Taiwan, Republic of China","2022-03-01","0","Inf","Minute","0.0389390000","USD","AmazonChimeDialinProductFamily","AmazonChimeDialInAMCS","US East (N. Virginia)","AWS Region","USE1-TW-toll-inbound-mins","","Toll","Taiwan, Republic of China","Customer Billing Address","us-east-1","Amazon Chime Dial In a service sold by AMCS LLC","Telecom"
"37JUCVCSU874CHXG","JRTCKXETXF","37JUCVCSU874CHXG.JRTCKXETXF.6YS6EN2CT7","OnDemand","Per minute of Toll rate for Virgin Islands, US","2022-03-01","0","Inf","Minute","0.0022160000","USD","AmazonChimeDialinProductFamily","AmazonChimeDialInAMCS","US East (N. Virginia)","AWS Region","USE1-VI-toll-inbound-mins","","Toll","Virgin Islands, US","Customer Billing Address","us-east-1","Amazon Chime Dial In a service sold by AMCS LLC","Telecom"
"3JCV6HP9JRHXBRQU","JRTCKXETXF","3JCV6HP9JRHXBRQU.JRTCKXETXF.6YS6EN2CT7","OnDemand","Per minute of Toll Free rate for Mexico","2022-03-01","0","Inf","Minute","0.0919710000","USD","AmazonChimeDialinProductFamily","AmazonChimeDialInAMCS","US East (N. Virginia)","AWS Region","USE1-MX-tollfree-inbound-mins","","Toll Free","Mexico","Customer Billing Address","us-east-1","Amazon Chime Dial In a service sold by AMCS LLC","Telecom"
"3JZYDSPMUTZP9H9N","JRTCKXETXF","3JZYDSPMUTZP9H9N.JRTCKXETXF.6YS6EN2CT7","OnDemand","Per minute of Toll Free rate for Spain","2022-03-01","0","Inf","Minute","0.3384300000","USD","AmazonChimeDialinProductFamily","AmazonChimeDialInAMCS","US East (N. Virginia)","AWS Region","USE1-ES-tollfree-inbound-mins","","Toll Free","Spain","Customer Billing Address","us-east-1","Amazon Chime Dial In a service sold by AMCS LLC","Telecom"
"42X3253FM47N3XU6","JRTCKXETXF","42X3253FM47N3XU6.JRTCKXETXF.6YS6EN2CT7","OnDemand","Per minute of Toll Free rate for Estonia","2022-03-01","0","Inf","Minute","0.9660000000","USD","AmazonChimeDialinProductFamily","AmazonChimeDialInAMCS","US East (N. Virginia)","AWS Region","USE1-EE-tollfree-inbound-mins","","Toll Free","Estonia","Customer Billing Address","us-east-1","Amazon Chime Dial In a service sold by AMCS LLC","Telecom"
"43FPSMVC55TTGCC6","JRTCKXETXF","43FPSMVC55TTGCC6.JRTCKXETXF.6YS6EN2CT7","OnDemand","Per minute of Toll Free rate for Saint-Martin (French part)","2022-03-01","0","Inf","Minute","0.0119100000","USD","AmazonChimeDialinProductFamily","AmazonChimeDialInAMCS","US East (N. Virginia)","AWS Region","USE1-MF-tollfree-inbound-mins","","Toll Free","Saint-Martin (French part)","Customer Billing Address","us-east-1","Amazon Chime Dial In a service sold by AMCS LLC","Telecom"
"4ESXE4WKBSNQS9RN","JRTCKXETXF","4ESXE4WKBSNQS9RN.JRTCKXETXF.6YS6EN2CT7","OnDemand","Per minute of Toll rate for Hungary","2022-03-01","0","Inf","Minute","0.0844000000","USD","AmazonChimeDialinProductFamily","AmazonChimeDialInAMCS","US East (N. Virginia)","AWS Region","USE1-HU-toll-inbound-mins","","Toll","Hungary","Customer Billing Address","us-east-1","Amazon Chime Dial In a service sold by AMCS LLC","Telecom"
