"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2024-09-18T15:06:03Z"
"Version","20240918150603"
"OfferCode","AmazonChimeFeatures"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Location","Location Type","usageType","operation","License Type","PrimaryPlaceOfUse","Region Code","serviceName","TransactionType"
"23X2DJVT7DEMX9YY","JRTCKXETXF","23X2DJVT7DEMX9YY.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.002 per minutes for SIP-Media-App-Minutes in US East (N. Virginia)","2024-09-01","0","Inf","minutes","0.0020000000","USD","AmazonChime","AmazonChimeFeatures","US East (N. Virginia)","AWS Region","USE1-SIP-Media-App-Minutes","","Sip_Media","Customer Billing Address","us-east-1","Amazon Chime Features","AWS"
"3283JEGG2CATAQ43","JRTCKXETXF","3283JEGG2CATAQ43.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.000003 per control message sent with Amazon Chime Chat SDK.","2024-09-01","0","Inf","Messages","0.0000030000","USD","AmazonChime","AmazonChimeFeatures","US East (N. Virginia)","AWS Region","USE1-SDK-Messaging-ControlMessages","","Control","Customer Billing Address","us-east-1","Amazon Chime Features","AWS"
"32AWQE5PWWD7CZGY","JRTCKXETXF","32AWQE5PWWD7CZGY.JRTCKXETXF.6YS6EN2CT7","OnDemand","$5 per GB/mo storage.","2024-09-01","0","Inf","GigaBytes","5.0000000000","USD","AmazonChime","AmazonChimeFeatures","US East (N. Virginia)","AWS Region","USE1-SDK-Messaging-Storage","","Storage","Customer Billing Address","us-east-1","Amazon Chime Features","AWS"
"3PP8ATEJZT2UDJUN","JRTCKXETXF","3PP8ATEJZT2UDJUN.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.0045 per minutes for SMA-VoiceFocus minutes in US East (N. Virginia)","2024-09-01","0","Inf","minutes","0.0045000000","USD","AmazonChime","AmazonChimeFeatures","US East (N. Virginia)","AWS Region","USE1-SMA-VoiceFocus-Minutes","","VoiceFocus","Customer Billing Address","us-east-1","Amazon Chime Features","AWS"
"47SSS7JRV7EYT7YH","JRTCKXETXF","47SSS7JRV7EYT7YH.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.09 per minutes for Media-Pipelines-Compositing-Live-Connector-HD in US East (N. Virginia)","2024-09-01","0","Inf","minutes","0.0900000000","USD","AmazonChime","AmazonChimeFeatures","US East (N. Virginia)","AWS Region","USE1-Media-Pipelines-Compositing-Live-Connector-HD","","Compositing-Live-Connector-HD","Customer Billing Address","us-east-1","Amazon Chime Features","AWS"
"4DKFMHS8R36CMMC4","JRTCKXETXF","4DKFMHS8R36CMMC4.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00001 per Notifications for SDK-Messaging-PushNotificationRecipients in US East (N. Virginia)","2024-09-01","0","Inf","Notifications","0.0000100000","USD","AmazonChime","AmazonChimeFeatures","US East (N. Virginia)","AWS Region","USE1-SDK-Messaging-PushNotificationRecipients","","PushNotification","Customer Billing Address","us-east-1","Amazon Chime Features","AWS"
"5AM5CFXFRDR37E6D","JRTCKXETXF","5AM5CFXFRDR37E6D.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.125 per minutes for Media-Pipelines-Compositing-Live-Connector-FHD in US East (N. Virginia)","2024-09-01","0","Inf","minutes","0.1250000000","USD","AmazonChime","AmazonChimeFeatures","US East (N. Virginia)","AWS Region","USE1-Media-Pipelines-Compositing-Live-Connector-FHD","","Compositing-Live-Connector-FHD","Customer Billing Address","us-east-1","Amazon Chime Features","AWS"
"7GV2D7FDZEJGQTVG","JRTCKXETXF","7GV2D7FDZEJGQTVG.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.0017 per minutes for each video capture stream","2024-09-01","0","Inf","minutes","0.0017000000","USD","AmazonChime","AmazonChimeFeatures","US East (N. Virginia)","AWS Region","USE1-Media-Pipelines-VideoCapture","","ContentCapture","Customer Billing Address","us-east-1","Amazon Chime Features","AWS"
"9SHZNEZMHT4SRHJB","JRTCKXETXF","9SHZNEZMHT4SRHJB.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.0028 per minutes for VC-kinesis-audio-streaming in US East (N. Virginia)","2024-09-01","0","Inf","minutes","0.0028000000","USD","AmazonChime","AmazonChimeFeatures","US East (N. Virginia)","AWS Region","USE1-VC-kinesis-audio-streaming","","audio_stream","Customer Billing Address","us-east-1","Amazon Chime Features","AWS"
"C8WPHS3QDUA4XP7S","JRTCKXETXF","C8WPHS3QDUA4XP7S.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.0017 per minutes for each content capture stream","2024-09-01","0","Inf","minutes","0.0017000000","USD","AmazonChime","AmazonChimeFeatures","US East (N. Virginia)","AWS Region","USE1-Media-Pipelines-ContentCapture","","VideoCapture","Customer Billing Address","us-east-1","Amazon Chime Features","AWS"
