"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2022-11-22T17:04:56Z"
"Version","20221122170456"
"OfferCode","AmazonCloudSearch"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Location","Location Type","Instance Type","Group","Group Description","usageType","operation","Cloud Search Version","Region Code","serviceName"
"2A9UBTWVQZQNU4M8","JRTCKXETXF","2A9UBTWVQZQNU4M8.JRTCKXETXF.6YS6EN2CT7","OnDemand","$1.225 per search.m2.4xlarge instance-hour (or partial hour) running CloudSearch 2013","2021-08-01","0","Inf","Hrs","1.2250000000","USD","Search Instance","AmazonCloudSearch","US East (N. Virginia)","AWS Region","m2.4xlarge",,,"SearchInstance:m2.4xlarge","CSDomain:002","2013","us-east-1","Amazon CloudSearch"
"3AHRX7TTFYWTJTQC","JRTCKXETXF","3AHRX7TTFYWTJTQC.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.613 per search.previousgeneration.2xlarge instance-hour (or partial hour) running CloudSearch 2011","2021-08-01","0","Inf","Hrs","0.6130000000","USD","Search Instance","AmazonCloudSearch","US East (N. Virginia)","AWS Region","search.previousgeneration.2xlarge",,,"SearchInstance:search.previousgeneration.2xlarge","CSDomain:001","2011","us-east-1","Amazon CloudSearch"
"3H86KJF5QH4GSYRF","JRTCKXETXF","3H86KJF5QH4GSYRF.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.752 per search.2xlarge instance-hour (or partial hour) running CloudSearch 2013","2021-08-01","0","Inf","Hrs","0.7520000000","USD","Search Instance","AmazonCloudSearch","US East (N. Virginia)","AWS Region","search.2xlarge",,,"SearchInstance:search.2xlarge","CSDomain:002","2013","us-east-1","Amazon CloudSearch"
"3WG5TSQ86UF673EQ","JRTCKXETXF","3WG5TSQ86UF673EQ.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.236 per search.m1.large instance-hour (or partial hour) running CloudSearch 2013","2021-08-01","0","Inf","Hrs","0.2360000000","USD","Search Instance","AmazonCloudSearch","US East (N. Virginia)","AWS Region","m1.large",,,"SearchInstance:m1.large","CSDomain:002","2013","us-east-1","Amazon CloudSearch"
"7CRJ42JVNEH5A2XT","JRTCKXETXF","7CRJ42JVNEH5A2XT.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.376 per search.xlarge instance-hour (or partial hour) running CloudSearch 2011","2021-08-01","0","Inf","Hrs","0.3760000000","USD","Search Instance","AmazonCloudSearch","US East (N. Virginia)","AWS Region","search.xlarge",,,"SearchInstance:search.xlarge","CSDomain:001","2011","us-east-1","Amazon CloudSearch"
"8BRT39P8W5N4KBA4","JRTCKXETXF","8BRT39P8W5N4KBA4.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.98 per GB processed by IndexDocuments requests running CloudSearch 2011","2021-08-01","0","Inf","GB","0.9800000000","USD","API Request","AmazonCloudSearch","US East (N. Virginia)","AWS Region",,"IndexDocuments","IndexDocuments request to rebuild the index","IndexDocuments","CSDomain:001","2011","us-east-1","Amazon CloudSearch"
"99T7U3YTKEJ8DPWJ","JRTCKXETXF","99T7U3YTKEJ8DPWJ.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.059 per search.previousgeneration.small instance-hour (or partial hour) running CloudSearch 2011","2021-08-01","0","Inf","Hrs","0.0590000000","USD","Search Instance","AmazonCloudSearch","US East (N. Virginia)","AWS Region","search.previousgeneration.small",,,"SearchInstance:search.previousgeneration.small","CSDomain:001","2011","us-east-1","Amazon CloudSearch"
"9D2NA62DMNBTV4FT","JRTCKXETXF","9D2NA62DMNBTV4FT.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.188 per search.large instance-hour (or partial hour) running CloudSearch 2011","2021-08-01","0","Inf","Hrs","0.1880000000","USD","Search Instance","AmazonCloudSearch","US East (N. Virginia)","AWS Region","search.large",,,"SearchInstance:search.large","CSDomain:001","2011","us-east-1","Amazon CloudSearch"
"AQ7ADZZNNATRKDJV","JRTCKXETXF","AQ7ADZZNNATRKDJV.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.188 per search.m3.large instance-hour (or partial hour) running CloudSearch 2013","2021-08-01","0","Inf","Hrs","0.1880000000","USD","Search Instance","AmazonCloudSearch","US East (N. Virginia)","AWS Region","m3.large",,,"SearchInstance:m3.large","CSDomain:002","2013","us-east-1","Amazon CloudSearch"
"ASGV7VDPAAGH79JS","JRTCKXETXF","ASGV7VDPAAGH79JS.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.236 per search.m1.large instance-hour (or partial hour) running CloudSearch 2011","2021-08-01","0","Inf","Hrs","0.2360000000","USD","Search Instance","AmazonCloudSearch","US East (N. Virginia)","AWS Region","m1.large",,,"SearchInstance:m1.large","CSDomain:001","2011","us-east-1","Amazon CloudSearch"
"C94VU5MVRZHQQEJA","JRTCKXETXF","C94VU5MVRZHQQEJA.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.306 per search.previousgeneration.xlarge instance-hour (or partial hour) running CloudSearch 2013","2021-08-01","0","Inf","Hrs","0.3060000000","USD","Search Instance","AmazonCloudSearch","US East (N. Virginia)","AWS Region","search.previousgeneration.xlarge",,,"SearchInstance:search.previousgeneration.xlarge","CSDomain:002","2013","us-east-1","Amazon CloudSearch"
"DH6HW2VMJSEXTYTN","JRTCKXETXF","DH6HW2VMJSEXTYTN.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.613 per search.m2.2xlarge instance-hour (or partial hour) running CloudSearch 2013","2021-08-01","0","Inf","Hrs","0.6130000000","USD","Search Instance","AmazonCloudSearch","US East (N. Virginia)","AWS Region","m2.2xlarge",,,"SearchInstance:m2.2xlarge","CSDomain:002","2013","us-east-1","Amazon CloudSearch"
"E8G96W4ACRNHXR9S","JRTCKXETXF","E8G96W4ACRNHXR9S.JRTCKXETXF.6YS6EN2CT7","OnDemand","$1.225 per search.m2.4xlarge instance-hour (or partial hour) running CloudSearch 2011","2021-08-01","0","Inf","Hrs","1.2250000000","USD","Search Instance","AmazonCloudSearch","US East (N. Virginia)","AWS Region","m2.4xlarge",,,"SearchInstance:m2.4xlarge","CSDomain:001","2011","us-east-1","Amazon CloudSearch"
"EQA42MS4VGKYDRSH","JRTCKXETXF","EQA42MS4VGKYDRSH.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.752 per search.m3.2xlarge instance-hour (or partial hour) running CloudSearch 2011","2021-08-01","0","Inf","Hrs","0.7520000000","USD","Search Instance","AmazonCloudSearch","US East (N. Virginia)","AWS Region","m3.2xlarge",,,"SearchInstance:m3.2xlarge","CSDomain:001","2011","us-east-1","Amazon CloudSearch"
"FARDKAK5KAPN2W8D","JRTCKXETXF","FARDKAK5KAPN2W8D.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.10 per 1000 document batch upload requests running CloudSearch 2013","2021-08-01","0","Inf","Requests","0.0001000000","USD","API Request","AmazonCloudSearch","US East (N. Virginia)","AWS Region",,"DocumentBatchUpload","Document batches uploaded to your search domain","DocumentBatchUpload","CSDomain:002","2013","us-east-1","Amazon CloudSearch"
"FMCR8YTET7JTAQAT","JRTCKXETXF","FMCR8YTET7JTAQAT.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.059 per search.previousgeneration.small instance-hour (or partial hour) running CloudSearch 2013","2021-08-01","0","Inf","Hrs","0.0590000000","USD","Search Instance","AmazonCloudSearch","US East (N. Virginia)","AWS Region","search.previousgeneration.small",,,"SearchInstance:search.previousgeneration.small","CSDomain:002","2013","us-east-1","Amazon CloudSearch"
"FMT2XNDX8XAZHWDN","JRTCKXETXF","FMT2XNDX8XAZHWDN.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.98 per GB processed by IndexDocuments requests running CloudSearch 2013","2021-08-01","0","Inf","GB","0.9800000000","USD","API Request","AmazonCloudSearch","US East (N. Virginia)","AWS Region",,"IndexDocuments","IndexDocuments request to rebuild the index","IndexDocuments","CSDomain:002","2013","us-east-1","Amazon CloudSearch"
"H6H5F4X5T7XANW8V","JRTCKXETXF","H6H5F4X5T7XANW8V.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.613 per search.previousgeneration.2xlarge instance-hour (or partial hour) running CloudSearch 2013","2021-08-01","0","Inf","Hrs","0.6130000000","USD","Search Instance","AmazonCloudSearch","US East (N. Virginia)","AWS Region","search.previousgeneration.2xlarge",,,"SearchInstance:search.previousgeneration.2xlarge","CSDomain:002","2013","us-east-1","Amazon CloudSearch"
"JK8BMQAHKAZ9ZWNR","JRTCKXETXF","JK8BMQAHKAZ9ZWNR.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.306 per search.m2.xlarge instance-hour (or partial hour) running CloudSearch 2013","2021-08-01","0","Inf","Hrs","0.3060000000","USD","Search Instance","AmazonCloudSearch","US East (N. Virginia)","AWS Region","m2.xlarge",,,"SearchInstance:m2.xlarge","CSDomain:002","2013","us-east-1","Amazon CloudSearch"
"KGCS8KS3VA4H2N4U","JRTCKXETXF","KGCS8KS3VA4H2N4U.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.188 per search.m3.large instance-hour (or partial hour) running CloudSearch 2011","2021-08-01","0","Inf","Hrs","0.1880000000","USD","Search Instance","AmazonCloudSearch","US East (N. Virginia)","AWS Region","m3.large",,,"SearchInstance:m3.large","CSDomain:001","2011","us-east-1","Amazon CloudSearch"
"KXW8HPA6SKK4GYJQ","JRTCKXETXF","KXW8HPA6SKK4GYJQ.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.094 per search.medium instance-hour (or partial hour) running CloudSearch 2011","2021-08-01","0","Inf","Hrs","0.0940000000","USD","Search Instance","AmazonCloudSearch","US East (N. Virginia)","AWS Region","search.medium",,,"SearchInstance:search.medium","CSDomain:001","2011","us-east-1","Amazon CloudSearch"
"KZCQ2QNKTGMVMKVB","JRTCKXETXF","KZCQ2QNKTGMVMKVB.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.094 per search.m3.medium instance-hour (or partial hour) running CloudSearch 2011","2021-08-01","0","Inf","Hrs","0.0940000000","USD","Search Instance","AmazonCloudSearch","US East (N. Virginia)","AWS Region","m3.medium",,,"SearchInstance:m3.medium","CSDomain:001","2011","us-east-1","Amazon CloudSearch"
"M95HPQVVEYT6Z67G","JRTCKXETXF","M95HPQVVEYT6Z67G.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.059 per search.small instance-hour (or partial hour) running CloudSearch 2011","2021-08-01","0","Inf","Hrs","0.0590000000","USD","Search Instance","AmazonCloudSearch","US East (N. Virginia)","AWS Region","search.small",,,"SearchInstance:search.small","CSDomain:001","2011","us-east-1","Amazon CloudSearch"
"MJ3CT33DK8WD5HSX","JRTCKXETXF","MJ3CT33DK8WD5HSX.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.188 per search.large instance-hour (or partial hour) running CloudSearch 2013","2021-08-01","0","Inf","Hrs","0.1880000000","USD","Search Instance","AmazonCloudSearch","US East (N. Virginia)","AWS Region","search.large",,,"SearchInstance:search.large","CSDomain:002","2013","us-east-1","Amazon CloudSearch"
"N8FTRM39EJ8VFDHT","JRTCKXETXF","N8FTRM39EJ8VFDHT.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.059 per search.m1.small instance-hour (or partial hour) running CloudSearch 2013","2021-08-01","0","Inf","Hrs","0.0590000000","USD","Search Instance","AmazonCloudSearch","US East (N. Virginia)","AWS Region","m1.small",,,"SearchInstance:m1.small","CSDomain:002","2013","us-east-1","Amazon CloudSearch"
"NSF2FJ5XZD6C43JK","JRTCKXETXF","NSF2FJ5XZD6C43JK.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.376 per search.m3.xlarge instance-hour (or partial hour) running CloudSearch 2013","2021-08-01","0","Inf","Hrs","0.3760000000","USD","Search Instance","AmazonCloudSearch","US East (N. Virginia)","AWS Region","m3.xlarge",,,"SearchInstance:m3.xlarge","CSDomain:002","2013","us-east-1","Amazon CloudSearch"
"P7EHWN6KUK2BDUPQ","JRTCKXETXF","P7EHWN6KUK2BDUPQ.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.236 per search.previousgeneration.large instance-hour (or partial hour) running CloudSearch 2013","2021-08-01","0","Inf","Hrs","0.2360000000","USD","Search Instance","AmazonCloudSearch","US East (N. Virginia)","AWS Region","search.previousgeneration.large",,,"SearchInstance:search.previousgeneration.large","CSDomain:002","2013","us-east-1","Amazon CloudSearch"
