"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2025-05-16T18:45:58Z"
"Version","20250516184558"
"OfferCode","AmazonDeadline"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Location","Location Type","Instance Type","Instance Family","vCPU","Memory","Operating System","usageType","operation","Instance","Licensed Product","Region Code","serviceName","Worker Location"
"26HXT7BVWYW736JR","JRTCKXETXF","26HXT7BVWYW736JR.JRTCKXETXF.6YS6EN2CT7","OnDemand","$1.65888 per On Demand Linux m6a.8xlarge instance hour in US East (N. Virginia)","2025-05-01","0","Inf","Hrs","1.6588800000","USD","Compute Instance","AmazonDeadline","US East (N. Virginia)","AWS Region","m6a.8xlarge",,"32","128 GiB","Linux","BoxUsage:m6a.8xlarge","Deadline.RunInstances",,,"us-east-1","Amazon Deadline Cloud",
"28TWGQPTJ57CDRFS","JRTCKXETXF","28TWGQPTJ57CDRFS.JRTCKXETXF.6YS6EN2CT7","OnDemand","$2.4192 per On Demand Linux r6i.8xlarge instance hour in US East (N. Virginia)","2025-05-01","0","Inf","Hrs","2.4192000000","USD","Compute Instance","AmazonDeadline","US East (N. Virginia)","AWS Region","r6i.8xlarge",,"32","256 GiB","Linux","BoxUsage:r6i.8xlarge","Deadline.RunInstances",,,"us-east-1","Amazon Deadline Cloud",
"299JH7ATRWEK9XH7","JRTCKXETXF","299JH7ATRWEK9XH7.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.1152 per On Demand Linux m5.large instance hour in US East (N. Virginia)","2025-05-01","0","Inf","Hrs","0.1152000000","USD","Compute Instance","AmazonDeadline","US East (N. Virginia)","AWS Region","m5.large",,"2","8 GiB","Linux","BoxUsage:m5.large","Deadline.RunInstances",,,"us-east-1","Amazon Deadline Cloud",
"29S484RBDFRPNM46","JRTCKXETXF","29S484RBDFRPNM46.JRTCKXETXF.6YS6EN2CT7","OnDemand","$7.200672 per On Demand Windows g6e.8xlarge in US East (N. Virginia)","2025-05-01","0","Inf","Hrs","7.2006720000","USD","Compute Instance","AmazonDeadline","US East (N. Virginia)","AWS Region","g6e.8xlarge","GPU instance",,,"Windows","BoxUsage:g6e.8xlarge","Deadline.RunInstances:0002",,,"us-east-1","Amazon Deadline Cloud",
"2BAPHEXXY878BJ8V","JRTCKXETXF","2BAPHEXXY878BJ8V.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.2022 per On Demand Windows c6a.large in. US East (N. Virginia)","2025-05-01","0","Inf","Hrs","0.2022000000","USD","Compute Instance","AmazonDeadline","US East (N. Virginia)","AWS Region","c6a.large",,"2","4 GiB","Windows","BoxUsage:c6a.large","Deadline.RunInstances:0002",,,"us-east-1","Amazon Deadline Cloud",
"2D4YDR5JG9NG6Q48","JRTCKXETXF","2D4YDR5JG9NG6Q48.JRTCKXETXF.6YS6EN2CT7","OnDemand","$1.109904 per On Demand Windows m6in.2xlarge in. US East (N. Virginia)","2025-05-01","0","Inf","Hrs","1.1099040000","USD","Compute Instance","AmazonDeadline","US East (N. Virginia)","AWS Region","m6in.2xlarge",,"8","32 GiB","Windows","BoxUsage:m6in.2xlarge","Deadline.RunInstances:0002",,,"us-east-1","Amazon Deadline Cloud",
"2KZXAP78KJN3E4PJ","JRTCKXETXF","2KZXAP78KJN3E4PJ.JRTCKXETXF.6YS6EN2CT7","OnDemand","$1.673568 per On Demand Linux r6in.4xlarge instance hour in US East (N. Virginia)","2025-05-01","0","Inf","Hrs","1.6735680000","USD","Compute Instance","AmazonDeadline","US East (N. Virginia)","AWS Region","r6in.4xlarge",,"16","128 GiB","Linux","BoxUsage:r6in.4xlarge","Deadline.RunInstances",,,"us-east-1","Amazon Deadline Cloud",
"2M2J7NYKG8T7PFMP","JRTCKXETXF","2M2J7NYKG8T7PFMP.JRTCKXETXF.6YS6EN2CT7","OnDemand","$7.88736 per On Demand Windows c6in.16xlarge in. US East (N. Virginia)","2025-05-01","0","Inf","Hrs","7.8873600000","USD","Compute Instance","AmazonDeadline","US East (N. Virginia)","AWS Region","c6in.16xlarge",,"64","128 GiB","Windows","BoxUsage:c6in.16xlarge","Deadline.RunInstances:0002",,,"us-east-1","Amazon Deadline Cloud",
"2M73NDCP2Z45U5X7","JRTCKXETXF","2M73NDCP2Z45U5X7.JRTCKXETXF.6YS6EN2CT7","OnDemand","$13.06368 per On Demand Linux r6a.48xlarge instance hour in US East (N. Virginia)","2025-05-01","0","Inf","Hrs","13.0636800000","USD","Compute Instance","AmazonDeadline","US East (N. Virginia)","AWS Region","r6a.48xlarge",,"192","1536 GiB","Linux","BoxUsage:r6a.48xlarge","Deadline.RunInstances",,,"us-east-1","Amazon Deadline Cloud",
"2NX3T9RKVWXV7K3N","JRTCKXETXF","2NX3T9RKVWXV7K3N.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.1032 per On Demand Linux m5a.large instance hour in US East (N. Virginia)","2025-05-01","0","Inf","Hrs","0.1032000000","USD","Compute Instance","AmazonDeadline","US East (N. Virginia)","AWS Region","m5a.large",,"2","8 GiB","Linux","BoxUsage:m5a.large","Deadline.RunInstances",,,"us-east-1","Amazon Deadline Cloud",
