"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2022-09-06T17:25:11Z"
"Version","20220906172511"
"OfferCode","AmazonDevOpsGuru"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Location","Location Type","usageType","operation","API Calls","Region Code","Resource Price Group","serviceName"
"228ZKC2CZTTHVKWF","JRTCKXETXF","228ZKC2CZTTHVKWF.JRTCKXETXF.6YS6EN2CT7","OnDemand","Zero Dollar SKUs for AWS Resource Analysis","2022-09-01","0","Inf","usagehours","0.0000000000","USD","Machine Learning","AmazonDevOpsGuru","US East (N. Virginia)","AWS Region","USE1-SNS-Topic-GroupB-Resource-Analysis-ZeroTier","",,"us-east-1","SNS-Topic-GroupB-Resource-Analysis-ZeroTier","Amazon DevOps Guru"
"2GZ87APHEP2ZJZTJ","JRTCKXETXF","2GZ87APHEP2ZJZTJ.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.0042 per AWS Resource per Hour for US East (N. Virginia)-ResourceGroup-B-usagehours","2022-09-01","0","Inf","usagehours","0.0042000000","USD","Machine Learning","AmazonDevOpsGuru","US East (N. Virginia)","AWS Region","USE1-ResourceGroup-B-usagehours","",,"us-east-1","Resource Price Group B","Amazon DevOps Guru"
"353DQUZN7K49RSC2","JRTCKXETXF","353DQUZN7K49RSC2.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.0042 per AWS Resource per Hour for US East (N. Virginia)-DynamoDBStreams-Stream-GroupB","2022-09-01","0","Inf","usagehours","0.0042000000","USD","Machine Learning","AmazonDevOpsGuru","US East (N. Virginia)","AWS Region","USE1-DynamoDBStreams-Stream-GroupB","",,"us-east-1","DynamoDB Streams-Stream-GroupB","Amazon DevOps Guru"
"4TNB4EWDWA8HSBCF","JRTCKXETXF","4TNB4EWDWA8HSBCF.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.0028 per AWS Resource per Hour for US East (N. Virginia)-S3-Bucket-GroupA","2022-09-01","0","Inf","usagehours","0.0028000000","USD","Machine Learning","AmazonDevOpsGuru","US East (N. Virginia)","AWS Region","USE1-S3-Bucket-GroupA","",,"us-east-1","S3-Bucket-GroupA","Amazon DevOps Guru"
"4X73UKZD9KT9X5B3","JRTCKXETXF","4X73UKZD9KT9X5B3.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.0042 per AWS Resource per Hour for US East (N. Virginia)-CloudFront-Distribution-GroupB","2022-09-01","0","Inf","usagehours","0.0042000000","USD","Machine Learning","AmazonDevOpsGuru","US East (N. Virginia)","AWS Region","USE1-CloudFront-Distribution-GroupB","",,"us-east-1","CloudFront-Distribution-GroupB","Amazon DevOps Guru"
"55XSKHZFCSVNYY6K","JRTCKXETXF","55XSKHZFCSVNYY6K.JRTCKXETXF.6YS6EN2CT7","OnDemand","Zero Dollar SKUs for AWS Resource Analysis","2022-09-01","0","Inf","usagehours","0.0000000000","USD","Machine Learning","AmazonDevOpsGuru","US East (N. Virginia)","AWS Region","USE1-ELB-LoadBalancer-GroupB-Resource-Analysis-ZeroTier","",,"us-east-1","ELB-LoadBalancer-GroupB-Resource-Analysis-ZeroTier","Amazon DevOps Guru"
"5MW3HSTRB5C2A8G7","JRTCKXETXF","5MW3HSTRB5C2A8G7.JRTCKXETXF.6YS6EN2CT7","OnDemand","Zero Dollar SKUs for AWS Resource Analysis","2022-09-01","0","Inf","usagehours","0.0000000000","USD","Machine Learning","AmazonDevOpsGuru","US East (N. Virginia)","AWS Region","USE1-Application-ELB-LoadBalancer-GroupB-Resource-Analysis-ZeroTier","",,"us-east-1","Application-ELB-LoadBalancer-GroupB-Resource-Analysis-ZeroTier","Amazon DevOps Guru"
"5PRMEH49PQ7SMTRG","JRTCKXETXF","5PRMEH49PQ7SMTRG.JRTCKXETXF.6YS6EN2CT7","OnDemand","Zero Dollar SKUs for AWS Resource Analysis","2022-09-01","0","Inf","usagehours","0.0000000000","USD","Machine Learning","AmazonDevOpsGuru","US East (N. Virginia)","AWS Region","USE1-RDS-DBInstance-GroupB-Resource-Analysis-ZeroTier","",,"us-east-1","RDS-DBInstance-GroupB-Resource-Analysis-ZeroTier","Amazon DevOps Guru"
"6FB2J3XX8WX7MRVR","JRTCKXETXF","6FB2J3XX8WX7MRVR.JRTCKXETXF.6YS6EN2CT7","OnDemand","Zero Dollar SKUs for AWS Resource Analysis","2022-09-01","0","Inf","usagehours","0.0000000000","USD","Machine Learning","AmazonDevOpsGuru","US East (N. Virginia)","AWS Region","USE1-S3-Bucket-GroupA-Resource-Analysis-ZeroTier","",,"us-east-1","S3-Bucket-GroupA-Resource-Analysis-ZeroTier","Amazon DevOps Guru"
"6MV4RG9VHCGNYYGK","JRTCKXETXF","6MV4RG9VHCGNYYGK.JRTCKXETXF.6YS6EN2CT7","OnDemand","Zero Dollar SKUs for AWS Resource Analysis","2022-09-01","0","Inf","usagehours","0.0000000000","USD","Machine Learning","AmazonDevOpsGuru","US East (N. Virginia)","AWS Region","USE1-StepFunctions-StateMachine-GroupB-Resource-Analysis-ZeroTier","",,"us-east-1","StepFunctions-StateMachine-GroupB-Resource-Analysis-ZeroTier","Amazon DevOps Guru"
