"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2025-03-13T21:16:47Z"
"Version","20250313211647"
"OfferCode","AmazonECS"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Location","Location Type","Tenancy","Operating System","usageType","operation","CPU Architecture","CPUType","External Instance Type","MemoryType","Region Code","Resource","serviceName","StorageType"
"74HXSAMY4YHFPXQQ","JRTCKXETXF","74HXSAMY4YHFPXQQ.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD 0.0 per GB-Hours for ECS-EC2-GB-Hours in US East (N. Virginia)","2025-03-01","0","Inf","GB-Hours","0.0000000000","USD","Compute Metering","AmazonECS","US East (N. Virginia)","AWS Region",,,"USE1-ECS-EC2-GB-Hours","",,,,"perGB","us-east-1",,"Amazon Elastic Container Service",
"7KPDPTDSCT4J3Z64","JRTCKXETXF","7KPDPTDSCT4J3Z64.JRTCKXETXF.6YS6EN2CT7","OnDemand","AWS Fargate - Ephemeral Storage - US East (N. Virginia)","2025-03-01","0","Inf","GB-Hours","0.0001110000","USD","Compute","AmazonECS","US East (N. Virginia)","AWS Region",,,"USE1-Fargate-EphemeralStorage-GB-Hours","",,,,,"us-east-1",,"Amazon Elastic Container Service","default"
"8CESGAFWKAJ98PME","JRTCKXETXF","8CESGAFWKAJ98PME.JRTCKXETXF.6YS6EN2CT7","OnDemand","AWS Fargate - vCPU - US East (N.Virginia)","2025-03-01","0","Inf","hours","0.0404800000","USD","Compute","AmazonECS","US East (N. Virginia)","AWS Region","Shared",,"USE1-Fargate-vCPU-Hours:perCPU","",,"perCPU",,,"us-east-1",,"Amazon Elastic Container Service",
"8QDMJPGQCM368Z6X","JRTCKXETXF","8QDMJPGQCM368Z6X.JRTCKXETXF.6YS6EN2CT7","OnDemand","AWS Fargate - Windows - Memory  - US East (N.Virginia)","2025-03-01","0","Inf","hours","0.0051117500","USD","Compute","AmazonECS","US East (N. Virginia)","AWS Region","Shared","Windows","USE1-Fargate-Windows-GB-Hours","",,,,"perGB","us-east-1","per GB per hour","Amazon Elastic Container Service",
"9D3ZWXRS2VXMZET6","JRTCKXETXF","9D3ZWXRS2VXMZET6.JRTCKXETXF.6YS6EN2CT7","OnDemand","AWS Fargate - Windows - OS - US East (N.Virginia)","2025-03-01","0","Inf","hours","0.0460000000","USD","Compute","AmazonECS","US East (N. Virginia)","AWS Region","Shared","Windows","USE1-Fargate-Windows-OS-Hours:perCPU","",,"perCPU OS License Fee",,,"us-east-1","OS License Fee per vCPU per hour","Amazon Elastic Container Service",
"DQ8NT47B7YY2CGC5","JRTCKXETXF","DQ8NT47B7YY2CGC5.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD 0.0 per vCPU-Hours for ECS-EC2-vCPU-Hours in US East (N. Virginia)","2025-03-01","0","Inf","vCPU-Hours","0.0000000000","USD","Compute Metering","AmazonECS","US East (N. Virginia)","AWS Region",,,"USE1-ECS-EC2-vCPU-Hours","",,"perCPU",,,"us-east-1",,"Amazon Elastic Container Service",
"PBZNQUSEXZUC34C9","JRTCKXETXF","PBZNQUSEXZUC34C9.JRTCKXETXF.6YS6EN2CT7","OnDemand","AWS Fargate - Memory  - US East (N.Virginia)","2025-03-01","0","Inf","hours","0.0044450000","USD","Compute","AmazonECS","US East (N. Virginia)","AWS Region","Shared",,"USE1-Fargate-GB-Hours","",,,,"perGB","us-east-1",,"Amazon Elastic Container Service",
"RF2BUTAD289DREDC","JRTCKXETXF","RF2BUTAD289DREDC.JRTCKXETXF.6YS6EN2CT7","OnDemand","AWS Fargate - Windows - vCPU - US East (N.Virginia)","2025-03-01","0","Inf","hours","0.0465520000","USD","Compute","AmazonECS","US East (N. Virginia)","AWS Region","Shared","Windows","USE1-Fargate-Windows-vCPU-Hours:perCPU","",,"perCPU",,,"us-east-1","per vCPU per hour","Amazon Elastic Container Service",
"UNH9KPQP7W7C66C9","JRTCKXETXF","UNH9KPQP7W7C66C9.JRTCKXETXF.6YS6EN2CT7","OnDemand","AWS Fargate - ARM - Memory - US East (N. Virginia)","2025-03-01","0","Inf","hours","0.0035600000","USD","Compute","AmazonECS","US East (N. Virginia)","AWS Region","Shared",,"USE1-Fargate-ARM-GB-Hours","","ARM",,,"perGB","us-east-1","per GB per hour","Amazon Elastic Container Service",
"VUZADW4HBG7NT6R7","JRTCKXETXF","VUZADW4HBG7NT6R7.JRTCKXETXF.4TES4JTS8Q","OnDemand","$0 per hour for ECS-Anywhere-Instance-Hours","2025-03-01","0","2200","hours","0.0000000000","USD","Compute","AmazonECS","US East (N. Virginia)","AWS Region",,,"USE1-ECS-Anywhere-Instance-hours-WithFree","AddExternalInstance",,,"With Free",,"us-east-1",,"Amazon Elastic Container Service",
"VUZADW4HBG7NT6R7","JRTCKXETXF","VUZADW4HBG7NT6R7.JRTCKXETXF.2A2Z7VTUXW","OnDemand","$0.01025 per hour for ECS-Anywhere-Instance-Hours","2025-03-01","2200","Inf","hours","0.0102500000","USD","Compute","AmazonECS","US East (N. Virginia)","AWS Region",,,"USE1-ECS-Anywhere-Instance-hours-WithFree","AddExternalInstance",,,"With Free",,"us-east-1",,"Amazon Elastic Container Service",
"WTG8RAG79KP7K3N8","JRTCKXETXF","WTG8RAG79KP7K3N8.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.01025 per hour for ECS-Anywhere-Instance-Hours","2025-03-01","0","Inf","hours","0.0102500000","USD","Compute","AmazonECS","US East (N. Virginia)","AWS Region",,,"USE1-ECS-Anywhere-Instance-hours","AddExternalInstance",,,"Default",,"us-east-1",,"Amazon Elastic Container Service",
