"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2025-05-22T20:18:49Z"
"Version","20250522201849"
"OfferCode","AmazonEFS"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Location","Location Type","Storage Class","usageType","operation","Access Type","Region Code","serviceName","Throughput Class"
"29XC62PHCNK7YFTC","JRTCKXETXF","29XC62PHCNK7YFTC.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD $0.025 per GB-Mo for Standard-Infrequent Access storage (USE1)","2025-05-01","0","Inf","GB-Mo","0.0250000000","USD","Storage","AmazonEFS","US East (N. Virginia)","AWS Region","Infrequent Access","USE1-IATimedStorage-ByteHrs","",,"us-east-1","Amazon Elastic File System",
"2FM7X8KGJEVSVJNJ","JRTCKXETXF","2FM7X8KGJEVSVJNJ.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD $0.01 per GB for Infrequent Access writes (USE1)","2025-05-01","0","Inf","GB","0.0100000000","USD","Storage","AmazonEFS","US East (N. Virginia)","AWS Region","Infrequent Access","USE1-IADataAccess-Bytes","Write","Write","us-east-1","Amazon Elastic File System",
"3MNTKJTVD86Y8CUH","JRTCKXETXF","3MNTKJTVD86Y8CUH.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD $0.00 per MiBps-Mo for throughput included with Standard storage (USE1)","2025-05-01","0","Inf","MiBps-Mo","0.0000000000","USD","Provisioned Throughput","AmazonEFS","US East (N. Virginia)","AWS Region",,"USE1-IncludedTP-MiBpsHrs","",,"us-east-1","Amazon Elastic File System","Included"
"65RSAUT45YTBWNBB","JRTCKXETXF","65RSAUT45YTBWNBB.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD $0.03 per GB-Mo for Archive writes/tiering (USE1)","2025-05-01","0","Inf","GB","0.0300000000","USD","Storage","AmazonEFS","US East (N. Virginia)","AWS Region","Archive","USE1-ArchiveDataAccess-Bytes","Write","Write","us-east-1","Amazon Elastic File System",
"6BHDTU3P77J7NS5V","JRTCKXETXF","6BHDTU3P77J7NS5V.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD $0.016 per GB-Mo for Infrequent Access storage with Elastic Throughput (USE1)","2025-05-01","0","Inf","GB-Mo","0.0160000000","USD","Storage","AmazonEFS","US East (N. Virginia)","AWS Region","Infrequent Access-ET","USE1-IATimedStorage-ET-ByteHrs","",,"us-east-1","Amazon Elastic File System",
"7F9VB2J3A3KYG3NW","JRTCKXETXF","7F9VB2J3A3KYG3NW.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD $0.01 per GB for Infrequent Access reads (USE1)","2025-05-01","0","Inf","GB","0.0100000000","USD","Storage","AmazonEFS","US East (N. Virginia)","AWS Region","Infrequent Access","USE1-IADataAccess-Bytes","Read","Read","us-east-1","Amazon Elastic File System",
"GX94JWDHBRRE3GFJ","JRTCKXETXF","GX94JWDHBRRE3GFJ.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.0133 per GB-Mo for One Zone-Infrequent Access Storage in US East (N. Virginia)","2025-05-01","0","Inf","GB-Mo","0.0133000000","USD","Storage","AmazonEFS","US East (N. Virginia)","AWS Region","One Zone-Infrequent Access","USE1-IATimedStorage-Z-ByteHrs","",,"us-east-1","Amazon Elastic File System",
"M4AQ5M6EQ6EXKZYY","JRTCKXETXF","M4AQ5M6EQ6EXKZYY.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD $0.03 per GB-Mo for Archive reads (USE1)","2025-05-01","0","Inf","GB","0.0300000000","USD","Storage","AmazonEFS","US East (N. Virginia)","AWS Region","Archive","USE1-ArchiveDataAccess-Bytes","Read","Read","us-east-1","Amazon Elastic File System",
"QT7BD7JMWEBCF2YM","JRTCKXETXF","QT7BD7JMWEBCF2YM.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD $0.03 per GB for Elastic Throughput reads (USE1)","2025-05-01","0","Inf","GB","0.0300000000","USD","Storage","AmazonEFS","US East (N. Virginia)","AWS Region","EFS Storage","USE1-ETDataAccess-Bytes","Read","Read","us-east-1","Amazon Elastic File System",
"RXZDU6JXFGFJYN6S","JRTCKXETXF","RXZDU6JXFGFJYN6S.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.16 per GB-Mo for One Zone Storage in US East (N. Virginia)","2025-05-01","0","Inf","GB-Mo","0.1600000000","USD","Storage","AmazonEFS","US East (N. Virginia)","AWS Region","One Zone-General Purpose","USE1-TimedStorage-Z-ByteHrs","",,"us-east-1","Amazon Elastic File System",
