"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2024-08-29T17:20:11Z"
"Version","20240829172011"
"OfferCode","AmazonFinSpace"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Location","Location Type","vCPU","Memory","usageType","operation","ComputeSize","ComputeType","Details","Node","Region Code","serviceName","StorageType","UserType"
"22B8GZF54BDGQ3Q5","JRTCKXETXF","22B8GZF54BDGQ3Q5.JRTCKXETXF.6YS6EN2CT7","OnDemand","$50.018 USD per hour for kx.sg1.24xlarge in US East (N. Virginia)","2024-08-01","0","Inf","Node-hour","50.0180000000","USD","FinSpace","AmazonFinSpace","US East (N. Virginia)","AWS Region","96","2948","USE1-KdbScalingGroupHost:kx.sg1.24xlarge","RunClusterSingleAz",,,"kx.sg1.24xlarge","kx.sg1.24xlarge","us-east-1","Amazon FinSpace",,
"2VGSGBXTFKHPAUZB","JRTCKXETXF","2VGSGBXTFKHPAUZB.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.318 per Node-hour for KdbNode:kx.s.large:RunClusterSingleAz in US East (N. Virginia)","2024-08-01","0","Inf","Node-hour","0.3180000000","USD","FinSpace","AmazonFinSpace","US East (N. Virginia)","AWS Region","2","12","USE1-KdbNode:kx.s.large","RunClusterSingleAz",,,"1AZ-kx.s.large","kx.s.large","us-east-1","Amazon FinSpace",,
"3Y28N85UD7MVBP3Q","JRTCKXETXF","3Y28N85UD7MVBP3Q.JRTCKXETXF.6YS6EN2CT7","OnDemand","$5.04 per Node-hour for KdbNode:kx.s.8xlarge:RunClusterSingleAz in US East (N. Virginia)","2024-08-01","0","Inf","Node-hour","5.0400000000","USD","FinSpace","AmazonFinSpace","US East (N. Virginia)","AWS Region","32","216","USE1-KdbNode:kx.s.8xlarge","RunClusterSingleAz",,,"1AZ-kx.s.8xlarge","kx.s.8xlarge","us-east-1","Amazon FinSpace",,
"47QPYERMWZ3643ZZ","JRTCKXETXF","47QPYERMWZ3643ZZ.JRTCKXETXF.6YS6EN2CT7","OnDemand","$20.16 per Node-hour for KdbNode:kx.s.32xlarge:RunClusterSingleAz in US East (N. Virginia)","2024-08-01","0","Inf","Node-hour","20.1600000000","USD","FinSpace","AmazonFinSpace","US East (N. Virginia)","AWS Region","128","864","USE1-KdbNode:kx.s.32xlarge","RunClusterSingleAz",,,"1AZ-kx.s.32xlarge","kx.s.32xlarge","us-east-1","Amazon FinSpace",,
"4AFXQAW7RRPVWEBY","JRTCKXETXF","4AFXQAW7RRPVWEBY.JRTCKXETXF.F99HVS8ZAF","OnDemand","$0.0 per GB-month for DataStorage:changeset:DataStored in US East (N. Virginia)","2024-08-01","0","150","GB-month","0.0000000000","USD","FinSpace","AmazonFinSpace","US East (N. Virginia)","AWS Region",,,"USE1-DataStorage:changeset","DataStored",,,,,"us-east-1","Amazon FinSpace","Changeset",
"4AFXQAW7RRPVWEBY","JRTCKXETXF","4AFXQAW7RRPVWEBY.JRTCKXETXF.6PUHHKWFF5","OnDemand","$0.14 per GB-month for DataStorage:changeset:DataStored in US East (N. Virginia)","2024-08-01","150","Inf","GB-month","0.1400000000","USD","FinSpace","AmazonFinSpace","US East (N. Virginia)","AWS Region",,,"USE1-DataStorage:changeset","DataStored",,,,,"us-east-1","Amazon FinSpace","Changeset",
"4NJW9JZ2A3BRRNV7","JRTCKXETXF","4NJW9JZ2A3BRRNV7.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.14 per minutes for Clusters:Small:RunCluster in US East (N. Virginia)","2024-08-01","0","Inf","minutes","0.1400000000","USD","FinSpace","AmazonFinSpace","US East (N. Virginia)","AWS Region",,,"USE1-Clusters:Small","RunCluster","Small","Cluster",,,"us-east-1","Amazon FinSpace",,
"6NP7929H4AABRKNK","JRTCKXETXF","6NP7929H4AABRKNK.JRTCKXETXF.6YS6EN2CT7","OnDemand","$10.08 per Node-hour for KdbNode:kx.s.16xlarge:RunClusterMultiAz in US East (N. Virginia)","2024-08-01","0","Inf","Node-hour","10.0800000000","USD","FinSpace","AmazonFinSpace","US East (N. Virginia)","AWS Region","64","432","USE1-KdbNode:kx.s.16xlarge","RunClusterMultiAz",,,"MAZ-kx.s.16xlarge","kx.s.16xlarge","us-east-1","Amazon FinSpace",,
"7JKYRVU2BSKHHJU5","JRTCKXETXF","7JKYRVU2BSKHHJU5.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.72 per GB-month for KdbCluster:dbcache:StorageProvisioned in US East (N. Virginia)","2024-08-01","0","Inf","GB-month","0.7200000000","USD","FinSpace","AmazonFinSpace","US East (N. Virginia)","AWS Region",,,"USE1-KdbCluster:dbcache","StorageProvisioned",,,,,"us-east-1","Amazon FinSpace","DBCache",
"7RZ7V6SFNN2ACWXW","JRTCKXETXF","7RZ7V6SFNN2ACWXW.JRTCKXETXF.6YS6EN2CT7","OnDemand","$1.00 per minutes for Clusters:XLarge:RunCluster in US East (N. Virginia)","2024-08-01","0","Inf","minutes","1.0000000000","USD","FinSpace","AmazonFinSpace","US East (N. Virginia)","AWS Region",,,"USE1-Clusters:XLarge","RunCluster","XLarge","Cluster",,,"us-east-1","Amazon FinSpace",,
