"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2023-02-02T17:33:58Z"
"Version","20230202173358"
"OfferCode","AmazonForecast"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","serviceCode","Location","Location Type","usageType","operation","Group Details","Region Code","serviceName"
"4MKRBJYP8X7PE33H","JRTCKXETXF","4MKRBJYP8X7PE33H.JRTCKXETXF.ETY2894C67","OnDemand","Forecast Data Points per Month (less than 100K): 2.00 USD","2022-06-15","0","100","ForecastDataPoints_in_Thousands","2.0000000000","USD","AmazonForecast","US East (N. Virginia)","AWS Region","USE1-ForecastDataPoints","","For Pricing Forecast Data Points for Amazon Forecast","us-east-1","Amazon Forecast"
"4MKRBJYP8X7PE33H","JRTCKXETXF","4MKRBJYP8X7PE33H.JRTCKXETXF.7DR76JAJEK","OnDemand","Forecast Data Points per Month (greater than 100K and less than 1M): 0.80 USD","2022-06-15","100","1000","ForecastDataPoints_in_Thousands","0.8000000000","USD","AmazonForecast","US East (N. Virginia)","AWS Region","USE1-ForecastDataPoints","","For Pricing Forecast Data Points for Amazon Forecast","us-east-1","Amazon Forecast"
"4MKRBJYP8X7PE33H","JRTCKXETXF","4MKRBJYP8X7PE33H.JRTCKXETXF.TWS5K82K36","OnDemand","Forecast Data Points per Month (greater than 1M and less than 50M): 0.20 USD","2022-06-15","1000","50000","ForecastDataPoints_in_Thousands","0.2000000000","USD","AmazonForecast","US East (N. Virginia)","AWS Region","USE1-ForecastDataPoints","","For Pricing Forecast Data Points for Amazon Forecast","us-east-1","Amazon Forecast"
"4MKRBJYP8X7PE33H","JRTCKXETXF","4MKRBJYP8X7PE33H.JRTCKXETXF.GK6CZWW823","OnDemand","Forecast Data Points per Month (greater than 50M): 0.02 USD","2022-06-15","50000","Inf","ForecastDataPoints_in_Thousands","0.0200000000","USD","AmazonForecast","US East (N. Virginia)","AWS Region","USE1-ForecastDataPoints","","For Pricing Forecast Data Points for Amazon Forecast","us-east-1","Amazon Forecast"
"6VQAHQXMK35NGESW","JRTCKXETXF","6VQAHQXMK35NGESW.JRTCKXETXF.6YS6EN2CT7","OnDemand","TrainingHours: 0.24 USD per training hour","2022-06-15","0","Inf","TrainingHour","0.2400000000","USD","AmazonForecast","US East (N. Virginia)","AWS Region","USE1-TrainingHours","","For Pricing Training hours for Amazon Forecast","us-east-1","Amazon Forecast"
"7XMYGSKPH4E4JZSB","JRTCKXETXF","7XMYGSKPH4E4JZSB.JRTCKXETXF.ZRBZXHZTV5","OnDemand","Explanations per Month (less than 50K): 2.00 USD per 1000 Explanations","2022-06-15","0","50","Explanations_in_Thousands","2.0000000000","USD","AmazonForecast","US East (N. Virginia)","AWS Region","USE1-Explanations","","For Pricing Forecast Explanations for Amazon Forecast","us-east-1","Amazon Forecast"
"7XMYGSKPH4E4JZSB","JRTCKXETXF","7XMYGSKPH4E4JZSB.JRTCKXETXF.72ZCZ2PZZ9","OnDemand","Explanations per Month (greater than 50K and less than 1M): 0.80 USD per 1000 Explanations","2022-06-15","50","1000","Explanations_in_Thousands","0.8000000000","USD","AmazonForecast","US East (N. Virginia)","AWS Region","USE1-Explanations","","For Pricing Forecast Explanations for Amazon Forecast","us-east-1","Amazon Forecast"
"7XMYGSKPH4E4JZSB","JRTCKXETXF","7XMYGSKPH4E4JZSB.JRTCKXETXF.FA59GSBSCH","OnDemand","Explanations per Month (greater than 1M and less than 10M): 0.25 USD per 1000 Explanations","2022-06-15","1000","10000","Explanations_in_Thousands","0.2500000000","USD","AmazonForecast","US East (N. Virginia)","AWS Region","USE1-Explanations","","For Pricing Forecast Explanations for Amazon Forecast","us-east-1","Amazon Forecast"
"7XMYGSKPH4E4JZSB","JRTCKXETXF","7XMYGSKPH4E4JZSB.JRTCKXETXF.B536CJ4M58","OnDemand","Explanations per Month (greater than 10M): 0.15 USD per 1000 Explanations","2022-06-15","10000","Inf","Explanations_in_Thousands","0.1500000000","USD","AmazonForecast","US East (N. Virginia)","AWS Region","USE1-Explanations","","For Pricing Forecast Explanations for Amazon Forecast","us-east-1","Amazon Forecast"
"DG9D59965XM8BM4P","JRTCKXETXF","DG9D59965XM8BM4P.JRTCKXETXF.6YS6EN2CT7","OnDemand","DataInjection: 0.088 USD per GB of data Injested","2022-06-15","0","Inf","GB","0.0880000000","USD","AmazonForecast","US East (N. Virginia)","AWS Region","USE1-DataInjection","","For Pricing Data Injection for Amazon Forecast","us-east-1","Amazon Forecast"
"ZJMWQPWTSA84H94E","JRTCKXETXF","ZJMWQPWTSA84H94E.JRTCKXETXF.6YS6EN2CT7","OnDemand","Forecast: 0.6 USD per 1000 Forecasts generated","2022-06-15","0","Inf","Forecast","0.6000000000","USD","AmazonForecast","US East (N. Virginia)","AWS Region","USE1-Forecasts","","For Pricing Number of Forecasts for Amazon Forecast","us-east-1","Amazon Forecast"
