"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2022-07-06T23:00:21Z"
"Version","20220706230021"
"OfferCode","AmazonFraudDetector"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Description","Location","Location Type","usageType","operation","Prediction Type","Region Code","serviceName"
"2BWX8K6T3YT6DAND","JRTCKXETXF","2BWX8K6T3YT6DAND.JRTCKXETXF.NADQ2ZJX8V","OnDemand","$0.03 per Predictions for FraudPrediction-TransactionFraudInsights in US East (N. Virginia)","2022-07-01","0","100000","Predictions","0.0300000000","USD","Machine Learning","AmazonFraudDetector","Pricing for Amazon Fraud Detector Predictions","US East (N. Virginia)","AWS Region","USE1-FraudPrediction-TransactionFraudInsights","","Transaction Fraud Insights","us-east-1","Amazon Fraud Detector"
"2BWX8K6T3YT6DAND","JRTCKXETXF","2BWX8K6T3YT6DAND.JRTCKXETXF.FF8BMSDA2R","OnDemand","$0.0075 per Predictions for FraudPrediction-TransactionFraudInsights in US East (N. Virginia)","2022-07-01","100000","Inf","Predictions","0.0075000000","USD","Machine Learning","AmazonFraudDetector","Pricing for Amazon Fraud Detector Predictions","US East (N. Virginia)","AWS Region","USE1-FraudPrediction-TransactionFraudInsights","","Transaction Fraud Insights","us-east-1","Amazon Fraud Detector"
"49PYVMDABYZJ2K5N","JRTCKXETXF","49PYVMDABYZJ2K5N.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.1 per GB-month for StoredDataset in US East (N. Virginia)","2022-07-01","0","Inf","GB-month","0.1000000000","USD","Machine Learning","AmazonFraudDetector","Pricing for Amazon Fraud Detector Stored Dataset","US East (N. Virginia)","AWS Region","USE1-StoredDataset","",,"us-east-1","Amazon Fraud Detector"
"9DMEBGNCA2ABB95Z","JRTCKXETXF","9DMEBGNCA2ABB95Z.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD0.06 per Hr for HostingHrs in US East (N. Virginia)","2022-07-01","0","Inf","Hrs","0.0600000000","USD","Machine Learning","AmazonFraudDetector","Pricing for Amazon Fraud Detector Hosting","US East (N. Virginia)","AWS Region","USE1-HostingHrs","",,"us-east-1","Amazon Fraud Detector"
"DJ8H3RTSNR5Q6S7J","JRTCKXETXF","DJ8H3RTSNR5Q6S7J.JRTCKXETXF.KJYPJPDD2A","OnDemand","USD0.005 per Prediction for FraudPrediction-RulesOnly in US East (N. Virginia)","2022-07-01","0","400000","Predictions","0.0050000000","USD","Machine Learning","AmazonFraudDetector","Pricing for Amazon Fraud Detector Predictions","US East (N. Virginia)","AWS Region","USE1-FraudPrediction-RulesOnly","","Rules Only","us-east-1","Amazon Fraud Detector"
"DJ8H3RTSNR5Q6S7J","JRTCKXETXF","DJ8H3RTSNR5Q6S7J.JRTCKXETXF.K5UKHBBPBA","OnDemand","USD0.0025 per Prediction for FraudPrediction-RulesOnly in US East (N. Virginia)","2022-07-01","400000","1200000","Predictions","0.0025000000","USD","Machine Learning","AmazonFraudDetector","Pricing for Amazon Fraud Detector Predictions","US East (N. Virginia)","AWS Region","USE1-FraudPrediction-RulesOnly","","Rules Only","us-east-1","Amazon Fraud Detector"
"DJ8H3RTSNR5Q6S7J","JRTCKXETXF","DJ8H3RTSNR5Q6S7J.JRTCKXETXF.4N34XG2JX8","OnDemand","USD0.00125 per Prediction for FraudPrediction-RulesOnly in US East (N. Virginia)","2022-07-01","1200000","Inf","Predictions","0.0012500000","USD","Machine Learning","AmazonFraudDetector","Pricing for Amazon Fraud Detector Predictions","US East (N. Virginia)","AWS Region","USE1-FraudPrediction-RulesOnly","","Rules Only","us-east-1","Amazon Fraud Detector"
"QSV7JYN3DQF7MMHR","JRTCKXETXF","QSV7JYN3DQF7MMHR.JRTCKXETXF.NADQ2ZJX8V","OnDemand","USD0.03 per Prediction for FraudPrediction-OnlineFraudInsights in US East (N. Virginia)","2022-07-01","0","100000","Predictions","0.0300000000","USD","Machine Learning","AmazonFraudDetector","Pricing for Amazon Fraud Detector Predictions","US East (N. Virginia)","AWS Region","USE1-FraudPrediction-OnlineFraudInsights","","Online Fraud Insights","us-east-1","Amazon Fraud Detector"
"QSV7JYN3DQF7MMHR","JRTCKXETXF","QSV7JYN3DQF7MMHR.JRTCKXETXF.FF8BMSDA2R","OnDemand","USD0.0075 per Prediction for FraudPrediction-OnlineFraudInsights in US East (N. Virginia)","2022-07-01","100000","Inf","Predictions","0.0075000000","USD","Machine Learning","AmazonFraudDetector","Pricing for Amazon Fraud Detector Predictions","US East (N. Virginia)","AWS Region","USE1-FraudPrediction-OnlineFraudInsights","","Online Fraud Insights","us-east-1","Amazon Fraud Detector"
"RRW2G2BYBXJB4DXD","JRTCKXETXF","RRW2G2BYBXJB4DXD.JRTCKXETXF.HWDSBTNJX9","OnDemand","USD0.001 per Prediction for FraudPrediction-AccountTakeoverInsights in US East (N. Virginia)","2022-07-01","0","10000000","Predictions","0.0010000000","USD","Machine Learning","AmazonFraudDetector","Pricing for Amazon Fraud Detector Predictions","US East (N. Virginia)","AWS Region","USE1-FraudPrediction-AccountTakeoverInsights","","Account Takeover Insights","us-east-1","Amazon Fraud Detector"
"RRW2G2BYBXJB4DXD","JRTCKXETXF","RRW2G2BYBXJB4DXD.JRTCKXETXF.RTKVR6ZK95","OnDemand","USD0.0005 per Prediction for FraudPrediction-AccountTakeoverInsights in US East (N. Virginia)","2022-07-01","10000000","100000000","Predictions","0.0005000000","USD","Machine Learning","AmazonFraudDetector","Pricing for Amazon Fraud Detector Predictions","US East (N. Virginia)","AWS Region","USE1-FraudPrediction-AccountTakeoverInsights","","Account Takeover Insights","us-east-1","Amazon Fraud Detector"
