"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2025-03-11T16:45:48Z"
"Version","20250311164548"
"OfferCode","AmazonKinesis"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Description","Location","Location Type","Group","Group Description","usageType","operation","Maximum Extended Storage","Region Code","serviceName","Standard Storage Retention Included"
"4V6WBV2SGNWG4M9M","JRTCKXETXF","4V6WBV2SGNWG4M9M.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.013 per GB of data retrieved by consumers using enhanced fan-out","2025-03-01","0","Inf","GB","0.0130000000","USD","Kinesis Streams","AmazonKinesis",,"US East (N. Virginia)","AWS Region","Enhanced fan-out GB of data retrieved","Number of GBs of data retrieved by consumers using enhanced fan-out","ReadBytes","EnhancedFanoutDataRetrieval",,"us-east-1","Amazon Kinesis",
"59DG9NNVUBGN3C5M","JRTCKXETXF","59DG9NNVUBGN3C5M.JRTCKXETXF.6YS6EN2CT7","OnDemand","0.10 per GB-month for retention within 1-7 days","2025-03-01","0","Inf","GB-month","0.1000000000","USD","Kinesis Streams","AmazonKinesis","per byte hour data stored within 1-7 days","US East (N. Virginia)","AWS Region","OnDemand",,"OnDemand-ExtendedRetention-ByteHrs","OnDemandExtendedRetentionByteHrs",,"us-east-1","Amazon Kinesis",
"5KE89N55PB48GC9E","JRTCKXETXF","5KE89N55PB48GC9E.JRTCKXETXF.6YS6EN2CT7","OnDemand","0.05 per GB of data read using EFO Consumer","2025-03-01","0","Inf","GB","0.0500000000","USD","Kinesis Streams","AmazonKinesis","Per GB of data retrieved by consumers using enhanced fan-out","US East (N. Virginia)","AWS Region","OnDemand",,"OnDemand-BilledOutgoingEFOBytes","OnDemandEFODataRetrieval",,"us-east-1","Amazon Kinesis",
"7RXVY4V5SG8NQC38","JRTCKXETXF","7RXVY4V5SG8NQC38.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.015 per provisioned shard-hour","2025-03-01","0","Inf","ShardHour","0.0150000000","USD","Kinesis Streams","AmazonKinesis",,"US East (N. Virginia)","AWS Region","Provisioned shard hour","Number of standard shard hours","Storage-ShardHour","shardHourStorage","7 days","us-east-1","Amazon Kinesis","1 day"
"826E7FJQWVKN3CBH","JRTCKXETXF","826E7FJQWVKN3CBH.JRTCKXETXF.6YS6EN2CT7","OnDemand","0.08 per GB of data written","2025-03-01","0","Inf","GB","0.0800000000","USD","Kinesis Streams","AmazonKinesis","Per GB of data ingested","US East (N. Virginia)","AWS Region","OnDemand",,"OnDemand-BilledIncomingBytes","OnDemandDataIngested",,"us-east-1","Amazon Kinesis",
"9DT967X6YQX3AYMB","JRTCKXETXF","9DT967X6YQX3AYMB.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.020 per extended shard-hour","2025-03-01","0","Inf","ShardHour","0.0200000000","USD","Kinesis Streams","AmazonKinesis",,"US East (N. Virginia)","AWS Region","Addon shard hour","Number of extended shard hours","Extended-ShardHour","shardHourStorage","7 days","us-east-1","Amazon Kinesis","1 day"
"ECQFCZZ6DTWE83YB","JRTCKXETXF","ECQFCZZ6DTWE83YB.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.023 per GB-month for Long-term data storage (data older than 7 days) in US East (N. Virginia)","2025-03-01","0","Inf","GB-month","0.0230000000","USD","Kinesis Streams","AmazonKinesis",,"US East (N. Virginia)","AWS Region","Long-term Data Retention GB-month","Number of GB-month long-term data storage","LongTermRetention-ByteHrs","LongTermRetentionByteHrs","365 Days","us-east-1","Amazon Kinesis","1 day"
"GXPWS67USXVJ3QQB","JRTCKXETXF","GXPWS67USXVJ3QQB.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.021 per GB for Long-term data retrieval (data older than 7 days) in US East (N. Virginia)","2025-03-01","0","Inf","GB","0.0210000000","USD","Kinesis Streams","AmazonKinesis",,"US East (N. Virginia)","AWS Region","Long-term Data Retrieval GB","Number of GB long-term data retrieval","LongTermRetention-ReadBytes","LongTermRetentionDataRetrieval","365 Days","us-east-1","Amazon Kinesis","1 day"
"MAFXKQJ2YAQM6UDY","JRTCKXETXF","MAFXKQJ2YAQM6UDY.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.014 per 1 million payload units","2025-03-01","0","Inf","PutRequest","0.0000000140","USD","Kinesis Streams","AmazonKinesis",,"US East (N. Virginia)","AWS Region","Payload Units","Number of payload units generated by producers","PutRequestPayloadUnits","PutRequest",,"us-east-1","Amazon Kinesis",
"PNHYMNK9TM59MTU8","JRTCKXETXF","PNHYMNK9TM59MTU8.JRTCKXETXF.6YS6EN2CT7","OnDemand","0.04 per GB of data read using GetRecords Consumer","2025-03-01","0","Inf","GB","0.0400000000","USD","Kinesis Streams","AmazonKinesis","Per GB of data retrieved using GetRecords consumers","US East (N. Virginia)","AWS Region","OnDemand",,"OnDemand-BilledOutgoingBytes","OnDemandDataRetrieval",,"us-east-1","Amazon Kinesis",
"QFHADPJ42UJZ4EUK","JRTCKXETXF","QFHADPJ42UJZ4EUK.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.015 per enhanced fan-out consumer-shard hour","2025-03-01","0","Inf","ConsumerShardHour","0.0150000000","USD","Kinesis Streams","AmazonKinesis",,"US East (N. Virginia)","AWS Region","Enhanced fan-out consumer-shard hour","Number of enhanced fan-out consumer-shard hours generated by consumers","EnhancedFanoutHour","ConsumerHour",,"us-east-1","Amazon Kinesis",
