"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2025-05-22T22:14:35Z"
"Version","20250522221435"
"OfferCode","AmazonKinesisFirehose"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Description","Location","Location Type","Group","usageType","operation","Region Code","serviceName","SourceType","TicketType"
"2ZXSJSRZJDEZG2UP","JRTCKXETXF","2ZXSJSRZJDEZG2UP.JRTCKXETXF.HK3AFRJD7J","OnDemand","Tier 1 $0.029 per GB of data ingested","2025-05-01","0","512000","GB","0.0290000000","USD","Kinesis Firehose","AmazonKinesisFirehose","Per GB of data ingested","US East (N. Virginia)","AWS Region","Event-by-Event Processing","USE1-BilledBytes","PutRecord","us-east-1","Amazon Kinesis Firehose",,"1"
"2ZXSJSRZJDEZG2UP","JRTCKXETXF","2ZXSJSRZJDEZG2UP.JRTCKXETXF.UWBZ2JUKT9","OnDemand","Tier 2 $0.025 per GB of data ingested","2025-05-01","512000","2048000","GB","0.0250000000","USD","Kinesis Firehose","AmazonKinesisFirehose","Per GB of data ingested","US East (N. Virginia)","AWS Region","Event-by-Event Processing","USE1-BilledBytes","PutRecord","us-east-1","Amazon Kinesis Firehose",,"1"
"2ZXSJSRZJDEZG2UP","JRTCKXETXF","2ZXSJSRZJDEZG2UP.JRTCKXETXF.PERGK9UASF","OnDemand","Tier 3 $0.020 per GB of data ingested","2025-05-01","2048000","Inf","GB","0.0200000000","USD","Kinesis Firehose","AmazonKinesisFirehose","Per GB of data ingested","US East (N. Virginia)","AWS Region","Event-by-Event Processing","USE1-BilledBytes","PutRecord","us-east-1","Amazon Kinesis Firehose",,"1"
"33ARUD5FVNH6NDA9","JRTCKXETXF","33ARUD5FVNH6NDA9.JRTCKXETXF.PKDEJ9N4K8","OnDemand","Tier 1 $0.045 per GB of incremental data processed ","2025-05-01","0","256000","GB","0.0450000000","USD","Kinesis Firehose","AmazonKinesisFirehose","Per GB of incremental data processed","US East (N. Virginia)","AWS Region","Batch Processing","USE1-IncrementalProcessedBytes","Process","us-east-1","Amazon Kinesis Firehose",,
"33ARUD5FVNH6NDA9","JRTCKXETXF","33ARUD5FVNH6NDA9.JRTCKXETXF.V2M4DY9FUH","OnDemand","Tier 2 $0.038 per GB of incremental data processed ","2025-05-01","256000","1024000","GB","0.0380000000","USD","Kinesis Firehose","AmazonKinesisFirehose","Per GB of incremental data processed","US East (N. Virginia)","AWS Region","Batch Processing","USE1-IncrementalProcessedBytes","Process","us-east-1","Amazon Kinesis Firehose",,
"33ARUD5FVNH6NDA9","JRTCKXETXF","33ARUD5FVNH6NDA9.JRTCKXETXF.W36PUWTAP8","OnDemand","Tier 3 $0.032 per GB of incremental data processed ","2025-05-01","1024000","Inf","GB","0.0320000000","USD","Kinesis Firehose","AmazonKinesisFirehose","Per GB of incremental data processed","US East (N. Virginia)","AWS Region","Batch Processing","USE1-IncrementalProcessedBytes","Process","us-east-1","Amazon Kinesis Firehose",,
"4B6YDGGHJ68E9SNF","JRTCKXETXF","4B6YDGGHJ68E9SNF.JRTCKXETXF.PKDEJ9N4K8","OnDemand","Tier 1 $0.075 per GB of data ingested ","2025-05-01","0","256000","GB","0.0750000000","USD","Kinesis Firehose","AmazonKinesisFirehose","Per GB of data ingested or delivered to Apache Iceberg Tables","US East (N. Virginia)","AWS Region","Event-by-Event Processing","USE1-IcebergTablesBilledBytes","PutRecord","us-east-1","Amazon Kinesis Firehose",,
"4B6YDGGHJ68E9SNF","JRTCKXETXF","4B6YDGGHJ68E9SNF.JRTCKXETXF.V2M4DY9FUH","OnDemand","Tier 2 $0.064 per GB of data ingested ","2025-05-01","256000","1024000","GB","0.0640000000","USD","Kinesis Firehose","AmazonKinesisFirehose","Per GB of data ingested or delivered to Apache Iceberg Tables","US East (N. Virginia)","AWS Region","Event-by-Event Processing","USE1-IcebergTablesBilledBytes","PutRecord","us-east-1","Amazon Kinesis Firehose",,
"4B6YDGGHJ68E9SNF","JRTCKXETXF","4B6YDGGHJ68E9SNF.JRTCKXETXF.W36PUWTAP8","OnDemand","Tier 3 $0.053 per GB of data ingested","2025-05-01","1024000","Inf","GB","0.0530000000","USD","Kinesis Firehose","AmazonKinesisFirehose","Per GB of data ingested or delivered to Apache Iceberg Tables","US East (N. Virginia)","AWS Region","Event-by-Event Processing","USE1-IcebergTablesBilledBytes","PutRecord","us-east-1","Amazon Kinesis Firehose",,
"4KEBP42GU7AAKC6U","JRTCKXETXF","4KEBP42GU7AAKC6U.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.01 per GB of data delivered to destination in VPC in US East (N. Virginia)","2025-05-01","0","Inf","GB","0.0100000000","USD","Kinesis Firehose","AmazonKinesisFirehose","Per GB of data delivered to VPC","US East (N. Virginia)","AWS Region","VPC","USE1-Firehose-VpcDelivery-Bytes","VpcBandwidth","us-east-1","Amazon Kinesis Firehose",,"1"
