"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2024-03-25T11:28:32Z"
"Version","20240325112832"
"OfferCode","AmazonLex"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Location","Location Type","Group","Group Description","usageType","operation","Input Mode","Learning Mode","Output Mode","Region Code","serviceName","Supported Modes"
"24SPQPN7B32JFU6A","JRTCKXETXF","24SPQPN7B32JFU6A.JRTCKXETXF.6YS6EN2CT7","OnDemand","Processed text to text request in us-east-1 for fr-CA","2024-01-01","0","Inf","Requests","0.0007500000","USD","Lex Text Request","AmazonLex","US East (N. Virginia)","AWS Region","Text-to-Text","Processes text to text requests (fr-CA)","USE1-fr-CA-TextToText-Req","PostContent","Text",,"Text","us-east-1","Amazon Lex","Speech and Text"
"25U7J4M8TDXWP4PU","JRTCKXETXF","25U7J4M8TDXWP4PU.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD.0011 per Text Request for nl-NL-TextToSpeech-Req : RecognizeUtterance in US East (N. Virginia) GR Enabled","2024-01-01","0","Inf","Requests","0.0011000000","USD","Lex Text Request","AmazonLex","US East (N. Virginia)","AWS Region","Text-to-Speech-Req-GR","Processes text to speech requests (nl-NL)","USE1-nl-NL-TextToSpeech-Req-GR","RecognizeUtterance","Text",,"Speech","us-east-1","Amazon Lex","Speech and Text"
"27N7MCK288BW4NH8","JRTCKXETXF","27N7MCK288BW4NH8.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD0.0065 per Speech Interval for ca-ES-SpeechToText-Str : StartConversation in US East (N. Virginia)","2024-01-01","0","Inf","Requests","0.0065000000","USD","Lex Speech Request","AmazonLex","US East (N. Virginia)","AWS Region","Speech-to-Text-Str","Processes speech to text requests (pt-br)","USE1-pt-BR-SpeechToText-Str","StartConversation","Speech",,"Text","us-east-1","Amazon Lex","Speech, Text and DTMF"
"29JX3DUQJ7VTYEUT","JRTCKXETXF","29JX3DUQJ7VTYEUT.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD7.5E-4 per Text Request for fi-FI-TextToText-Req : RecognizeUtterance in US East (N. Virginia)","2024-01-01","0","Inf","Requests","0.0007500000","USD","Lex Text Request","AmazonLex","US East (N. Virginia)","AWS Region","Text-to-Text-Req","Processes text to text requests (fi-FI)","USE1-fi-FI-TextToText-Req","RecognizeUtterance","Text",,"Text","us-east-1","Amazon Lex","Speech and Text"
"29ZYKRM94DCGA48Y","JRTCKXETXF","29ZYKRM94DCGA48Y.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD0.002 per Text Request for en-US-TextToSpeech-Str : StartConversation in US East (N. Virginia)","2024-01-01","0","Inf","Requests","0.0020000000","USD","Lex Text Request","AmazonLex","US East (N. Virginia)","AWS Region","Text-to-Speech-Str","Processes text to speech requests (en-US)","USE1-en-US-TextToSpeech-Str","StartConversation","Text",,"Speech","us-east-1","Amazon Lex","Speech, Text and DTMF"
"2BHQ8HZVURVBMFXN","JRTCKXETXF","2BHQ8HZVURVBMFXN.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD0.006 per Speech Request for en-GB-SpeechToSpeech-Req : RecognizeUtterance in US East (N. Virginia) GR Enabled","2024-01-01","0","Inf","Requests","0.0060000000","USD","Lex Speech Request","AmazonLex","US East (N. Virginia)","AWS Region","Speech-to-Speech-Req-GR","Processes speech to speech requests (en-GB)","USE1-en-GB-SpeechToSpeech-Req-GR","RecognizeUtterance","Speech",,"Speech","us-east-1","Amazon Lex","Speech and Text"
"2BKVF454X9US5NGJ","JRTCKXETXF","2BKVF454X9US5NGJ.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD0.004 per Speech Request for es-419-SpeechToText-Req : RecognizeUtterance in US East (N. Virginia)","2024-01-01","0","Inf","Requests","0.0040000000","USD","Lex Speech Request","AmazonLex","US East (N. Virginia)","AWS Region","Speech-to-Text-Req","Processes speech to text requests (es-419)","USE1-es-419-SpeechToText-Req","RecognizeUtterance","Speech",,"Text","us-east-1","Amazon Lex","Speech and Text"
"2C82QJ69YCV6R8TU","JRTCKXETXF","2C82QJ69YCV6R8TU.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD.0011 per Text Request for es-419-TextToText-Req : RecognizeText in US East (N. Virginia) GR Enabled","2024-01-01","0","Inf","Requests","0.0011000000","USD","Lex Text Request","AmazonLex","US East (N. Virginia)","AWS Region","Text-to-Text-GR","Processes text to text requests (es-419)","USE1-es-419-TextToText-Req-GR","RecognizeText","Text",,"Text","us-east-1","Amazon Lex","Text Only"
"2DBAZH6BBCCKNSW4","JRTCKXETXF","2DBAZH6BBCCKNSW4.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD0.0065 per Speech Interval for ko-KR-SpeechToSpeech-Str : StartConversation in US East (N. Virginia)","2024-01-01","0","Inf","Requests","0.0065000000","USD","Lex Speech Request","AmazonLex","US East (N. Virginia)","AWS Region","Speech-to-Speech-Str","Processes speech to speech requests (ko-KR)","USE1-ko-KR-SpeechToSpeech-Str","StartConversation","Speech",,"Speech","us-east-1","Amazon Lex","Speech, Text and DTMF"
"2ET48MW6RPVJSTMH","JRTCKXETXF","2ET48MW6RPVJSTMH.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD0.0094 per Speech Interval for zh-CN-SpeechToText-Str : StartConversation in US East (N. Virginia) GR Enabled","2024-01-01","0","Inf","Requests","0.0094000000","USD","Lex Speech Request","AmazonLex","US East (N. Virginia)","AWS Region","Speech-to-Text-Str-GR","Processes speech to text requests (zh-cn)","USE1-zh-CN-SpeechToText-Str-GR","StartConversation","Speech",,"Text","us-east-1","Amazon Lex","Speech, Text and DTMF"
