"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2024-03-19T17:22:41Z"
"Version","20240319172241"
"OfferCode","AmazonManagedBlockchain"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Location","Location Type","Instance Type","usageType","operation","Framework Type","Region Code","serviceName","Size"
"2MDPQGXKE2P2T8YG","JRTCKXETXF","2MDPQGXKE2P2T8YG.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.000025 per Request for Query-Public-XL:Public-Bitcoin-Mainnet in US East (N. Virginia)","2024-02-01","0","Inf","Requests","0.0000250000","USD","Blockchain Request","AmazonManagedBlockchain","US East (N. Virginia)","AWS Region",,"USE1-Query-Public-XL","Public-Bitcoin-Mainnet","Bitcoin-Mainnet-Query","us-east-1","Amazon Managed Blockchain","XL"
"5NJRAWXX4GJTUD7B","JRTCKXETXF","5NJRAWXX4GJTUD7B.JRTCKXETXF.6YS6EN2CT7","OnDemand","$1.088 per hour for Hyperledger Fabric - Standard Edition bc.c5.4xlarge node in US East (N. Virginia)","2024-02-01","0","Inf","Hrs","1.0880000000","USD","Blockchain Instance","AmazonManagedBlockchain","US East (N. Virginia)","AWS Region","bc.c5.4xlarge","USE1-Node:bc.c5.4xlarge","Fabric:Standard","Hyperledger Fabric - Standard","us-east-1","Amazon Managed Blockchain",
"7BRNGUCXTKGCGQR4","JRTCKXETXF","7BRNGUCXTKGCGQR4.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.000005 per Request for Access-Public-XS:Public-Bitcoin-Mainnet in US East (N. Virginia)","2024-02-01","0","Inf","Requests","0.0000050000","USD","Blockchain Request","AmazonManagedBlockchain","US East (N. Virginia)","AWS Region",,"USE1-Access-Public-XS","Public-Bitcoin-Mainnet","Bitcoin-Mainnet-Access","us-east-1","Amazon Managed Blockchain","XS"
"7N3SRDFJT2GFU9R3","JRTCKXETXF","7N3SRDFJT2GFU9R3.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.544 per hour for Node:bc.c5.2xlarge:Ethereum:Public in US East (N. Virginia)","2024-02-01","0","Inf","Hrs","0.5440000000","USD","Blockchain Instance","AmazonManagedBlockchain","US East (N. Virginia)","AWS Region","bc.c5.2xlarge","USE1-Node:bc.c5.2xlarge","Ethereum:Public","Ethereum - Public","us-east-1","Amazon Managed Blockchain",
"7UMWQHGZB6EEPDDY","JRTCKXETXF","7UMWQHGZB6EEPDDY.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.067 per hour for Hyperledger Fabric - Standard Edition bc.t3.medium node in US East (N. Virginia)","2024-02-01","0","Inf","Hrs","0.0670000000","USD","Blockchain Instance","AmazonManagedBlockchain","US East (N. Virginia)","AWS Region","bc.t3.medium","USE1-Node:bc.t3.medium","Fabric:Standard","Hyperledger Fabric - Standard","us-east-1","Amazon Managed Blockchain",
"867X8NA7XJUSE3V2","JRTCKXETXF","867X8NA7XJUSE3V2.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.000009 per Request for Query-Public-M:Public-Bitcoin-Testnet in US East (N. Virginia)","2024-02-01","0","Inf","Requests","0.0000090000","USD","Blockchain Request","AmazonManagedBlockchain","US East (N. Virginia)","AWS Region",,"USE1-Query-Public-M","Public-Bitcoin-Testnet","Bitcoin-Testnet-Query","us-east-1","Amazon Managed Blockchain","M"
"8RJ376776NTZMXW7","JRTCKXETXF","8RJ376776NTZMXW7.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.55 per hr for Hyperledger Fabric - Standard Edition member in US East (N. Virginia)","2024-02-01","0","Inf","Hrs","0.5500000000","USD","Blockchain Member","AmazonManagedBlockchain","US East (N. Virginia)","AWS Region",,"USE1-Member","Fabric:Standard","Hyperledger Fabric - Standard","us-east-1","Amazon Managed Blockchain",
"93ZBD26GHE6CMUTK","JRTCKXETXF","93ZBD26GHE6CMUTK.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.136 per hour for Hyperledger Fabric - Standard Edition bc.c5.large node in US East (N. Virginia)","2024-02-01","0","Inf","Hrs","0.1360000000","USD","Blockchain Instance","AmazonManagedBlockchain","US East (N. Virginia)","AWS Region","bc.c5.large","USE1-Node:bc.c5.large","Fabric:Standard","Hyperledger Fabric - Standard","us-east-1","Amazon Managed Blockchain",
"96P3D2P84P8K8V6J","JRTCKXETXF","96P3D2P84P8K8V6J.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.307 per hour for Hyperledger Fabric - Standard Edition bc.m5.xlarge node in US East (N. Virginia)","2024-02-01","0","Inf","Hrs","0.3070000000","USD","Blockchain Instance","AmazonManagedBlockchain","US East (N. Virginia)","AWS Region","bc.m5.xlarge","USE1-Node:bc.m5.xlarge","Fabric:Standard","Hyperledger Fabric - Standard","us-east-1","Amazon Managed Blockchain",
"9QH4TJ5YPYK55KB7","JRTCKXETXF","9QH4TJ5YPYK55KB7.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.000007 per Request for Query-Public-S:Public-Ethereum-Mainnet in US East (N. Virginia)","2024-02-01","0","Inf","Requests","0.0000070000","USD","Blockchain Request","AmazonManagedBlockchain","US East (N. Virginia)","AWS Region",,"USE1-Query-Public-S","Public-Ethereum-Mainnet","Ethereum-Mainnet-Query","us-east-1","Amazon Managed Blockchain","S"
