"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2025-04-29T17:49:36Z"
"Version","20250429174936"
"OfferCode","AmazonNeptune"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Location","Location Type","Instance Type","Current Generation","Instance Family","vCPU","Physical Processor","Clock Speed","Memory","Storage","Network Performance","Processor Architecture","Storage Media","Volume Type","Min Volume Size","Max Volume Size","Engine Code","Database Engine","License Model","Deployment Option","Group","Group Description","Transfer Type","From Location","From Location Type","To Location","To Location Type","usageType","operation","Dedicated EBS Throughput","Enhanced Networking Supported","From Region Code","m-NCU","Normalization Size Factor","Pricing Unit","Processor Features","Region Code","serviceName","To Region Code"
"22FF5J79NTTCBAUM","JRTCKXETXF","22FF5J79NTTCBAUM.JRTCKXETXF.6YS6EN2CT7","OnDemand","$92.16 per Hrs for MemoryOptimizedGraphUsage:3072-m-NCU in us-east-1","2025-03-01","0","Inf","Hrs","92.1600000000","USD","Neptune Memory Optimized Graph","AmazonNeptune","US East (N. Virginia)","AWS Region","x2idn.24xlarge",,,,,,,,,,,,,,,,,,,,,,,,,"USE1-MemoryOptimizedGraphUsage:3072-m-NCU","CreateGraph",,,,"3072",,,,"us-east-1","Amazon Neptune",
"23GEDHKHRESN29ZS","JRTCKXETXF","23GEDHKHRESN29ZS.JRTCKXETXF.6YS6EN2CT7","OnDemand","$3.1817 per instance hour (or partial hour) running Amazon Neptune","2025-03-01","0","Inf","Hrs","3.1817000000","USD","Database Instance","AmazonNeptune","US East (N. Virginia)","AWS Region","db.r5d.4xlarge","Yes","Memory optimized","16","Intel Xeon Platinum 8175",,"128 GiB","2 x 300 NVMe SSD","Up to 10 Gigabit","64-bit",,,,,"22","Amazon Neptune","License included","Multi-AZ",,,,,,,,"InstanceUsage:db.r5d.4xl","CreateDBInstance:0022",,,,,"32",,,"us-east-1","Amazon Neptune",
"295MRANQYSM7RVRG","JRTCKXETXF","295MRANQYSM7RVRG.JRTCKXETXF.6YS6EN2CT7","OnDemand","$1.392 per instance hour (or partial hour) running Amazon Neptune","2025-03-01","0","Inf","Hrs","1.3920000000","USD","Database Instance","AmazonNeptune","US East (N. Virginia)","AWS Region","db.r4.2xlarge","Yes","Memory optimized","8","Intel Xeon E5-2686 v4 (Broadwell)","2.3 GHz","61 GiB","EBS Only","Up to 10 Gigabit","64-bit",,,,,"22","Amazon Neptune","License included","Multi-AZ",,,,,,,,"InstanceUsage:db.r4.2xlarge","CreateDBInstance:0022","1600 Mbps","Yes",,,"16",,"Intel AVX, Intel AVX2, Intel Turbo","us-east-1","Amazon Neptune",
"2A6TQRUNP8PT8JZE","JRTCKXETXF","2A6TQRUNP8PT8JZE.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0 per GB of Data Transfer from South America (Sao Paulo) to US East (N. Virginia)","2025-03-01","0","Inf","GB","0.0000000000","USD","Data Transfer","AmazonNeptune",,,,,,,,,,,,,,,,,,,,,,,"InterRegion Inbound","South America (Sao Paulo)","AWS Region","US East (N. Virginia)","AWS Region","SAE1-USE1-AWS-In-Bytes","",,,"sa-east-1",,,,,,"Amazon Neptune","us-east-1"
"2MZS9HPUT4Y9Z9DN","JRTCKXETXF","2MZS9HPUT4Y9Z9DN.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD17.8848 per Hrs for InstanceUsageIOOptimized:db.r8g.24xl:CreateDBInstance:0022 in US East (N. Virginia)","2025-03-01","0","Inf","Hrs","17.8848000000","USD","Database Instance","AmazonNeptune","US East (N. Virginia)","AWS Region","db.r8g.24xlarge","Yes","Memory optimized","96","AWS Graviton4",,"768 GiB","EBS Only","40","64-bit",,"General Purpose-Aurora",,,"22","Amazon Neptune","License included","Multi-AZ",,,,,,,,"InstanceUsageIOOptimized:db.r8g.24xl","CreateDBInstance:0022",,,,,"192",,,"us-east-1","Amazon Neptune",
"2QBF6JFAFSXSPTQ6","JRTCKXETXF","2QBF6JFAFSXSPTQ6.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD33.408 per Hrs for InstanceUsage:db.r7i.48xl:CreateDBInstance:0022 in US East (N. Virginia)","2025-03-01","0","Inf","Hrs","33.4080000000","USD","Database Instance","AmazonNeptune","US East (N. Virginia)","AWS Region","db.r7i.48xlarge","Yes","Memory optimized","192","Intel Xeon E5-2686 v4 (Broadwell)",,"1536 GiB","EBS Only","50 Gigabit","64-bit",,,,,"22","Amazon Neptune","License included","Multi-AZ",,,,,,,,"InstanceUsage:db.r7i.48xl","CreateDBInstance:0022",,,,,"384",,,"us-east-1","Amazon Neptune",
"2WVN5CCSM7CRAMGW","JRTCKXETXF","2WVN5CCSM7CRAMGW.JRTCKXETXF.6YS6EN2CT7","OnDemand","$8.352 per instance hour (or partial hour) running Amazon Neptune","2025-03-01","0","Inf","Hrs","8.3520000000","USD","Database Instance","AmazonNeptune","US East (N. Virginia)","AWS Region","db.r6i.12xlarge","Yes","Memory optimized","48","Intel Xeon Family",,"384 GiB","EBS Only","18.75 Gigabit","64-bit",,,,,"22","Amazon Neptune","License included","Multi-AZ",,,,,,,,"InstanceUsage:db.r6i.12xl","CreateDBInstance:0022",,,,,"96",,,"us-east-1","Amazon Neptune",
"34YTT65BWYE6NUAH","JRTCKXETXF","34YTT65BWYE6NUAH.JRTCKXETXF.6YS6EN2CT7","OnDemand","$6.3634 per instance hour (or partial hour) running Amazon Neptune","2025-03-01","0","Inf","Hrs","6.3634000000","USD","Database Instance","AmazonNeptune","US East (N. Virginia)","AWS Region","db.r5d.8xlarge","Yes","Memory optimized","32","Intel Xeon Platinum 8175",,"256 GiB","2 x 600 NVMe SSD","10 Gigabit","64-bit",,,,,"22","Amazon Neptune","License included","Multi-AZ",,,,,,,,"InstanceUsage:db.r5d.8xl","CreateDBInstance:0022",,,,,"64",,,"us-east-1","Amazon Neptune",
"3AFMHSGR9YXTMZN9","JRTCKXETXF","3AFMHSGR9YXTMZN9.JRTCKXETXF.6YS6EN2CT7","OnDemand","$2.784 per instance hour (or partial hour) running Amazon Neptune","2025-03-01","0","Inf","Hrs","2.7840000000","USD","Database Instance","AmazonNeptune","US East (N. Virginia)","AWS Region","db.r4.4xlarge","Yes","Memory optimized","16","Intel Xeon E5-2686 v4 (Broadwell)","2.3 GHz","122 GiB","EBS Only","Up to 10 Gigabit","64-bit",,,,,"22","Amazon Neptune","License included","Multi-AZ",,,,,,,,"InstanceUsage:db.r4.4xlarge","CreateDBInstance:0022","3000 Mbps","Yes",,,"16",,"Intel AVX, Intel AVX2, Intel Turbo","us-east-1","Amazon Neptune",
"3DHBPMS3AR7QF7AF","JRTCKXETXF","3DHBPMS3AR7QF7AF.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD 48.802 per instance hours (or partial hour) for InstanceUsageIOOptimized in US East (N. Virginia)","2025-03-01","0","Inf","Hrs","48.8020000000","USD","Database Instance","AmazonNeptune","US East (N. Virginia)","AWS Region","db.x2iedn.16xlarge","Yes","Memory optimized","64","Intel Xeon Family",,"2048 GiB","1 x 1900 NVMe SSD","50 Gigabit","64-bit",,"General Purpose-Aurora",,,"22","Amazon Neptune","License included","Multi-AZ",,,,,,,,"InstanceUsageIOOptimized:db.x2iedn.16xl","CreateDBInstance:0022",,,,,"172.8",,,"us-east-1","Amazon Neptune",
