"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2025-03-07T15:50:42Z"
"Version","20250307155042"
"OfferCode","AmazonOmics"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Location","Location Type","vCPU","Memory","Storage Class","Group","Group Description","usageType","operation","Analytics Type","Datastore Type","GPU","GPU Memory","Omics Instance Type","Publisher","Ready2Run Workflow Name","Ready2Run Workflow Version","Region Code","Resource Type","serviceName","Workflow Type"
"295F2GBYPPU3N7XM","JRTCKXETXF","295F2GBYPPU3N7XM.JRTCKXETXF.6YS6EN2CT7","OnDemand","$9.60 per NVIDIA Parabricks FQ2BAM WGS for up to 50X-run in US East (N. Virginia)","2025-02-01","0","Inf","Run","9.6000000000","USD","Compute","AmazonOmics","US East (N. Virginia)","AWS Region",,,,,,"USE1-WorkflowType:Ready2Run-NVIDIAParabricksFQ2BAMWGSforupto50X-v1.0-run","",,,,,,"NVIDIA Corporation","NVIDIA Parabricks FQ2BAM WGS for up to 50X","1.0","us-east-1",,"Amazon Omics","Ready2Run"
"2PPPGX85Z5H55XRT","JRTCKXETXF","2PPPGX85Z5H55XRT.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.6804 per omics.r.2xlarge-hour in US East (N. Virginia)","2025-02-01","0","Inf","Instance-hrs","0.6804000000","USD","Compute","AmazonOmics","US East (N. Virginia)","AWS Region","8","64 GiB",,,,"USE1-WorkflowType:Private-omics.r.2xlarge-hours","",,,,,"Memory Optimized Instances",,,,"us-east-1","omics.r.2xlarge","Amazon Omics","Private"
"36BSS9T3RBYMWSPZ","JRTCKXETXF","36BSS9T3RBYMWSPZ.JRTCKXETXF.6YS6EN2CT7","OnDemand","$2.7216 per omics.r.8xlarge-hour in US East (N. Virginia)","2025-02-01","0","Inf","Instance-hrs","2.7216000000","USD","Compute","AmazonOmics","US East (N. Virginia)","AWS Region","32","256 GiB",,,,"USE1-WorkflowType:Private-omics.r.8xlarge-hours","",,,,,"Memory Optimized Instances",,,,"us-east-1","omics.r.8xlarge","Amazon Omics","Private"
"37UYQXUJUA4QBPT4","JRTCKXETXF","37UYQXUJUA4QBPT4.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.0004 per 1000 Requests forOmicsStorage:API-S3GetRequest in US East (N. Virginia)","2025-02-01","0","Inf","Request","0.0000004000","USD","Storage","AmazonOmics","US East (N. Virginia)","AWS Region",,,,"OmicsStorage-API-S3GetRequest","S3 Get Request","USE1-OmicsStorage:API-S3GetRequest","",,,,,,,,,"us-east-1",,"Amazon Omics",
"3W9EGFFWKC8FYU4Y","JRTCKXETXF","3W9EGFFWKC8FYU4Y.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.035 per GB-month for variant store in US East (N. Virginia)","2025-02-01","0","Inf","GB-month","0.0350000000","USD","Machine Learning","AmazonOmics","US East (N. Virginia)","AWS Region",,,,,,"USE1-AnalyticsType:Variant-Bytes-hour","","Datastore","Variant",,,,,,,"us-east-1",,"Amazon Omics",
"45759GRPBPS6VFRX","JRTCKXETXF","45759GRPBPS6VFRX.JRTCKXETXF.6YS6EN2CT7","OnDemand","$17.1461 per Instance-hr for omics.r.48xlarge in US East (N. Virginia)","2025-02-01","0","Inf","Instance-hrs","17.1461000000","USD","Compute","AmazonOmics","US East (N. Virginia)","AWS Region","192","1,536 GiB",,,,"USE1-WorkflowType:Private-omics.r.48xlarge-hours","",,,,,"Memory Optimized Instances",,,,"us-east-1","omics.r.48xlarge","Amazon Omics","Private"
"46ZJYK6KZK2Q96KA","JRTCKXETXF","46ZJYK6KZK2Q96KA.JRTCKXETXF.6YS6EN2CT7","OnDemand","$2.7194 per Instance-hr for omics.g6.8xlarge in US East (N. Virginia)","2025-02-01","0","Inf","Instance-hrs","2.7194000000","USD","Compute","AmazonOmics","US East (N. Virginia)","AWS Region","32","128 GiB",,,,"USE1-WorkflowType:Private-omics.g6.8xlarge-hours","",,,"1","24 GiB","Accelerated Computing",,,,"us-east-1","omics.g6.8xlarge","Amazon Omics","Private"
"4T6ZD7MDAP9X8QBD","JRTCKXETXF","4T6ZD7MDAP9X8QBD.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.0004110 per GB-hour for dynamic run storage in US East (N. Virginia)","2025-02-01","0","Inf","GB-Hours","0.0004110000","USD","Compute","AmazonOmics","US East (N. Virginia)","AWS Region",,,,,,"USE1-WorkflowType:Private-DynamicRunStorage-Bytes-hour","",,,,,,,,,"us-east-1","Dynamic Run Storage","Amazon Omics","Private"
"4VFB6ZN2JFNGMDP7","JRTCKXETXF","4VFB6ZN2JFNGMDP7.JRTCKXETXF.6YS6EN2CT7","OnDemand","$2.5124 per Instance-hr for omics.g6e.xlarge in US East (N. Virginia)","2025-02-01","0","Inf","Instance-hrs","2.5124000000","USD","Compute","AmazonOmics","US East (N. Virginia)","AWS Region","4","32 GiB",,,,"USE1-WorkflowType:Private-omics.g6e.xlarge-hours","",,,"1","48 GiB","Accelerated Computing",,,,"us-east-1","omics.g6e.xlarge","Amazon Omics","Private"
"4VPS3VK5X8G52V78","JRTCKXETXF","4VPS3VK5X8G52V78.JRTCKXETXF.6YS6EN2CT7","OnDemand","$6.1136 per Instance-hr for omics.g6e.8xlarge in US East (N. Virginia)","2025-02-01","0","Inf","Instance-hrs","6.1136000000","USD","Compute","AmazonOmics","US East (N. Virginia)","AWS Region","32","256 GiB",,,,"USE1-WorkflowType:Private-omics.g6e.8xlarge-hours","",,,"1","48 GiB","Accelerated Computing",,,,"us-east-1","omics.g6e.8xlarge","Amazon Omics","Private"
