"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2025-04-28T16:45:20Z"
"Version","20250428164520"
"OfferCode","AmazonPrometheus"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","RelatedTo","Product Family","serviceCode","Location","Location Type","Group","Group Description","usageType","operation","Region Code","serviceName"
"6ATFFWG7N7GVWB4J","JRTCKXETXF","6ATFFWG7N7GVWB4J.JRTCKXETXF.DGNP37V5JW","OnDemand","$0.00 per GB-Mo for the first 10GB per month of storage in US East (N. Virginia)","2025-04-01","0","10","GB-Mo","0.0000000000","USD",,"Storage","AmazonPrometheus","US East (N. Virginia)","AWS Region","Storage","Stored metric samples and metadata","USE1-AMP:MetricStorageByteHrs","","us-east-1","Amazon Managed Service for Prometheus"
"6ATFFWG7N7GVWB4J","JRTCKXETXF","6ATFFWG7N7GVWB4J.JRTCKXETXF.XCQWNNXBHR","OnDemand","$0.03 per GB-Mo for storage above 10GB in US East (N. Virginia)","2025-04-01","10","Inf","GB-Mo","0.0300000000","USD",,"Storage","AmazonPrometheus","US East (N. Virginia)","AWS Region","Storage","Stored metric samples and metadata","USE1-AMP:MetricStorageByteHrs","","us-east-1","Amazon Managed Service for Prometheus"
"HK3HTFXKS6PAXA6X","JRTCKXETXF","HK3HTFXKS6PAXA6X.JRTCKXETXF.MP7YJSV6WY","OnDemand","$0.00 per metric samples for first 40M in US East (N. Virginia)","2025-04-01","0","40000000","Metric Datapoints","0.0000000000","USD",,"Metric","AmazonPrometheus","US East (N. Virginia)","AWS Region","Ingest-SampleCount","Prometheus Metrics","USE1-AMP:MetricSampleCount","","us-east-1","Amazon Managed Service for Prometheus"
"HK3HTFXKS6PAXA6X","JRTCKXETXF","HK3HTFXKS6PAXA6X.JRTCKXETXF.VMDU8858A6","OnDemand","$0.90 per 10M metric samples up to 2B metric samples in US East (N. Virginia)","2025-04-01","40000000","2000000000","Metric Datapoints","0.0000000900","USD",,"Metric","AmazonPrometheus","US East (N. Virginia)","AWS Region","Ingest-SampleCount","Prometheus Metrics","USE1-AMP:MetricSampleCount","","us-east-1","Amazon Managed Service for Prometheus"
"HK3HTFXKS6PAXA6X","JRTCKXETXF","HK3HTFXKS6PAXA6X.JRTCKXETXF.UVPFGHJN3Y","OnDemand","$0.35 per 10M metric samples for the next 250B metric samples in US East (N. Virginia)","2025-04-01","2000000000","252000000000","Metric Datapoints","0.0000000350","USD",,"Metric","AmazonPrometheus","US East (N. Virginia)","AWS Region","Ingest-SampleCount","Prometheus Metrics","USE1-AMP:MetricSampleCount","","us-east-1","Amazon Managed Service for Prometheus"
"HK3HTFXKS6PAXA6X","JRTCKXETXF","HK3HTFXKS6PAXA6X.JRTCKXETXF.2YSHVRRYZX","OnDemand","$0.16 per 10M metric samples for over 252B metric samples in US East (N. Virginia)","2025-04-01","252000000000","Inf","Metric Datapoints","0.0000000160","USD",,"Metric","AmazonPrometheus","US East (N. Virginia)","AWS Region","Ingest-SampleCount","Prometheus Metrics","USE1-AMP:MetricSampleCount","","us-east-1","Amazon Managed Service for Prometheus"
"MHCBZTJ8ZF3PP3ZF","JRTCKXETXF","MHCBZTJ8ZF3PP3ZF.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.04 per collector hour in US East (N. Virginia)","2025-04-01","0","Inf","Collector Hours","0.0400000000","USD",,"Metric","AmazonPrometheus","US East (N. Virginia)","AWS Region","Collector","Managed collector for Prometheus metrics","USE1-AMP:CollectorHours","","us-east-1","Amazon Managed Service for Prometheus"
"T27RFDH4MWVXD3U5","JRTCKXETXF","T27RFDH4MWVXD3U5.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.03 per 10M metric samples collected in US East (N. Virginia)","2025-04-01","0","Inf","Metric Datapoints","0.0000000030","USD",,"Metric","AmazonPrometheus","US East (N. Virginia)","AWS Region","Collected-SampleCount","Metric samples collected","USE1-AMP:MetricSamplesCollected","","us-east-1","Amazon Managed Service for Prometheus"
"X758FD8M7X4BMJUB","JRTCKXETXF","X758FD8M7X4BMJUB.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.10 per 1B query samples processed in US East (N. Virginia)","2025-04-01","0","Inf","Metric Datapoints","0.0000000001","USD","Z5CNPQ3HKW8FBB7E","API Request","AmazonPrometheus","US East (N. Virginia)","AWS Region","Query","Metric samples processed to evaluate queries and rules","USE1-AMP:QuerySamplesProcessed","","us-east-1","Amazon Managed Service for Prometheus"
"Z5CNPQ3HKW8FBB7E","A429C66SYZ","Z5CNPQ3HKW8FBB7E.A429C66SYZ.2BMC2B4R35","OnDemand","$0.00 per query sample processed for first 200B","2025-04-01","0","200000000000","Metric Datapoints","0.0000000000","USD",,"API Request","AmazonPrometheus","Any","AWS Region","Query","Metric samples processed to evaluate queries and rules","Global-AMP:QuerySamplesProcessed","","","Amazon Managed Service for Prometheus"
