"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2025-03-29T00:43:49Z"
"Version","20250329004349"
"OfferCode","AmazonQ"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Location","Location Type","Group","Group Description","usageType","operation","Region Code","serviceName"
"37FTDA6BEJ48XTYK","JRTCKXETXF","37FTDA6BEJ48XTYK.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD20.0 per month per user for Amazon Q Business Pro - US East (N. Virginia) (us-east-1)","2025-03-01","0","Inf","User","20.0000000000","USD","Amazon Q","AmazonQ","US East (N. Virginia)","AWS Region","Pro Subscription","Number of Amazon Q Business Pro subscriptions in the service","USE1-Amazon-Q-Business-Pro-Month","","us-east-1","Amazon Q"
"6YF98MEZSZRZVGG3","JRTCKXETXF","6YF98MEZSZRZVGG3.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.264 per hour per Amazon Q Business enterprise Index unit for US East (N. Virginia)","2025-03-01","0","Inf","hours","0.2640000000","USD","Amazon Q","AmazonQ","US East (N. Virginia)","AWS Region","Q Business Enterprise Index","Q Business Enterprise Index hours","USE1-Q-Business-Enterprise-Index","Q-Business-Enterprise-Index","us-east-1","Amazon Q"
"GZQBP6KJ4TD6J25B","JRTCKXETXF","GZQBP6KJ4TD6J25B.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD19.00 per month per user for Amazon Q Developer Pro - US East (N. Virginia) (us-east-1)","2025-03-01","0","Inf","User","19.0000000000","USD","Amazon Q","AmazonQ","US East (N. Virginia)","AWS Region","Q Developer Pro","Number Amazon Q Developer monthly subscriptions","USE1-Amazon-Q-Developer-Pro-subscription-monthly","number-q-dev-subscriptions","us-east-1","Amazon Q"
"HCV2KCAG2KMKWRJK","JRTCKXETXF","HCV2KCAG2KMKWRJK.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.264 per hour per Amazon Q Business enterprise Index unit for US East (N. Virginia)","2025-03-01","0","Inf","hours","0.2640000000","USD","Amazon Q","AmazonQ","US East (N. Virginia)","AWS Region","Index-Enterprise","Enterprise Index","USE1-AmazonQ-Index-Enterprise","AmazonQ-Index-Enterprise","us-east-1","Amazon Q"
"HNF7A6F4ZJ2DT97R","JRTCKXETXF","HNF7A6F4ZJ2DT97R.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.003 per Count for Amazon Q Business Image Index in US East (N. Virginia)","2025-03-01","0","Inf","Count","0.0030000000","USD","Amazon Q","AmazonQ","US East (N. Virginia)","AWS Region","Image","Image Analysis","USE1-GenerateImageDescription","BatchPutDocument","us-east-1","Amazon Q"
"NB8Z53BDSCSKJB85","JRTCKXETXF","NB8Z53BDSCSKJB85.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD3.0 per month per user for Amazon Q Business Lite - US East (N. Virginia) (us-east-1)","2025-03-01","0","Inf","User","3.0000000000","USD","Amazon Q","AmazonQ","US East (N. Virginia)","AWS Region","Lite Subscription","Number of Amazon Q Business Lite subscriptions in the service","USE1-Amazon-Q-Business-Lite-Month","","us-east-1","Amazon Q"
"P7F5T9PZVU9B7CY5","JRTCKXETXF","P7F5T9PZVU9B7CY5.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.006 per minute for Amazon Q Business Audio Index in US East (N. Virginia)","2025-03-01","0","Inf","minutes","0.0060000000","USD","Amazon Q","AmazonQ","US East (N. Virginia)","AWS Region","Audio","Audio Analysis","USE1-GenerateAudioDescription","BatchPutDocument","us-east-1","Amazon Q"
"QDBT38592VQ6X8EM","JRTCKXETXF","QDBT38592VQ6X8EM.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.14 per hour per Amazon Q Business starter Index unit for US East (N. Virginia)","2025-03-01","0","Inf","hours","0.1400000000","USD","Amazon Q","AmazonQ","US East (N. Virginia)","AWS Region","Q Business Starter Index","Q Business Starter Index hours","USE1-Q-Business-Starter-Index","Q-Business-Starter-Index","us-east-1","Amazon Q"
"QG6HF8SHGQE7STX3","JRTCKXETXF","QG6HF8SHGQE7STX3.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.14 per hour per Amazon Q Business starter Index unit for US East (N. Virginia)","2025-03-01","0","Inf","hours","0.1400000000","USD","Amazon Q","AmazonQ","US East (N. Virginia)","AWS Region","Index","Index","USE1-AmazonQ-Index","AmazonQ-Index","us-east-1","Amazon Q"
"QV8AA52VQBRZKYGW","JRTCKXETXF","QV8AA52VQBRZKYGW.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0 per hour for Amazon Q Business enterprise Index free trial for US East (N. Virginia)","2025-03-01","0","Inf","hours","0.0000000000","USD","Amazon Q","AmazonQ","US East (N. Virginia)","AWS Region","Q Business Enterprise Index","Q Business Enterprise Index hours(free)","USE1-Q-Business-Enterprise-Index-free","Q-Business-Enterprise-Index","us-east-1","Amazon Q"
"RN5GYNM4A9HDWUQR","JRTCKXETXF","RN5GYNM4A9HDWUQR.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD0.0 per month per user for Amazon Q Business Pro (free trial) - US East (N. Virginia) (us-east-1)","2025-03-01","0","Inf","User","0.0000000000","USD","Amazon Q","AmazonQ","US East (N. Virginia)","AWS Region","Pro Subscription","Number of Amazon Q Business Pro subscriptions in the service (free trial)","USE1-Amazon-Q-Business-Pro-Free-Trial","","us-east-1","Amazon Q"
"TEJQC2Z28YXECAFH","JRTCKXETXF","TEJQC2Z28YXECAFH.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.05 per minute for Amazon Q Business Video Index in US East (N. Virginia)","2025-03-01","0","Inf","minutes","0.0500000000","USD","Amazon Q","AmazonQ","US East (N. Virginia)","AWS Region","Video","Video Analysis","USE1-GenerateVideoDescription","BatchPutDocument","us-east-1","Amazon Q"
"XGHD5RQWWXZBZZQJ","JRTCKXETXF","XGHD5RQWWXZBZZQJ.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0 per hour for Amazon Q Business starter Index free trial for US East (N. Virginia)","2025-03-01","0","Inf","hours","0.0000000000","USD","Amazon Q","AmazonQ","US East (N. Virginia)","AWS Region","Q Business Starter Index","Q Business Starter Index hours(free)","USE1-Q-Business-Starter-Index-free","Q-Business-Starter-Index","us-east-1","Amazon Q"
"YW27YTHUT34DG8TZ","JRTCKXETXF","YW27YTHUT34DG8TZ.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD0.0 per month per user for Amazon Q Business Lite (free trial) - US East (N. Virginia) (us-east-1)","2025-03-01","0","Inf","User","0.0000000000","USD","Amazon Q","AmazonQ","US East (N. Virginia)","AWS Region","Lite Subscription","Number of Amazon Q Business Lite subscriptions in the service (free trial)","USE1-Amazon-Q-Business-Lite-Free-Trial","","us-east-1","Amazon Q"
