"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2025-04-30T15:11:29Z"
"Version","20250430151129"
"OfferCode","AmazonRoute53"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Description","Location","Location Type","usageType","operation","Region Code","serviceName"
"4D59R9RT8CVD4N54","JRTCKXETXF","4D59R9RT8CVD4N54.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.16 per hour per Firewall Rule Group-VPC association for DNS Firewall Advanced","2025-04-01","0","Inf","hours","0.1600000000","USD","DNS Query","AmazonRoute53","DNS Firewall Advanced","US East (N. Virginia)","AWS Region","USE1-AdvancedDNS-ThreatProtectionsVPCAssociationHours","","us-east-1","Amazon Route 53"
"98Y35YBR3J64B5FX","JRTCKXETXF","98Y35YBR3J64B5FX.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.0005 per DomainName stored within domain lists.","2025-04-01","0","Inf","Mo","0.0005000000","USD","DNS Domain Names","AmazonRoute53","DNS Firewall","US East (N. Virginia)","AWS Region","USE1-DNS-FirewallDomainName","","us-east-1","Amazon Route 53"
"9DYPVERWUDGFFGQG","JRTCKXETXF","9DYPVERWUDGFFGQG.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.75 per hour for up to 100 Profile-VPC associations in US East (N. Virginia)","2025-04-01","0","Inf","hours","0.7500000000","USD","DNS Query","AmazonRoute53","Profiles-Base Price","US East (N. Virginia)","AWS Region","USE1-DNS-ProfileBasePackage","","us-east-1","Amazon Route 53"
"GH25VS37S7J79CXX","JRTCKXETXF","GH25VS37S7J79CXX.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.125 per hour per Resolver Network Interface on AWS Outpost in US East (N. Virginia)","2025-04-01","0","Inf","hours","0.1250000000","USD","DNS Query","AmazonRoute53","Endpoint","US East (N. Virginia)","AWS Outposts","USE1-OutpostRNI","","us-east-1","Amazon Route 53"
"GZT83HBHCE5EGFNH","JRTCKXETXF","GZT83HBHCE5EGFNH.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.125 per hour per Resolver Network Interface","2025-04-01","0","Inf","Hours","0.1250000000","USD","DNS Query","AmazonRoute53","Endpoint","US East (N. Virginia)","AWS Region","USE1-ResolverNetworkInterface","","us-east-1","Amazon Route 53"
"Q5DQ7VD4Z2YNNA5C","JRTCKXETXF","Q5DQ7VD4Z2YNNA5C.JRTCKXETXF.ZN357FEBCK","OnDemand","$0.60 per 1,000,000 queries inspected by the firewall for the first 1 Billion queries","2025-04-01","0","1000000000","Queries","0.0000006000","USD","DNS Query","AmazonRoute53","DNS Firewall","US East (N. Virginia)","AWS Region","USE1-DNS-FirewallQueries","","us-east-1","Amazon Route 53"
"Q5DQ7VD4Z2YNNA5C","JRTCKXETXF","Q5DQ7VD4Z2YNNA5C.JRTCKXETXF.AGD8ADSNTG","OnDemand","$0.40 per 1,000,000 queries inspected by the firewall over 1 Billion queries","2025-04-01","1000000000","Inf","Queries","0.0000004000","USD","DNS Query","AmazonRoute53","DNS Firewall","US East (N. Virginia)","AWS Region","USE1-DNS-FirewallQueries","","us-east-1","Amazon Route 53"
"SHQXNZZBQ4TEXJQ6","JRTCKXETXF","SHQXNZZBQ4TEXJQ6.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.0014 per hour per association beyond the first 100 Profile-VPC associations in US East (N. Virginia)","2025-04-01","0","Inf","hours","0.0014000000","USD","DNS Query","AmazonRoute53","Profiles","US East (N. Virginia)","AWS Region","USE1-DNS-ProfileAssociationCount","","us-east-1","Amazon Route 53"
"UA2M4EHGFQSJQV5S","JRTCKXETXF","UA2M4EHGFQSJQV5S.JRTCKXETXF.ZN357FEBCK","OnDemand","$0.40 per 1,000,000 resolver queries for the first 1 Billion queries","2025-04-01","0","1000000000","Queries","0.0000004000","USD","DNS Query","AmazonRoute53","Queries","US East (N. Virginia)","AWS Region","USE1-DNS-Queries","","us-east-1","Amazon Route 53"
"UA2M4EHGFQSJQV5S","JRTCKXETXF","UA2M4EHGFQSJQV5S.JRTCKXETXF.AGD8ADSNTG","OnDemand","$0.20 per 1,000,000 resolver queries over 1 Billion queries","2025-04-01","1000000000","Inf","Queries","0.0000002000","USD","DNS Query","AmazonRoute53","Queries","US East (N. Virginia)","AWS Region","USE1-DNS-Queries","","us-east-1","Amazon Route 53"
"YHS3962AE82BQTS9","JRTCKXETXF","YHS3962AE82BQTS9.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.125 per hour per DoH Resolver Network Interface in US East (N. Virginia)","2025-04-01","0","Inf","Hours","0.1250000000","USD","DNS Query","AmazonRoute53","DoH Endpoint","US East (N. Virginia)","AWS Region","USE1-ResolverNetworkInterface-SecurityEnabled","","us-east-1","Amazon Route 53"
