"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2025-04-17T21:48:48Z"
"Version","20250417214848"
"OfferCode","AmazonSES"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","RelatedTo","Product Family","serviceCode","Description","Location","Location Type","Origin","Group","Group Description","usageType","operation","API Category","Content Type","Recipient","Region Code","serviceName"
"24XQKQBWBYENKRGB","A429C66SYZ","24XQKQBWBYENKRGB.A429C66SYZ.YFQHUT4EVE","OnDemand","Cost per recipient of SendEmail or SendRawEmail invoked from EC2 sent to the Mailbox Simulator Global","2025-04-01","0","62000","Count","0.0000000000","USD",,"Bundle","AmazonSES",,,,,"SES-MonthlyFree-OutgoingEmail-Simulator","Monthly free outgoing emails from AmazonEC2 to Amazon SES Mailbox Simulator","Global-Recipients-MailboxSim-EC2","Send",,,,,"Amazon Simple Email Service"
"5QV8DXV2R9AY5CSJ","JRTCKXETXF","5QV8DXV2R9AY5CSJ.JRTCKXETXF.6YS6EN2CT7","OnDemand","Cost of Dedicated IPs (managed) subscription in IAD","2025-04-01","0","Inf","Mo","15.0000000000","USD",,,"AmazonSES",,"US East (N. Virginia)","AWS Region","Any",,,"DIP-Managed-Acc-Sub-Hours","Subscription",,"Dedicated IPs (managed)","Any","us-east-1","Amazon Simple Email Service"
"5TGTAAJFB5N6WGZ2","JRTCKXETXF","5TGTAAJFB5N6WGZ2.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD0.000125 per Count for Message processed by Spamhaus Add on in US East (N. Virginia)","2025-04-01","0","Inf","Count","0.0001250000","USD",,"Email Management","AmazonSES",,"US East (N. Virginia)","AWS Region",,,,"USE1-AddOnExecution-SPAMHAUS_DBL","Processing",,"Message Body SpamHaus",,"us-east-1","Amazon Simple Email Service"
"6M5WNQ7SQJYZPC9M","JRTCKXETXF","6M5WNQ7SQJYZPC9M.JRTCKXETXF.6YS6EN2CT7","OnDemand","Cost per recipient of SendEmail or SendRawEmail","2025-04-01","0","Inf","Count","0.0001000000","USD",,"Sending Email","AmazonSES","Charged for each email sent to an external recipient","US East (N. Virginia)","AWS Region","Other",,,"Recipients","Send",,"Message Body","Other","us-east-1","Amazon Simple Email Service"
"6UT7ZR288K2UTCHH","JRTCKXETXF","6UT7ZR288K2UTCHH.JRTCKXETXF.HWDSBTNJX9","OnDemand","$0.00007 per Count from 0 to 10,000,000 for Outbound emails processed by Virtual Deliverability Manager in US East (N. Virginia)","2025-04-01","0","10000000","Count","0.0000700000","USD",,,"AmazonSES",,"US East (N. Virginia)","AWS Region","Any",,,"Recipients-VirtDelivMgr","Send",,"Message Body","Any","us-east-1","Amazon Simple Email Service"
"6UT7ZR288K2UTCHH","JRTCKXETXF","6UT7ZR288K2UTCHH.JRTCKXETXF.RTKVR6ZK95","OnDemand","$0.00005 per Count from 10,000,000 to 100,000,000 for Outbound emails processed by Virtual Deliverability Manager in US East (N. Virginia)","2025-04-01","10000000","100000000","Count","0.0000500000","USD",,,"AmazonSES",,"US East (N. Virginia)","AWS Region","Any",,,"Recipients-VirtDelivMgr","Send",,"Message Body","Any","us-east-1","Amazon Simple Email Service"
"6UT7ZR288K2UTCHH","JRTCKXETXF","6UT7ZR288K2UTCHH.JRTCKXETXF.F83EQNDM5J","OnDemand","$0.00002 per Count from 100,000,000 for Outbound emails processed by Virtual Deliverability Manager in US East (N. Virginia)","2025-04-01","100000000","Inf","Count","0.0000200000","USD",,,"AmazonSES",,"US East (N. Virginia)","AWS Region","Any",,,"Recipients-VirtDelivMgr","Send",,"Message Body","Any","us-east-1","Amazon Simple Email Service"
"6VSHKQQ95CZKP5E4","JRTCKXETXF","6VSHKQQ95CZKP5E4.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD0.00015 per Count for Message processed in US East (N. Virginia)","2025-04-01","0","Inf","Count","0.0001500000","USD",,"Email Management","AmazonSES",,"US East (N. Virginia)","AWS Region",,,,"USE1-Message","Processing",,"Message Body Processing",,"us-east-1","Amazon Simple Email Service"
"8ZMRUUD2CUDARVQB","JRTCKXETXF","8ZMRUUD2CUDARVQB.JRTCKXETXF.HWDSBTNJX9","OnDemand","Dedicated IPs (managed) pricing for less than 10 Million emails per month in USE1","2025-04-01","0","10000000","Count","0.0000800000","USD",,,"AmazonSES",,"US East (N. Virginia)","AWS Region","Other",,,"Recipients-DIP-Managed","Send",,"Dedicated IPs (managed)","Other","us-east-1","Amazon Simple Email Service"
"8ZMRUUD2CUDARVQB","JRTCKXETXF","8ZMRUUD2CUDARVQB.JRTCKXETXF.UH4R86KK5B","OnDemand","Dedicated IPs (managed) pricing for between 10 Million and 50 Million emails per month in USE1","2025-04-01","10000000","50000000","Count","0.0000400000","USD",,,"AmazonSES",,"US East (N. Virginia)","AWS Region","Other",,,"Recipients-DIP-Managed","Send",,"Dedicated IPs (managed)","Other","us-east-1","Amazon Simple Email Service"
