"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2025-03-18T19:05:44Z"
"Version","20250318190544"
"OfferCode","AmazonSNS"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","RelatedTo","Product Family","serviceCode","Description","Location","Location Type","Endpoint Type","Group","Group Description","usageType","operation","Region Code","serviceName"
"2KVK94JGJ4MPBBQG","JRTCKXETXF","2KVK94JGJ4MPBBQG.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.09 per GB for F-PL-Filtered-Out in US East (N. Virginia)","2025-03-01","0","Inf","GB","0.0900000000","USD",,,"AmazonSNS",,"US East (N. Virginia)","AWS Region",,"SNS-FIFO-Payload-MessageFiltering-Filtered-Out","Amazon SNS FIFO Payload Scanned & Filtered","F-PL-Filtered-Out","","us-east-1","Amazon Simple Notification Service"
"3J8ZAUG4DBP38TK5","JRTCKXETXF","3J8ZAUG4DBP38TK5.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.017 per GB of SNS FIFO Publish Messages Payload in US East (N. Virginia)","2025-03-01","0","Inf","GB","0.0170000000","USD",,,"AmazonSNS",,"US East (N. Virginia)","AWS Region",,"SNS-Publish-Payload","SNS FIFO Publish Payload","F-Ingress-Tier1","","us-east-1","Amazon Simple Notification Service"
"5N4XS8YGXD4JGDTN","JRTCKXETXF","5N4XS8YGXD4JGDTN.JRTCKXETXF.NADQ2ZJX8V","OnDemand","First 100,000 Amazon SNS HTTP/HTTPS Notifications per month are free","2025-03-01","0","100000","Notifications","0.0000000000","USD",,"Message Delivery","AmazonSNS","Charged for each 64KB chunk of published data","US East (N. Virginia)","AWS Region","HTTP",,,"DeliveryAttempts-HTTP","","us-east-1","Amazon Simple Notification Service"
"5N4XS8YGXD4JGDTN","JRTCKXETXF","5N4XS8YGXD4JGDTN.JRTCKXETXF.FF8BMSDA2R","OnDemand","$0.06 per 100,000 Amazon SNS HTTP/HTTPS Notifications thereafter","2025-03-01","100000","Inf","Notifications","0.0000006000","USD",,"Message Delivery","AmazonSNS","Charged for each 64KB chunk of published data","US East (N. Virginia)","AWS Region","HTTP",,,"DeliveryAttempts-HTTP","","us-east-1","Amazon Simple Notification Service"
"5WMX2578TWABWVDP","JRTCKXETXF","5WMX2578TWABWVDP.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.50 per 1,000,000 Mobile Push Notifications per month thereafter","2025-03-01","0","Inf","Notifications","0.0000005000","USD","MH82JMYFVMY4KHTJ","Message Delivery","AmazonSNS","Charged for each 64KB chunk of published data","US East (N. Virginia)","AWS Region","Apple Push Notification Service (APNS) - Mac OS",,,"DeliveryAttempts-MACOS","","us-east-1","Amazon Simple Notification Service"
"69N3UW89UBTBWXSF","JRTCKXETXF","69N3UW89UBTBWXSF.JRTCKXETXF.6YS6EN2CT7","OnDemand","Attempts to dispatch SMS","2025-03-01","0","Inf","Notifications","0.0000000000","USD",,"Message Delivery","AmazonSNS","Charged for each 64KB chunk of published data","US East (N. Virginia)","AWS Region","SMS",,,"DeliveryAttempts-SMS","","us-east-1","Amazon Simple Notification Service"
"6S9VXKZ5G7EJWP36","JRTCKXETXF","6S9VXKZ5G7EJWP36.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.20 per GB of SNS Audit Reporting in US East (N. Virginia)","2025-03-01","0","Inf","GB","0.2000000000","USD",,,"AmazonSNS",,"US East (N. Virginia)","AWS Region",,"SNS-MDP-AuditReporting","Amazon SNS Audit Reporting","USE1-MDP-AuditReporting","","us-east-1","Amazon Simple Notification Service"
"6WGD9R7TPDEWDUHM","JRTCKXETXF","6WGD9R7TPDEWDUHM.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.50 per 1,000,000 Mobile Push Notifications per month thereafter","2025-03-01","0","Inf","Notifications","0.0000005000","USD","MH82JMYFVMY4KHTJ","Message Delivery","AmazonSNS","Charged for each 64KB chunk of published data","US East (N. Virginia)","AWS Region","Windows Push Notification Services (WNS)",,,"DeliveryAttempts-WNS","","us-east-1","Amazon Simple Notification Service"
"72Y4BTQ4WU6YZZEF","JRTCKXETXF","72Y4BTQ4WU6YZZEF.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.50 per 1,000,000 Mobile Push Notifications per month thereafter","2025-03-01","0","Inf","Notifications","0.0000005000","USD","MH82JMYFVMY4KHTJ","Message Delivery","AmazonSNS","Charged for each 64KB chunk of published data","US East (N. Virginia)","AWS Region","Apple Push Notification Service (APNS) VOIP",,,"DeliveryAttempts-AP_V","","us-east-1","Amazon Simple Notification Service"
"756548AEU5ZG7RPQ","JRTCKXETXF","756548AEU5ZG7RPQ.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.50 per 1,000,000 Mobile Push Notifications per month thereafter","2025-03-01","0","Inf","Notifications","0.0000005000","USD","MH82JMYFVMY4KHTJ","Message Delivery","AmazonSNS","Charged for each 64KB chunk of published data","US East (N. Virginia)","AWS Region","Microsoft Push Notification Service for Windows Phone (MPNS)",,,"DeliveryAttempts-MPNS","","us-east-1","Amazon Simple Notification Service"
