"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2024-10-29T16:40:50Z"
"Version","20241029164050"
"OfferCode","AmazonTextract"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Location","Location Type","Group","Group Description","usageType","operation","API Type","Entity Type","PlatoPageDataType","PricingUnit","Region Code","serviceName"
"2BTDJUEGMJQMHBWR","JRTCKXETXF","2BTDJUEGMJQMHBWR.JRTCKXETXF.SB2VSFF4TP","OnDemand","$0.07 per page for AsyncFormsQueriesTablesPagesProcessed in US East (N. Virginia); [0 to 1000000] pages tier","2024-10-01","0","1000000","Pages","0.0700000000","USD","API Request","AmazonTextract","US East (N. Virginia)","AWS Region","Textract Analyze API Requests","Number of pages processed using AnalyzeDocument","USE1-AsyncFormsQueriesTablesPagesProcessed","","Async","Forms+Tables+Queries","AsyncFormsQueriesTablesPagesProcessed",,"us-east-1","Amazon Textract"
"2BTDJUEGMJQMHBWR","JRTCKXETXF","2BTDJUEGMJQMHBWR.JRTCKXETXF.VNJQCFJPS4","OnDemand","$0.055 per page for AsyncFormsQueriesTablesPagesProcessed in US East (N. Virginia); [1000000 to Inf] pages tier","2024-10-01","1000000","Inf","Pages","0.0550000000","USD","API Request","AmazonTextract","US East (N. Virginia)","AWS Region","Textract Analyze API Requests","Number of pages processed using AnalyzeDocument","USE1-AsyncFormsQueriesTablesPagesProcessed","","Async","Forms+Tables+Queries","AsyncFormsQueriesTablesPagesProcessed",,"us-east-1","Amazon Textract"
"49UUAQ7GYYKC9PWZ","JRTCKXETXF","49UUAQ7GYYKC9PWZ.JRTCKXETXF.SB2VSFF4TP","OnDemand","AsyncPagesProcessed: 0-1M pages of AnalyzeDocument Forms, $50 USD per 1000 pages","2024-10-01","0","1000000","Pages","0.0500000000","USD","API Request","AmazonTextract","US East (N. Virginia)","AWS Region","Textract Analyze API Requests","Number of pages processed using AnalyzeDocument","USE1-AsyncFormsPagesProcessed","","Async","Forms","AsyncFormsPagesProcessed",,"us-east-1","Amazon Textract"
"49UUAQ7GYYKC9PWZ","JRTCKXETXF","49UUAQ7GYYKC9PWZ.JRTCKXETXF.VNJQCFJPS4","OnDemand","AsyncPagesProcessed: 1M+ pages of AnalyzeDocument Forms, $40 USD per 1000 pages","2024-10-01","1000000","Inf","Pages","0.0400000000","USD","API Request","AmazonTextract","US East (N. Virginia)","AWS Region","Textract Analyze API Requests","Number of pages processed using AnalyzeDocument","USE1-AsyncFormsPagesProcessed","","Async","Forms","AsyncFormsPagesProcessed",,"us-east-1","Amazon Textract"
"5EK63MPE2RTR9TMJ","JRTCKXETXF","5EK63MPE2RTR9TMJ.JRTCKXETXF.SB2VSFF4TP","OnDemand","$0.030 per page for SyncCustomQueriesTablesPagesProcessed in US East (N. Virginia);[0 to 1000000] pages tier","2024-10-01","0","1000000","Pages","0.0300000000","USD","API Request","AmazonTextract","US East (N. Virginia)","AWS Region","Textract Analyze API Requests","Number of pages processed using AnalyzeDocument","USE1-SyncCustomQueriesTablesPagesProcessed","","Sync","CustomQueries+Tables","SyncCustomQueriesTablesPagesProcessed","Pages","us-east-1","Amazon Textract"
"5EK63MPE2RTR9TMJ","JRTCKXETXF","5EK63MPE2RTR9TMJ.JRTCKXETXF.VNJQCFJPS4","OnDemand","$0.020 per page for SyncCustomQueriesTablesPagesProcessed in US East (N. Virginia);[1000000 to Inf] pages tier","2024-10-01","1000000","Inf","Pages","0.0200000000","USD","API Request","AmazonTextract","US East (N. Virginia)","AWS Region","Textract Analyze API Requests","Number of pages processed using AnalyzeDocument","USE1-SyncCustomQueriesTablesPagesProcessed","","Sync","CustomQueries+Tables","SyncCustomQueriesTablesPagesProcessed","Pages","us-east-1","Amazon Textract"
"65PDAR684HV4F68P","JRTCKXETXF","65PDAR684HV4F68P.JRTCKXETXF.SB2VSFF4TP","OnDemand","$0.025 per page for SyncCustomQueriesPagesProcessed in US East (N. Virginia);[0 to 1000000] pages tier","2024-10-01","0","1000000","Pages","0.0250000000","USD","API Request","AmazonTextract","US East (N. Virginia)","AWS Region","Textract Analyze API Requests","Number of pages processed using AnalyzeDocument","USE1-SyncCustomQueriesPagesProcessed","","Sync","CustomQueries","SyncCustomQueriesPagesProcessed","Pages","us-east-1","Amazon Textract"
"65PDAR684HV4F68P","JRTCKXETXF","65PDAR684HV4F68P.JRTCKXETXF.VNJQCFJPS4","OnDemand","$0.015 per page for SyncCustomQueriesPagesProcessed in US East (N. Virginia);[1000000 to Inf] pages tier","2024-10-01","1000000","Inf","Pages","0.0150000000","USD","API Request","AmazonTextract","US East (N. Virginia)","AWS Region","Textract Analyze API Requests","Number of pages processed using AnalyzeDocument","USE1-SyncCustomQueriesPagesProcessed","","Sync","CustomQueries","SyncCustomQueriesPagesProcessed","Pages","us-east-1","Amazon Textract"
"7E39ME4YHJHRBF5Q","JRTCKXETXF","7E39ME4YHJHRBF5Q.JRTCKXETXF.SB2VSFF4TP","OnDemand","$0.02 per page for SyncQueriesTablesPagesProcessed in US East (N. Virginia); [0 to 1000000] pages tier","2024-10-01","0","1000000","Pages","0.0200000000","USD","API Request","AmazonTextract","US East (N. Virginia)","AWS Region","Textract Analyze API Requests","Number of pages processed using AnalyzeDocument","USE1-SyncQueriesTablesPagesProcessed","","Sync","Tables+Queries","SyncQueriesTablesPagesProcessed",,"us-east-1","Amazon Textract"
"7E39ME4YHJHRBF5Q","JRTCKXETXF","7E39ME4YHJHRBF5Q.JRTCKXETXF.VNJQCFJPS4","OnDemand","$0.015 per page for SyncQueriesTablesPagesProcessed in US East (N. Virginia); [1000000 to Inf] pages tier","2024-10-01","1000000","Inf","Pages","0.0150000000","USD","API Request","AmazonTextract","US East (N. Virginia)","AWS Region","Textract Analyze API Requests","Number of pages processed using AnalyzeDocument","USE1-SyncQueriesTablesPagesProcessed","","Sync","Tables+Queries","SyncQueriesTablesPagesProcessed",,"us-east-1","Amazon Textract"
