"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2025-04-08T17:57:50Z"
"Version","20250408175750"
"OfferCode","AmazonTimestream"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Description","Location","Location Type","Instance Type","vCPU","Memory","Storage","Network Performance","Storage Media","Volume Type","Min Volume Size","Max Volume Size","Engine Code","Database Engine","License Model","Deployment Option","usageType","operation","disableActivationConfirmationEmail","Normalization Size Factor","Region Code","serviceName"
"2XWGUG8BGDNSP3BF","JRTCKXETXF","2XWGUG8BGDNSP3BF.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD 1.913 per Instance-Hour for MultiAZ db.Influx.2xlarge Compute in US East (N. Virginia)","2025-04-01","0","Inf","Hrs","1.9130000000","USD","Database Instance","AmazonTimestream",,"US East (N. Virginia)","AWS Region","db.influx.2xlarge","8","64 GiB","InfluxDb Compatible","Up to 10 Gigabit",,,,,"1","InfluxDB","No license required","Multi-AZ","USE1-MultiAZUsage-Db.influx.2xlarge","Compute:001",,"32","us-east-1","Amazon Timestream"
"453Z5GQ9R6WWJSYS","JRTCKXETXF","453Z5GQ9R6WWJSYS.JRTCKXETXF.6YS6EN2CT7","OnDemand","price per GB ingested in Timestream - US East (N. Virginia)","2025-04-01","0","Inf","GB","0.5000000000","USD","Data Payload","AmazonTimestream","Timestream Ingestion","US East (N. Virginia)","AWS Region",,,,,,,,,,,,,,"USE1-DataIngestion-Bytes","",,,"us-east-1","Amazon Timestream"
"47DFUF95XAJCF9M3","JRTCKXETXF","47DFUF95XAJCF9M3.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD 3.825 per Instance-Hour for SIngleAZ db.Influx.8xlarge Compute in US East (N. Virginia)","2025-04-01","0","Inf","Hrs","3.8250000000","USD","Database Instance","AmazonTimestream",,"US East (N. Virginia)","AWS Region","db.influx.8xlarge","32","256 GiB","InfluxDb Compatible","Up to 12 Gigabit",,,,,"1","InfluxDB","No license required","Single-AZ","USE1-InstanceUsage-Db.influx.8xlarge","Compute:001",,"64","us-east-1","Amazon Timestream"
"4MKCKDEE2DEHG8NS","JRTCKXETXF","4MKCKDEE2DEHG8NS.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD 0.50 per GB-Month for ClusterNode InfluxIOIncludedT3 in US East (N. Virginia)","2025-04-01","0","Inf","GB-Mo","0.5000000000","USD","Influx Optimized Storage","AmazonTimestream",,"US East (N. Virginia)","AWS Region",,,,,,"SSD","Influx IOPS Included with 16K IOPS",,,"1","InfluxDB",,"Cluster","USE1-ClusterNode-InfluxDBStorage-InfluxIOIncludedT3","Storage:001",,,"us-east-1","Amazon Timestream"
"54VHKHUCXG7RT8QS","JRTCKXETXF","54VHKHUCXG7RT8QS.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD 3.825 per Instance-Hour for MultiAZ db.Influx.4xlarge Compute in US East (N. Virginia)","2025-04-01","0","Inf","Hrs","3.8250000000","USD","Database Instance","AmazonTimestream",,"US East (N. Virginia)","AWS Region","db.influx.4xlarge","16","128 GiB","InfluxDb Compatible","Up to 10 Gigabit",,,,,"1","InfluxDB","No license required","Multi-AZ","USE1-MultiAZUsage-Db.influx.4xlarge","Compute:001",,"64","us-east-1","Amazon Timestream"
"5DBVYAYDAJDC562A","JRTCKXETXF","5DBVYAYDAJDC562A.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD 0.956 per Instance-Hour for ClusterNode db.Influx.2xlarge Compute in US East (N. Virginia)","2025-04-01","0","Inf","Hrs","0.9560000000","USD","Database Instance","AmazonTimestream",,"US East (N. Virginia)","AWS Region","db.influx.2xlarge","8","64 GiB","InfluxDb Compatible","Up to 10 Gigabit",,,,,"1","InfluxDB","No license required","Cluster","USE1-ClusterNodeUsage-Db.influx.2xlarge","Compute:001",,"16","us-east-1","Amazon Timestream"
"5G9CG4FEH5GC6R52","JRTCKXETXF","5G9CG4FEH5GC6R52.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD 0.10 per GB-Month for SingleAZ InfluxIOIncludedT1 in US East (N. Virginia)","2025-04-01","0","Inf","GB-Mo","0.1000000000","USD","Influx Optimized Storage","AmazonTimestream","SingleAZ Influx IOPS Included (3K IOPS)","US East (N. Virginia)","AWS Region",,,,,,"SSD","Influx IOPS Included with 3K IOPS","20 GB","16 TB","1","InfluxDB",,"Single-AZ","USE1-SingleAZ-InfluxDBStorage-InfluxIOIncludedT1","Storage:001",,,"us-east-1","Amazon Timestream"
"6JFKV23Y9N6B67JQ","JRTCKXETXF","6JFKV23Y9N6B67JQ.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD 0.120 per Instance-Hour for SIngleAZ db.Influx.medium Compute in US East (N. Virginia)","2025-04-01","0","Inf","Hrs","0.1200000000","USD","Database Instance","AmazonTimestream",,"US East (N. Virginia)","AWS Region","db.influx.medium","1","8 GiB","InfluxDb Compatible","Up to 10 Gigabit",,,,,"1","InfluxDB","No license required","Single-AZ","USE1-InstanceUsage-Db.influx.medium","Compute:001",,"2","us-east-1","Amazon Timestream"
"6M5PJ97ZSV47MN3B","JRTCKXETXF","6M5PJ97ZSV47MN3B.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD 0.956 per Instance-Hour for MultiAZ db.Influx.xlarge Compute in US East (N. Virginia)","2025-04-01","0","Inf","Hrs","0.9560000000","USD","Database Instance","AmazonTimestream",,"US East (N. Virginia)","AWS Region","db.influx.xlarge","4","32 GiB","InfluxDb Compatible","Up to 10 Gigabit",,,,,"1","InfluxDB","No license required","Multi-AZ","USE1-MultiAZUsage-Db.influx.xlarge","Compute:001",,"16","us-east-1","Amazon Timestream"
"6V7YAVZJ7UGMB3EN","JRTCKXETXF","6V7YAVZJ7UGMB3EN.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD 0.120 per Instance-Hour for ClusterNode db.Influx.medium Compute in US East (N. Virginia)","2025-04-01","0","Inf","Hrs","0.1200000000","USD","Database Instance","AmazonTimestream",,"US East (N. Virginia)","AWS Region","db.influx.medium","1","8 GiB","InfluxDb Compatible","Up to 10 Gigabit",,,,,"1","InfluxDB","No license required","Cluster","USE1-ClusterNodeUsage-Db.influx.medium","Compute:001",,"2","us-east-1","Amazon Timestream"
