"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2025-05-21T03:35:43Z"
"Version","20250521033543"
"OfferCode","AmazonVPC"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Location","Location Type","Endpoint Type","Group","Group Description","Transfer Type","From Location","From Location Type","To Location","To Location Type","usageType","operation","Attachment Type","From Region Code","Region Code","serviceName","To Region Code"
"2Z8EJNMUG8MRUAQM","JRTCKXETXF","2Z8EJNMUG8MRUAQM.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.02 per hour per VPC resource for VPC endpoint of type 'resource' in  US East (N. Virginia)","2025-05-01","0","Inf","Hrs","0.0200000000","USD","VpcEndpoint","AmazonVPC","US East (N. Virginia)","AWS Region","Resource","VpcResources","Hourly charge to access VPC Resource through Resource-endpoint",,,,,,"USE1-VpcEndpoint-Resource-Hours","VpcResourceConsumer",,,"us-east-1","Amazon Virtual Private Cloud",
"3MQ9DPVXQ37SYP6U","JRTCKXETXF","3MQ9DPVXQ37SYP6U.JRTCKXETXF.D7RZ6WCPVW","OnDemand","$0.01 per GB for upto 1 PB monthly data processed for VPC resources ","2025-05-01","0","1048576","GB","0.0100000000","USD","VpcEndpoint","AmazonVPC","US East (N. Virginia)","AWS Region","Resource","VpcResources","Per GB charge to access VPC Resources",,,,,,"USE1-VpcResource-Consumer-Bytes","VpcResourceConsumer",,,"us-east-1","Amazon Virtual Private Cloud",
"3MQ9DPVXQ37SYP6U","JRTCKXETXF","3MQ9DPVXQ37SYP6U.JRTCKXETXF.RBMR72YW69","OnDemand","$0.006 per GB for more than 1 PB and less than 5 PB monthly data processed for VPC resources","2025-05-01","1048576","5242880","GB","0.0060000000","USD","VpcEndpoint","AmazonVPC","US East (N. Virginia)","AWS Region","Resource","VpcResources","Per GB charge to access VPC Resources",,,,,,"USE1-VpcResource-Consumer-Bytes","VpcResourceConsumer",,,"us-east-1","Amazon Virtual Private Cloud",
"3MQ9DPVXQ37SYP6U","JRTCKXETXF","3MQ9DPVXQ37SYP6U.JRTCKXETXF.SW9U2ZKBYX","OnDemand","$0.004 per GB for more than 5 PB monthly data processed for VPC resources ","2025-05-01","5242880","Inf","GB","0.0040000000","USD","VpcEndpoint","AmazonVPC","US East (N. Virginia)","AWS Region","Resource","VpcResources","Per GB charge to access VPC Resources",,,,,,"USE1-VpcResource-Consumer-Bytes","VpcResourceConsumer",,,"us-east-1","Amazon Virtual Private Cloud",
"3MUZ8GNDVB5XPGSB","JRTCKXETXF","3MUZ8GNDVB5XPGSB.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.002 per ENI processed by VPC Network Access Analyzer us-east-1","2025-05-01","0","Inf","NetworkInterface-Assessment","0.0020000000","USD",,"AmazonVPC","US East (N. Virginia)","AWS Region",,"AWSVPCAccessAnalyzer","Charge per ENI processed by VPC Access Analyzer",,,,,,"USE1-NetworkInterface-Assessment","AnalyzeENI",,,"us-east-1","Amazon Virtual Private Cloud",
"4GQUNXTFWVSGPUZK","JRTCKXETXF","4GQUNXTFWVSGPUZK.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.005 per In-use public IPv4 address per hour","2025-05-01","0","Inf","Hrs","0.0050000000","USD",,"AmazonVPC","US East (N. Virginia)","AWS Region",,"VPCPublicIPv4Address","Hourly charge for In-use Public IPv4 Addresses",,,,,,"USE1-PublicIPv4:InUseAddress","",,,"us-east-1","Amazon Virtual Private Cloud",
"6FV8M2VENJXE5B4X","JRTCKXETXF","6FV8M2VENJXE5B4X.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.05 per Transit Gateway DirectConnect Attachment Hour","2025-05-01","0","Inf","hour","0.0500000000","USD",,"AmazonVPC","US East (N. Virginia)","AWS Region",,"AWSTransitGateway","Hourly charge for Transit Gateway AWS Direct Connect Gateway attachments",,,,,,"USE1-TransitGateway-Hours","TransitGatewayDirectConnect","AWS DirectConnect",,"us-east-1","Amazon Virtual Private Cloud",
"6QWMNMNS4H37T5JU","JRTCKXETXF","6QWMNMNS4H37T5JU.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.025 per GB Data Processed by VPC Lattice Service (N. Virginia)","2025-05-01","0","Inf","GB","0.0250000000","USD",,"AmazonVPC","US East (N. Virginia)","AWS Region",,"VpcLattice","Charge per GB Data Processed by VPC Lattice Service",,,,,,"USE1-VPCLattice-DataProcessing-Bytes","VpcLattice",,,"us-east-1","Amazon Virtual Private Cloud",
"6TQVKSWSMZMGQ66P","JRTCKXETXF","6TQVKSWSMZMGQ66P.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.01 per GB for USE1-VpcPeering-Out-Bytes","2025-05-01","0","Inf","GB","0.0100000000","USD","VPC Peering","AmazonVPC",,,,,,"Intra Region Peering Outbound","US East (N. Virginia)","AWS Region","US East (N. Virginia)","AWS Region","USE1-VpcPeering-Out-Bytes","",,"us-east-1",,"Amazon Virtual Private Cloud","us-east-1"
"7DA87KWXES4HFUJX","JRTCKXETXF","7DA87KWXES4HFUJX.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.02 per GB for VerifiedAccess-DataProcess-Bytes:VerifiedAccess-data in US East (N. Virginia)","2025-05-01","0","Inf","GB","0.0200000000","USD",,"AmazonVPC","US East (N. Virginia)","AWS Region",,"AWSVerifiedAccess","Data processed by AWS Verified Access",,,,,,"USE1-VerifiedAccess-DataProcess-Bytes","VerifiedAccess-data",,,"us-east-1","Amazon Virtual Private Cloud",
