"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2025-05-22T17:46:21Z"
"Version","20250522174621"
"OfferCode","ElasticMapReduce"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Location","Location Type","Instance Type","Instance Family","usageType","operation","Compute","ComputeProvider","MeterUnit","Region Code","serviceName","Software Type"
"226GQ2CAZYZ8D7MG","JRTCKXETXF","226GQ2CAZYZ8D7MG.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.855 per hour for EMR c4.2xlarge with Hunk","2025-05-01","0","Inf","Hrs","0.8550000000","USD","Elastic Map Reduce Instance","ElasticMapReduce","US East (N. Virginia)","AWS Region","c4.2xlarge","Compute optimized","HunkBoxUsage:c4.2xlarge","",,,,"us-east-1","Amazon Elastic MapReduce","Hunk"
"24NVA8K6X3JVC375","JRTCKXETXF","24NVA8K6X3JVC375.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.6864 per hour for EMR i8g.8xlarge","2025-05-01","0","Inf","Hrs","0.6864000000","USD","Elastic Map Reduce Instance","ElasticMapReduce","US East (N. Virginia)","AWS Region","i8g.8xlarge","Storage optimized","BoxUsage:i8g.8xlarge","",,,,"us-east-1","Amazon Elastic MapReduce","EMR"
"27JYNY2KKW77KC8W","JRTCKXETXF","27JYNY2KKW77KC8W.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.27 per hour for EMR m5ad.8xlarge","2025-05-01","0","Inf","Hrs","0.2700000000","USD","Elastic Map Reduce Instance","ElasticMapReduce","US East (N. Virginia)","AWS Region","m5ad.8xlarge","General purpose","BoxUsage:m5ad.8xlarge","",,,,"us-east-1","Amazon Elastic MapReduce","EMR"
"28KYP8VPNM8VTW7S","JRTCKXETXF","28KYP8VPNM8VTW7S.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.2515 per hour for EMR g5.xlarge","2025-05-01","0","Inf","Hrs","0.2515000000","USD","Elastic Map Reduce Instance","ElasticMapReduce","US East (N. Virginia)","AWS Region","g5.xlarge","GPU instance","BoxUsage:g5.xlarge","",,,,"us-east-1","Amazon Elastic MapReduce","EMR"
"28PEYZT3TJXCH3MM","JRTCKXETXF","28PEYZT3TJXCH3MM.JRTCKXETXF.6YS6EN2CT7","OnDemand","$1.02 per hour for EMR i2.4xlarge with Hunk","2025-05-01","0","Inf","Hrs","1.0200000000","USD","Elastic Map Reduce Instance","ElasticMapReduce","US East (N. Virginia)","AWS Region","i2.4xlarge","Storage optimized","HunkBoxUsage:i2.4xlarge","",,,,"us-east-1","Amazon Elastic MapReduce","Hunk"
"2D5XYS3KQAG23BT4","JRTCKXETXF","2D5XYS3KQAG23BT4.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.27 per hour for EMR d2.8xlarge with M5","2025-05-01","0","Inf","Hrs","0.2700000000","USD","Elastic Map Reduce Instance","ElasticMapReduce","US East (N. Virginia)","AWS Region","d2.8xlarge","Storage optimized","USE1-M5BoxUsage:d2.8xlarge","",,,,"us-east-1","Amazon Elastic MapReduce","MapR-M5"
"2DBAJ7EXK5WYSV34","JRTCKXETXF","2DBAJ7EXK5WYSV34.JRTCKXETXF.6YS6EN2CT7","OnDemand","$1.002 per hour for EMR x2gd.12xlarge","2025-05-01","0","Inf","Hrs","1.0020000000","USD","Elastic Map Reduce Instance","ElasticMapReduce","US East (N. Virginia)","AWS Region","x2gd.12xlarge","Memory optimized","BoxUsage:x2gd.12xlarge","",,,,"us-east-1","Amazon Elastic MapReduce","EMR"
"2JFXBK2WNPHZJJBE","JRTCKXETXF","2JFXBK2WNPHZJJBE.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.192 per hour for EMR c5d.4xlarge","2025-05-01","0","Inf","Hrs","0.1920000000","USD","Elastic Map Reduce Instance","ElasticMapReduce","US East (N. Virginia)","AWS Region","c5d.4xlarge","Compute optimized","BoxUsage:c5d.4xlarge","",,,,"us-east-1","Amazon Elastic MapReduce","EMR"
"2JKEZVMJDEE9773A","JRTCKXETXF","2JKEZVMJDEE9773A.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.27 per hour for EMR c5n.9xlarge","2025-05-01","0","Inf","Hrs","0.2700000000","USD","Elastic Map Reduce Instance","ElasticMapReduce","US East (N. Virginia)","AWS Region","c5n.9xlarge","Compute optimized","BoxUsage:c5n.9xlarge","",,,,"us-east-1","Amazon Elastic MapReduce","EMR"
"2JQCZG2HFZM2DW8B","JRTCKXETXF","2JQCZG2HFZM2DW8B.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.27 per hour for EMR d2.2xlarge with M3","2025-05-01","0","Inf","Hrs","0.2700000000","USD","Elastic Map Reduce Instance","ElasticMapReduce","US East (N. Virginia)","AWS Region","d2.2xlarge","Storage optimized","USE1-M3BoxUsage:d2.2xlarge","",,,,"us-east-1","Amazon Elastic MapReduce","MapR-M3"
"2Q4Q57VYGBZSMVEV","JRTCKXETXF","2Q4Q57VYGBZSMVEV.JRTCKXETXF.6YS6EN2CT7","OnDemand","$4.53025 per hour for EMR i7i.48xlarge","2025-05-01","0","Inf","Hrs","4.5302500000","USD","Elastic Map Reduce Instance","ElasticMapReduce","US East (N. Virginia)","AWS Region","i7i.48xlarge","Storage optimized","BoxUsage:i7i.48xlarge","",,,,"us-east-1","Amazon Elastic MapReduce","EMR"
"2QUB7TTGUR83W4VA","JRTCKXETXF","2QUB7TTGUR83W4VA.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.7938 per hour for EMR r7i.12xlarge","2025-05-01","0","Inf","Hrs","0.7938000000","USD","Elastic Map Reduce Instance","ElasticMapReduce","US East (N. Virginia)","AWS Region","r7i.12xlarge","Memory optimized","BoxUsage:r7i.12xlarge","",,,,"us-east-1","Amazon Elastic MapReduce","EMR"
"2RYH83EDVVZ2QSFV","JRTCKXETXF","2RYH83EDVVZ2QSFV.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.36 per hour for EMR c1.xlarge with Karma","2025-05-01","0","Inf","Hrs","0.3600000000","USD","Elastic Map Reduce Instance","ElasticMapReduce","US East (N. Virginia)","AWS Region","c1.xlarge","Compute optimized","KarmaBoxUsage:c1.xlarge","",,,,"us-east-1","Amazon Elastic MapReduce","Karmasphere"
"2T529B4M64Z78TAM","JRTCKXETXF","2T529B4M64Z78TAM.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.417 per hour for EMR x1e.2xlarge","2025-05-01","0","Inf","Hrs","0.4170000000","USD","Elastic Map Reduce Instance","ElasticMapReduce","US East (N. Virginia)","AWS Region","x1e.2xlarge","Memory optimized","BoxUsage:x1e.2xlarge","",,,,"us-east-1","Amazon Elastic MapReduce","EMR"
