"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2023-10-18T16:17:01Z"
"Version","20231018161701"
"OfferCode","IoTTwinMaker"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Location","Location Type","Group","usageType","operation","Region Code","serviceName","Tiers"
"47QDBYB5A67N2T3T","JRTCKXETXF","47QDBYB5A67N2T3T.JRTCKXETXF.6YS6EN2CT7","OnDemand","$1100 per month for IoTTwinMaker bundle Tier3 in US East (N. Virginia)","2023-10-01","0","Inf","Month","1100.0000000000","USD","AWSIoTTwinMaker","IoTTwinMaker","US East (N. Virginia)","AWS Region","Entity","USE1-IoTTwinMaker-BaseTier3-Entities","","us-east-1","AWS IoT TwinMaker","Tier3"
"5MF3487S8UJB7HPA","JRTCKXETXF","5MF3487S8UJB7HPA.JRTCKXETXF.6YS6EN2CT7","OnDemand","$1.50 per million API Calls for IoTTwinMaker-UnifiedDataAccess in US East (N. Virginia)","2023-10-01","0","Inf","API Calls","0.0000015000","USD","API Calls","IoTTwinMaker","US East (N. Virginia)","AWS Region","IoT TwinMaker Unified Data Access","USE1-IoTTwinMaker-UnifiedDataAccess","","us-east-1","AWS IoT TwinMaker",
"BBQSYZNQQP3Y9QH9","JRTCKXETXF","BBQSYZNQQP3Y9QH9.JRTCKXETXF.JGMPDZ6XDN","OnDemand","25 million API Calls for IoTTwinMaker-UnifiedDataAccess included in bundle Tier1 in US East (N. Virginia)","2023-10-01","0","25000000","API Calls","0.0000000000","USD","AWSIoTTwinMaker","IoTTwinMaker","US East (N. Virginia)","AWS Region","IoT TwinMaker Unified Data Access","USE1-IoTTwinMaker-BaseTier1-UnifiedDataAccess","","us-east-1","AWS IoT TwinMaker","Tier1"
"BBQSYZNQQP3Y9QH9","JRTCKXETXF","BBQSYZNQQP3Y9QH9.JRTCKXETXF.YZ8GSG8HAE","OnDemand","$1.50 per million API Calls for IoTTwinMaker-UnifiedDataAccess in US East (N. Virginia)","2023-10-01","25000000","Inf","API Calls","0.0000015000","USD","AWSIoTTwinMaker","IoTTwinMaker","US East (N. Virginia)","AWS Region","IoT TwinMaker Unified Data Access","USE1-IoTTwinMaker-BaseTier1-UnifiedDataAccess","","us-east-1","AWS IoT TwinMaker","Tier1"
"D3GVWTWBJ349Y4YD","JRTCKXETXF","D3GVWTWBJ349Y4YD.JRTCKXETXF.4348NHS3VR","OnDemand","3.8 million Queries executed for IoTTwinMaker-Queries included in bundle Tier1 in US East (N. Virginia)","2023-10-01","0","3800000","Queries","0.0000000000","USD","AWSIoTTwinMaker","IoTTwinMaker","US East (N. Virginia)","AWS Region","Queries","USE1-IoTTwinMaker-BaseTier1-Queries","","us-east-1","AWS IoT TwinMaker","Tier1"
"D3GVWTWBJ349Y4YD","JRTCKXETXF","D3GVWTWBJ349Y4YD.JRTCKXETXF.QC7XAXBXB9","OnDemand","$0.50 per 10K Queries executed for IoTTwinMaker-Queries in US East (N. Virginia)","2023-10-01","3800000","Inf","Queries","0.0000500000","USD","AWSIoTTwinMaker","IoTTwinMaker","US East (N. Virginia)","AWS Region","Queries","USE1-IoTTwinMaker-BaseTier1-Queries","","us-east-1","AWS IoT TwinMaker","Tier1"
"F55BP253U225YEG9","JRTCKXETXF","F55BP253U225YEG9.JRTCKXETXF.6YS6EN2CT7","OnDemand","$1950 per month for IoTTwinMaker bundle Tier4 in US East (N. Virginia)","2023-10-01","0","Inf","Month","1950.0000000000","USD","AWSIoTTwinMaker","IoTTwinMaker","US East (N. Virginia)","AWS Region","Entity","USE1-IoTTwinMaker-BaseTier4-Entities","","us-east-1","AWS IoT TwinMaker","Tier4"
"GA6TWVEUFVRQ9ES8","JRTCKXETXF","GA6TWVEUFVRQ9ES8.JRTCKXETXF.64R3BK7YF2","OnDemand","9 million Queries executed for IoTTwinMaker-Queries included in bundle Tier2 in US East (N. Virginia)","2023-10-01","0","9000000","Queries","0.0000000000","USD","AWSIoTTwinMaker","IoTTwinMaker","US East (N. Virginia)","AWS Region","Queries","USE1-IoTTwinMaker-BaseTier2-Queries","","us-east-1","AWS IoT TwinMaker","Tier2"
"GA6TWVEUFVRQ9ES8","JRTCKXETXF","GA6TWVEUFVRQ9ES8.JRTCKXETXF.3ER7GDFHNP","OnDemand","$0.50 per 10K Queries executed for IoTTwinMaker-Queries in US East (N. Virginia)","2023-10-01","9000000","Inf","Queries","0.0000500000","USD","AWSIoTTwinMaker","IoTTwinMaker","US East (N. Virginia)","AWS Region","Queries","USE1-IoTTwinMaker-BaseTier2-Queries","","us-east-1","AWS IoT TwinMaker","Tier2"
"J4P2BMTV7A65CWU2","JRTCKXETXF","J4P2BMTV7A65CWU2.JRTCKXETXF.RTHK7YAMRB","OnDemand","24 million Queries executed for IoTTwinMaker-Queries included in bundle Tier4 in US East (N. Virginia)","2023-10-01","0","24000000","Queries","0.0000000000","USD","AWSIoTTwinMaker","IoTTwinMaker","US East (N. Virginia)","AWS Region","Queries","USE1-IoTTwinMaker-BaseTier4-Queries","","us-east-1","AWS IoT TwinMaker","Tier4"
