"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2025-01-13T11:11:33Z"
"Version","20250113111133"
"OfferCode","VMwareCloudOnAWS"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Description","Location","Location Type","usageType","operation","BrioProductId","ChargeId","Instance","IsCommitCPSKU","ProductGroupId","ProductSubGroup","Region Code","serviceName","VMWareProductId","VMwareRegion"
"23A3Z3PQXDJX4BZR","JRTCKXETXF","23A3Z3PQXDJX4BZR.JRTCKXETXF.6YS6EN2CT7","OnDemand","Previous Months Usage of VMware Cloud on AWS - Direct Connect Public Cloud data transfer to LGU57","2024-12-01","0","Inf","GB","0.0491000000","USD","VMwareCloudOnAWS","VMwareCloudOnAWS","Previous Months Usage of VMware Cloud on AWS - Direct Connect Public Cloud data transfer to LGU57","US East (N. Virginia)","AWS Region","USE1-LGU57-DataXfer-In","VMC-CreatePrivateVlan","90B19B80C4264C2F","VOD-OB-XWV",,"N/A","VMWARE-VMC-AWS","Direct Connect","us-east-1","VMware Cloud on AWS","VMC_AWS_REG","A2"
"2AZKUK2V4XMGY5CJ","JRTCKXETXF","2AZKUK2V4XMGY5CJ.JRTCKXETXF.6YS6EN2CT7","OnDemand","Previous Months Usage of VMware Cloud on AWS - Direct Connect Public Cloud data transfer to ITXP7","2024-12-01","0","Inf","GB","0.0200000000","USD","VMwareCloudOnAWS","VMwareCloudOnAWS","Previous Months Usage of VMware Cloud on AWS - Direct Connect Public Cloud data transfer to ITXP7","US East (N. Virginia)","AWS Region","USE1-ITXP7-DataXfer-In","VMC-CreatePrivateVlan","332459B587A14D08","VOD-OB-XYU",,"N/A","VMWARE-VMC-AWS","Direct Connect","us-east-1","VMware Cloud on AWS","VMC_AWS_REG","A2"
"2BR9Z2W72VE7757Z","JRTCKXETXF","2BR9Z2W72VE7757Z.JRTCKXETXF.6YS6EN2CT7","OnDemand","VMware Site Recovery Service","2024-12-01","0","Inf","VM-hour","0.0383560000","USD","VMwareCloudOnAWS","VMwareCloudOnAWS","VMware Site Recovery Service","US East (N. Virginia)","AWS Region","USE1-VSR","VSR-DisasterRecovery","87C8243E875948C6","VOD-SR",,"false","VMWARE-VMC-AWS","SiteRecovery","us-east-1","VMware Cloud on AWS","VMC_AWS_SR_CP","A2"
"2DD7Y5883K3NJQ95","JRTCKXETXF","2DD7Y5883K3NJQ95.JRTCKXETXF.6YS6EN2CT7","OnDemand","Previous Months Usage of VMware Cloud on AWS - Direct Connect Public Cloud data transfer to EqHE6","2024-12-01","0","Inf","GB","0.0200000000","USD","VMwareCloudOnAWS","VMwareCloudOnAWS","Previous Months Usage of VMware Cloud on AWS - Direct Connect Public Cloud data transfer to EqHE6","US East (N. Virginia)","AWS Region","USE1-EqHE6-DataXfer-In","VMC-CreatePrivateVlan","47852918ACFC401C","VOD-OB-XWK",,"N/A","VMWARE-VMC-AWS","Direct Connect","us-east-1","VMware Cloud on AWS","VMC_AWS_REG","A2"
"2M3594YWWWB6GYA7","JRTCKXETXF","2M3594YWWWB6GYA7.JRTCKXETXF.6YS6EN2CT7","OnDemand","Previous Months Usage of VMware Cloud on AWS - Direct Connect Private Cloud data transfer to EqDA2","2024-12-01","0","Inf","GB","0.0200000000","USD","VMwareCloudOnAWS","VMwareCloudOnAWS","Previous Months Usage of VMware Cloud on AWS - Direct Connect Private Cloud data transfer to EqDA2","US East (N. Virginia)","AWS Region","USE1-EqDA2-DataXfer-In:dc1","VMC-CreatePrivateVlan","2795AC7160EE49AE","VOD-OB-YXI",,"N/A","VMWARE-VMC-AWS","Direct Connect","us-east-1","VMware Cloud on AWS","VMC_AWS_REG","A2"
"38C5ZUQM9Y3TYC5Q","JRTCKXETXF","38C5ZUQM9Y3TYC5Q.JRTCKXETXF.6YS6EN2CT7","OnDemand","Previous Months Usage of VMware Cloud on AWS - Direct Connect Public Cloud data transfer to 151FS","2024-12-01","0","Inf","GB","0.0200000000","USD","VMwareCloudOnAWS","VMwareCloudOnAWS","Previous Months Usage of VMware Cloud on AWS - Direct Connect Public Cloud data transfer to 151FS","US East (N. Virginia)","AWS Region","USE1-151FS-DataXfer-In","VMC-CreatePrivateVlan","DB88B216295D4798","VOD-OB-XZV",,"N/A","VMWARE-VMC-AWS","Direct Connect","us-east-1","VMware Cloud on AWS","VMC_AWS_REG","A2"
"3HY6VY6STHB7Q3PD","JRTCKXETXF","3HY6VY6STHB7Q3PD.JRTCKXETXF.6YS6EN2CT7","OnDemand","Previous Months Usage of VMware Cloud on AWS - Direct Connect Public Cloud data transfer to EQAM3","2024-12-01","0","Inf","GB","0.0200000000","USD","VMwareCloudOnAWS","VMwareCloudOnAWS","Previous Months Usage of VMware Cloud on AWS - Direct Connect Public Cloud data transfer to EQAM3","US East (N. Virginia)","AWS Region","USE1-EQAM3-DataXfer-In","VMC-CreatePrivateVlan","752ED2FC386F4BFC","VOD-OB-XWM",,"N/A","VMWARE-VMC-AWS","Direct Connect","us-east-1","VMware Cloud on AWS","VMC_AWS_REG","A2"
"3U4QD2DJHJTBK7HD","JRTCKXETXF","3U4QD2DJHJTBK7HD.JRTCKXETXF.6YS6EN2CT7","OnDemand","VMware Cloud on AWS - US East (N. Virginia) data transfer to Asia Pacific (Hong Kong)  - 1 GB","2024-12-01","0","Inf","GB","0.0860000000","USD","VMwareCloudOnAWS","VMwareCloudOnAWS","VMware Cloud on AWS - US East (N. Virginia) data transfer to Asia Pacific (Hong Kong)  - 1 GB","US East (N. Virginia)","AWS Region","USE1-APE1-Out-Bytes","VMC-DataTransfer","C358A914D77C4A9C",,,"N/A",,,"us-east-1","VMware Cloud on AWS",,
"3UT3C9SDHUFSMV2B","JRTCKXETXF","3UT3C9SDHUFSMV2B.JRTCKXETXF.6YS6EN2CT7","OnDemand","Previous Months Usage of VMware Cloud on AWS - data transfer to EU (Milan)","2024-12-01","0","Inf","GB","0.0000000000","USD","VMwareCloudOnAWS","VMwareCloudOnAWS","Previous Months Usage of VMware Cloud on AWS - data transfer to EU (Milan)","US East (N. Virginia)","AWS Region","USE1-EUS1-AWS-Out-Bytes","VMC-DataTransfer","A924DA4B53194413","VOD-BW-DT",,"N/A",,"Data Transfer","us-east-1","VMware Cloud on AWS","VMC_AWS_REG","A2"
"4KJD52QKQN9X2B58","JRTCKXETXF","4KJD52QKQN9X2B58.JRTCKXETXF.6YS6EN2CT7","OnDemand","Previous Months Usage of VMware Cloud on AWS - Direct Connect Public Cloud data transfer to EqLA3","2024-12-01","0","Inf","GB","0.0200000000","USD","VMwareCloudOnAWS","VMwareCloudOnAWS","Previous Months Usage of VMware Cloud on AWS - Direct Connect Public Cloud data transfer to EqLA3","US East (N. Virginia)","AWS Region","USE1-EqLA3-DataXfer-In","VMC-CreatePrivateVlan","B9FE13D5F11A40BD","VOD-OB-XYC",,"N/A","VMWARE-VMC-AWS","Direct Connect","us-east-1","VMware Cloud on AWS","VMC_AWS_REG","A2"
