"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2025-05-14T17:46:14Z"
"Version","20250514174614"
"OfferCode","awswaf"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Location","Location Type","Group","Group Description","usageType","operation","Region Code","serviceName"
"224D9SD2E36FJ6NX","JRTCKXETXF","224D9SD2E36FJ6NX.JRTCKXETXF.HWDSBTNJX9","OnDemand","$0 per million requests processed by Bot Control","2025-05-01","0","10000000","Request","0.0000000000","USD","Web Application Firewall","awswaf","US East (N. Virginia)","AWS Region","AMR Bot Control Request (Shield Protected)","AMR Bot Control Request Processed (Shield Protected)","USE1-ShieldProtected-AMR-BotControl-Request","","us-east-1","AWS WAF"
"224D9SD2E36FJ6NX","JRTCKXETXF","224D9SD2E36FJ6NX.JRTCKXETXF.EFRCQPS26J","OnDemand","$1.00 per million requests processed by Bot Control","2025-05-01","10000000","Inf","Request","0.0000010000","USD","Web Application Firewall","awswaf","US East (N. Virginia)","AWS Region","AMR Bot Control Request (Shield Protected)","AMR Bot Control Request Processed (Shield Protected)","USE1-ShieldProtected-AMR-BotControl-Request","","us-east-1","AWS WAF"
"369ZWCEHA572ASKF","JRTCKXETXF","369ZWCEHA572ASKF.JRTCKXETXF.6YS6EN2CT7","OnDemand","$1.20 per million requests processed","2025-05-01","0","Inf","Request","0.0000012000","USD","Web Application Firewall","awswaf","US East (N. Virginia)","AWS Region","Request","Request Processed Tier4 3000WCU","USE1-RequestV2-Tier4-3000WCU","","us-east-1","AWS WAF"
"38A6FCC4NPRCDETY","JRTCKXETXF","38A6FCC4NPRCDETY.JRTCKXETXF.6YS6EN2CT7","OnDemand","Price per WebACL (Shield Protected)","2025-05-01","0","Inf","Month","0.0000000000","USD","Web Application Firewall","awswaf","US East (N. Virginia)","AWS Region","Web ACL (Shield Protected)","Number of Web Access Control Lists (Shield Protected)","USE1-ShieldProtected-WebACL","","us-east-1","AWS WAF"
"3CE9BTW4H5XGU6U7","JRTCKXETXF","3CE9BTW4H5XGU6U7.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0 per million requests processed (Shield Protected)","2025-05-01","0","Inf","Request","0.0000000000","USD","Web Application Firewall","awswaf","US East (N. Virginia)","AWS Region","Request (Shield Protected)","Request Processed Tier1 (Shield Protected)","USE1-ShieldProtected-RequestV2-Tier1","","us-east-1","AWS WAF"
"3T4KMURJGZDP3439","JRTCKXETXF","3T4KMURJGZDP3439.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.60 per million Request for Request Processed Tier0 in US East (N. Virginia)","2025-05-01","0","Inf","Request","0.0000006000","USD","Web Application Firewall","awswaf","US East (N. Virginia)","AWS Region","Request","Request Processed Tier0","USE1-RequestV2-Tier0","","us-east-1","AWS WAF"
"43AATNFKVH246YWC","JRTCKXETXF","43AATNFKVH246YWC.JRTCKXETXF.SB2VSFF4TP","OnDemand","$0.0 per Request for ShieldProtected-AMR-BotControl-Targeted-Request in US East (N. Virginia)","2025-05-01","0","1000000","Request","0.0000000000","USD","Web Application Firewall","awswaf","US East (N. Virginia)","AWS Region","AMR Bot Control Targeted Request (Shield Protected)","AMR Bot Control Request Processed (Shield Protected)","USE1-ShieldProtected-AMR-BotControl-Targeted-Request","","us-east-1","AWS WAF"
"43AATNFKVH246YWC","JRTCKXETXF","43AATNFKVH246YWC.JRTCKXETXF.VNJQCFJPS4","OnDemand","$10.0 per Million Request for ShieldProtected-AMR-BotControl-Targeted-Request in US East (N. Virginia)","2025-05-01","1000000","Inf","Request","0.0000100000","USD","Web Application Firewall","awswaf","US East (N. Virginia)","AWS Region","AMR Bot Control Targeted Request (Shield Protected)","AMR Bot Control Request Processed (Shield Protected)","USE1-ShieldProtected-AMR-BotControl-Targeted-Request","","us-east-1","AWS WAF"
"48M234KNTCYVG72Z","JRTCKXETXF","48M234KNTCYVG72Z.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.60 per million requests processed (Shield Protected)","2025-05-01","0","Inf","Request","0.0000006000","USD","Web Application Firewall","awswaf","US East (N. Virginia)","AWS Region","Request (Shield Protected)","Request Processed Tier4 3000WCU (Shield Protected)","USE1-ShieldProtected-RequestV2-Tier4-3000WCU","","us-east-1","AWS WAF"
"4BDGZ2HHMYWZZ35M","JRTCKXETXF","4BDGZ2HHMYWZZ35M.JRTCKXETXF.6YS6EN2CT7","OnDemand","$1.40 per million requests processed","2025-05-01","0","Inf","Request","0.0000014000","USD","Web Application Firewall","awswaf","US East (N. Virginia)","AWS Region","Request","Request Processed Tier5 3500WCU","USE1-RequestV2-Tier5-3500WCU","","us-east-1","AWS WAF"
