"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2025-04-04T15:45:17Z"
"Version","20250404154517"
"OfferCode","comprehend"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Location","Location Type","Group","Group Description","usageType","operation","PlatoFeatureType","Region Code","serviceName"
"437B5V732VX3FHQ3","JRTCKXETXF","437B5V732VX3FHQ3.JRTCKXETXF.HWDSBTNJX9","OnDemand","USD1.0E-4 per Unit for DetectPiiEntities:DetectPiiEntities in US East (N. Virginia)","2025-04-01","0","10000000","Unit","0.0001000000","USD","Entity Detection","comprehend","US East (N. Virginia)","AWS Region","Global-Comprehend-DetectPiiEntities","Processes PII Analysis in text request","USE1-DetectPiiEntities","DetectPiiEntities","DetectPiiEntities","us-east-1","Amazon Comprehend"
"437B5V732VX3FHQ3","JRTCKXETXF","437B5V732VX3FHQ3.JRTCKXETXF.UH4R86KK5B","OnDemand","USD5.0E-5 per Unit for DetectPiiEntities:DetectPiiEntities in US East (N. Virginia)","2025-04-01","10000000","50000000","Unit","0.0000500000","USD","Entity Detection","comprehend","US East (N. Virginia)","AWS Region","Global-Comprehend-DetectPiiEntities","Processes PII Analysis in text request","USE1-DetectPiiEntities","DetectPiiEntities","DetectPiiEntities","us-east-1","Amazon Comprehend"
"437B5V732VX3FHQ3","JRTCKXETXF","437B5V732VX3FHQ3.JRTCKXETXF.H7TEM37A35","OnDemand","USD2.5E-5 per Unit for DetectPiiEntities:DetectPiiEntities in US East (N. Virginia)","2025-04-01","50000000","100000000","Unit","0.0000250000","USD","Entity Detection","comprehend","US East (N. Virginia)","AWS Region","Global-Comprehend-DetectPiiEntities","Processes PII Analysis in text request","USE1-DetectPiiEntities","DetectPiiEntities","DetectPiiEntities","us-east-1","Amazon Comprehend"
"437B5V732VX3FHQ3","JRTCKXETXF","437B5V732VX3FHQ3.JRTCKXETXF.F83EQNDM5J","OnDemand","USD5E-6 per Unit for DetectPiiEntities:DetectPiiEntities in US East (N. Virginia)","2025-04-01","100000000","Inf","Unit","0.0000050000","USD","Entity Detection","comprehend","US East (N. Virginia)","AWS Region","Global-Comprehend-DetectPiiEntities","Processes PII Analysis in text request","USE1-DetectPiiEntities","DetectPiiEntities","DetectPiiEntities","us-east-1","Amazon Comprehend"
"857R4TBCWU26AUTF","JRTCKXETXF","857R4TBCWU26AUTF.JRTCKXETXF.HWDSBTNJX9","OnDemand","Processes Syntax Analysis text requests in us-east-1 - Upto 10M","2025-04-01","0","10000000","Unit","0.0000500000","USD","Syntax Analysis","comprehend","US East (N. Virginia)","AWS Region","Global-Comprehend-SyntaxAnalysis","Processes Syntax Analysis text request","USE1-DetectSyntax","DetectSyntax","DetectSyntax","us-east-1","Amazon Comprehend"
"857R4TBCWU26AUTF","JRTCKXETXF","857R4TBCWU26AUTF.JRTCKXETXF.UH4R86KK5B","OnDemand","Processes Syntax Analysis text requests in us-east-1 - Upto 50M","2025-04-01","10000000","50000000","Unit","0.0000250000","USD","Syntax Analysis","comprehend","US East (N. Virginia)","AWS Region","Global-Comprehend-SyntaxAnalysis","Processes Syntax Analysis text request","USE1-DetectSyntax","DetectSyntax","DetectSyntax","us-east-1","Amazon Comprehend"
"857R4TBCWU26AUTF","JRTCKXETXF","857R4TBCWU26AUTF.JRTCKXETXF.ECJTRKSV3C","OnDemand","Processes Syntax Analysis text requests in us-east-1 - Over 50M","2025-04-01","50000000","Inf","Unit","0.0000125000","USD","Syntax Analysis","comprehend","US East (N. Virginia)","AWS Region","Global-Comprehend-SyntaxAnalysis","Processes Syntax Analysis text request","USE1-DetectSyntax","DetectSyntax","DetectSyntax","us-east-1","Amazon Comprehend"
"9DAZPUVK3E6VZ8S6","JRTCKXETXF","9DAZPUVK3E6VZ8S6.JRTCKXETXF.6YS6EN2CT7","OnDemand","Processes Topic Detection text request in us-east-1 - 1MB","2025-04-01","0","Inf","MB","1.0000000000","USD","Topic Modeling","comprehend","US East (N. Virginia)","AWS Region","Global-Comprehend-DetectTopic","Processes Topic Detection text request","USE1-DetectTopics-1MB","DetectTopics","DetectTopics-1MB","us-east-1","Amazon Comprehend"
"A35DMJHEQKMHF4K2","JRTCKXETXF","A35DMJHEQKMHF4K2.JRTCKXETXF.6YS6EN2CT7","OnDemand","Processes Topic Detection text request in us-east-1 - Fixed","2025-04-01","0","Inf","MB","1.0000000000","USD","Topic Modeling","comprehend","US East (N. Virginia)","AWS Region","Global-Comprehend-DetectTopic-Fixed","Processes Topic Detection text request","USE1-DetectTopics-Fixed","DetectTopics","DetectTopics-Fixed","us-east-1","Amazon Comprehend"
"A4GB7HQRRFS8GBFS","JRTCKXETXF","A4GB7HQRRFS8GBFS.JRTCKXETXF.6YS6EN2CT7","OnDemand","Processes Custom Entity text request in us-east-1","2025-04-01","0","Inf","Unit","0.0005000000","USD","Custom Entities","comprehend","US East (N. Virginia)","AWS Region","comprehend - Custom Entities","Processes Custom Entity text request","USE1-DetectEntities-Custom","DetectEntities","DetectEntities-Custom","us-east-1","Amazon Comprehend"
"CDX93M2QU52N49WM","JRTCKXETXF","CDX93M2QU52N49WM.JRTCKXETXF.HWDSBTNJX9","OnDemand","USD 1.0E-4 per Unit for DetectTgtSentiment:DetectTgtSentiment in US East (N. Virginia)","2025-04-01","0","10000000","Unit","0.0001000000","USD","Sentiment Analysis","comprehend","US East (N. Virginia)","AWS Region","Comprehend-TargetedSentiment","Process Targeted Sentiment text request","USE1-DetectTgtSentiment","DetectTgtSentiment","DetectTgtSentiment","us-east-1","Amazon Comprehend"
