SKU,OfferTermCode,RateCode,TermType,PriceDescription,EffectiveDate,StartingRange,EndingRange,Unit,PricePerUnit,Currency,Product Family,serviceCode,Location,Location Type,usageType,operation,ComputeType,ML Activity,Region Code,serviceName
23GAWPKXBA8HPPVA,JRTCKXETXF,23GAWPKXBA8HPPVA.JRTCKXETXF.6YS6EN2CT7,OnDemand,AWS Clean Rooms ML Custom Modeling- Compute,2025-03-01,0,Inf,hours,1.8430000000,USD,AWS Clean Rooms,AWSCleanRooms,US East (N. Virginia),AWS Region,USE1-TrainingInstanceHours-ML_M6I_8XLARGE,CreateTrainedModel,,Training-ML_M6I_8XLARGE,us-east-1,AWS Clean Rooms
2499K7KNM68988NF,JRTCKXETXF,2499K7KNM68988NF.JRTCKXETXF.6YS6EN2CT7,OnDemand,AWS Clean Rooms ML Custom Modeling- Compute,2025-03-01,0,Inf,hours,0.3020000000,USD,AWS Clean Rooms,AWSCleanRooms,US East (N. Virginia),AWS Region,USE1-TrainingInstanceHours-ML_R5_XLARGE,CreateTrainedModel,,Training-ML_R5_XLARGE,us-east-1,AWS Clean Rooms
297ND7DD24AFVZ26,JRTCKXETXF,297ND7DD24AFVZ26.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.04 per 1,000 profiles,2025-03-01,0,Inf,Profiles,0.0000400000,USD,AWS Clean Rooms,AWSCleanRooms,US East (N. Virginia),AWS Region,USE1-CreateAudienceModel,CreateAudienceModel,,Training,us-east-1,AWS Clean Rooms
2B488S3ZKBK343TE,JRTCKXETXF,2B488S3ZKBK343TE.JRTCKXETXF.6YS6EN2CT7,OnDemand,AWS Clean Rooms ML Custom Modeling- Compute,2025-03-01,0,Inf,hours,1.6320000000,USD,AWS Clean Rooms,AWSCleanRooms,US East (N. Virginia),AWS Region,USE1-InferenceInstanceHours-ML_C6I_8XLARGE,StartTrainedModelInferenceJob,,Inference-ML_C6I_8XLARGE,us-east-1,AWS Clean Rooms
2QN29U2QFV8HNVQZ,JRTCKXETXF,2QN29U2QFV8HNVQZ.JRTCKXETXF.6YS6EN2CT7,OnDemand,AWS Clean Rooms ML Custom Modeling- Compute,2025-03-01,0,Inf,hours,14.6880000000,USD,AWS Clean Rooms,AWSCleanRooms,US East (N. Virginia),AWS Region,USE1-InferenceInstanceHours-ML_P3_8XLARGE,StartTrainedModelInferenceJob,,Inference-ML_P3_8XLARGE,us-east-1,AWS Clean Rooms
2UB5396KSZVAG8JH,JRTCKXETXF,2UB5396KSZVAG8JH.JRTCKXETXF.6YS6EN2CT7,OnDemand,AWS Clean Rooms ML Custom Modeling- Compute,2025-03-01,0,Inf,hours,0.8160000000,USD,AWS Clean Rooms,AWSCleanRooms,US East (N. Virginia),AWS Region,USE1-InferenceInstanceHours-ML_C6I_4XLARGE,StartTrainedModelInferenceJob,,Inference-ML_C6I_4XLARGE,us-east-1,AWS Clean Rooms
38R3YK2KUABP3KQB,JRTCKXETXF,38R3YK2KUABP3KQB.JRTCKXETXF.6YS6EN2CT7,OnDemand,AWS Clean Rooms ML Custom Modeling- Compute,2025-03-01,0,Inf,hours,14.6880000000,USD,AWS Clean Rooms,AWSCleanRooms,US East (N. Virginia),AWS Region,USE1-TrainingInstanceHours-ML_P3_8XLARGE,CreateTrainedModel,,Training-ML_P3_8XLARGE,us-east-1,AWS Clean Rooms
3AWJDX76CJYYFD4P,JRTCKXETXF,3AWJDX76CJYYFD4P.JRTCKXETXF.6YS6EN2CT7,OnDemand,AWS Clean Rooms ML Custom Modeling- Compute,2025-03-01,0,Inf,hours,0.3990000000,USD,AWS Clean Rooms,AWSCleanRooms,US East (N. Virginia),AWS Region,USE1-TrainingInstanceHours-ML_T3_2XLARGE,CreateTrainedModel,,Training-ML_T3_2XLARGE,us-east-1,AWS Clean Rooms
3ERMTAJVZGGC9ZBW,JRTCKXETXF,3ERMTAJVZGGC9ZBW.JRTCKXETXF.6YS6EN2CT7,OnDemand,AWS Clean Rooms ML Custom Modeling- Compute,2025-03-01,0,Inf,hours,2.0300000000,USD,AWS Clean Rooms,AWSCleanRooms,US East (N. Virginia),AWS Region,USE1-TrainingInstanceHours-ML_G5_4XLARGE,CreateTrainedModel,,Training-ML_G5_4XLARGE,us-east-1,AWS Clean Rooms
3G8R8F6V8HTY27EX,JRTCKXETXF,3G8R8F6V8HTY27EX.JRTCKXETXF.6YS6EN2CT7,OnDemand,AWS Clean Rooms ML Custom Modeling- Compute,2025-03-01,0,Inf,hours,0.9400000000,USD,AWS Clean Rooms,AWSCleanRooms,US East (N. Virginia),AWS Region,USE1-InferenceInstanceHours-ML_G4DN_2XLARGE,StartTrainedModelInferenceJob,,Inference-ML_G4DN_2XLARGE,us-east-1,AWS Clean Rooms
3KVQV6NM3ZA44ZSC,JRTCKXETXF,3KVQV6NM3ZA44ZSC.JRTCKXETXF.6YS6EN2CT7,OnDemand,AWS Clean Rooms ML Custom Modeling- Compute,2025-03-01,0,Inf,hours,11.6120000000,USD,AWS Clean Rooms,AWSCleanRooms,US East (N. Virginia),AWS Region,USE1-InferenceInstanceHours-ML_M7I_48XLARGE,StartTrainedModelInferenceJob,,Inference-ML_M7I_48XLARGE,us-east-1,AWS Clean Rooms
3MVW7CF4DCDCRD5V,JRTCKXETXF,3MVW7CF4DCDCRD5V.JRTCKXETXF.6YS6EN2CT7,OnDemand,AWS Clean Rooms ML Custom Modeling- Compute,2025-03-01,0,Inf,hours,0.7360000000,USD,AWS Clean Rooms,AWSCleanRooms,US East (N. Virginia),AWS Region,USE1-InferenceInstanceHours-ML_G4DN_XLARGE,StartTrainedModelInferenceJob,,Inference-ML_G4DN_XLARGE,us-east-1,AWS Clean Rooms
3NDSR2CWD338BVR8,JRTCKXETXF,3NDSR2CWD338BVR8.JRTCKXETXF.6YS6EN2CT7,OnDemand,AWS Clean Rooms ML Custom Modeling- Compute,2025-03-01,0,Inf,hours,0.9220000000,USD,AWS Clean Rooms,AWSCleanRooms,US East (N. Virginia),AWS Region,USE1-InferenceInstanceHours-ML_M5_4XLARGE,StartTrainedModelInferenceJob,,Inference-ML_M5_4XLARGE,us-east-1,AWS Clean Rooms
