SKU,OfferTermCode,RateCode,TermType,PriceDescription,EffectiveDate,StartingRange,EndingRange,Unit,PricePerUnit,Currency,Product Family,serviceCode,Location,Location Type,usageType,operation,Category,Event Type,InsightsType,Region Code,serviceName
3PQB9P8PQKRYZHC9,JRTCKXETXF,3PQB9P8PQKRYZHC9.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.023/GB/month for extended retention in US East (N. Virginia),2025-03-01,0,Inf,GB-Mo,0.0230000000,USD,Management Tools - AWS CloudTrail,AWSCloudTrail,US East (N. Virginia),AWS Region,USE1-PaidStorage-ByteHrs,,PaidStorage-ByteHrs,,,us-east-1,AWS CloudTrail
8QF7CPEM9ENRC6EA,JRTCKXETXF,8QF7CPEM9ENRC6EA.JRTCKXETXF.6YS6EN2CT7,OnDemand,0.000001 per data event recorded in US East (N.Virginia) region,2025-03-01,0,Inf,Events,0.0000010000,USD,Management Tools - AWS CloudTrail Data Events Recorded,AWSCloudTrail,US East (N. Virginia),AWS Region,USE1-DataEventsRecorded,,,,,us-east-1,AWS CloudTrail
9XUXB2BZ569EH33R,JRTCKXETXF,9XUXB2BZ569EH33R.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.5/GB for Ingestion with 1 year retention for other data sources in US East (N. Virginia),2025-03-01,0,Inf,GB,0.5000000000,USD,Management Tools - AWS CloudTrail,AWSCloudTrail,US East (N. Virginia),AWS Region,USE1-Ingestion-Bytes-1yearstore-Other-data-sources,,Ingestion-Bytes-1yearstore-other-data-sources,,,us-east-1,AWS CloudTrail
BDZBXKSFAZDV2PPV,JRTCKXETXF,BDZBXKSFAZDV2PPV.JRTCKXETXF.6YS6EN2CT7,OnDemand,0.0 per free event recorded in US East (N.Virginia) region,2025-03-01,0,Inf,Events,0.0000000000,USD,Management Tools - AWS CloudTrail Free Events Recorded,AWSCloudTrail,US East (N. Virginia),AWS Region,USE1-FreeEventsRecorded,,,,,us-east-1,AWS CloudTrail
FBCW53575BCZD9YM,JRTCKXETXF,FBCW53575BCZD9YM.JRTCKXETXF.WDPN22KHCH,OnDemand,$2.5 per GB for Ingestion-Bytes in US East (N. Virginia),2025-03-01,0,5120,GB,2.5000000000,USD,Management Tools - AWS CloudTrail,AWSCloudTrail,US East (N. Virginia),AWS Region,USE1-Ingestion-Bytes,,Ingestion-Bytes,,,us-east-1,AWS CloudTrail
FBCW53575BCZD9YM,JRTCKXETXF,FBCW53575BCZD9YM.JRTCKXETXF.JGJ82SVVQY,OnDemand,$1 per GB for Ingestion-Bytes in US East (N. Virginia),2025-03-01,5120,25600,GB,1.0000000000,USD,Management Tools - AWS CloudTrail,AWSCloudTrail,US East (N. Virginia),AWS Region,USE1-Ingestion-Bytes,,Ingestion-Bytes,,,us-east-1,AWS CloudTrail
FBCW53575BCZD9YM,JRTCKXETXF,FBCW53575BCZD9YM.JRTCKXETXF.BK48SQ6UVE,OnDemand,$0.5 per GB for Ingestion-Bytes in US East (N. Virginia),2025-03-01,25600,Inf,GB,0.5000000000,USD,Management Tools - AWS CloudTrail,AWSCloudTrail,US East (N. Virginia),AWS Region,USE1-Ingestion-Bytes,,Ingestion-Bytes,,,us-east-1,AWS CloudTrail
HD4YPMJKB4BHB7WS,JRTCKXETXF,HD4YPMJKB4BHB7WS.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.0 per GB for FreeTrialQueryScanned-Bytes in US East (N. Virginia),2025-03-01,0,Inf,GB,0.0000000000,USD,Management Tools - AWS CloudTrail,AWSCloudTrail,US East (N. Virginia),AWS Region,USE1-FreeTrialQueryScanned-Bytes,,FreeTrialQueryScanned-Bytes,,,us-east-1,AWS CloudTrail
HSTGM6MX75VC7UUF,JRTCKXETXF,HSTGM6MX75VC7UUF.JRTCKXETXF.6YS6EN2CT7,OnDemand,0.00002 per paid event recorded in US East (N.Virginia) region,2025-03-01,0,Inf,Events,0.0000200000,USD,Management Tools - AWS CloudTrail Paid Events Recorded,AWSCloudTrail,US East (N. Virginia),AWS Region,USE1-PaidEventsRecorded,,,,,us-east-1,AWS CloudTrail
K87PBWEA32Q4JPF8,JRTCKXETXF,K87PBWEA32Q4JPF8.JRTCKXETXF.6YS6EN2CT7,OnDemand,0.0000035 per event analyzed in US East (N.Virginia) region,2025-03-01,0,Inf,Events,0.0000035000,USD,Management Tools - AWS CloudTrail Insights Events,AWSCloudTrail,US East (N. Virginia),AWS Region,USE1-InsightsEvents,,,,APICallVolume,us-east-1,AWS CloudTrail
KQN6M659XRZ4UYZX,JRTCKXETXF,KQN6M659XRZ4UYZX.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.75/GB for Ingestion with 1 year retention for live CloudTrail logs in US East (N. Virginia),2025-03-01,0,Inf,GB,0.7500000000,USD,Management Tools - AWS CloudTrail,AWSCloudTrail,US East (N. Virginia),AWS Region,USE1-Ingestion-Bytes-1yearstore-Live-CloudTrail-Logs,,Ingestion-Bytes-1yearstore,,,us-east-1,AWS CloudTrail
KU33EAKV7VJ59YNT,JRTCKXETXF,KU33EAKV7VJ59YNT.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.0 per GB for FreeTrialIngestion-Bytes in US East (N. Virginia),2025-03-01,0,Inf,GB,0.0000000000,USD,Management Tools - AWS CloudTrail,AWSCloudTrail,US East (N. Virginia),AWS Region,USE1-FreeTrialIngestion-Bytes,,FreeTrialIngestion-Bytes,,,us-east-1,AWS CloudTrail
RVJF429KT9Z5NYA9,JRTCKXETXF,RVJF429KT9Z5NYA9.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.000001 per network activity events recorded in US East (N. Virginia),2025-03-01,0,Inf,Events,0.0000010000,USD,Management Tools - AWS CloudTrail,AWSCloudTrail,US East (N. Virginia),AWS Region,USE1-NetworkEventsRecorded,,,Network events,,us-east-1,AWS CloudTrail
UY4HU6NABWFCPEQF,JRTCKXETXF,UY4HU6NABWFCPEQF.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.005 per GB for QueryScanned-Bytes in US East (N. Virginia),2025-03-01,0,Inf,GB,0.0050000000,USD,Management Tools - AWS CloudTrail,AWSCloudTrail,US East (N. Virginia),AWS Region,USE1-QueryScanned-Bytes,,QueryScanned-Bytes,,,us-east-1,AWS CloudTrail
