SKU,OfferTermCode,RateCode,TermType,PriceDescription,EffectiveDate,StartingRange,EndingRange,Unit,PricePerUnit,Currency,RelatedTo,Product Family,serviceCode,Location,Location Type,Instance Type,Current Generation,Instance Family,vCPU,Physical Processor,Clock Speed,Memory,Storage,Network Performance,Processor Architecture,Storage Media,Volume Type,Min Volume Size,Max Volume Size,usageType,operation,Availability Zone,Capacity Usage,Dedicated EBS Throughput,Enhanced Networking Supported,Processor Features,Region Code,serviceName,Type
2EFMHHCRBU5PU8U5,JRTCKXETXF,2EFMHHCRBU5PU8U5.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.6555 per DMS Serverless 4 DCU capacity Multi-AZ DCU hours,2025-03-01,0,Inf,DCU-Hr,0.6554755190,USD,,Replication Server,AWSDatabaseMigrationSvc,US East (N. Virginia),AWS Region,,,,,,,,,,,,,,,USE1-DMSServerlessRepMultiAZCapacityUsg:4,CreateDMSInstance,Multiple,4,,,,us-east-1,AWS Database Migration Service,Serverless
2GEVEDYFD5M5NYCF,JRTCKXETXF,2GEVEDYFD5M5NYCF.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.21 per On Demand DMS r4.large Instance Hour,2025-03-01,0,Inf,Hrs,0.2100000000,USD,,Replication Server,AWSDatabaseMigrationSvc,US East (N. Virginia),AWS Region,r4.large,Yes,Memory optimized,2,Intel Xeon E5-2686 v4 (Broadwell),2.3 GHz,15.25 GiB,EBS Only,Up to 10 Gigabit,64-bit,,,,,InstanceUsg:dms.r4.large,CreateDMSInstance,Single,,400 Mbps,Yes,Intel AVX,Intel AVX2,Intel Turbo,us-east-1,AWS Database Migration Service,
2P8QQ97RK39CVY94,JRTCKXETXF,2P8QQ97RK39CVY94.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.0819 per DMS Serverless 1 DCU capacity DCU hours,2025-03-01,0,Inf,DCU-Hr,0.0819344400,USD,,Replication Server,AWSDatabaseMigrationSvc,US East (N. Virginia),AWS Region,,,,,,,,,,,,,,,USE1-DMSServerlessRepCapacityUsg:1,CreateDMSInstance,Single,1,,,,us-east-1,AWS Database Migration Service,Serverless
3EBKHEY2K9XYDKXU,JRTCKXETXF,3EBKHEY2K9XYDKXU.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.476 per On Demand DMS c6i.2xlarge Instance Hour,2025-03-01,0,Inf,Hrs,0.4760000000,USD,,Replication Server,AWSDatabaseMigrationSvc,US East (N. Virginia),AWS Region,c6i.2xlarge,Yes,Compute optimized,8,Intel Xeon Platinum,3.0 Ghz,16 GiB,EBS Only,Up to 10 Gigabit,64-bit,,,,,InstanceUsg:dms.c6i.2xlarge,CreateDMSInstance,Single,,Upto 2250 Mbps,Yes,Intel AVX,Intel AVX2,Intel AVX512,Intel Turbo,us-east-1,AWS Database Migration Service,
3XQWK9DAVM83C7CW,JRTCKXETXF,3XQWK9DAVM83C7CW.JRTCKXETXF.6YS6EN2CT7,OnDemand,$7.21728 per On Demand DMS r5.8xlarge Multi-AZ Instance Hour,2025-03-01,0,Inf,Hrs,7.2172800000,USD,,Replication Server,AWSDatabaseMigrationSvc,US East (N. Virginia),AWS Region,r5.8xlarge,Yes,Memory optimized,32,Intel Xeon Platinum 8000,Up to 3.1 GHz,256 GiB,EBS Only,10 Gigabit,64-bit,,,,,Multi-AZUsg:dms.r5.8xlarge,CreateDMSInstance,Multiple,,N/A,Yes,N/A,us-east-1,AWS Database Migration Service,
3YVAASXNH2J27BV6,JRTCKXETXF,3YVAASXNH2J27BV6.JRTCKXETXF.6YS6EN2CT7,OnDemand,$7.616 per On Demand DMS c6i.16xlarge Multi-AZ Instance Hour,2025-03-01,0,Inf,Hrs,7.6160000000,USD,,Replication Server,AWSDatabaseMigrationSvc,US East (N. Virginia),AWS Region,c6i.16xlarge,Yes,Compute optimized,32,Intel Xeon Platinum,Up to 3.0 GHz,32 GiB,100 GB,Up to 10 Gigabit,64-bit,,,,,Multi-AZUsg:dms.c6i.16xlarge,CreateDMSInstance,Multiple,,Upto 2250 Mbps,Yes,Intel AVX,Intel AVX2,Intel AVX512,Intel Turbo,us-east-1,AWS Database Migration Service,
43VG2P3WQ557Z6FD,JRTCKXETXF,43VG2P3WQ557Z6FD.JRTCKXETXF.6YS6EN2CT7,OnDemand,$15.232 per On Demand DMS c6i.32xlarge Multi-AZ Instance Hour,2025-03-01,0,Inf,Hrs,15.2320000000,USD,,Replication Server,AWSDatabaseMigrationSvc,US East (N. Virginia),AWS Region,c6i.32xlarge,Yes,Compute optimized,128,Intel Xeon Platinum 8000,Up to 3.1 GHz,256 GiB,EBS Only,50 Gbps,64-bit,,,,,Multi-AZUsg:dms.c6i.32xlarge,CreateDMSInstance,Multiple,,40 Gbps,Yes,N/A,us-east-1,AWS Database Migration Service,
57K5P28972VJF9DZ,JRTCKXETXF,57K5P28972VJF9DZ.JRTCKXETXF.6YS6EN2CT7,OnDemand,$2.822 per On Demand DMS r5.4xlarge Multi-AZ Instance Hour,2025-03-01,0,Inf,Hrs,2.8220000000,USD,,Replication Server,AWSDatabaseMigrationSvc,US East (N. Virginia),AWS Region,r5.4xlarge,Yes,Memory optimized,16,Intel Xeon Platinum 8000,Up to 3.1 GHz,128 GiB,EBS Only,10 Gigabit,64-bit,,,,,Multi-AZUsg:dms.r5.4xlarge,CreateDMSInstance,Multiple,,N/A,Yes,N/A,us-east-1,AWS Database Migration Service,
5M53XAC6PKAYBKG5,JRTCKXETXF,5M53XAC6PKAYBKG5.JRTCKXETXF.6YS6EN2CT7,OnDemand,$10.82592 per On Demand DMS r6i.12xlarge Multi-AZ Instance Hour,2025-03-01,0,Inf,Hrs,10.8259200000,USD,,Replication Server,AWSDatabaseMigrationSvc,US East (N. Virginia),AWS Region,r6i.12xlarge,Yes,Memory optimized,48,Intel Xeon Platinum 8000,Up to 3.1 GHz,384 GiB,EBS Only,10 Gigabit,64-bit,,,,,Multi-AZUsg:dms.r6i.12xlarge,CreateDMSInstance,Multiple,,N/A,Yes,N/A,us-east-1,AWS Database Migration Service,
5SJA22NV2Z7ZSA49,JRTCKXETXF,5SJA22NV2Z7ZSA49.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.476 per On Demand DMS c6i.xlarge Multi-AZ Instance Hour,2025-03-01,0,Inf,Hrs,0.4760000000,USD,,Replication Server,AWSDatabaseMigrationSvc,US East (N. Virginia),AWS Region,c6i.xlarge,Yes,Compute optimized,4,Intel Xeon Platinum,3.0 Ghz,8 GiB,EBS Only,Up to 10 Gigabit,64-bit,,,,,Multi-AZUsg:dms.c6i.xlarge,CreateDMSInstance,Multiple,,Upto 2250 Mbps,Yes,Intel AVX,Intel AVX2,Intel AVX512,Intel Turbo,us-east-1,AWS Database Migration Service,
