SKU,OfferTermCode,RateCode,TermType,PriceDescription,EffectiveDate,StartingRange,EndingRange,Unit,PricePerUnit,Currency,Product Family,serviceCode,Location,Location Type,usageType,operation,Bit Rate,Codec,Frame Rate,Input,Output,Pipeline,Region Code,Reserve Type,Resolution,serviceName,Video Quality
24UK6FCFCUDNVGXM,JRTCKXETXF,24UK6FCFCUDNVGXM.JRTCKXETXF.6YS6EN2CT7,OnDemand,$1.0125/hour for 1-year reserved MPEG2 HD multiplex output in US East (N. Virginia),2025-05-01,0,Inf,Hrs,1.0125000000,USD,Transcode minute,AWSElementalMediaLive,US East (N. Virginia),AWS Region,EML2-USE1-MUX-MPEG2-HD-R,CHANNEL_OUTPUT,,,,,MPEG-2,,us-east-1,1 Year,HD,AWS Elemental MediaLive,
29FU4K3YHYB58KYK,JRTCKXETXF,29FU4K3YHYB58KYK.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.3960/hour for Single Pipeline SD AVC outputs at 20-50mbps,30-60fps,and Standard VQ in US East (N. Virginia),2025-05-01,0,Inf,Hrs,0.3960000000,USD,Transcode minute,AWSElementalMediaLive,US East (N. Virginia),AWS Region,EML1-USE1-OUT-AVC-SD-L50-60-S,CHANNEL_OUTPUT,20-50mbps,,30-60fps,NA,AVC,Single,us-east-1,On Demand,SD,AWS Elemental MediaLive,Standard
2B8DDAH5Q9Z4YQSZ,JRTCKXETXF,2B8DDAH5Q9Z4YQSZ.JRTCKXETXF.6YS6EN2CT7,OnDemand,$86.4000/hour for on-demand HEVC UHD multiplex output in US East (N. Virginia),2025-05-01,0,Inf,Hrs,86.4000000000,USD,Transcode minute,AWSElementalMediaLive,US East (N. Virginia),AWS Region,EML2-USE1-MUX-HEVC-UHD,CHANNEL_OUTPUT,,,,,HEVC,,us-east-1,On Demand,UHD,AWS Elemental MediaLive,
2DJV6RUXQ6G54B74,JRTCKXETXF,2DJV6RUXQ6G54B74.JRTCKXETXF.6YS6EN2CT7,OnDemand,$1.189/hour for Single Pipeline SD AV1 outputs at <=30fps and Standard VQ in US East (N. Virginia),2025-05-01,0,Inf,Hrs,1.1890000000,USD,Transcode minute,AWSElementalMediaLive,US East (N. Virginia),AWS Region,EML1-USE1-OUT-AV1-SD-30-S,CHANNEL_OUTPUT,NA,,<=30fps,NA,AV1,Single,us-east-1,On Demand,SD,AWS Elemental MediaLive,Standard
2GARRQAHKSYXE9MS,JRTCKXETXF,2GARRQAHKSYXE9MS.JRTCKXETXF.6YS6EN2CT7,OnDemand,$32.4/hour for on-demand HEVC FHD multiplex output in US East (N. Virginia),2025-05-01,0,Inf,Hrs,32.4000000000,USD,Transcode minute,AWSElementalMediaLive,US East (N. Virginia),AWS Region,EML2-USE1-MUX-HEVC-FHD,CHANNEL_OUTPUT,,,,,HEVC,,us-east-1,On Demand,FHD,AWS Elemental MediaLive,
2HKAM662T7DM5UUV,JRTCKXETXF,2HKAM662T7DM5UUV.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.2151/hour for reserved Standard Pipeline UHD MPEG-2 inputs at 10-20mbps in US East (N. Virginia),2025-05-01,0,Inf,Hours,0.2151000000,USD,Transcode minute,AWSElementalMediaLive,US East (N. Virginia),AWS Region,EML2-USE1-IN-MPEG2-UHD-L20-R,CHANNEL_INPUT,10-20mbps,,NA,MPEG-2,NA,Standard,us-east-1,1 Year,UHD,AWS Elemental MediaLive,NA
2MAW5YURH99TPJUQ,JRTCKXETXF,2MAW5YURH99TPJUQ.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.0107/hour for reserved Single Pipeline SD MPEG-2 inputs at 10-20mbps in US East (N. Virginia),2025-05-01,0,Inf,Hrs,0.0107000000,USD,Transcode minute,AWSElementalMediaLive,US East (N. Virginia),AWS Region,EML1-USE1-IN-MPEG2-SD-L20-R,CHANNEL_INPUT,10-20mbps,,NA,MPEG-2,NA,Single,us-east-1,1 Year,SD,AWS Elemental MediaLive,NA
2NDKPFM2AEGPM6SU,JRTCKXETXF,2NDKPFM2AEGPM6SU.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.3168/hour for Single Pipeline SD AVC outputs at 20-50mbps,<=30fps,and Standard VQ in US East (N. Virginia),2025-05-01,0,Inf,Hrs,0.3168000000,USD,Transcode minute,AWSElementalMediaLive,US East (N. Virginia),AWS Region,EML1-USE1-OUT-AVC-SD-L50-30-S,CHANNEL_OUTPUT,20-50mbps,,<=30fps,NA,AVC,Single,us-east-1,On Demand,SD,AWS Elemental MediaLive,Standard
2PRKWXX5WQ36U2QF,JRTCKXETXF,2PRKWXX5WQ36U2QF.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.4200/hour for reserved Single Pipeline FHD CDI inputs in US East (N. Virginia),2025-05-01,0,Inf,hours,0.4200000000,USD,Transcode minute,AWSElementalMediaLive,US East (N. Virginia),AWS Region,EML1-USE1-IN-CDI-FHD-R,CHANNEL_INPUT,,,,CDI,NA,Single,us-east-1,1 Year,FHD,AWS Elemental MediaLive,
2UGMZ3YN774KU63Z,JRTCKXETXF,2UGMZ3YN774KU63Z.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.6372/hour for Single Pipeline SD AVC outputs at <=30fps and Enhanced VQ in US East (N. Virginia),2025-05-01,0,Inf,Hrs,0.6372000000,USD,Transcode minute,AWSElementalMediaLive,US East (N. Virginia),AWS Region,EML1-USE1-OUT-AVC-SD-30-E,CHANNEL_OUTPUT,NA,,<=30fps,NA,AVC,Single,us-east-1,On Demand,SD,AWS Elemental MediaLive,Enhanced
