SKU,OfferTermCode,RateCode,TermType,PriceDescription,EffectiveDate,StartingRange,EndingRange,Unit,PricePerUnit,Currency,Product Family,serviceCode,Location,Location Type,usageType,operation,Operation Type,Region Code,serviceName,Tier
595KF9ECFT52698E,JRTCKXETXF,595KF9ECFT52698E.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.50 per thousand ad insertions per month in US East (N. Virginia),2025-04-01,0,Inf,Count,0.0005000000,USD,Fee,AWSElementalMediaTailor,US East (N. Virginia),AWS Region,USE1-EMT-AdInsertion,,Ad Insertion,us-east-1,AWS Elemental MediaTailor,
5QV8J8JN796QZEQV,JRTCKXETXF,5QV8J8JN796QZEQV.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.10 per hours for EMT-ChannelHoursBasic in US East (N. Virginia),2025-04-01,0,Inf,hours,0.1000000000,USD,Fee,AWSElementalMediaTailor,US East (N. Virginia),AWS Region,USE1-EMT-ChannelHoursBasic,,Assembly,us-east-1,AWS Elemental MediaTailor,Basic
82WRH65WQ7EGHHGC,JRTCKXETXF,82WRH65WQ7EGHHGC.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.25 per thousand ad insertions per month in US East (N. Virginia),2025-04-01,0,Inf,Count,0.0002500000,USD,Fee,AWSElementalMediaTailor,US East (N. Virginia),AWS Region,USE1-EMT-AdInsertion,VOD,Ad Insertion VOD,us-east-1,AWS Elemental MediaTailor,
JMQD64M7QUYNK73G,JRTCKXETXF,JMQD64M7QUYNK73G.JRTCKXETXF.8EEUB22XNJ,OnDemand,$0.000 per GB - first 1 GB of ad delivery out per month,2025-04-01,0,1,GB,0.0000000000,USD,Fee,AWSElementalMediaTailor,US East (N. Virginia),AWS Region,DataTransfer-Out-Bytes,,,us-east-1,AWS Elemental MediaTailor,
JMQD64M7QUYNK73G,JRTCKXETXF,JMQD64M7QUYNK73G.JRTCKXETXF.WVV8R9FH29,OnDemand,$0.090 per GB - first 10 TB / month ad delivery out beyond the global free tier,2025-04-01,1,10240,GB,0.0900000000,USD,Fee,AWSElementalMediaTailor,US East (N. Virginia),AWS Region,DataTransfer-Out-Bytes,,,us-east-1,AWS Elemental MediaTailor,
JMQD64M7QUYNK73G,JRTCKXETXF,JMQD64M7QUYNK73G.JRTCKXETXF.VF6T3GAUKQ,OnDemand,$0.085 per GB - next 40 TB / month ad delivery out,2025-04-01,10240,51200,GB,0.0850000000,USD,Fee,AWSElementalMediaTailor,US East (N. Virginia),AWS Region,DataTransfer-Out-Bytes,,,us-east-1,AWS Elemental MediaTailor,
JMQD64M7QUYNK73G,JRTCKXETXF,JMQD64M7QUYNK73G.JRTCKXETXF.N9EW5UVVPA,OnDemand,$0.070 per GB - next 100 TB / month ad delivery out,2025-04-01,51200,153600,GB,0.0700000000,USD,Fee,AWSElementalMediaTailor,US East (N. Virginia),AWS Region,DataTransfer-Out-Bytes,,,us-east-1,AWS Elemental MediaTailor,
JMQD64M7QUYNK73G,JRTCKXETXF,JMQD64M7QUYNK73G.JRTCKXETXF.GPHXDESFBB,OnDemand,$0.050 per GB - greater than 150 TB / month ad delivery out,2025-04-01,153600,Inf,GB,0.0500000000,USD,Fee,AWSElementalMediaTailor,US East (N. Virginia),AWS Region,DataTransfer-Out-Bytes,,,us-east-1,AWS Elemental MediaTailor,
M4K5ZBDRDM6UHMZT,JRTCKXETXF,M4K5ZBDRDM6UHMZT.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.35 per hours for EMT-ChannelHoursStandard in US East (N. Virginia),2025-04-01,0,Inf,hours,0.3500000000,USD,Fee,AWSElementalMediaTailor,US East (N. Virginia),AWS Region,USE1-EMT-ChannelHoursStandard,,Assembly,us-east-1,AWS Elemental MediaTailor,Standard
YT6VEY6AWH666ACP,JRTCKXETXF,YT6VEY6AWH666ACP.JRTCKXETXF.8EEUB22XNJ,OnDemand,$0.000 per GB - first 1 GB of ad delivery out per month,2025-04-01,0,1,GB,0.0000000000,USD,Fee,AWSElementalMediaTailor,US East (N. Virginia),AWS Region,USE1-CloudFront-Out-Bytes,,,us-east-1,AWS Elemental MediaTailor,
YT6VEY6AWH666ACP,JRTCKXETXF,YT6VEY6AWH666ACP.JRTCKXETXF.WVV8R9FH29,OnDemand,$0.090 per GB - first 10 TB / month ad delivery out beyond the global free tier,2025-04-01,1,10240,GB,0.0900000000,USD,Fee,AWSElementalMediaTailor,US East (N. Virginia),AWS Region,USE1-CloudFront-Out-Bytes,,,us-east-1,AWS Elemental MediaTailor,
YT6VEY6AWH666ACP,JRTCKXETXF,YT6VEY6AWH666ACP.JRTCKXETXF.VF6T3GAUKQ,OnDemand,$0.085 per GB - next 40 TB / month ad delivery out,2025-04-01,10240,51200,GB,0.0850000000,USD,Fee,AWSElementalMediaTailor,US East (N. Virginia),AWS Region,USE1-CloudFront-Out-Bytes,,,us-east-1,AWS Elemental MediaTailor,
YT6VEY6AWH666ACP,JRTCKXETXF,YT6VEY6AWH666ACP.JRTCKXETXF.N9EW5UVVPA,OnDemand,$0.070 per GB - next 100 TB / month ad delivery out,2025-04-01,51200,153600,GB,0.0700000000,USD,Fee,AWSElementalMediaTailor,US East (N. Virginia),AWS Region,USE1-CloudFront-Out-Bytes,,,us-east-1,AWS Elemental MediaTailor,
YT6VEY6AWH666ACP,JRTCKXETXF,YT6VEY6AWH666ACP.JRTCKXETXF.GPHXDESFBB,OnDemand,$0.050 per GB - greater than 150 TB / month ad delivery out,2025-04-01,153600,Inf,GB,0.0500000000,USD,Fee,AWSElementalMediaTailor,US East (N. Virginia),AWS Region,USE1-CloudFront-Out-Bytes,,,us-east-1,AWS Elemental MediaTailor,
