SKU,OfferTermCode,RateCode,TermType,PriceDescription,EffectiveDate,StartingRange,EndingRange,Unit,PricePerUnit,Currency,Product Family,serviceCode,Location,Location Type,usageType,operation,Event Type,IsShadow,IsWebSocket,Protocol,Region Code,serviceName
2F8JUVRDQDFDR8JH,JRTCKXETXF,2F8JUVRDQDFDR8JH.JRTCKXETXF.6YS6EN2CT7,OnDemand,$1.25 per million Device Shadow and Device Registry Operations,2024-04-01,0,Inf,Operations,0.0000012500,USD,AWSIoT,AWSIoT,US East (N. Virginia),AWS Region,USE1-RegistryAndShadowOperations,,Operation,,,,us-east-1,AWS IoT
4YPUWUYRUMDBYKZJ,JRTCKXETXF,4YPUWUYRUMDBYKZJ.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.000002 per Metric Query,2024-04-01,0,Inf,API Calls,0.0000020000,USD,AWSIoT,AWSIoT,US East (N. Virginia),AWS Region,USE1-LoRaWAN-MetricQueries,MetricQueries,,-,No,LoRaWAN,us-east-1,AWS IoT
7C9VFJ464CQAFWNJ,JRTCKXETXF,7C9VFJ464CQAFWNJ.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.15 per million actions executed,2024-04-01,0,Inf,ActionsExecuted,0.0000001500,USD,AWSIoT,AWSIoT,US East (N. Virginia),AWS Region,USE1-ActionsExecuted,,Request,,,,us-east-1,AWS IoT
7QJFQQCMEVDVQYBG,JRTCKXETXF,7QJFQQCMEVDVQYBG.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.000065 per message to send and receive messages using public LoRaWAN network (Everynet),2024-04-01,0,Inf,Messages,0.0000650000,USD,AWSIoT,AWSIoT,US East (N. Virginia),AWS Region,USE1-LoRaWAN-ConnectivityMessage,,,No,Yes,LoRaWAN,us-east-1,AWS IoT
88HVJW32F8EF6KYG,JRTCKXETXF,88HVJW32F8EF6KYG.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.08 per million minutes of connection,2024-04-01,0,Inf,Minutes,0.0000000800,USD,AWSIoT,AWSIoT,US East (N. Virginia),AWS Region,USE1-ConnectionMinutes,,,,,MQTT,us-east-1,AWS IoT
A26ADVFGN83YQ68F,JRTCKXETXF,A26ADVFGN83YQ68F.JRTCKXETXF.SB2VSFF4TP,OnDemand,$0.001 per Position for Solved-Positions usage in US East (N. Virginia),2024-04-01,0,1000000,Position,0.0010000000,USD,AWSIoT,AWSIoT,US East (N. Virginia),AWS Region,USE1-Solved-Positions,,,No,No,Any,us-east-1,AWS IoT
A26ADVFGN83YQ68F,JRTCKXETXF,A26ADVFGN83YQ68F.JRTCKXETXF.H3BBRCJ78Y,OnDemand,$0.0008 per Position for Solved-Positions usage in US East (N. Virginia),2024-04-01,1000000,5000000,Position,0.0008000000,USD,AWSIoT,AWSIoT,US East (N. Virginia),AWS Region,USE1-Solved-Positions,,,No,No,Any,us-east-1,AWS IoT
A26ADVFGN83YQ68F,JRTCKXETXF,A26ADVFGN83YQ68F.JRTCKXETXF.XCXBHCFFQ2,OnDemand,$0.0007 per Position for Solved-Positions usage in US East (N. Virginia),2024-04-01,5000000,Inf,Position,0.0007000000,USD,AWSIoT,AWSIoT,US East (N. Virginia),AWS Region,USE1-Solved-Positions,,,No,No,Any,us-east-1,AWS IoT
B2UHQDQ3MZVQFEXE,JRTCKXETXF,B2UHQDQ3MZVQFEXE.JRTCKXETXF.ZN357FEBCK,OnDemand,$2.30 per million Sidewalk messages - first 1 billion messages/month,2024-04-01,0,1000000000,Messages,0.0000023000,USD,AWSIoT,AWSIoT,US East (N. Virginia),AWS Region,USE1-Sidewalk-Messages,,,,,Sidewalk,us-east-1,AWS IoT
B2UHQDQ3MZVQFEXE,JRTCKXETXF,B2UHQDQ3MZVQFEXE.JRTCKXETXF.9UCY5BG95Z,OnDemand,$1.50 per million Sidewalk messages - next 4 billion messages/month,2024-04-01,1000000000,5000000000,Messages,0.0000015000,USD,AWSIoT,AWSIoT,US East (N. Virginia),AWS Region,USE1-Sidewalk-Messages,,,,,Sidewalk,us-east-1,AWS IoT
