SKU,OfferTermCode,RateCode,TermType,PriceDescription,EffectiveDate,StartingRange,EndingRange,Unit,PricePerUnit,Currency,Product Family,serviceCode,Location,Location Type,Instance Type,Current Generation,Instance Family,vCPU,Physical Processor,Clock Speed,Memory,Storage,Network Performance,Processor Architecture,Tenancy,Operating System,License Model,usageType,operation,CapacityStatus,Dedicated EBS Throughput,ECU,Enhanced Networking Supported,GPU,GPU Memory,Intel AVX2 Available,Intel AVX Available,Intel Turbo Available,Normalization Size Factor,PlatoUsageType,Pre Installed S/W,Processor Features,Region Code,serviceName
23P354ZMR65HB9PZ,JRTCKXETXF,23P354ZMR65HB9PZ.JRTCKXETXF.6YS6EN2CT7,OnDemand,m5.12xlarge Windows with SQL Std usage in us-east-1 EC2 Outposts,2025-01-01,0,Inf,Hrs,7.9680000000,USD,Compute Instance,AWSOutposts,US East (N. Virginia),AWS Outposts,m5.12xlarge,Yes,General purpose,48,Intel Xeon Platinum 8175,3.1 GHz,192 GiB,EBS only,10 Gigabit,64-bit,Host,Windows,No License required,BoxUsage:m5.12xlarge,RunInstances:0006,Used-Outpost-m5.12xlarge-Windows with SQL Std,7000 Mbps,168,Yes,,NA,Yes,Yes,Yes,96,BoxUsage,SQL Std,Intel AVX; Intel AVX2; Intel AVX512; Intel Turbo,us-east-1,AWS Outposts
2AD9CT499V9EW222,JRTCKXETXF,2AD9CT499V9EW222.JRTCKXETXF.6YS6EN2CT7,OnDemand,r5d.2xlarge Linux with SQL Std usage in us-east-1 EC2 Outposts,2025-01-01,0,Inf,Hrs,0.9600000000,USD,Compute Instance,AWSOutposts,US East (N. Virginia),AWS Outposts,r5d.2xlarge,Yes,Memory optimized,8,Intel Xeon Platinum 8175,3.1 GHz,64 GiB,1 x 300 NVMe SSD,Up to 10 Gigabit,64-bit,Host,Linux,No License required,BoxUsage:r5d.2xlarge,RunInstances:0004,Used-Outpost-r5d.2xlarge-Linux with SQL Std,Up to 2120 Mbps,37,Yes,,NA,Yes,Yes,Yes,16,BoxUsage,SQL Std,Intel AVX; Intel AVX2; Intel AVX512; Intel Turbo,us-east-1,AWS Outposts
2AYG2ZCJE5J8THPV,JRTCKXETXF,2AYG2ZCJE5J8THPV.JRTCKXETXF.6YS6EN2CT7,OnDemand,i3en.24xlarge RHEL usage in us-east-1 EC2 Outposts,2025-01-01,0,Inf,Hrs,0.1300000000,USD,Compute Instance,AWSOutposts,US East (N. Virginia),AWS Outposts,i3en.24xlarge,Yes,Storage optimized,96,Intel Xeon Platinum 8175,3.1 GHz,768 GiB,8 x 7500 NVMe SSD,100 Gigabit,64-bit,Host,RHEL,No License required,BoxUsage:i3en.24xlarge,RunInstances:0010,Used-Outpost-i3en.24xlarge-RHEL,14000 Mbps,337,Yes,,NA,Yes,Yes,Yes,192,BoxUsage,NA,Intel AVX; Intel AVX2; Intel AVX512; Intel Turbo,us-east-1,AWS Outposts
2BASEH7M7DC6FCHG,JRTCKXETXF,2BASEH7M7DC6FCHG.JRTCKXETXF.6YS6EN2CT7,OnDemand,r5d.4xlarge Windows with SQL Server Enterprise usage in us-east-1 EC2 Outposts,2025-01-01,0,Inf,Hrs,6.7360000000,USD,Compute Instance,AWSOutposts,US East (N. Virginia),AWS Outposts,r5d.4xlarge,Yes,Memory optimized,16,Intel Xeon Platinum 8175,3.1 GHz,128 GiB,2 x 300 NVMe SSD,Up to 10 Gigabit,64-bit,Host,Windows,No License required,BoxUsage:r5d.4xlarge,RunInstances:0102,Used-Outpost-r5d.4xlarge-Windows with SQL Server Enterprise,2120 Mbps,70,Yes,,NA,Yes,Yes,Yes,32,BoxUsage,SQL Ent,Intel AVX; Intel AVX2; Intel AVX512; Intel Turbo,us-east-1,AWS Outposts
2CUKUS2F2YZ6NGBS,JRTCKXETXF,2CUKUS2F2YZ6NGBS.JRTCKXETXF.6YS6EN2CT7,OnDemand,m5.4xlarge Linux with SQL Web usage in us-east-1 EC2 Outposts,2025-01-01,0,Inf,Hrs,0.2700000000,USD,Compute Instance,AWSOutposts,US East (N. Virginia),AWS Outposts,m5.4xlarge,Yes,General purpose,16,Intel Xeon Platinum 8175,3.1 GHz,64 GiB,EBS only,Up to 10 Gigabit,64-bit,Host,Linux,No License required,BoxUsage:m5.4xlarge,RunInstances:0200,Used-Outpost-m5.4xlarge-Linux with SQL Web,2120 Mbps,70,Yes,,NA,Yes,Yes,Yes,32,BoxUsage,SQL Web,Intel AVX; Intel AVX2; Intel AVX512; Intel Turbo,us-east-1,AWS Outposts
2EAK4CK9V45ZBCS9,JRTCKXETXF,2EAK4CK9V45ZBCS9.JRTCKXETXF.6YS6EN2CT7,OnDemand,m5d.16xlarge Windows with SQL Std usage in us-east-1 EC2 Outposts,2025-01-01,0,Inf,Hrs,10.6240000000,USD,Compute Instance,AWSOutposts,US East (N. Virginia),AWS Outposts,m5d.16xlarge,Yes,General purpose,64,Intel Xeon Platinum 8175,3.1 GHz,256 GiB,4 x 600 NVMe SSD,20 Gigabit,64-bit,Host,Windows,No License required,BoxUsage:m5d.16xlarge,RunInstances:0006,Used-Outpost-m5d.16xlarge-Windows with SQL Std,10000 Mbps,256,Yes,,NA,Yes,Yes,Yes,128,BoxUsage,SQL Std,Intel AVX; Intel AVX2; Intel AVX512; Intel Turbo,us-east-1,AWS Outposts
2EMQWYUSVRBSA8W8,JRTCKXETXF,2EMQWYUSVRBSA8W8.JRTCKXETXF.6YS6EN2CT7,OnDemand,m5.2xlarge Linux usage in us-east-1 EC2 Outposts,2025-01-01,0,Inf,Hrs,0.0000000000,USD,Compute Instance,AWSOutposts,US East (N. Virginia),AWS Outposts,m5.2xlarge,Yes,General purpose,8,Intel Xeon Platinum 8175,3.1 GHz,32 GiB,EBS only,Up to 10 Gigabit,64-bit,Host,Linux,No License required,BoxUsage:m5.2xlarge,RunInstances,Used-Outpost-m5.2xlarge-Linux,Up to 2120 Mbps,37,Yes,,NA,Yes,Yes,Yes,16,BoxUsage,NA,Intel AVX; Intel AVX2; Intel AVX512; Intel Turbo,us-east-1,AWS Outposts
2F24XUCGKPPVN5MN,JRTCKXETXF,2F24XUCGKPPVN5MN.JRTCKXETXF.6YS6EN2CT7,OnDemand,m5d.4xlarge Windows with SQL Server Enterprise usage in us-east-1 EC2 Outposts,2025-01-01,0,Inf,Hrs,6.7360000000,USD,Compute Instance,AWSOutposts,US East (N. Virginia),AWS Outposts,m5d.4xlarge,Yes,General purpose,16,Intel Xeon Platinum 8175,3.1 GHz,64 GiB,2 x 300 NVMe SSD,Up to 10 Gigabit,64-bit,Host,Windows,No License required,BoxUsage:m5d.4xlarge,RunInstances:0102,Used-Outpost-m5d.4xlarge-Windows with SQL Server Enterprise,2120 Mbps,70,Yes,,NA,Yes,Yes,Yes,32,BoxUsage,SQL Ent,Intel AVX; Intel AVX2; Intel AVX512; Intel Turbo,us-east-1,AWS Outposts
2HXBKN6BBXDQQVGF,JRTCKXETXF,2HXBKN6BBXDQQVGF.JRTCKXETXF.6YS6EN2CT7,OnDemand,m5d.xlarge Windows with SQL Web usage in us-east-1 EC2 Outposts,2025-01-01,0,Inf,Hrs,0.2520000000,USD,Compute Instance,AWSOutposts,US East (N. Virginia),AWS Outposts,m5d.xlarge,Yes,General purpose,4,Intel Xeon Platinum 8175,3.1 GHz,16 GiB,1 x 150 NVMe SSD,Up to 10 Gigabit,64-bit,Host,Windows,No License required,BoxUsage:m5d.xlarge,RunInstances:0202,Used-Outpost-m5d.xlarge-Windows with SQL Web,Up to 2120 Mbps,16,Yes,,NA,Yes,Yes,Yes,8,BoxUsage,SQL Web,Intel AVX; Intel AVX2; Intel AVX512; Intel Turbo,us-east-1,AWS Outposts
2JHKJJWTMKH958RX,JRTCKXETXF,2JHKJJWTMKH958RX.JRTCKXETXF.6YS6EN2CT7,OnDemand,c5.4xlarge Linux with SQL Std usage in us-east-1 EC2 Outposts,2025-01-01,0,Inf,Hrs,1.9200000000,USD,Compute Instance,AWSOutposts,US East (N. Virginia),AWS Outposts,c5.4xlarge,Yes,Compute optimized,16,Intel Xeon Platinum 8124M,3.4 GHz,32 GiB,EBS only,Up to 10 Gigabit,64-bit,Host,Linux,No License required,BoxUsage:c5.4xlarge,RunInstances:0004,Used-Outpost-c5.4xlarge-Linux with SQL Std,Up to 2250 Mbps,73,Yes,,NA,Yes,Yes,Yes,32,BoxUsage,SQL Std,Intel AVX; Intel AVX2; Intel AVX512; Intel Turbo,us-east-1,AWS Outposts
2NQVM79BHMX9K2NY,JRTCKXETXF,2NQVM79BHMX9K2NY.JRTCKXETXF.6YS6EN2CT7,OnDemand,m5d.metal Linux with SQL Std usage in us-east-1 EC2 Outposts,2025-01-01,0,Inf,Hrs,11.5200000000,USD,Compute Instance (bare metal),AWSOutposts,US East (N. Virginia),AWS Outposts,m5d.metal,Yes,General purpose,96,Intel Xeon Platinum 8175,3.1 GHz,384 GiB,4 x 900 NVMe SSD,25 Gigabit,64-bit,Host,Linux,No License required,BoxUsage:m5d.metal,RunInstances:0004,Used-Outpost-m5d.metal-Linux with SQL Std,12000 Mbps,345,Yes,,NA,Yes,Yes,Yes,192,BoxUsage,SQL Std,Intel AVX; Intel AVX2; Intel AVX512; Intel Turbo,us-east-1,AWS Outposts
