SKU,OfferTermCode,RateCode,TermType,PriceDescription,EffectiveDate,StartingRange,EndingRange,Unit,PricePerUnit,Currency,Product Family,serviceCode,Location,Location Type,usageType,operation,Automation Group,Automation Storage,Finding Group,Finding Source,Finding Storage,Region Code,serviceName,Standard Group,Standard Storage
AWF9SS3UQ2T6ZC2J,JRTCKXETXF,AWF9SS3UQ2T6ZC2J.JRTCKXETXF.SB2VSFF4TP,OnDemand,Up to 1M Rule Evaluation Events for RuleEvaluation in US East (N. Virginia),2025-02-01,0,1000000,Rule Evaluation Event,0.0000000000,USD,AWS Security Hub - Automation,AWSSecurityHub,US East (N. Virginia),AWS Region,USE1-RuleEvaluation,,RuleEvaluation,Basic,,,,us-east-1,AWS Security Hub,,
AWF9SS3UQ2T6ZC2J,JRTCKXETXF,AWF9SS3UQ2T6ZC2J.JRTCKXETXF.DPKJ4VJHPK,OnDemand,Between 1M and 100M Evaluation Events for RuleEvaluation in US East (N. Virginia),2025-02-01,1000000,100000000,Rule Evaluation Event,0.0000001000,USD,AWS Security Hub - Automation,AWSSecurityHub,US East (N. Virginia),AWS Region,USE1-RuleEvaluation,,RuleEvaluation,Basic,,,,us-east-1,AWS Security Hub,,
AWF9SS3UQ2T6ZC2J,JRTCKXETXF,AWF9SS3UQ2T6ZC2J.JRTCKXETXF.V9JAN4EP4Z,OnDemand,Between 100M and 1000M Evaluation Events for RuleEvaluation in US East (N. Virginia),2025-02-01,100000000,1000000000,Rule Evaluation Event,0.0000000500,USD,AWS Security Hub - Automation,AWSSecurityHub,US East (N. Virginia),AWS Region,USE1-RuleEvaluation,,RuleEvaluation,Basic,,,,us-east-1,AWS Security Hub,,
AWF9SS3UQ2T6ZC2J,JRTCKXETXF,AWF9SS3UQ2T6ZC2J.JRTCKXETXF.AGD8ADSNTG,OnDemand,Over 1000M Evaluation Events for RuleEvaluation in US East (N. Virginia),2025-02-01,1000000000,Inf,Rule Evaluation Event,0.0000000150,USD,AWS Security Hub - Automation,AWSSecurityHub,US East (N. Virginia),AWS Region,USE1-RuleEvaluation,,RuleEvaluation,Basic,,,,us-east-1,AWS Security Hub,,
DHWPTYPT9X2EPX4J,JRTCKXETXF,DHWPTYPT9X2EPX4J.JRTCKXETXF.NADQ2ZJX8V,OnDemand,The first 100,000 security checks per account per region per month cost USD0.001 per check,2025-02-01,0,100000,Security Checks,0.0010000000,USD,AWS Security Hub - Standards,AWSSecurityHub,US East (N. Virginia),AWS Region,USE1-PaidComplianceCheck,,,,,,,us-east-1,AWS Security Hub,PaidComplianceCheck,Basic
DHWPTYPT9X2EPX4J,JRTCKXETXF,DHWPTYPT9X2EPX4J.JRTCKXETXF.25RFZHS7D6,OnDemand,100,001 to 400,000 security checks per account per region per month cost USD0.0008 per check,2025-02-01,100000,500000,Security Checks,0.0008000000,USD,AWS Security Hub - Standards,AWSSecurityHub,US East (N. Virginia),AWS Region,USE1-PaidComplianceCheck,,,,,,,us-east-1,AWS Security Hub,PaidComplianceCheck,Basic
DHWPTYPT9X2EPX4J,JRTCKXETXF,DHWPTYPT9X2EPX4J.JRTCKXETXF.4Q8N5BDBT4,OnDemand,Over 500,000 security checks per account per region per month cost USD0.0005 per check,2025-02-01,500000,Inf,Security Checks,0.0005000000,USD,AWS Security Hub - Standards,AWSSecurityHub,US East (N. Virginia),AWS Region,USE1-PaidComplianceCheck,,,,,,,us-east-1,AWS Security Hub,PaidComplianceCheck,Basic
E98XSQUQPTBJ6ACG,JRTCKXETXF,E98XSQUQPTBJ6ACG.JRTCKXETXF.6YS6EN2CT7,OnDemand,Findings generated by Security Hub security checks are always free,2025-02-01,0,Inf,Finding Ingestion Events,0.0000000000,USD,AWS Security Hub - Findings,AWSSecurityHub,US East (N. Virginia),AWS Region,USE1-SecurityHubProduct:FreeFindingsIngestion,,,,FreeFindingsIngestion,SecurityHubProduct,Basic,us-east-1,AWS Security Hub,,
NZDYRG4D3CMABZ8G,JRTCKXETXF,NZDYRG4D3CMABZ8G.JRTCKXETXF.6YS6EN2CT7,OnDemand,Security checks are free during the 30-day free trial period,2025-02-01,0,Inf,Security Checks,0.0000000000,USD,AWS Security Hub - Standards,AWSSecurityHub,US East (N. Virginia),AWS Region,USE1-FreeComplianceCheck,,,,,,,us-east-1,AWS Security Hub,FreeComplianceCheck,Basic
QBGRV4ZDRGWRY2AR,JRTCKXETXF,QBGRV4ZDRGWRY2AR.JRTCKXETXF.6YS6EN2CT7,OnDemand,Findings ingestion events are free during the 30-day free trial period,2025-02-01,0,Inf,Finding Ingestion Events,0.0000000000,USD,AWS Security Hub - Findings,AWSSecurityHub,US East (N. Virginia),AWS Region,USE1-OtherProduct:FreeFindingsIngestion-FreeTrial,,,,FreeFindingsIngestion-FreeTrial,OtherProduct,Basic,us-east-1,AWS Security Hub,,
