SKU,OfferTermCode,RateCode,TermType,PriceDescription,EffectiveDate,StartingRange,EndingRange,Unit,PricePerUnit,Currency,Product Family,serviceCode,Location,Location Type,storage,usageType,operation,api-requests-free,api-requests-paid,change-requests-free,change-requests-paid,data transfer,describes,gets,instances,Ops Items,Parameter type,Region Code,response,serviceName,Throughput,Trial,updates
2SC234H95RE9KUWA,JRTCKXETXF,2SC234H95RE9KUWA.JRTCKXETXF.6YS6EN2CT7,OnDemand,Free trial Change Manager API Requests in US East (N. Virginia),2025-04-01,0,Inf,API Requests,0.0000000000,USD,AWS Systems Manager,AWSSystemsManager,US East (N. Virginia),AWS Region,,USE1-Change-API-Requests-Free,,True,Not Applicable,Not Applicable,Not Applicable,,,,,,,us-east-1,,AWS Systems Manager,,,
3XW4UVEQHA78KWS2,JRTCKXETXF,3XW4UVEQHA78KWS2.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.05 per Advanced Parameter per Month in US East (N. Virginia),2025-04-01,0,Inf,Hour,0.0000700000,USD,AWS Systems Manager,AWSSystemsManager,US East (N. Virginia),AWS Region,,USE1-PS-Advanced-Param-Tier1,,,,,,,,,,,True,us-east-1,,AWS Systems Manager,40,,
4GHA68HCKCXD8NGK,JRTCKXETXF,4GHA68HCKCXD8NGK.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.9 per GB - Data Retrieval,2025-04-01,0,Inf,GB,0.9000000000,USD,AWS Systems Manager,AWSSystemsManager,US East (N. Virginia),AWS Region,Not Applicable,USE1-SAE1-AWS-Out-Bytes,,,,,,SAE1-,,Not Applicable,,,,us-east-1,,AWS Systems Manager,,,
69CBTNUPM5AC83AH,JRTCKXETXF,69CBTNUPM5AC83AH.JRTCKXETXF.6YS6EN2CT7,OnDemand,$7.00 per Response Plan Month,2025-04-01,0,Inf,Months,7.0000000000,USD,AWS Systems Manager,AWSSystemsManager,US East (N. Virginia),AWS Region,,USE1-IM-ResponsePlan-Months-Tier1,,,,,,,,,,,,us-east-1,response-plan-months,AWS Systems Manager,,,
7MPX7776F7Q4Y8KK,JRTCKXETXF,7MPX7776F7Q4Y8KK.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.9 per GB - Data Retrieval,2025-04-01,0,Inf,GB,0.9000000000,USD,AWS Systems Manager,AWSSystemsManager,US East (N. Virginia),AWS Region,Not Applicable,USE1-APS1-AWS-Out-Bytes,,,,,,APS1-,,Not Applicable,,,,us-east-1,,AWS Systems Manager,,,
83YNJDGH6F8RN675,JRTCKXETXF,83YNJDGH6F8RN675.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.0000002 per Request for AppConfig-Requests in US East (N. Virginia),2025-04-01,0,Inf,Configuration Requests,0.0000002000,USD,AWS Systems Manager,AWSSystemsManager,US East (N. Virginia),AWS Region,,USE1-AppConfig-Requests,,,,,,,,True,,,,us-east-1,,AWS Systems Manager,,,Not Applicable
9B46YR6Q6NZSXEU8,JRTCKXETXF,9B46YR6Q6NZSXEU8.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.05 per 10,000 Advanced Parameter API interaction_Standard throughput in US East (N. Virginia),2025-04-01,0,Inf,API Request,0.0000050000,USD,API Request,AWSSystemsManager,US East (N. Virginia),AWS Region,,USE1-PS-Param-Processed-Tier1,,,,,,,,,,,True,us-east-1,,AWS Systems Manager,40,,
9HRYHYTY87QPU6B9,JRTCKXETXF,9HRYHYTY87QPU6B9.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.00695 per Advanced Instance Hr in US East (N. Virginia),2025-04-01,0,Inf,Hrs,0.0069500000,USD,AWS Systems Manager,AWSSystemsManager,US East (N. Virginia),AWS Region,,USE1-MI-AdvInstances-Hrs,,,,,,,,,advanced,,,us-east-1,,AWS Systems Manager,,,
9PK9YPMQFXR82PR9,JRTCKXETXF,9PK9YPMQFXR82PR9.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.9 per GB - Data Retrieval,2025-04-01,0,Inf,GB,0.9000000000,USD,AWS Systems Manager,AWSSystemsManager,US East (N. Virginia),AWS Region,Not Applicable,USE1-USW1-AWS-Out-Bytes,,,,,,USW1-,,Not Applicable,,,,us-east-1,,AWS Systems Manager,,,
AG3WMR8HRVCSECCQ,JRTCKXETXF,AG3WMR8HRVCSECCQ.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.000039 per Change Manager API Request in US East (N. Virginia),2025-04-01,0,Inf,API Requests,0.0000390000,USD,AWS Systems Manager,AWSSystemsManager,US East (N. Virginia),AWS Region,,USE1-Change-API-Requests-Tier1,,Not Applicable,True,Not Applicable,Not Applicable,,,,,,,us-east-1,,AWS Systems Manager,,,
