SKU,OfferTermCode,RateCode,TermType,PriceDescription,EffectiveDate,StartingRange,EndingRange,Unit,PricePerUnit,Currency,Product Family,serviceCode,Location,Location Type,usageType,operation,Integrating API,Integrating Feature,Integrating Service,Region Code,serviceName,Workforce Type
2SMJ42T92KCCAEVF,JRTCKXETXF,2SMJ42T92KCCAEVF.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.960 per MTurk workforce task directly through A2I,2020-04-01,0,Inf,Tasks,0.9600000000,USD,Machine Learning,AmazonA2I,US East (N. Virginia),AWS Region,USE1-A2ICustom-MTurkAt0.960,StartHumanLoop,Custom,Custom,Custom,us-east-1,Amazon Augmented AI,MTurkTaskAt0.960
2V839PBYQJ8UT3XC,JRTCKXETXF,2V839PBYQJ8UT3XC.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.120 per MTurk workforce task through Rekognition/A2I,2020-04-01,0,Inf,Tasks,0.1200000000,USD,Machine Learning,AmazonA2I,US East (N. Virginia),AWS Region,USE1-A2IRek-CM-Img-MTurkAt0.120,StartHumanLoop,DetectModerationLabels,Image,Rekognition,us-east-1,Amazon Augmented AI,MTurkTaskAt0.120
2WDMGPBP2HKPQ9CH,JRTCKXETXF,2WDMGPBP2HKPQ9CH.JRTCKXETXF.NADQ2ZJX8V,OnDemand,$0.03 for first 100,000 images through Rekognition/A2I,2020-04-01,0,100000,Objects,0.0300000000,USD,Machine Learning,AmazonA2I,US East (N. Virginia),AWS Region,USE1-A2IRek-CM-Img,StartHumanLoop,DetectModerationLabels,Image,Rekognition,us-east-1,Amazon Augmented AI,Any
2WDMGPBP2HKPQ9CH,JRTCKXETXF,2WDMGPBP2HKPQ9CH.JRTCKXETXF.FF8BMSDA2R,OnDemand,$0.02 for more than 100,000 images through Rekognition/A2I,2020-04-01,100000,Inf,Objects,0.0200000000,USD,Machine Learning,AmazonA2I,US East (N. Virginia),AWS Region,USE1-A2IRek-CM-Img,StartHumanLoop,DetectModerationLabels,Image,Rekognition,us-east-1,Amazon Augmented AI,Any
2X8WN7HKCS52BQNN,JRTCKXETXF,2X8WN7HKCS52BQNN.JRTCKXETXF.6YS6EN2CT7,OnDemand,$1.200 per MTurk workforce task through Rekognition/A2I,2020-04-01,0,Inf,Tasks,1.2000000000,USD,Machine Learning,AmazonA2I,US East (N. Virginia),AWS Region,USE1-A2IRek-CM-Img-MTurkAt1.200,StartHumanLoop,DetectModerationLabels,Image,Rekognition,us-east-1,Amazon Augmented AI,MTurkTaskAt1.200
3U6UB39HG2QD4XU7,JRTCKXETXF,3U6UB39HG2QD4XU7.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.240 per MTurk workforce task through Textract/A2I,2020-04-01,0,Inf,Tasks,0.2400000000,USD,Machine Learning,AmazonA2I,US East (N. Virginia),AWS Region,USE1-A2ITex-AD-Fom-MTurkAt0.240,StartHumanLoop,AnalyzeDocument,Forms,Textract,us-east-1,Amazon Augmented AI,MTurkTaskAt0.240
3ZHMGE3YV64KW6XR,JRTCKXETXF,3ZHMGE3YV64KW6XR.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.060 per MTurk workforce task through Rekognition/A2I,2020-04-01,0,Inf,Tasks,0.0600000000,USD,Machine Learning,AmazonA2I,US East (N. Virginia),AWS Region,USE1-A2IRek-CM-Img-MTurkAt0.060,StartHumanLoop,DetectModerationLabels,Image,Rekognition,us-east-1,Amazon Augmented AI,MTurkTaskAt0.060
4N8UKVJEZGF33BD8,JRTCKXETXF,4N8UKVJEZGF33BD8.JRTCKXETXF.6YS6EN2CT7,OnDemand,$1.080 per MTurk workforce task through Rekognition/A2I,2020-04-01,0,Inf,Tasks,1.0800000000,USD,Machine Learning,AmazonA2I,US East (N. Virginia),AWS Region,USE1-A2IRek-CM-Img-MTurkAt1.080,StartHumanLoop,DetectModerationLabels,Image,Rekognition,us-east-1,Amazon Augmented AI,MTurkTaskAt1.080
58D7ANY39H5FCBKR,JRTCKXETXF,58D7ANY39H5FCBKR.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.012 per MTurk workforce task directly through A2I,2020-04-01,0,Inf,Tasks,0.0120000000,USD,Machine Learning,AmazonA2I,US East (N. Virginia),AWS Region,USE1-A2ICustom-MTurkAt0.012,StartHumanLoop,Custom,Custom,Custom,us-east-1,Amazon Augmented AI,MTurkTaskAt0.012
5B5FJWSDNK8G2T8V,JRTCKXETXF,5B5FJWSDNK8G2T8V.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.360 per MTurk workforce task directly through A2I,2020-04-01,0,Inf,Tasks,0.3600000000,USD,Machine Learning,AmazonA2I,US East (N. Virginia),AWS Region,USE1-A2ICustom-MTurkAt0.360,StartHumanLoop,Custom,Custom,Custom,us-east-1,Amazon Augmented AI,MTurkTaskAt0.360
