SKU,OfferTermCode,RateCode,TermType,PriceDescription,EffectiveDate,StartingRange,EndingRange,Unit,PricePerUnit,Currency,Product Family,serviceCode,Description,Location,Location Type,usageType,operation,Cache Memory Size (GB),Region Code,serviceName
3Y5E3ETY2M5CMHYP,JRTCKXETXF,3Y5E3ETY2M5CMHYP.JRTCKXETXF.ZN357FEBCK,OnDemand,$1/million messages - first 1 billion messages/month,2025-03-01,0,1000000000,Messages,0.0000010000,USD,WebSocket,AmazonApiGateway,WebSocket Messages,US East (N. Virginia),AWS Region,USE1-ApiGatewayMessage,ApiGatewayWebSocket,,us-east-1,Amazon API Gateway
3Y5E3ETY2M5CMHYP,JRTCKXETXF,3Y5E3ETY2M5CMHYP.JRTCKXETXF.AGD8ADSNTG,OnDemand,$0.8/million messages - over 1 billion messages/month,2025-03-01,1000000000,Inf,Messages,0.0000008000,USD,WebSocket,AmazonApiGateway,WebSocket Messages,US East (N. Virginia),AWS Region,USE1-ApiGatewayMessage,ApiGatewayWebSocket,,us-east-1,Amazon API Gateway
CXYUE7KWK5ZR38DE,JRTCKXETXF,CXYUE7KWK5ZR38DE.JRTCKXETXF.6YS6EN2CT7,OnDemand,API Gateway Dedicated Cache: 0.5GB - US East (Northern Virginia),2025-03-01,0,Inf,Hrs,0.0200000000,USD,Amazon API Gateway Cache,AmazonApiGateway,,US East (N. Virginia),AWS Region,USE1-ApiGatewayCacheUsage:0.5GB,RunInstances,0.5,us-east-1,Amazon API Gateway
FC2TWT2UEPTBKVBX,JRTCKXETXF,FC2TWT2UEPTBKVBX.JRTCKXETXF.9NXBCPDZYR,OnDemand,$1/million requests - API Gateway HTTP API (first 300 million),2025-03-01,0,300000000,Requests,0.0000010000,USD,API Calls,AmazonApiGateway,HTTP API Requests,US East (N. Virginia),AWS Region,USE1-ApiGatewayHttpRequest,ApiGatewayHttpApi,,us-east-1,Amazon API Gateway
FC2TWT2UEPTBKVBX,JRTCKXETXF,FC2TWT2UEPTBKVBX.JRTCKXETXF.Y5DREYKEMT,OnDemand,$0.9/million requests - API Gateway HTTP API (more than 300 million),2025-03-01,300000000,Inf,Requests,0.0000009000,USD,API Calls,AmazonApiGateway,HTTP API Requests,US East (N. Virginia),AWS Region,USE1-ApiGatewayHttpRequest,ApiGatewayHttpApi,,us-east-1,Amazon API Gateway
G64PE2ARES5K9G3A,JRTCKXETXF,G64PE2ARES5K9G3A.JRTCKXETXF.6YS6EN2CT7,OnDemand,API Gateway Dedicated Cache: 6.05GB - US East (Northern Virginia),2025-03-01,0,Inf,Hrs,0.2000000000,USD,Amazon API Gateway Cache,AmazonApiGateway,,US East (N. Virginia),AWS Region,USE1-ApiGatewayCacheUsage:6.05GB,RunInstances,6.1,us-east-1,Amazon API Gateway
HR8QBS8NGUVDR2ZB,JRTCKXETXF,HR8QBS8NGUVDR2ZB.JRTCKXETXF.6YS6EN2CT7,OnDemand,API Gateway Dedicated Cache: 1.55GB - US East (Northern Virginia),2025-03-01,0,Inf,Hrs,0.0380000000,USD,Amazon API Gateway Cache,AmazonApiGateway,,US East (N. Virginia),AWS Region,USE1-ApiGatewayCacheUsage:1.55GB,RunInstances,1.6,us-east-1,Amazon API Gateway
HVHJ6AS99ERSASY7,JRTCKXETXF,HVHJ6AS99ERSASY7.JRTCKXETXF.6YS6EN2CT7,OnDemand,API Gateway Dedicated Cache: 28.4GB - US East (Northern Virginia),2025-03-01,0,Inf,Hrs,0.5000000000,USD,Amazon API Gateway Cache,AmazonApiGateway,,US East (N. Virginia),AWS Region,USE1-ApiGatewayCacheUsage:28.4GB,RunInstances,28.4,us-east-1,Amazon API Gateway
KKDZ3TFSXUSMCZ3A,JRTCKXETXF,KKDZ3TFSXUSMCZ3A.JRTCKXETXF.QS4VQ8N7FD,OnDemand,$3.50/million requests - first 333 million requests/month,2025-03-01,0,333000000,Requests,0.0000035000,USD,API Calls,AmazonApiGateway,API calls received,US East (N. Virginia),AWS Region,USE1-ApiGatewayRequest,ApiGatewayRequest,,us-east-1,Amazon API Gateway
KKDZ3TFSXUSMCZ3A,JRTCKXETXF,KKDZ3TFSXUSMCZ3A.JRTCKXETXF.DRE2JBTXBV,OnDemand,$2.80/million requests - next 667 million requests/month,2025-03-01,333000000,1000000000,Requests,0.0000028000,USD,API Calls,AmazonApiGateway,API calls received,US East (N. Virginia),AWS Region,USE1-ApiGatewayRequest,ApiGatewayRequest,,us-east-1,Amazon API Gateway
