SKU,OfferTermCode,RateCode,TermType,PriceDescription,EffectiveDate,StartingRange,EndingRange,Unit,PricePerUnit,Currency,RelatedTo,Product Family,serviceCode,Location,Location Type,Instance Type,vCpu,Memory,Volume Type,usageType,operation,Compute Type,DeviceName,Device Name,Device Provider,Operation Outcome,Product Type,Product-Type,Provider,Region Code,serviceName,Simulator Name,Type,Version
2AT253KGFHGJCNY7,JRTCKXETXF,2AT253KGFHGJCNY7.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.01875 per minute for running a Braket Job (ml.p2.xlarge) in US East (N. Virginia) Region,2025-03-01,0,Inf,minutes,0.0187500000,USD,,Braket Managed Jobs Instance,AmazonBraket,US East (N. Virginia),AWS Region,ml.p2.xlarge-Training,4,61 GiB,,USE1-Job-ExecutionDuration-ml.p2.xlarge,Managed-Jobs,Accelerated Computing Instances,,,,,,,,us-east-1,Amazon Braket,,,
2MVMJZ2DM5YMAB8G,JRTCKXETXF,2MVMJZ2DM5YMAB8G.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.01567 per minute for running a Braket Job (ml.g4dn.2xlarge) in US East (N. Virginia) Region,2025-03-01,0,Inf,minutes,0.0156700000,USD,,Braket Managed Jobs Instance,AmazonBraket,US East (N. Virginia),AWS Region,ml.g4dn.2xlarge-Training,8,32 GiB,,USE1-Job-ExecutionDuration-ml.g4dn.2xlarge,Managed-Jobs,Accelerated Computing Instances,,,,,,,,us-east-1,Amazon Braket,,,
2XMARPRHEXPUMFNZ,JRTCKXETXF,2XMARPRHEXPUMFNZ.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.01227 per minute for running a Braket Job (ml.g4dn.xlarge) in US East (N. Virginia) Region,2025-03-01,0,Inf,minutes,0.0122700000,USD,,Braket Managed Jobs Instance,AmazonBraket,US East (N. Virginia),AWS Region,ml.g4dn.xlarge-Training,4,16 GiB,,USE1-Job-ExecutionDuration-ml.g4dn.xlarge,Managed-Jobs,Accelerated Computing Instances,,,,,,,,us-east-1,Amazon Braket,,,
3UJ66P3JKUXX5HV9,JRTCKXETXF,3UJ66P3JKUXX5HV9.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.275 per minute for Simulator(TN1) in US East (N. Virginia) Region,2025-03-01,0,Inf,minutes,0.2750000000,USD,CWQB385Q7FYCYESV,Simulator Task,AmazonBraket,US East (N. Virginia),AWS Region,,,,,USE1-Rehearsal-Completed-Task-ExecutionDuration-TN1,FailedTask,,,,,Rehearsal-Completed,TensorNetwork,TensorNetwork,,us-east-1,Amazon Braket,,,TN1
429GQEGVS8NECEYK,JRTCKXETXF,429GQEGVS8NECEYK.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.01 per-shot for IonQ-IonQdevice in US East (N. Virginia) Region,2025-03-01,0,Inf,Quantum-Shot,0.0100000000,USD,,Quantum Task-Shot,AmazonBraket,US East (N. Virginia),AWS Region,,,,,USE1-Task-Shot-IonQ-Harmony,CompleteTask,,Harmony,,,,,,IonQ,us-east-1,Amazon Braket,,,
48SVAEEAA9DHJYN6,JRTCKXETXF,48SVAEEAA9DHJYN6.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.4692 per minute for running a Braket Job (ml.p3.16xlarge) in US East (N. Virginia) Region,2025-03-01,0,Inf,minutes,0.4692000000,USD,,Braket Managed Jobs Instance,AmazonBraket,US East (N. Virginia),AWS Region,ml.p3.16xlarge-Training,64,488 GiB,,USE1-Job-ExecutionDuration-ml.p3.16xlarge,Managed-Jobs,Accelerated Computing Instances,,,,,,,,us-east-1,Amazon Braket,,,
4RMV84Q4ZF6GTNYT,JRTCKXETXF,4RMV84Q4ZF6GTNYT.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.30 per-task for IonQ-Forte-1 in US East (N. Virginia) Region,2025-03-01,0,Inf,Quantum-Task,0.3000000000,USD,,Quantum Task,AmazonBraket,US East (N. Virginia),AWS Region,,,,,USE1-Task-IonQ-Forte-1,Task,,Forte-1,,,,,,IonQ,us-east-1,Amazon Braket,,,
5B922AVWQMF3QBF5,JRTCKXETXF,5B922AVWQMF3QBF5.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.03 per-shot for IonQ-Aria-1 in US East (N. Virginia) Region,2025-03-01,0,Inf,Quantum-Shot,0.0300000000,USD,,Quantum Task-Shot,AmazonBraket,US East (N. Virginia),AWS Region,,,,,USE1-Task-Shot-IonQ-Aria-2,CompleteTask,,Aria-2,,,,,,IonQ,us-east-1,Amazon Braket,,,
5F9MZ3558KJH2MXY,JRTCKXETXF,5F9MZ3558KJH2MXY.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.09067 per minute for running a Braket Job (ml.g4dn.16xlarge) in US East (N. Virginia) Region,2025-03-01,0,Inf,minutes,0.0906700000,USD,,Braket Managed Jobs Instance,AmazonBraket,US East (N. Virginia),AWS Region,ml.g4dn.16xlarge-Training,64,256 GiB,,USE1-Job-ExecutionDuration-ml.g4dn.16xlarge,Managed-Jobs,Accelerated Computing Instances,,,,,,,,us-east-1,Amazon Braket,,,
5FVPZYWTFF6V2K9Y,JRTCKXETXF,5FVPZYWTFF6V2K9Y.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.04533 per minute for running a Braket Job (ml.g4dn.8xlarge) in US East (N. Virginia) Region,2025-03-01,0,Inf,minutes,0.0453300000,USD,,Braket Managed Jobs Instance,AmazonBraket,US East (N. Virginia),AWS Region,ml.g4dn.8xlarge-Training,32,128 GiB,,USE1-Job-ExecutionDuration-ml.g4dn.8xlarge,Managed-Jobs,Accelerated Computing Instances,,,,,,,,us-east-1,Amazon Braket,,,
5HJT732EUT7P2SES,JRTCKXETXF,5HJT732EUT7P2SES.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.00192 per minute for running a Braket Job (ml.m5.large) in US East (N. Virginia) Region,2025-03-01,0,Inf,minutes,0.0019200000,USD,,Braket Managed Jobs Instance,AmazonBraket,US East (N. Virginia),AWS Region,ml.m5.large-Training,2,8 GiB,,USE1-Job-ExecutionDuration-ml.m5.large,Managed-Jobs,Standard Instances,,,,,,,,us-east-1,Amazon Braket,,,
5N5A55YJKWFZDHY6,JRTCKXETXF,5N5A55YJKWFZDHY6.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.01537 per minute for running a Braket Job (ml.m5.4xlarge) in US East (N. Virginia) Region,2025-03-01,0,Inf,minutes,0.0153700000,USD,,Braket Managed Jobs Instance,AmazonBraket,US East (N. Virginia),AWS Region,ml.m5.4xlarge-Training,16,64 GiB,,USE1-Job-ExecutionDuration-ml.m5.4xlarge,Managed-Jobs,Standard Instances,,,,,,,,us-east-1,Amazon Braket,,,
