SKU,OfferTermCode,RateCode,TermType,PriceDescription,EffectiveDate,StartingRange,EndingRange,Unit,PricePerUnit,Currency,Product Family,serviceCode,Location,Location Type,usageType,operation,Country,Region Code,serviceName,ToCountry
2826MYXCPE8BKEWU,JRTCKXETXF,2826MYXCPE8BKEWU.JRTCKXETXF.6YS6EN2CT7,OnDemand,Call me minute usage to Japan,2020-01-01,0,Inf,callme-minutes,0.0648000000,USD,AmazonChimeCallMeProductFamily,AmazonChimeCallMe,US East (N. Virginia),AWS Region,USE1-US-JP-callme-minutes,,United States of America,us-east-1,Amazon Chime Call Me,Japan
2A5DVFHKWU229D4V,JRTCKXETXF,2A5DVFHKWU229D4V.JRTCKXETXF.6YS6EN2CT7,OnDemand,Call me minute usage to Hong Kong,2020-01-01,0,Inf,callme-minutes,0.0789600000,USD,AmazonChimeCallMeProductFamily,AmazonChimeCallMe,US East (N. Virginia),AWS Region,USE1-US-HK-callme-minutes,,United States of America,us-east-1,Amazon Chime Call Me,Hong Kong
2X2BS6HM8V5N56B9,JRTCKXETXF,2X2BS6HM8V5N56B9.JRTCKXETXF.6YS6EN2CT7,OnDemand,Call me minute usage to United Kingdom,2020-01-01,0,Inf,callme-minutes,0.0190000000,USD,AmazonChimeCallMeProductFamily,AmazonChimeCallMe,US East (N. Virginia),AWS Region,USE1-US-GB-callme-minutes,,United States of America,us-east-1,Amazon Chime Call Me,United Kingdom
2XRWJNKR2CGGD8AK,JRTCKXETXF,2XRWJNKR2CGGD8AK.JRTCKXETXF.6YS6EN2CT7,OnDemand,Call me minute usage to Norway,2020-01-01,0,Inf,callme-minutes,0.0253200000,USD,AmazonChimeCallMeProductFamily,AmazonChimeCallMe,US East (N. Virginia),AWS Region,USE1-US-NO-callme-minutes,,United States of America,us-east-1,Amazon Chime Call Me,Norway
339XEAGF6H2RRVFB,JRTCKXETXF,339XEAGF6H2RRVFB.JRTCKXETXF.6YS6EN2CT7,OnDemand,Call me minute usage to Australia,2020-01-01,0,Inf,callme-minutes,0.0476800000,USD,AmazonChimeCallMeProductFamily,AmazonChimeCallMe,US East (N. Virginia),AWS Region,USE1-US-AU-callme-minutes,,United States of America,us-east-1,Amazon Chime Call Me,Australia
4CY66J4ADB8EM9CK,JRTCKXETXF,4CY66J4ADB8EM9CK.JRTCKXETXF.6YS6EN2CT7,OnDemand,Call me minute usage to Romania,2020-01-01,0,Inf,callme-minutes,0.0362700000,USD,AmazonChimeCallMeProductFamily,AmazonChimeCallMe,US East (N. Virginia),AWS Region,USE1-US-RO-callme-minutes,,United States of America,us-east-1,Amazon Chime Call Me,Romania
5ECBB8WUQWVQGXE2,JRTCKXETXF,5ECBB8WUQWVQGXE2.JRTCKXETXF.6YS6EN2CT7,OnDemand,Call me minute usage to Sweden,2020-01-01,0,Inf,callme-minutes,0.0253600000,USD,AmazonChimeCallMeProductFamily,AmazonChimeCallMe,US East (N. Virginia),AWS Region,USE1-US-SE-callme-minutes,,United States of America,us-east-1,Amazon Chime Call Me,Sweden
5VE9C22WNTJS4TPR,JRTCKXETXF,5VE9C22WNTJS4TPR.JRTCKXETXF.6YS6EN2CT7,OnDemand,Call me minute usage to Colombia,2020-01-01,0,Inf,callme-minutes,0.0656000000,USD,AmazonChimeCallMeProductFamily,AmazonChimeCallMe,US East (N. Virginia),AWS Region,USE1-US-CO-callme-minutes,,United States of America,us-east-1,Amazon Chime Call Me,Colombia
76RJ7NMNNE679SF4,JRTCKXETXF,76RJ7NMNNE679SF4.JRTCKXETXF.6YS6EN2CT7,OnDemand,Call me minute usage to Brazil,2020-01-01,0,Inf,callme-minutes,0.0684100000,USD,AmazonChimeCallMeProductFamily,AmazonChimeCallMe,US East (N. Virginia),AWS Region,USE1-US-BR-callme-minutes,,United States of America,us-east-1,Amazon Chime Call Me,Brazil
82GEC7H3S5UB5Y43,JRTCKXETXF,82GEC7H3S5UB5Y43.JRTCKXETXF.6YS6EN2CT7,OnDemand,Call me minute usage to Germany,2020-01-01,0,Inf,callme-minutes,0.0389200000,USD,AmazonChimeCallMeProductFamily,AmazonChimeCallMe,US East (N. Virginia),AWS Region,USE1-US-DE-callme-minutes,,United States of America,us-east-1,Amazon Chime Call Me,Germany
