SKU,OfferTermCode,RateCode,TermType,PriceDescription,EffectiveDate,StartingRange,EndingRange,Unit,PricePerUnit,Currency,Product Family,serviceCode,Location,Location Type,usageType,operation,Calling Type,Country,Region Code,serviceName
25RUHDH5A69YAWHE,JRTCKXETXF,25RUHDH5A69YAWHE.JRTCKXETXF.6YS6EN2CT7,OnDemand,Per minute of Toll rate for Saint Lucia,2022-03-01,0,Inf,Minute,0.0022160000,USD,AmazonChimeDialinProductFamily,AmazonChimeDialin,US East (N. Virginia),AWS Region,USE1-LC-toll-inbound-mins,,Toll,Saint Lucia,us-east-1,Amazon Chime Dialin
27UA82E68UNVSQ4F,JRTCKXETXF,27UA82E68UNVSQ4F.JRTCKXETXF.6YS6EN2CT7,OnDemand,Per minute of Toll Free rate for Israel,2022-03-01,0,Inf,Minute,0.1620000000,USD,AmazonChimeDialinProductFamily,AmazonChimeDialin,US East (N. Virginia),AWS Region,USE1-IL-tollfree-inbound-mins,,Toll Free,Israel,us-east-1,Amazon Chime Dialin
2BFC8ST3YQM34HC3,JRTCKXETXF,2BFC8ST3YQM34HC3.JRTCKXETXF.6YS6EN2CT7,OnDemand,Per minute of Toll rate for Romania,2022-03-01,0,Inf,Minute,0.0087950000,USD,AmazonChimeDialinProductFamily,AmazonChimeDialin,US East (N. Virginia),AWS Region,USE1-RO-toll-inbound-mins,,Toll,Romania,us-east-1,Amazon Chime Dialin
2HPF6BBST6U5BFED,JRTCKXETXF,2HPF6BBST6U5BFED.JRTCKXETXF.6YS6EN2CT7,OnDemand,Per minute of Toll rate for Dominican Republic,2022-03-01,0,Inf,Minute,0.0105530000,USD,AmazonChimeDialinProductFamily,AmazonChimeDialin,US East (N. Virginia),AWS Region,USE1-DO-toll-inbound-mins,,Toll,Dominican Republic,us-east-1,Amazon Chime Dialin
2J8FN7JEWFXQTH3M,JRTCKXETXF,2J8FN7JEWFXQTH3M.JRTCKXETXF.6YS6EN2CT7,OnDemand,Per minute of Toll Free rate for Singapore,2022-03-01,0,Inf,Minute,0.0590000000,USD,AmazonChimeDialinProductFamily,AmazonChimeDialin,US East (N. Virginia),AWS Region,USE1-SG-tollfree-inbound-mins,,Toll Free,Singapore,us-east-1,Amazon Chime Dialin
3CWSA6HP4N4RNQFB,JRTCKXETXF,3CWSA6HP4N4RNQFB.JRTCKXETXF.6YS6EN2CT7,OnDemand,Per minute of Toll rate for Luxembourg,2022-03-01,0,Inf,Minute,0.0032210000,USD,AmazonChimeDialinProductFamily,AmazonChimeDialin,US East (N. Virginia),AWS Region,USE1-LU-toll-inbound-mins,,Toll,Luxembourg,us-east-1,Amazon Chime Dialin
3DZVDQ7SDAGBMFMX,JRTCKXETXF,3DZVDQ7SDAGBMFMX.JRTCKXETXF.6YS6EN2CT7,OnDemand,Per minute of Toll Free rate for Luxembourg,2022-03-01,0,Inf,Minute,0.2104300000,USD,AmazonChimeDialinProductFamily,AmazonChimeDialin,US East (N. Virginia),AWS Region,USE1-LU-tollfree-inbound-mins,,Toll Free,Luxembourg,us-east-1,Amazon Chime Dialin
3KZW25QEXYKNK2R4,JRTCKXETXF,3KZW25QEXYKNK2R4.JRTCKXETXF.6YS6EN2CT7,OnDemand,Per minute of Toll Free rate for Montserrat,2022-03-01,0,Inf,Minute,0.0119100000,USD,AmazonChimeDialinProductFamily,AmazonChimeDialin,US East (N. Virginia),AWS Region,USE1-MS-tollfree-inbound-mins,,Toll Free,Montserrat,us-east-1,Amazon Chime Dialin
3R5HSRPQ6GRQXEAV,JRTCKXETXF,3R5HSRPQ6GRQXEAV.JRTCKXETXF.6YS6EN2CT7,OnDemand,Per minute of Toll Free rate for Lithuania,2022-03-01,0,Inf,Minute,0.4850000000,USD,AmazonChimeDialinProductFamily,AmazonChimeDialin,US East (N. Virginia),AWS Region,USE1-LT-tollfree-inbound-mins,,Toll Free,Lithuania,us-east-1,Amazon Chime Dialin
3SANJ7A26WCMU3B5,JRTCKXETXF,3SANJ7A26WCMU3B5.JRTCKXETXF.6YS6EN2CT7,OnDemand,Per minute of Toll rate for South Africa,2022-03-01,0,Inf,Minute,0.0057770000,USD,AmazonChimeDialinProductFamily,AmazonChimeDialin,US East (N. Virginia),AWS Region,USE1-ZA-toll-inbound-mins,,Toll,South Africa,us-east-1,Amazon Chime Dialin
