SKU,OfferTermCode,RateCode,TermType,PriceDescription,EffectiveDate,StartingRange,EndingRange,Unit,PricePerUnit,Currency,Product Family,serviceCode,Location,Location Type,usageType,operation,CallType,FromCountry,messagetype,NumberType,Region Code,serviceName,ToCountry
22XRBQ9S9FEZ8XNZ,JRTCKXETXF,22XRBQ9S9FEZ8XNZ.JRTCKXETXF.6YS6EN2CT7,OnDemand,Per minute charge for calls made from United States of America to Marshall Islands in US East (N. Virginia),2024-08-01,0,Inf,minutes,0.4882500000,USD,AmazonChimeVoiceConnector,AmazonChimeVoiceConnector,US East (N. Virginia),AWS Region,USE1-US-MH-outbound-minutes,,,United States of America,,,us-east-1,Amazon Chime Voice Connector a service sold by AMCS LLC,Marshall Islands
23RZ8EYZB6XCKTY8,JRTCKXETXF,23RZ8EYZB6XCKTY8.JRTCKXETXF.6YS6EN2CT7,OnDemand,Per minute charge for calls made from United States of America to Costa Rica in US East (N. Virginia),2024-08-01,0,Inf,minutes,0.1486500000,USD,AmazonChimeVoiceConnector,AmazonChimeVoiceConnector,US East (N. Virginia),AWS Region,USE1-CR-outbound-minutes,,Standard,,,,us-east-1,Amazon Chime Voice Connector a service sold by AMCS LLC,Costa Rica
23SC6A2DJ6VFFZ4K,JRTCKXETXF,23SC6A2DJ6VFFZ4K.JRTCKXETXF.6YS6EN2CT7,OnDemand,SMS message sent from United States of America to Romania,2024-08-01,0,Inf,sms-message,0.1200000000,USD,AmazonChimeVoiceConnector,AmazonChimeVoiceConnector,US East (N. Virginia),AWS Region,USE1-US-RO-sms-message-Sent,,,United States of America,outbound,,us-east-1,Amazon Chime Voice Connector a service sold by AMCS LLC,Romania
23URFDJGFBT8ZYWM,JRTCKXETXF,23URFDJGFBT8ZYWM.JRTCKXETXF.6YS6EN2CT7,OnDemand,Per minute charge for calls made from United States of America to Costa Rica in US East (N. Virginia),2024-08-01,0,Inf,minutes,0.1486500000,USD,AmazonChimeVoiceConnector,AmazonChimeVoiceConnector,US East (N. Virginia),AWS Region,USE1-US-CR-outbound-minutes,,,United States of America,,,us-east-1,Amazon Chime Voice Connector a service sold by AMCS LLC,Costa Rica
26WVBBZTJBBRFRTE,JRTCKXETXF,26WVBBZTJBBRFRTE.JRTCKXETXF.6YS6EN2CT7,OnDemand,Per minute charge for calls made from United States of America to Macao in US East (N. Virginia),2024-08-01,0,Inf,minutes,0.2073000000,USD,AmazonChimeVoiceConnector,AmazonChimeVoiceConnector,US East (N. Virginia),AWS Region,USE1-US-MO-outbound-minutes,,,United States of America,,,us-east-1,Amazon Chime Voice Connector a service sold by AMCS LLC,Macao
27EXBE279M7EWEKV,JRTCKXETXF,27EXBE279M7EWEKV.JRTCKXETXF.6YS6EN2CT7,OnDemand,Per minute charge for calls made from United States of America to Thailand in US East (N. Virginia),2024-08-01,0,Inf,minutes,0.1185000000,USD,AmazonChimeVoiceConnector,AmazonChimeVoiceConnector,US East (N. Virginia),AWS Region,USE1-US-TH-outbound-minutes,,,United States of America,,,us-east-1,Amazon Chime Voice Connector a service sold by AMCS LLC,Thailand
27QCDVTT946DNSEM,JRTCKXETXF,27QCDVTT946DNSEM.JRTCKXETXF.6YS6EN2CT7,OnDemand,Per minute charge for calls made from United States of America to Germany in US East (N. Virginia),2024-08-01,0,Inf,minutes,0.0389200000,USD,AmazonChimeVoiceConnector,AmazonChimeVoiceConnector,US East (N. Virginia),AWS Region,USE1-DE-outbound-minutes,,Standard,,,,us-east-1,Amazon Chime Voice Connector a service sold by AMCS LLC,Germany
297QKM3SYET7ZNF2,JRTCKXETXF,297QKM3SYET7ZNF2.JRTCKXETXF.6YS6EN2CT7,OnDemand,Per minute charge for calls made from United States of America to Kenya in US East (N. Virginia),2024-08-01,0,Inf,minutes,0.5118000000,USD,AmazonChimeVoiceConnector,AmazonChimeVoiceConnector,US East (N. Virginia),AWS Region,USE1-KE-outbound-minutes,,Standard,,,,us-east-1,Amazon Chime Voice Connector a service sold by AMCS LLC,Kenya
2ADAY7KDHMYG77EF,JRTCKXETXF,2ADAY7KDHMYG77EF.JRTCKXETXF.6YS6EN2CT7,OnDemand,Per minute charge for calls made from United States of America to Ethiopia in US East (N. Virginia),2024-08-01,0,Inf,minutes,0.4789500000,USD,AmazonChimeVoiceConnector,AmazonChimeVoiceConnector,US East (N. Virginia),AWS Region,USE1-US-ET-outbound-minutes,,,United States of America,,,us-east-1,Amazon Chime Voice Connector a service sold by AMCS LLC,Ethiopia
2G9PQ7HSMTK2GMW7,JRTCKXETXF,2G9PQ7HSMTK2GMW7.JRTCKXETXF.6YS6EN2CT7,OnDemand,Per minute charge for calls made from United States of America to Turkey in US East (N. Virginia),2024-08-01,0,Inf,minutes,0.4301800000,USD,AmazonChimeVoiceConnector,AmazonChimeVoiceConnector,US East (N. Virginia),AWS Region,USE1-TR-outbound-minutes,,Standard,,,,us-east-1,Amazon Chime Voice Connector a service sold by AMCS LLC,Turkey
